Application Type,Application Number,Process Date,Issued Date,Final Date,Expire Date,Street number,Street Pre direction,Street name,Street Post direction,Street suffix,City,State   ,Zip Code,Proposed Construction,Section 59,Existing Structure,New SFD,Non Complying,Non Conforming,Proposed Structure,Room Add,Accessory structure,Fence - Retaining wall,Porch,Swim Pool,Garage - Carport,Shed,Deck,Other,Zoning Type,Location,Comments,Location1
DEVELOPMENT STANDARDS VARIANCE,219402,11/07/2002,11/08/2002,,,907,,LAMBERTON,,DR,SILVER SPRING,MD,20902,"A 86 FOOT LONG,8FT.8 INCH TALL WALL 6 INCHES FROM LINE",c-1.326(a)(4),N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,R-90,,,"907 LAMBERTON DR
SILVER SPRING, MD 20902
(39.043186, -77.025744)"
DEVELOPMENT STANDARDS VARIANCE,258984,08/25/2008,08/25/2008,,,9118,,JONES MILL,,RD,CHEVY CHASE,MD,20815,OF A SFD REQ A VAR FROM 30' SETBACK ALONG JONES MILL RD,C-1.323(a),N,Y,N,N,N,N,N,N,N,N,N,N,N,N,R-90,,building permit denial to reduce front setback of new single family dwelling along Jones Mill Road,"9118 JONES MILL RD
CHEVY CHASE, MD 20815
(39.005808, -77.063122)"
DEVELOPMENT STANDARDS VARIANCE,267730,12/03/2010,,,,817,,DAVIS,,AVE,TAKOMA PARK,MD,20912,OF SUNROOM REQ A VAR FROM 25' FRONT YD SETBACK.,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce front yard setback of proposed room addition from 25' to 20',"817 DAVIS AVE
TAKOMA PARK, MD 20912
(38.984665, -76.996538)"
DEVELOPMENT STANDARDS VARIANCE,259258,09/17/2008,09/17/2008,,,6265,,CLEARWOOD,,RD,BETHESDA,MD,20817,OF A SUNROOM REQ A VAR FROM 25' TOTAL SIDE YD SETBACK.,,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-90,,building permit denial to reduce total side yard setback from 25' to 18',"6265 CLEARWOOD RD
BETHESDA, MD 20817
(38.980131, -77.12577)"
DEVELOPMENT STANDARDS VARIANCE,353172,06/23/2016,,,,12516,,STONEY CREEK,,RD,POTOMAC,MD,20854,proposed room addn req 20' var from 35' setback,4.4.4.B.2,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,RE-2,,room addition building permit denial to reduce side setback from 17' to 5',"12516 STONEY CREEK RD
POTOMAC, MD 20854
(39.062053, -77.264229)"
DEVELOPMENT STANDARDS VARIANCE,216723,04/23/2002,04/23/2002,,,7920,,DEEPWELL,,DR,BETHESDA,MD,20817,SECOND FLOOR ROOM ADDITION REQUIRES A VARIANCE.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-200,,,"7920 DEEPWELL DR
BETHESDA, MD 20817
(39.007772, -77.164773)"
DEVELOPMENT STANDARDS VARIANCE,360900,11/17/2017,,,,13118,,COLLINGWOOD,,TER,SILVER SPRING,MD,20904,existing construction is a garage.,4.4.8-B-2,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,R-90,,,"13118 COLLINGWOOD TER
SILVER SPRING, MD 20904
(39.071657, -76.978029)"
DEVELOPMENT STANDARDS VARIANCE,268604,03/15/2011,03/15/2011,,,8415,,LYNBROOK,,DR,BETHESDA,MD,20814,EXISTING SFD REQ A VAR FROM 20' REAR YD SETBACK.,C-1.323(b)(2),Y,N,N,N,N,N,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce the rear yard setback of the existing single family dwelling from 20' to 13.82' for a variance of 6.18',"8415 LYNBROOK DR
BETHESDA, MD 20814
(38.994469, -77.088255)"
DEVELOPMENT STANDARDS VARIANCE,260425,01/02/2009,06/04/2009,,,19402,,TORRAN ROCKS,,TER,GAITHERSBURG,MD,20879,REQUIRES A VARIANCE TO REDUCE DISTANCE BETWEEN BLDG.,C-3.56,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,RMH200,,building permit denial to reduce distance between building in RMH-200 zoning district from 20' to 11',"19402 TORRAN ROCKS TER
GAITHERSBURG, MD 20879
(39.175568, -77.155323)"
DEVELOPMENT STANDARDS VARIANCE,229497,05/20/2004,05/20/2004,05/20/2004,,111,,VALLEY,,RD,BETHESDA,MD,20816,,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"111 VALLEY RD
BETHESDA, MD 20816
(38.945497, -77.122883)"
DEVELOPMENT STANDARDS VARIANCE,259330,09/23/2008,09/23/2008,,,4700,,CHEVY CHASE,,BLVD,CHEVY CHASE,MD,20815,OF A ROOM EXTENSION REQ A VAR FROM 7' SIDE YD SETBACK.,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce side yard setback of proposed room extension from 7' to 6',"4700 CHEVY CHASE BLVD
CHEVY CHASE, MD 20815
(38.973417, -77.092438)"
DEVELOPMENT STANDARDS VARIANCE,242171,12/23/2005,12/23/2005,,,7011,,MEADOW,,LN,CHEVY CHASE,MD,20815,OF A ROOM ADDN REQ A 19.17' VAR FROM 20' REAR SETBACK.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce rear yard setback for room addition from 20' to .83',"7011 MEADOW LN
CHEVY CHASE, MD 20815
(38.980427, -77.0804)"
DEVELOPMENT STANDARDS VARIANCE,217901,07/09/2002,07/09/2002,,,12329,,STONEY BOTTOM,,RD,GERMANTOWN,MD,20874,ROOM ADDIITON REQ A VAR FROM THE REAR YARD SETBACK.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#282147,"12329 STONEY BOTTOM RD
GERMANTOWN, MD 20874
(39.173062, -77.254225)"
DEVELOPMENT STANDARDS VARIANCE,297143,07/15/2013,,,,10037,,DALLAS,,AVE,SILVER SPRING,MD,20901,is a rear addition.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"10037 DALLAS AVE
SILVER SPRING, MD 20901
(39.021102, -77.022653)"
DEVELOPMENT STANDARDS VARIANCE,364341,07/19/2018,,,,6515,,ALLEGHENY,,AVE,TAKOMA PARK,MD,20912,Accessory Building,4.4.9.B.2.c,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,R-60,,Construct Rear Accessory Structure for studio purpose.,"6515 ALLEGHENY AVE
TAKOMA PARK, MD 20912
(38.970833, -77.005463)"
DEVELOPMENT STANDARDS VARIANCE,346593,09/25/2015,,,,5210,,LITTLE FALLS,,DR,BETHESDA,MD,20816,of a room addn req a 4' var from 20' rear yd setback,4.4.9.B.2,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce rear yard setback from 20' to 16',"5210 LITTLE FALLS DR
BETHESDA, MD 20816
(38.95923, -77.098703)"
DEVELOPMENT STANDARDS VARIANCE,215226,01/16/2002,01/16/2002,,,1118,,DALE,,DR,SILVER SPRING,MD,20910,OF A TWO STORY ROOM ADDITION REQUIRES A VARIANCE.,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#267421,"1118 DALE DR
SILVER SPRING, MD 20910
(39.006828, -77.026564)"
DEVELOPMENT STANDARDS VARIANCE,219414,11/08/2002,11/08/2002,11/08/2002,,6206,,WISCASSET,,RD,BETHESDA,MD,20816,IS A SINGLE FAMILY HOME,1.323(a),N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,R-90,,,"6206 WISCASSET RD
BETHESDA, MD 20816
(38.965873, -77.125622)"
DEVELOPMENT STANDARDS VARIANCE,239328,08/25/2005,08/25/2005,,,5308,,BURLING,,TER,BETHESDA,MD,20814,OF A SUNROOM REQ A VARIANCE FROM REAR YARD SETBACK.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-90,,building permit denial to reduce rear yard setback setback of sunroom from 25' to 14'.,"5308 BURLING TER
BETHESDA, MD 20814
(38.981636, -77.108924)"
DEVELOPMENT STANDARDS VARIANCE,203122,02/08/2000,02/09/2000,,,7709,,DEW WOOD,,DR,ROCKVILLE,MD,20855,OF AN ADD.ON AN EXISTING NON-CONFORM.HOUSE REQ. A VARI.,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-200,,,"7709 DEW WOOD DR
ROCKVILLE, MD 20855
(39.150085, -77.157392)"
DEVELOPMENT STANDARDS VARIANCE,211285,04/10/2001,04/10/2001,,,5809,,WILSON,,LN,BETHESDA,MD,20817,IS A COVERED PORCH,c-1.323(a)& 59-B 3.1,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-90,,,"5809 WILSON LN
BETHESDA, MD 20817
(38.988576, -77.118942)"
DEVELOPMENT STANDARDS VARIANCE,204857,05/12/2000,05/12/2000,,,15,,CARVER,,RD,CABIN JOHN,MD,20818,IS AN ADD.BUILT CLOSER THAN ORIG. VARI. ALLOWED A-4118.,C-1.323(a),Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,R-90,,,"15 CARVER RD
CABIN JOHN, MD 20818
(38.977342, -77.162055)"
DEVELOPMENT STANDARDS VARIANCE,203604,03/10/2000,03/10/2000,,,13916,,CASTAWAY,,DR,ROCKVILLE,MD,20853,OF ENCLOSING AND ADDING TO AN EXIST.NON-CONFORM CARPORT,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,R-90,,,"13916 CASTAWAY DR
ROCKVILLE, MD 20853
(39.084971, -77.100223)"
DEVELOPMENT STANDARDS VARIANCE,253975,07/24/2007,07/24/2007,,,17413,,BEAUVOIR,,BLVD,ROCKVILLE,MD,20855,OF A GARAGE REQ A VAR FROM THE 46.2' EST BLDG LINE.,C-1.323(a),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-200,,building permit denial to reduce front yard setback from the established building line of 46.2',"17413 BEAUVOIR BLVD
ROCKVILLE, MD 20855
(39.142658, -77.14755)"
DEVELOPMENT STANDARDS VARIANCE,226194,01/14/2004,,,,11,,BRIGGS,,CT,SILVER SPRING,MD,20906,"POOL IN SIDE YARD,59 C-1.326 ALLOWS POOL IN REAR ONLY",,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,R-90,,BLDG PERMIT#329611,"11 BRIGGS CT
SILVER SPRING, MD 20906
(39.070377, -77.053327)"
DEVELOPMENT STANDARDS VARIANCE,212074,05/29/2001,05/29/2001,,,6509,,ALLEGHENY,,AVE,TAKOMA PARK,MD,20912,IS A SECOND STORY ADDITION OVER EXISTING HOUSE,c-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,,"6509 ALLEGHENY AVE
TAKOMA PARK, MD 20912
(38.970656, -77.005233)"
DEVELOPMENT STANDARDS VARIANCE,208592,10/17/2000,10/17/2000,,,5503,,BURLING,,CT,BETHESDA,MD,20817,ONE STY. ADDN. REQUIRES VARIANCE FROM 30' FRONT.,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-90,,,"5503 BURLING CT
BETHESDA, MD 20817
(38.979437, -77.111278)"
DEVELOPMENT STANDARDS VARIANCE,213883,10/01/2001,10/01/2001,10/01/2001,,9305,,JESUP,,LN,BETHESDA,MD,20814,A GARAGE REQUIRES A VARIANCE.,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,R-60,,,"9305 JESUP LN
BETHESDA, MD 20814
(39.008668, -77.104772)"
DEVELOPMENT STANDARDS VARIANCE,229492,05/19/2004,05/19/2004,05/19/2004,,9509,,BURNING TREE,,RD,BETHESDA,MD,20817,"OF ADD. REQ.6'VARIANCE, WITHIN 20' OF REAR LOT LINE.",C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,R-200,,,"9509 BURNING TREE RD
BETHESDA, MD 20817
(39.011258, -77.13446)"
DEVELOPMENT STANDARDS VARIANCE,220040,01/03/2003,01/03/2003,,,12701,,LAMP POST,,LN,POTOMAC,MD,20854,OF A PORCH REQ A VAR FROM THE 25' REAR YARD SETBACK.,C-1.433(b),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-150,,BLDG PERMIT#293872,"12701 LAMP POST LN
POTOMAC, MD 20854
(39.06442, -77.185229)"
DEVELOPMENT STANDARDS VARIANCE,355200,11/02/2016,,,,3810,,KAYSON,,ST,SILVER SPRING,MD,20906,of existing carport req a var to be located in front,4.4.9.B(a),Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,R-60,,,"3810 KAYSON ST
SILVER SPRING, MD 20906
(39.067606, -77.076567)"
DEVELOPMENT STANDARDS VARIANCE,204243,04/10/2000,,,,4515,,WETHERILL,,RD,BETHESDA,MD,20816,VIOLATES SEC.59-C-1.326(A)(1).A POOL NOT IN THE REAR YD,,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,R-60,,,"4515 WETHERILL RD
BETHESDA, MD 20816
(38.948339, -77.103075)"
DEVELOPMENT STANDARDS VARIANCE,206321,08/04/2000,08/04/2000,,,3102,,BLACK CHESTNUT,,LN,CHEVY CHASE,MD,20815,IS A COVERED PORCH,c-1.535,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-90,,,"3102 BLACK CHESTNUT LN
CHEVY CHASE, MD 20815
(39.001305, -77.063541)"
DEVELOPMENT STANDARDS VARIANCE,247285,07/12/2006,07/12/2006,,,13309,,DREWS,,LN,POTOMAC,MD,20854,OF A SWIMMING POOL REQ A VAR TO BE PLACED IN SIDE YARD.,C-1.326(a)(1),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,RE-2C,,building permit denial to permit swimming pool as accessory structure to be located in side yard,"13309 DREWS LN
POTOMAC, MD 20854
(39.052516, -77.277027)"
DEVELOPMENT STANDARDS VARIANCE,252681,04/24/2007,04/24/2007,,,8225,,SCOTCH BEND,,WAY,POTOMAC,MD,20854,OF A ROOM ADDN & PORCH REQ A VAR FROM 25' REAR YARD.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-90,,building permit denial to reduce the rear yard setback from 25' to 18.5',"8225 SCOTCH BEND WAY
POTOMAC, MD 20854
(39.03581, -77.166049)"
DEVELOPMENT STANDARDS VARIANCE,252393,04/04/2007,04/04/2007,,,4330,,KENTBURY,,DR,BETHESDA,MD,20814,EXISTING CARPORT REQ A VAR FROM 5' SIDE YARD SETBACK.,C-1.326(a)(1)(2)(C),Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,R-60,,building permit denial to permit accessory structure (carport) to remain in side yard,"4330 KENTBURY DR
BETHESDA, MD 20814
(38.986663, -77.087434)"
DEVELOPMENT STANDARDS VARIANCE,242169,12/23/2005,12/23/2005,,,7011,,MEADOW,,LN,CHEVY CHASE,MD,20815,OF A 2 FL ROOM ADDN REQ A VAR FROM 20' REAR YD SETBACK,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce rear yard setback from 20' to 1.5',"7011 MEADOW LN
CHEVY CHASE, MD 20815
(38.980427, -77.0804)"
DEVELOPMENT STANDARDS VARIANCE,351712,03/14/2016,,,,1813,,GOLD MINE,,RD,BROOKEVILLE,MD,20833,of accessory bldg req var to be located in front of SFD,4.3.4.B.2.d,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,RC,,building permit denial to allow accessory structure to be located in the front of a principal building,"1813 GOLD MINE RD
BROOKEVILLE, MD 20833
(39.174542, -77.042476)"
DEVELOPMENT STANDARDS VARIANCE,219785,12/10/2002,12/10/2002,04/20/2006,,1520,,VIVIAN,,PL,SILVER SPRING,MD,20902,OF EXISTING CARPORT REQ A VAR FROM THE REAR YD SETBACK,C-1.323(b)(2),Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,R-90,,,"1520 VIVIAN PL
SILVER SPRING, MD 20902
(39.038888, -77.035662)"
DEVELOPMENT STANDARDS VARIANCE,206001,07/17/2000,07/17/2000,,,9707,,PARKWOOD,,DR,BETHESDA,MD,20814,IS A WOOD  6FT TALL FENCE,b-2.1,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,R-60,,,"9707 PARKWOOD DR
BETHESDA, MD 20814
(39.017128, -77.093976)"
DEVELOPMENT STANDARDS VARIANCE,210966,03/26/2001,03/26/2001,,,6203,,NEWBURN,,DR,BETHESDA,MD,20816,IS A REAR ADDITION,c-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#243495,"6203 NEWBURN DR
BETHESDA, MD 20816
(38.968375, -77.126404)"
DEVELOPMENT STANDARDS VARIANCE,359959,09/20/2017,,,,9190,,ROCKVILLE,,PIKE,BETHESDA,MD,20814,telecom on roof in res. zone under 50' in height.,3.5.14.C.2.d(ii)(a),Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,R-60,,Applicant is installing telecom on the roof of a building a residential zone under 50' in height.,"9190 ROCKVILLE PIKE
BETHESDA, MD 20814
(39.006969, -77.097651)"
DEVELOPMENT STANDARDS VARIANCE,259147,09/04/2008,,,,1500,,FOREST GLEN,,RD,SILVER SPRING,MD,20910,OF A HOSPITAL ADD. TO 128' HEIGHT BACKING TO RES. ZONE,G-2.31(3),N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,R-60,,,"1500 FOREST GLEN RD
SILVER SPRING, MD 20910
(39.016055, -77.034198)"
DEVELOPMENT STANDARDS VARIANCE,217706,06/27/2002,06/27/2002,09/23/2002,,5101,,MOORLAND,,LN,BETHESDA,MD,20814,OF A DECK REQ A VAR FROM THE 9' EXEMPTION OF REAR YD,B-3.1,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,R-60,,BLDG PERMIT#281337,"5101 MOORLAND LN
BETHESDA, MD 20814
(38.985954, -77.10139)"
DEVELOPMENT STANDARDS VARIANCE,230232,07/07/2004,07/20/2004,,,11820,,KIM,,PL,POTOMAC,MD,20854,OF A 2ND FL ROOM ADDN REQ A VAR FROM 30' FRONT SETBACK,C-1.323(a),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-90,,building permit denial to reduce front setback from 30' to 12',"11820 KIM PL
POTOMAC, MD 20854
(39.04969, -77.168242)"
DEVELOPMENT STANDARDS VARIANCE,208727,01/10/2000,01/10/2000,03/21/2001,,9208,,TOPEKA,,ST,BETHESDA,MD,20817,IS FOR A ONE-STORY ADD. IN SIDE YARD.,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT #208727,"9208 TOPEKA ST
BETHESDA, MD 20817
(39.006614, -77.128886)"
DEVELOPMENT STANDARDS VARIANCE,260189,12/02/2008,12/02/2008,12/02/2008,,24805,,NICKELBY,,DR,DAMASCUS,MD,20872,EXISTING FENCE & RETAINING WALL EXCEED 6.5 FT. IN HT.,59-C-1.326(a)(3)(C),Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,R-200,,,"24805 NICKELBY DR
DAMASCUS, MD 20872
(39.265189, -77.215442)"
DEVELOPMENT STANDARDS VARIANCE,218899,09/23/2002,09/26/2002,,,11008,,WEST,,AVE,KENSINGTON,MD,20895,2 STY ADDITION REQ A VAR FROM THE REAR YD SETBACK.,C-1.323(b)(2),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,BLDG PERMIT#288255,"11008 WEST AVE
KENSINGTON, MD 20895
(39.037211, -77.062936)"
DEVELOPMENT STANDARDS VARIANCE,263356,10/14/2009,10/14/2009,,,8103,,SHADY SPRING,,DR,GAITHERSBURG,MD,20877,OF AN ENCLOSED PORCH REQ A VAR FROM 25' FRONT  SETBACK,C-1.535,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,R-60,,building permit denial to enclose existing covered to reduce front setback from 25' to 16',"8103 SHADY SPRING DR
GAITHERSBURG, MD 20877
(39.145673, -77.161571)"
DEVELOPMENT STANDARDS VARIANCE,365047,09/12/2018,,,,9415,,COLESVILLE,,RD,SILVER SPRING,MD,20901,front paved area 73.41% & max 50%.Sect 59.6.2.5.M.3.b,,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,R-60,,Per Section 59.6.2.5.M.3.b the area between the front lot line and the front building line cannot exceed 50%. Applicant is at 73.41% and needs a variance of 23.41%. ( 09-14-2,"9415 COLESVILLE RD
SILVER SPRING, MD 20901
(39.009919, -77.01759)"
DEVELOPMENT STANDARDS VARIANCE,212121,05/31/2001,05/31/2001,06/29/2001,,4424,,AMBLER,,DR,KENSINGTON,MD,20895,OF A COVERED PORCH REQUIRES A VARIANCE.,C-1.323(a),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-60,,,"4424 AMBLER DR
KENSINGTON, MD 20895
(39.025522, -77.086736)"
DEVELOPMENT STANDARDS VARIANCE,268736,03/28/2011,,,,1202,,MORNINGSIDE,,DR,SILVER SPRING,MD,20904,OF GARAGE EXT REQ A VAR FROM 8' MIN & 25' TOTAL YARDS.,C-1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-90,,building permit denial to reduce 8' minimum side yard and 25' total side yard setbacks,"1202 MORNINGSIDE DR
SILVER SPRING, MD 20904
(39.069413, -76.986367)"
DEVELOPMENT STANDARDS VARIANCE,226012,12/30/2003,12/30/2003,,,6205,,WINDWARD,,PL,BETHESDA,MD,20816,OF A ROOM ADDN REQ A VAR FROM 7' SIDE YD SETBACK.,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce setback for room addition from 7' to 3'-bldg permit#328658,"6205 WINDWARD PL
BETHESDA, MD 20816
(38.943416, -77.116946)"
DEVELOPMENT STANDARDS VARIANCE,255521,11/23/2007,11/23/2007,,,4808,,CRESCENT,,ST,BETHESDA,MD,20816,OF A GARAGE REQ A VAR TO REMAIN IN FRONT YARD.,C-1.326(a)(1),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,R-60,,building permit denial to allow detached garage to in (front) yard,"4808 CRESCENT ST
BETHESDA, MD 20816
(38.952897, -77.097319)"
DEVELOPMENT STANDARDS VARIANCE,236745,05/19/2005,05/19/2005,,,5520,,GLENWOOD,,RD,BETHESDA,MD,20817,OF A NEW SFD REQ A VAR FROM THE 15' STREETLINE SETBACK,C-1.323(a),N,Y,N,N,N,N,N,N,N,N,N,N,N,N,R-60,,building permit denial for new SFD to reduce streetline setback from 15' to 10.4',"5520 GLENWOOD RD
BETHESDA, MD 20817
(38.994271, -77.113533)"
DEVELOPMENT STANDARDS VARIANCE,263482,10/23/2009,10/23/2009,,,17502,,BOWIE MILL,,RD,ROCKVILLE,MD,20855,REQ A VAR TO ALLOW SWIMPL TO BE LOCATED IN SIDE YARD.,C-1.326(a)(1),N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,RE-2,,building permit denial to allow proposed swimming pool to be located in side yard,"17502 BOWIE MILL RD
ROCKVILLE, MD 20855
(39.142438, -77.119489)"
DEVELOPMENT STANDARDS VARIANCE,243098,02/06/2006,02/06/2006,,,2931,,MARLOW FARM,,TER,SILVER SPRING,MD,20904,OF AN ENCLOSED PORCH REQ A VAR FROM THE 10' SETBACK.,C-1.535,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-200,,building permit denial to reduce to proposal to enclosed a porch and reduce the 10' side yard setback to 4.5' in accordance with the R-200 Cluster standards,"2931 MARLOW FARM TER
SILVER SPRING, MD 20904
(39.068658, -76.948491)"
DEVELOPMENT STANDARDS VARIANCE,241755,12/07/2005,12/07/2005,,,7632,,WHEATCROFT,,CT,BETHESDA,MD,20817,OF A PORCH REQUIRES A VAR FROM 25' REAR YARD SETBACK.,C-1.323(b)(2),N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,R-90,,building permit denial to reduce rear yard setback of screened porch from 25' to 11.1',"7632 WHEATCROFT CT
BETHESDA, MD 20817
(38.984664, -77.132993)"
DEVELOPMENT STANDARDS VARIANCE,217281,06/04/2002,06/04/2002,,,10913,,OAKWOOD,,ST,SILVER SPRING,MD,20901,OF A CARPORT REQ A VAR FROM THE MIN & TOTAL SIDE YARD,C-1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-90,,BLDG PERMIT#276736,"10913 OAKWOOD ST
SILVER SPRING, MD 20901
(39.035129, -77.004231)"
DEVELOPMENT STANDARDS VARIANCE,253944,07/23/2007,07/23/2007,,,6815,,FULTON,,ST,CHEVY CHASE,MD,20815,OF A ROOM ADDN REQ A 4.6' VAR FROM 7' SIDE YD SETBACK,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial to reduce side setback from 7' to 4.6',"6815 FULTON ST
CHEVY CHASE, MD 20815
(38.979628, -77.073883)"
DEVELOPMENT STANDARDS VARIANCE,235152,03/21/2005,,,,11302,,GILSAN,,ST,SILVER SPRING,MD,20902,RIGHT SIDE CARPORT,C-1.323(b)(1),N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,R-60,,,"11302 GILSAN ST
SILVER SPRING, MD 20902
(39.041633, -77.014485)"
DEVELOPMENT STANDARDS VARIANCE,222268,06/11/2003,06/11/2003,,,7003,,WOODLAND,,AVE,TAKOMA PARK,MD,20912,EXISTING DWELLING REQ A VAR FROM 7' SIDE YD SETBACK.,C-1.323(b)(1),Y,N,N,N,N,N,N,N,N,N,N,N,N,N,R-60,,,"7003 WOODLAND AVE
TAKOMA PARK, MD 20912
(38.97578, -77.001972)"
DEVELOPMENT STANDARDS VARIANCE,221082,04/09/2003,04/09/2003,04/09/2003,,4714,,CHESTNUT,,ST,BETHESDA,MD,20814,"OF NEW TOWNHOMES REQUIRES A 5'10"" VARIANCE FROM SIDE",C-1-732(c)(1),N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,RT12.5,,,"4714 CHESTNUT ST
BETHESDA, MD 20814
(38.993485, -77.095231)"
DEVELOPMENT STANDARDS VARIANCE,256798,02/21/2008,02/21/2008,,,9821,,WIGHTMAN,,RD,GAITHERSBURG,MD,20879,OF A ROOM ADDN REQ A VAR FROM 12' SIDE YARD SETBACK.,C-1.323(b)(1),N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,RE-2,,building permit denial to reduce side yard setback by 6.8' from 12' to 5.2' for a proposed room addition,"9821 WIGHTMAN RD
GAITHERSBURG, MD 20879
(39.199395, -77.203142)"
DEVELOPMENT STANDARDS VARIANCE,364060,06/28/2018,,,,8601,,LOCHAVEN,,DR,GAITHERSBURG,MD,20882,Garage forward of rear building line,59.4.4.4.B.2.c,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,RE-2,,,"8601 LOCHAVEN DR
GAITHERSBURG, MD 20882
(39.197778, -77.177149)"
DEVELOPMENT STANDARDS VARIANCE,227868,03/25/2004,,,,10624,,ALLOWAY,,DR,POTOMAC,MD,20854,"POOL IN FRONT,SEC.59C-1.326 REQUIRES REAR YARD ONLY",,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,RE-2,,bldg permit#338137,"10624 ALLOWAY DR
POTOMAC, MD 20854
(39.005231, -77.222821)"
DEVELOPMENT STANDARDS VARIANCE,234230,02/11/2005,02/23/2005,,,5111,,NEWPORT,,AVE,BETHESDA,MD,20816,"IS A 3 STORY BLDG.,59B-1.327 ALLOWS 2.5 STORIES",,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,R-60,,building permit denial prepared by Delvin Daniels for 3 story room addition,"5111 NEWPORT AVE
BETHESDA, MD 20816
(38.95721, -77.097914)"
