Reporting Area,MMWR Year,MMWR Week,"Gonorrhea, Current week","Gonorrhea, Current week, flag","Gonorrhea, Previous 52 weeks Max†","Gonorrhea, Previous 52 weeks Max†, flag","Gonorrhea, Cum 2020†","Gonorrhea, Cum 2020†, flag","Gonorrhea, Cum 2019†","Gonorrhea, Cum 2019†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Current week","Haemophilus influenza, invasive disease, All ages, all serotypes, Current week, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, All ages, all serotypes, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2020†","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2020†, flag","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2019†","Haemophilus influenza, invasive disease, All ages, all serotypes, Cum 2019†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Current week","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Current week, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2020†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2020†, flag","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2019†","Haemophilus influenza, invasive disease, Age <5 years, Serotype b, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
DISTRICT OF COLUMBIA,2020,7,23,,112,,631,,672,,,-,1,,1,,3,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200730,POINT (-77.016275 38.904785)
WASHINGTON,2020,7,194,,321,,1184,,1532,,,-,2,,1,,2,,,-,0,,,-,,-,WASHINGTON,,20200762,POINT (-120.592492 47.411715)
RHODE ISLAND,2020,7,17,,81,,100,,34,,,-,4,,1,,5,,,-,0,,,-,,-,RHODE ISLAND,,20200707,POINT (-71.534637 41.572574)
OREGON,2020,7,105,,157,,833,,746,,,-,7,,19,,16,,,-,0,,,-,,-,OREGON,,20200761,POINT (-120.605279 43.940449)
DELAWARE,2020,7,33,,59,,209,,271,,,-,3,,,-,3,,,-,0,,,-,,-,DELAWARE,,20200729,POINT (-75.452394 38.994926)
ALABAMA,2020,7,,-,377,,983,,1895,,,-,7,,18,,18,,,-,0,,,-,,-,ALABAMA,,20200739,POINT (-86.844516 32.756889)
KANSAS,2020,7,,-,120,,,-,712,,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,7,,-,573,,,-,3521,,,-,11,,22,,26,,,-,0,,,-,,-,NORTH CAROLINA,,20200734,POINT (-79.130883 35.52603)
GUAM,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200766,POINT (144.653198 13.3532)
NEW JERSEY,2020,7,91,,258,,1359,,1263,,,-,6,,8,,17,,,-,0,,,-,,-,NEW JERSEY,,20200710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,7,8,,123,,329,,702,,1,,5,,12,,13,,,-,0,,,-,,-,NEW MEXICO,,20200754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,7,554,,2113,,8005,,11973,,7,,37,,124,,147,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200714,
TENNESSEE,2020,7,,-,393,,1389,,2215,,,-,10,,32,,38,,,-,0,,,-,,-,TENNESSEE,,20200742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,7,,-,111,,,-,551,,,-,3,,2,,12,,,-,0,,,-,,-,CONNECTICUT,,20200703,POINT (-72.738288 41.575155)
MARYLAND,2020,7,,-,289,,831,,1333,,4,,6,,18,,23,,,-,1,,,-,,-,MARYLAND,,20200733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,7,,-,357,,,-,1999,,,-,8,,12,,15,,,-,0,,,-,,-,SOUTH CAROLINA,,20200735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,7,37,,229,,702,,1052,,6,,5,,23,,10,,,-,0,,,-,,-,OKLAHOMA,,20200746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200765,POINT (145.725693 15.1834)
OHIO,2020,7,269,,598,,3279,,3500,,7,,16,,59,,53,,,-,1,,,-,,-,OHIO,,20200718,POINT (-82.70936 40.415534)
MINNESOTA,2020,7,22,,212,,962,,1016,,,-,6,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200723,POINT (-94.198308 46.349153)
LOUISIANA,2020,7,93,,316,,1657,,1631,,,-,6,,4,,17,,,-,0,,,-,,-,LOUISIANA,,20200745,POINT (-91.840238 30.921314)
HAWAII,2020,7,,-,40,,,-,220,,,-,3,,2,,6,,,-,0,,,-,,-,HAWAII,,20200760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,7,716,,2532,,9857,,17108,,15,,43,,155,,189,,,-,1,,,-,,-,,SOUTH ATLANTIC,20200728,
PENNSYLVANIA,2020,7,295,,400,,2442,,2169,,4,,13,,45,,48,,,-,0,,,-,,-,PENNSYLVANIA,,20200713,POINT (-77.838886 40.896694)
UTAH,2020,7,47,,75,,370,,355,,2,,5,,9,,8,,,-,0,,,-,,-,UTAH,,20200755,POINT (-111.678222 39.323779)
COLORADO,2020,7,,-,278,,1072,,1151,,4,,8,,15,,21,,,-,0,,,-,,-,COLORADO,,20200750,POINT (-105.547832 38.998552)
VERMONT,2020,7,,-,8,,12,,2,,1,,4,,4,,1,,,-,0,,,-,,-,VERMONT,,20200708,POINT (-72.662695 44.075252)
KENTUCKY,2020,7,,-,259,,57,,461,,3,,9,,23,,9,,,-,1,,1,,,-,KENTUCKY,,20200740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,7,,-,17,,1,,71,,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200767,POINT (-66.414655 18.215692)
MAINE,2020,7,,-,27,,53,,89,,,-,4,,3,,4,,,-,0,,,-,,-,MAINE,,20200704,POINT (-69.06137 45.117911)
VIRGINIA,2020,7,220,,358,,1962,,1899,,,-,9,,14,,19,,,-,0,,,-,,-,VIRGINIA,,20200736,POINT (-78.666382 37.510861)
ARIZONA,2020,7,9,,359,,1352,,1899,,3,,9,,30,,32,,,-,1,,,-,,-,ARIZONA,,20200749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200764,
WISCONSIN,2020,7,133,,246,,1181,,1064,,,-,4,,3,,18,,,-,1,,,-,,-,WISCONSIN,,20200719,POINT (-89.732969 44.639954)
IDAHO,2020,7,,-,52,,33,,194,,,-,2,,3,,7,,,-,0,,,-,,-,IDAHO,,20200751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,7,,-,0,,,-,,-,,N,,NC,,N,,N,,-,0,,,-,,-,VIRGIN ISLANDS,,20200768,POINT (-64.840836 18.060868)
TOTAL,2020,12,3114,,12823,,104131,,138073,,42,,178,,1231,,1492,,,-,3,,3,,7,,,TOTAL,20201270,
MICHIGAN,2020,7,48,,466,,1208,,2364,,,-,12,,29,,21,,,-,0,,,-,,-,MICHIGAN,,20200717,POINT (-85.730977 44.874798)
GEORGIA,2020,7,,-,503,,1616,,2954,,,-,10,,16,,46,,,-,0,,,-,,-,GEORGIA,,20200732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,7,355,,718,,3667,,3829,,3,,8,,19,,19,,,-,0,,,-,,-,,NEW YORK CITY,20200712,
ARKANSAS,2020,7,1,,147,,51,,948,,1,,8,,14,,7,,,-,0,,,-,,-,ARKANSAS,,20200744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,7,3,,311,,1127,,1476,,,-,5,,6,,14,,,-,1,,,-,,-,MISSISSIPPI,,20200741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,7,,-,57,,15,,264,,,-,2,,1,,5,,,-,0,,,-,,-,SOUTH DAKOTA,,20200727,POINT (-100.230491 44.43614)
WYOMING,2020,7,,-,16,,22,,60,,,-,2,,,-,,-,,-,0,,,-,,-,WYOMING,,20200756,POINT (-107.55145 42.999627)
MISSOURI,2020,7,,-,379,,1441,,2078,,,-,7,,14,,29,,,-,0,,,-,,-,MISSOURI,,20200724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,7,1077,,1590,,9134,,8433,,16,,25,,103,,116,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20200709,
CALIFORNIA,2020,7,123,,1825,,9582,,11008,,,-,5,,3,,7,,,-,0,,,-,,-,CALIFORNIA,,20200759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,7,,-,146,,238,,278,,,-,4,,5,,9,,,-,0,,,-,,-,WEST VIRGINIA,,20200737,POINT (-80.613729 38.642579)
FLORIDA,2020,7,440,,898,,4370,,4181,,11,,26,,67,,45,,,-,0,,,-,,-,FLORIDA,,20200731,POINT (-82.420978 28.260731)
MONTANA,2020,7,14,,57,,215,,179,,,-,4,,,-,6,,,-,0,,,-,,-,MONTANA,,20200752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,7,69,,819,,3472,,5439,,2,,12,,27,,46,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200720,
MASSACHUSETTS,2020,7,,-,201,,768,,1096,,,-,7,,20,,15,,,-,0,,,-,,-,MASSACHUSETTS,,20200705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,7,138,,1078,,4042,,6115,,10,,19,,71,,98,,,-,1,,,-,,-,,MOUNTAIN,20200748,
INDIANA,2020,7,80,,312,,1338,,1449,,,-,8,,12,,24,,,-,1,,,-,,-,INDIANA,,20200716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,7,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200769,
US TERRITORIES,2020,7,,-,17,,1,,71,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200763,
SOUTH ATLANTIC,2020,8,841,,2533,,11277,,19585,,11,,43,,172,,226,,,-,1,,,-,,-,,SOUTH ATLANTIC,20200828,
PENNSYLVANIA,2020,8,261,,402,,2794,,2446,,3,,14,,55,,55,,,-,0,,,-,,-,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,35,,75,,413,,404,,,-,5,,10,,8,,,-,0,,,-,,-,UTAH,,20200855,POINT (-111.678222 39.323779)
COLORADO,2020,8,108,,279,,1339,,1332,,3,,8,,18,,24,,,-,0,,,-,,-,COLORADO,,20200850,POINT (-105.547832 38.998552)
VERMONT,2020,8,1,,8,,17,,2,,,-,4,,4,,1,,,-,0,,,-,,-,VERMONT,,20200808,POINT (-72.662695 44.075252)
KENTUCKY,2020,8,,-,259,,57,,529,,,-,9,,23,,11,,,-,1,,1,,,-,KENTUCKY,,20200840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,8,,-,17,,1,,76,,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200867,POINT (-66.414655 18.215692)
MAINE,2020,8,,-,27,,66,,93,,,-,4,,4,,7,,,-,0,,,-,,-,MAINE,,20200804,POINT (-69.06137 45.117911)
VIRGINIA,2020,8,327,,358,,2289,,2107,,2,,9,,16,,23,,,-,0,,,-,,-,VIRGINIA,,20200836,POINT (-78.666382 37.510861)
ARIZONA,2020,8,39,,359,,1652,,2158,,2,,9,,31,,38,,,-,1,,,-,,-,ARIZONA,,20200849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200864,
WISCONSIN,2020,8,115,,246,,1350,,1228,,,-,4,,3,,20,,,-,1,,,-,,-,WISCONSIN,,20200819,POINT (-89.732969 44.639954)
IDAHO,2020,8,,-,52,,72,,220,,,-,2,,3,,9,,,-,0,,,-,,-,IDAHO,,20200851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,N,,NC,,N,,N,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868)
MICHIGAN,2020,8,36,,466,,1426,,2668,,,-,12,,31,,23,,,-,0,,,-,,-,MICHIGAN,,20200817,POINT (-85.730977 44.874798)
GEORGIA,2020,8,,-,503,,1616,,3376,,,-,10,,16,,53,,,-,0,,,-,,-,GEORGIA,,20200832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,8,306,,719,,4505,,4299,,6,,8,,25,,19,,,-,0,,,-,,-,,NEW YORK CITY,20200812,
ARKANSAS,2020,8,,-,147,,58,,1095,,1,,8,,15,,7,,,-,0,,,-,,-,ARKANSAS,,20200844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,8,,-,311,,1127,,1652,,,-,5,,6,,16,,,-,1,,,-,,-,MISSISSIPPI,,20200841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,8,,-,57,,18,,300,,,-,2,,1,,5,,,-,0,,,-,,-,SOUTH DAKOTA,,20200827,POINT (-100.230491 44.43614)
WYOMING,2020,8,2,,16,,32,,67,,,-,2,,1,,,-,,-,0,,,-,,-,WYOMING,,20200856,POINT (-107.55145 42.999627)
MISSOURI,2020,8,253,,379,,1866,,2352,,,-,7,,14,,36,,,-,0,,,-,,-,MISSOURI,,20200824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,8,947,,1583,,10731,,9529,,10,,24,,121,,133,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20200809,
CALIFORNIA,2020,8,84,,1824,,10934,,12435,,,-,5,,5,,8,,,-,0,,,-,,-,CALIFORNIA,,20200859,POINT (-119.662127 37.211164)
US RESIDENTS,2020,10,3036,,12545,,80743,,114690,,54,,176,,1047,,1199,,,-,3,,3,,1,,,US RESIDENTS,20201001,
NEW HAMPSHIRE,2020,10,,-,15,,63,,99,,,-,3,,7,,6,,,-,0,,,-,,-,NEW HAMPSHIRE,,20201006,POINT (-71.57139 43.680429)
NEW YORK,2020,10,250,,534,,2494,,1720,,4,,20,,40,,48,,,-,1,,,-,,-,NEW YORK,,20201011,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,10,43,,1318,,5157,,14621,,9,,48,,165,,129,,,-,1,,1,,1,,,WEST SOUTH CENTRAL,20201043,
NEBRASKA,2020,10,,-,81,,461,,513,,,-,3,,14,,8,,,-,0,,,-,,-,NEBRASKA,,20201025,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,10,209,,1233,,5540,,8584,,3,,24,,104,,113,,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20201038,
NORTH DAKOTA,2020,10,5,,38,,196,,324,,,-,2,,2,,7,,,-,0,,,-,,-,NORTH DAKOTA,,20201026,POINT (-100.46931 47.446305)
NEVADA,2020,10,,-,278,,1185,,2087,,,-,3,,2,,14,,,-,0,,,-,,-,NEVADA,,20201053,POINT (-114.916992 39.283294)
ILLINOIS,2020,10,24,,692,,1851,,5207,,,-,11,,38,,42,,,-,0,,,-,,-,ILLINOIS,,20201015,POINT (-89.148632 40.124144)
IOWA,2020,10,,-,130,,854,,1049,,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20201021,POINT (-93.500061 42.074659)
TEXAS,2020,10,23,,786,,2258,,9482,,3,,38,,83,,74,,,-,1,,,-,1,,TEXAS,,20201047,POINT (-99.317341 31.447238)
ALASKA,2020,10,,-,62,,269,,409,,,-,2,,,-,7,,,-,1,,,-,,-,ALASKA,,20201058,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,10,59,,123,,914,,906,,,-,1,,1,,4,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201030,POINT (-77.016275 38.904785)
WASHINGTON,2020,10,132,,321,,1598,,2169,,,-,2,,2,,2,,,-,0,,,-,,-,WASHINGTON,,20201062,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,10,15,,363,,1105,,2622,,,-,11,,59,,60,,,-,0,,,-,,-,,NEW ENGLAND,20201002,
RHODE ISLAND,2020,10,15,,81,,176,,146,,,-,4,,3,,8,,,-,0,,,-,,-,RHODE ISLAND,,20201007,POINT (-71.534637 41.572574)
OREGON,2020,10,151,,158,,1248,,1084,,2,,7,,29,,19,,,-,0,,,-,,-,OREGON,,20201061,POINT (-120.605279 43.940449)
DELAWARE,2020,10,,-,59,,272,,373,,,-,3,,,-,4,,,-,0,,,-,,-,DELAWARE,,20201029,POINT (-75.452394 38.994926)
ALABAMA,2020,10,,-,378,,1810,,2781,,,-,7,,19,,26,,,-,0,,,-,,-,ALABAMA,,20201039,POINT (-86.844516 32.756889)
KANSAS,2020,10,,-,120,,,-,1012,,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20201022,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,10,,-,594,,,-,4895,,,-,11,,31,,41,,,-,0,,,-,,-,NORTH CAROLINA,,20201034,POINT (-79.130883 35.52603)
GUAM,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201066,POINT (144.653198 13.3532)
NEW JERSEY,2020,10,109,,253,,1848,,1810,,,-,6,,11,,25,,,-,0,,,-,,-,NEW JERSEY,,20201010,POINT (-74.655514 40.110253)
NEW MEXICO,2020,10,10,,123,,587,,970,,,-,5,,15,,13,,,-,0,,,-,,-,NEW MEXICO,,20201054,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,10,499,,2143,,12156,,17021,,7,,37,,169,,196,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20201014,
TENNESSEE,2020,10,108,,393,,1904,,3089,,3,,10,,51,,52,,,-,0,,,-,,-,TENNESSEE,,20201042,POINT (-86.343226 35.842998)
CONNECTICUT,2020,10,,-,111,,,-,756,,,-,3,,10,,13,,,-,0,,,-,,-,CONNECTICUT,,20201003,POINT (-72.738288 41.575155)
MARYLAND,2020,10,17,,301,,1494,,1923,,1,,6,,25,,28,,,-,1,,,-,,-,MARYLAND,,20201033,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,10,,-,310,,,-,2904,,,-,7,,12,,28,,,-,0,,,-,,-,SOUTH CAROLINA,,20201035,POINT (-80.864614 33.878572)
OKLAHOMA,2020,10,20,,229,,1101,,1484,,2,,6,,32,,18,,,-,0,,,-,,-,OKLAHOMA,,20201046,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201065,POINT (145.725693 15.1834)
OHIO,2020,10,258,,598,,4608,,4866,,7,,16,,77,,66,,,-,1,,,-,,-,OHIO,,20201018,POINT (-82.70936 40.415534)
MINNESOTA,2020,10,11,,212,,1500,,1387,,,-,6,,,-,2,,,-,0,,,-,,-,MINNESOTA,,20201023,POINT (-94.198308 46.349153)
LOUISIANA,2020,10,,-,316,,1657,,2290,,2,,7,,31,,24,,,-,1,,1,,,-,LOUISIANA,,20201045,POINT (-91.840238 30.921314)
HAWAII,2020,10,,-,40,,,-,320,,,-,3,,5,,9,,,-,0,,,-,,-,HAWAII,,20201060,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,10,485,,2548,,14469,,24333,,12,,43,,219,,284,,,-,1,,1,,,-,,SOUTH ATLANTIC,20201028,
PENNSYLVANIA,2020,10,228,,409,,3383,,2982,,1,,14,,65,,67,,,-,0,,,-,,-,PENNSYLVANIA,,20201013,POINT (-77.838886 40.896694)
UTAH,2020,10,28,,75,,494,,511,,3,,5,,15,,10,,,-,0,,,-,,-,UTAH,,20201055,POINT (-111.678222 39.323779)
COLORADO,2020,10,178,,277,,1693,,1683,,3,,8,,23,,30,,,-,0,,,-,,-,COLORADO,,20201050,POINT (-105.547832 38.998552)
VERMONT,2020,10,,-,8,,19,,3,,,-,4,,4,,3,,,-,0,,,-,,-,VERMONT,,20201008,POINT (-72.662695 44.075252)
KENTUCKY,2020,10,,-,259,,57,,644,,,-,9,,26,,17,,,-,1,,1,,,-,KENTUCKY,,20201040,POINT (-85.290484 37.526683)
PUERTO RICO,2020,10,,-,17,,4,,106,,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201067,POINT (-66.414655 18.215692)
MAINE,2020,10,,-,27,,79,,118,,,-,4,,4,,9,,,-,0,,,-,,-,MAINE,,20201004,POINT (-69.06137 45.117911)
VIRGINIA,2020,10,316,,358,,2939,,2642,,2,,9,,21,,33,,,-,0,,,-,,-,VIRGINIA,,20201036,POINT (-78.666382 37.510861)
NEW ENGLAND,2020,13,48,,374,,3029,,3322,,,-,11,,72,,77,,,-,0,,,-,,-,,NEW ENGLAND,20201302,
TOTAL,2020,9,2824,,12446,,71990,,104195,,46,,173,,943,,1083,,,-,3,,2,,1,,,TOTAL,20200970,
NEW HAMPSHIRE,2020,9,1,,15,,58,,85,,,-,3,,5,,6,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200906,POINT (-71.57139 43.680429)
NEW YORK,2020,9,321,,532,,2253,,1537,,4,,20,,36,,43,,,-,1,,,-,,-,NEW YORK,,20200911,POINT (-75.59655 42.921241)
PACIFIC,2020,9,432,,2238,,15502,,17567,,1,,10,,35,,42,,,-,1,,,-,,-,,PACIFIC,20200957,
WEST SOUTH CENTRAL,2020,9,77,,1314,,4812,,13541,,10,,48,,153,,112,,,-,1,,1,,1,,,WEST SOUTH CENTRAL,20200943,
NEBRASKA,2020,9,22,,81,,461,,466,,1,,3,,14,,7,,,-,0,,,-,,-,NEBRASKA,,20200925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,9,70,,1233,,4936,,7675,,,-,24,,93,,105,,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20200938,
NORTH DAKOTA,2020,9,2,,38,,156,,300,,,-,2,,2,,6,,,-,0,,,-,,-,NORTH DAKOTA,,20200926,POINT (-100.46931 47.446305)
NEVADA,2020,9,84,,278,,933,,1915,,,-,3,,2,,13,,,-,0,,,-,,-,NEVADA,,20200953,POINT (-114.916992 39.283294)
ILLINOIS,2020,9,21,,691,,1552,,4720,,,-,11,,36,,38,,,-,0,,,-,,-,ILLINOIS,,20200915,POINT (-89.148632 40.124144)
IOWA,2020,9,26,,130,,854,,958,,,-,1,,,-,,-,,-,0,,,-,,-,IOWA,,20200921,POINT (-93.500061 42.074659)
TEXAS,2020,9,47,,807,,2101,,8892,,4,,38,,78,,66,,,-,1,,,-,1,,TEXAS,,20200947,POINT (-99.317341 31.447238)
ALASKA,2020,9,,-,62,,269,,366,,,-,3,,,-,5,,,-,1,,,-,,-,ALASKA,,20200958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,9,16,,120,,780,,849,,,-,1,,1,,4,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200930,POINT (-77.016275 38.904785)
WASHINGTON,2020,9,161,,321,,1466,,1991,,,-,2,,2,,2,,,-,0,,,-,,-,WASHINGTON,,20200962,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,9,1,,363,,1038,,2362,,,-,11,,50,,57,,,-,0,,,-,,-,,NEW ENGLAND,20200902,
RHODE ISLAND,2020,9,,-,81,,116,,77,,,-,4,,3,,8,,,-,0,,,-,,-,RHODE ISLAND,,20200907,POINT (-71.534637 41.572574)
OREGON,2020,9,142,,157,,1094,,976,,1,,7,,26,,18,,,-,0,,,-,,-,OREGON,,20200961,POINT (-120.605279 43.940449)
DELAWARE,2020,9,,-,59,,238,,357,,,-,3,,,-,4,,,-,0,,,-,,-,DELAWARE,,20200929,POINT (-75.452394 38.994926)
ALABAMA,2020,9,,-,378,,1810,,2451,,,-,7,,18,,25,,,-,0,,,-,,-,ALABAMA,,20200939,POINT (-86.844516 32.756889)
KANSAS,2020,9,,-,120,,,-,892,,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,9,,-,573,,,-,4508,,,-,11,,31,,37,,,-,0,,,-,,-,NORTH CAROLINA,,20200934,POINT (-79.130883 35.52603)
GUAM,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200966,POINT (144.653198 13.3532)
NEW JERSEY,2020,9,111,,253,,1661,,1615,,,-,6,,10,,23,,,-,0,,,-,,-,NEW JERSEY,,20200910,POINT (-74.655514 40.110253)
NEW MEXICO,2020,9,14,,123,,514,,874,,,-,5,,13,,13,,,-,0,,,-,,-,NEW MEXICO,,20200954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,9,514,,2139,,10741,,15441,,4,,37,,155,,178,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200914,
TENNESSEE,2020,9,,-,393,,1671,,2782,,,-,10,,41,,45,,,-,0,,,-,,-,TENNESSEE,,20200942,POINT (-86.343226 35.842998)
CONNECTICUT,2020,9,,-,111,,,-,700,,,-,3,,3,,13,,,-,0,,,-,,-,CONNECTICUT,,20200903,POINT (-72.738288 41.575155)
MARYLAND,2020,9,13,,296,,1295,,1729,,1,,6,,24,,27,,,-,1,,,-,,-,MARYLAND,,20200933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,9,,-,310,,,-,2618,,,-,7,,12,,25,,,-,0,,,-,,-,SOUTH CAROLINA,,20200935,POINT (-80.864614 33.878572)
OKLAHOMA,2020,9,30,,229,,991,,1318,,3,,6,,30,,15,,,-,0,,,-,,-,OKLAHOMA,,20200946,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200965,POINT (145.725693 15.1834)
OHIO,2020,9,210,,598,,4110,,4415,,4,,16,,70,,59,,,-,1,,,-,,-,OHIO,,20200918,POINT (-82.70936 40.415534)
MINNESOTA,2020,9,5,,212,,1340,,1243,,,-,6,,,-,2,,,-,0,,,-,,-,MINNESOTA,,20200923,POINT (-94.198308 46.349153)
LOUISIANA,2020,9,,-,316,,1657,,2111,,1,,7,,28,,23,,,-,1,,1,,,-,LOUISIANA,,20200945,POINT (-91.840238 30.921314)
HAWAII,2020,9,,-,40,,,-,299,,,-,3,,2,,7,,,-,0,,,-,,-,HAWAII,,20200960,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,9,862,,2538,,13290,,22146,,15,,43,,202,,256,,,-,1,,,-,,-,,SOUTH ATLANTIC,20200928,
PENNSYLVANIA,2020,9,203,,404,,3064,,2728,,3,,14,,62,,60,,,-,0,,,-,,-,PENNSYLVANIA,,20200913,POINT (-77.838886 40.896694)
UTAH,2020,9,35,,75,,454,,456,,1,,5,,12,,9,,,-,0,,,-,,-,UTAH,,20200955,POINT (-111.678222 39.323779)
COLORADO,2020,9,,-,279,,1339,,1519,,2,,8,,20,,27,,,-,0,,,-,,-,COLORADO,,20200950,POINT (-105.547832 38.998552)
VERMONT,2020,9,,-,8,,17,,3,,,-,4,,4,,2,,,-,0,,,-,,-,VERMONT,,20200908,POINT (-72.662695 44.075252)
KENTUCKY,2020,9,,-,259,,57,,579,,,-,9,,26,,17,,,-,1,,1,,,-,KENTUCKY,,20200940,POINT (-85.290484 37.526683)
PUERTO RICO,2020,9,,-,17,,4,,90,,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200967,POINT (-66.414655 18.215692)
