Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, all ages§, Confirmed, Current week","Invasive pneumococcal disease, all ages§, Confirmed, Current week, flag","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, all ages§, Probable, Current week","Invasive pneumococcal disease, all ages§, Probable, Current week, flag","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2019†","Invasive pneumococcal disease, all ages§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
VERMONT,2020,11,,-,5,,14,,9,,,-,0,,,-,1,,VERMONT,,20201108,POINT (-72.662695 44.075252)
KENTUCKY,2020,11,,-,33,,127,,112,,,-,1,,1,,1,,KENTUCKY,,20201140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201167,POINT (-66.414655 18.215692)
MAINE,2020,11,3,,9,,46,,61,,,-,0,,,-,,-,MAINE,,20201104,POINT (-69.06137 45.117911)
VIRGINIA,2020,11,,-,3,,5,,6,,,-,0,,,-,,-,VIRGINIA,,20201136,POINT (-78.666382 37.510861)
ARIZONA,2020,11,16,,34,,297,,269,,,-,1,,1,,1,,ARIZONA,,20201149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201164,
WISCONSIN,2020,11,5,,23,,132,,115,,,-,0,,,-,,-,WISCONSIN,,20201119,POINT (-89.732969 44.639954)
IDAHO,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20201151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201168,POINT (-64.840836 18.060868)
MICHIGAN,2020,11,1,,43,,184,,248,,,-,4,,,-,6,,MICHIGAN,,20201117,POINT (-85.730977 44.874798)
GEORGIA,2020,11,10,,42,,205,,264,,,-,0,,,-,,-,GEORGIA,,20201132,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,11,13,,44,,240,,213,,,-,3,,,-,,-,,NEW YORK CITY,20201112,
ARKANSAS,2020,11,5,,33,,102,,101,,,-,1,,1,,,-,ARKANSAS,,20201144,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,11,6,,20,,84,,104,,,-,0,,,-,,-,MISSISSIPPI,,20201141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,11,,-,5,,29,,26,,,-,2,,,-,1,,SOUTH DAKOTA,,20201127,POINT (-100.230491 44.43614)
WYOMING,2020,11,,-,4,,12,,15,,,-,0,,,-,,-,WYOMING,,20201156,POINT (-107.55145 42.999627)
MISSOURI,2020,11,,-,33,,138,,197,,,-,4,,2,,16,,MISSOURI,,20201124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,11,34,,127,,604,,668,,,-,6,,21,,17,,,MIDDLE ATLANTIC,20201109,
CALIFORNIA,2020,11,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20201159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,11,,-,17,,55,,101,,,-,2,,2,,,-,WEST VIRGINIA,,20201137,POINT (-80.613729 38.642579)
FLORIDA,2020,11,18,,62,,282,,183,,,-,2,,6,,3,,FLORIDA,,20201131,POINT (-82.420978 28.260731)
MONTANA,2020,11,,-,8,,22,,35,,,-,1,,,-,,-,MONTANA,,20201152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,11,3,,46,,249,,379,,,-,4,,3,,19,,,WEST NORTH CENTRAL,20201120,
MASSACHUSETTS,2020,11,,-,19,,96,,159,,,-,1,,,-,3,,MASSACHUSETTS,,20201105,POINT (-71.481104 42.151077)
MOUNTAIN,2020,11,42,,93,,786,,804,,,-,2,,1,,3,,,MOUNTAIN,20201148,
INDIANA,2020,11,,-,27,,112,,204,,,-,0,,,-,2,,INDIANA,,20201116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201169,
US TERRITORIES,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201163,
TOTAL,2020,12,177,,746,,4898,,5925,,5,,13,,74,,87,,,TOTAL,20201270,
US RESIDENTS,2020,12,177,,746,,4898,,5925,,5,,13,,74,,87,,,US RESIDENTS,20201201,
NEW HAMPSHIRE,2020,12,2,,8,,35,,38,,1,,1,,2,,,-,NEW HAMPSHIRE,,20201206,POINT (-71.57139 43.680429)
NEW YORK,2020,12,20,,94,,199,,225,,,-,3,,7,,1,,NEW YORK,,20201211,POINT (-75.59655 42.921241)
PACIFIC,2020,12,1,,11,,18,,77,,,-,0,,,-,2,,,PACIFIC,20201257,
WEST SOUTH CENTRAL,2020,12,8,,273,,575,,785,,,-,4,,6,,4,,,WEST SOUTH CENTRAL,20201243,
NEBRASKA,2020,12,2,,9,,57,,61,,,-,1,,1,,1,,NEBRASKA,,20201225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,12,16,,76,,547,,640,,,-,2,,4,,3,,,EAST SOUTH CENTRAL,20201238,
NORTH DAKOTA,2020,12,1,,6,,31,,23,,,-,0,,,-,,-,NORTH DAKOTA,,20201226,POINT (-100.46931 47.446305)
NEVADA,2020,12,,-,17,,94,,118,,,-,0,,,-,,-,NEVADA,,20201253,POINT (-114.916992 39.283294)
ILLINOIS,2020,12,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20201215,POINT (-89.148632 40.124144)
IOWA,2020,12,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20201221,POINT (-93.500061 42.074659)
TEXAS,2020,12,2,,225,,339,,518,,,-,4,,5,,4,,TEXAS,,20201247,POINT (-99.317341 31.447238)
ALASKA,2020,12,,-,6,,,-,43,,,-,0,,,-,2,,ALASKA,,20201258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,12,,-,5,,21,,14,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201230,POINT (-77.016275 38.904785)
WASHINGTON,2020,12,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20201262,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,12,6,,40,,245,,380,,1,,1,,2,,4,,,NEW ENGLAND,20201202,
RHODE ISLAND,2020,12,,-,8,,9,,20,,,-,1,,,-,,-,RHODE ISLAND,,20201207,POINT (-71.534637 41.572574)
OREGON,2020,12,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20201261,POINT (-120.605279 43.940449)
DELAWARE,2020,12,,-,6,,16,,16,,,-,1,,,-,,-,DELAWARE,,20201229,POINT (-75.452394 38.994926)
ALABAMA,2020,12,1,,17,,100,,160,,,-,0,,,-,1,,ALABAMA,,20201239,POINT (-86.844516 32.756889)
KANSAS,2020,12,,-,8,,,-,82,,,-,1,,,-,1,,KANSAS,,20201222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,12,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20201234,POINT (-79.130883 35.52603)
GUAM,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201266,POINT (144.653198 13.3532)
NEW JERSEY,2020,12,,-,29,,135,,201,,,-,3,,12,,15,,NEW JERSEY,,20201210,POINT (-74.655514 40.110253)
NEW MEXICO,2020,12,2,,19,,104,,123,,,-,0,,,-,,-,NEW MEXICO,,20201254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,12,43,,156,,926,,1044,,3,,6,,25,,29,,,EAST NORTH CENTRAL,20201214,
TENNESSEE,2020,12,6,,28,,222,,243,,,-,2,,2,,1,,TENNESSEE,,20201242,POINT (-86.343226 35.842998)
CONNECTICUT,2020,12,,-,14,,40,,78,,,-,0,,,-,,-,CONNECTICUT,,20201203,POINT (-72.738288 41.575155)
MARYLAND,2020,12,10,,21,,149,,158,,,-,1,,,-,,-,MARYLAND,,20201233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,12,,-,34,,76,,178,,,-,2,,3,,3,,SOUTH CAROLINA,,20201235,POINT (-80.864614 33.878572)
OKLAHOMA,2020,12,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20201246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201265,POINT (145.725693 15.1834)
OHIO,2020,12,30,,63,,458,,415,,3,,5,,25,,20,,OHIO,,20201218,POINT (-82.70936 40.415534)
MINNESOTA,2020,12,,-,12,,,-,5,,,-,0,,,-,,-,MINNESOTA,,20201223,POINT (-94.198308 46.349153)
LOUISIANA,2020,12,,-,24,,128,,148,,,-,1,,,-,,-,LOUISIANA,,20201245,POINT (-91.840238 30.921314)
HAWAII,2020,12,1,,8,,18,,34,,,-,0,,,-,,-,HAWAII,,20201260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,12,29,,143,,835,,985,,,-,4,,11,,6,,,SOUTH ATLANTIC,20201228,
PENNSYLVANIA,2020,12,,-,13,,51,,71,,,-,1,,2,,1,,PENNSYLVANIA,,20201213,POINT (-77.838886 40.896694)
UTAH,2020,12,3,,12,,76,,75,,,-,1,,,-,1,,UTAH,,20201255,POINT (-111.678222 39.323779)
COLORADO,2020,12,6,,24,,202,,204,,,-,0,,,-,1,,COLORADO,,20201250,POINT (-105.547832 38.998552)
VERMONT,2020,12,2,,5,,16,,11,,,-,0,,,-,1,,VERMONT,,20201208,POINT (-72.662695 44.075252)
KENTUCKY,2020,12,4,,33,,135,,123,,,-,2,,2,,1,,KENTUCKY,,20201240,POINT (-85.290484 37.526683)
PUERTO RICO,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201267,POINT (-66.414655 18.215692)
MAINE,2020,12,2,,9,,49,,66,,,-,0,,,-,,-,MAINE,,20201204,POINT (-69.06137 45.117911)
VIRGINIA,2020,12,,-,3,,5,,6,,,-,0,,,-,,-,VIRGINIA,,20201236,POINT (-78.666382 37.510861)
ARIZONA,2020,12,14,,34,,317,,295,,,-,1,,1,,1,,ARIZONA,,20201249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,12,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201264,
WISCONSIN,2020,12,11,,23,,144,,128,,,-,0,,,-,,-,WISCONSIN,,20201219,POINT (-89.732969 44.639954)
IDAHO,2020,12,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20201251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201268,POINT (-64.840836 18.060868)
MICHIGAN,2020,12,,-,43,,200,,274,,,-,4,,,-,7,,MICHIGAN,,20201217,POINT (-85.730977 44.874798)
GEORGIA,2020,12,3,,42,,215,,286,,,-,0,,,-,,-,GEORGIA,,20201232,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,12,16,,44,,256,,236,,,-,3,,,-,,-,,NEW YORK CITY,20201212,
ARKANSAS,2020,12,6,,33,,108,,119,,,-,1,,1,,,-,ARKANSAS,,20201244,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,12,5,,20,,90,,114,,,-,0,,,-,,-,MISSISSIPPI,,20201241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,12,,-,5,,29,,29,,,-,2,,,-,1,,SOUTH DAKOTA,,20201227,POINT (-100.230491 44.43614)
WYOMING,2020,12,,-,4,,12,,15,,,-,0,,,-,,-,WYOMING,,20201256,POINT (-107.55145 42.999627)
MISSOURI,2020,12,10,,33,,167,,214,,1,,4,,3,,16,,MISSOURI,,20201224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,12,36,,127,,641,,733,,,-,6,,21,,17,,,MIDDLE ATLANTIC,20201209,
CALIFORNIA,2020,12,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20201259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,12,,-,17,,55,,118,,,-,2,,2,,,-,WEST VIRGINIA,,20201237,POINT (-80.613729 38.642579)
FLORIDA,2020,12,16,,62,,298,,209,,,-,2,,6,,3,,FLORIDA,,20201231,POINT (-82.420978 28.260731)
MONTANA,2020,12,,-,8,,22,,37,,,-,1,,,-,,-,MONTANA,,20201252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,12,13,,46,,284,,414,,1,,4,,4,,19,,,WEST NORTH CENTRAL,20201220,
MASSACHUSETTS,2020,12,,-,19,,96,,167,,,-,1,,,-,3,,MASSACHUSETTS,,20201205,POINT (-71.481104 42.151077)
MOUNTAIN,2020,12,25,,93,,827,,867,,,-,2,,1,,3,,,MOUNTAIN,20201248,
INDIANA,2020,12,2,,27,,124,,227,,,-,0,,,-,2,,INDIANA,,20201216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201269,
US TERRITORIES,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201263,
TOTAL,2020,13,141,,747,,5196,,6401,,6,,13,,79,,93,,,TOTAL,20201370,
US RESIDENTS,2020,13,141,,747,,5196,,6401,,6,,13,,79,,93,,,US RESIDENTS,20201301,
NEW HAMPSHIRE,2020,13,1,,8,,39,,42,,,-,1,,2,,,-,NEW HAMPSHIRE,,20201306,POINT (-71.57139 43.680429)
NEW YORK,2020,13,8,,94,,207,,245,,1,,3,,8,,1,,NEW YORK,,20201311,POINT (-75.59655 42.921241)
PACIFIC,2020,13,,-,11,,18,,88,,,-,0,,,-,2,,,PACIFIC,20201357,
WEST SOUTH CENTRAL,2020,13,11,,273,,594,,860,,,-,4,,6,,5,,,WEST SOUTH CENTRAL,20201343,
NEBRASKA,2020,13,5,,9,,62,,66,,,-,1,,1,,1,,NEBRASKA,,20201325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,13,13,,78,,596,,686,,,-,2,,4,,3,,,EAST SOUTH CENTRAL,20201338,
NORTH DAKOTA,2020,13,1,,6,,33,,26,,,-,0,,,-,,-,NORTH DAKOTA,,20201326,POINT (-100.46931 47.446305)
NEVADA,2020,13,,-,17,,100,,120,,,-,0,,,-,,-,NEVADA,,20201353,POINT (-114.916992 39.283294)
ILLINOIS,2020,13,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20201315,POINT (-89.148632 40.124144)
IOWA,2020,13,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20201321,POINT (-93.500061 42.074659)
TEXAS,2020,13,,-,225,,342,,574,,,-,4,,5,,5,,TEXAS,,20201347,POINT (-99.317341 31.447238)
ALASKA,2020,13,,-,6,,,-,46,,,-,0,,,-,2,,ALASKA,,20201358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,13,,-,5,,21,,15,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201330,POINT (-77.016275 38.904785)
WASHINGTON,2020,13,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20201362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,13,5,,40,,300,,404,,,-,1,,2,,4,,,NEW ENGLAND,20201302,
RHODE ISLAND,2020,13,,-,8,,9,,20,,,-,1,,,-,,-,RHODE ISLAND,,20201307,POINT (-71.534637 41.572574)
OREGON,2020,13,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20201361,POINT (-120.605279 43.940449)
DELAWARE,2020,13,,-,6,,16,,18,,,-,1,,,-,,-,DELAWARE,,20201329,POINT (-75.452394 38.994926)
ALABAMA,2020,13,1,,17,,121,,169,,,-,0,,,-,1,,ALABAMA,,20201339,POINT (-86.844516 32.756889)
KANSAS,2020,13,,-,8,,,-,88,,,-,1,,,-,2,,KANSAS,,20201322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,13,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20201334,POINT (-79.130883 35.52603)
GUAM,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201366,POINT (144.653198 13.3532)
NEW JERSEY,2020,13,,-,29,,135,,218,,,-,3,,12,,17,,NEW JERSEY,,20201310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,13,2,,19,,109,,133,,,-,0,,,-,,-,NEW MEXICO,,20201354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,13,32,,156,,975,,1141,,,-,6,,24,,29,,,EAST NORTH CENTRAL,20201314,
TENNESSEE,2020,13,12,,28,,250,,259,,,-,2,,2,,1,,TENNESSEE,,20201342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,13,,-,14,,40,,84,,,-,0,,,-,,-,CONNECTICUT,,20201303,POINT (-72.738288 41.575155)
MARYLAND,2020,13,5,,21,,155,,171,,,-,1,,,-,,-,MARYLAND,,20201333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,13,,-,34,,76,,192,,,-,2,,3,,3,,SOUTH CAROLINA,,20201335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,13,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20201346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201365,POINT (145.725693 15.1834)
OHIO,2020,13,29,,63,,488,,453,,,-,5,,24,,20,,OHIO,,20201318,POINT (-82.70936 40.415534)
MINNESOTA,2020,13,,-,12,,,-,6,,,-,0,,,-,,-,MINNESOTA,,20201323,POINT (-94.198308 46.349153)
LOUISIANA,2020,13,,-,24,,133,,159,,,-,1,,,-,,-,LOUISIANA,,20201345,POINT (-91.840238 30.921314)
HAWAII,2020,13,,-,8,,18,,42,,,-,0,,,-,,-,HAWAII,,20201360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,13,26,,143,,885,,1071,,,-,4,,11,,8,,,SOUTH ATLANTIC,20201328,
PENNSYLVANIA,2020,13,,-,13,,51,,76,,,-,1,,2,,1,,PENNSYLVANIA,,20201313,POINT (-77.838886 40.896694)
UTAH,2020,13,3,,12,,85,,78,,,-,1,,,-,1,,UTAH,,20201355,POINT (-111.678222 39.323779)
COLORADO,2020,13,7,,24,,209,,219,,,-,0,,,-,1,,COLORADO,,20201350,POINT (-105.547832 38.998552)
VERMONT,2020,13,,-,5,,16,,12,,,-,0,,,-,1,,VERMONT,,20201308,POINT (-72.662695 44.075252)
KENTUCKY,2020,13,,-,33,,135,,139,,,-,2,,2,,1,,KENTUCKY,,20201340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201367,POINT (-66.414655 18.215692)
MAINE,2020,13,,-,9,,49,,68,,,-,0,,,-,,-,MAINE,,20201304,POINT (-69.06137 45.117911)
VIRGINIA,2020,13,,-,3,,5,,6,,,-,0,,,-,,-,VIRGINIA,,20201336,POINT (-78.666382 37.510861)
ARIZONA,2020,13,15,,34,,335,,311,,,-,1,,1,,1,,ARIZONA,,20201349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,13,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201364,
WISCONSIN,2020,13,,-,23,,144,,132,,,-,0,,,-,,-,WISCONSIN,,20201319,POINT (-89.732969 44.639954)
IDAHO,2020,13,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20201351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201368,POINT (-64.840836 18.060868)
MICHIGAN,2020,13,,-,43,,200,,309,,,-,4,,,-,7,,MICHIGAN,,20201317,POINT (-85.730977 44.874798)
GEORGIA,2020,13,5,,42,,240,,310,,,-,0,,,-,,-,GEORGIA,,20201332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,13,12,,44,,269,,254,,5,,3,,5,,,-,,NEW YORK CITY,20201312,
ARKANSAS,2020,13,11,,33,,119,,127,,,-,1,,1,,,-,ARKANSAS,,20201344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,13,,-,20,,90,,119,,,-,0,,,-,,-,MISSISSIPPI,,20201341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,13,,-,5,,29,,30,,,-,2,,,-,1,,SOUTH DAKOTA,,20201327,POINT (-100.230491 44.43614)
WYOMING,2020,13,,-,4,,12,,17,,,-,0,,,-,,-,WYOMING,,20201356,POINT (-107.55145 42.999627)
MISSOURI,2020,13,,-,33,,167,,226,,,-,4,,3,,16,,MISSOURI,,20201324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,13,20,,127,,662,,793,,6,,6,,27,,19,,,MIDDLE ATLANTIC,20201309,
CALIFORNIA,2020,13,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20201359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,13,,-,16,,57,,123,,,-,2,,2,,,-,WEST VIRGINIA,,20201337,POINT (-80.613729 38.642579)
FLORIDA,2020,13,16,,62,,315,,236,,,-,2,,6,,5,,FLORIDA,,20201331,POINT (-82.420978 28.260731)
MONTANA,2020,13,1,,8,,25,,38,,,-,1,,,-,,-,MONTANA,,20201352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,13,6,,46,,291,,442,,,-,4,,4,,20,,,WEST NORTH CENTRAL,20201320,
MASSACHUSETTS,2020,13,4,,19,,147,,178,,,-,1,,,-,3,,MASSACHUSETTS,,20201305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,13,28,,93,,875,,916,,,-,2,,1,,3,,,MOUNTAIN,20201348,
INDIANA,2020,13,3,,27,,143,,247,,,-,0,,,-,2,,INDIANA,,20201316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201369,
US TERRITORIES,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201363,
TOTAL,2020,14,87,,747,,5435,,6899,,16,,13,,97,,101,,,TOTAL,20201470,
US RESIDENTS,2020,14,87,,747,,5435,,6899,,16,,13,,97,,101,,,US RESIDENTS,20201401,
NEW HAMPSHIRE,2020,14,1,,8,,41,,44,,,-,1,,2,,,-,NEW HAMPSHIRE,,20201406,POINT (-71.57139 43.680429)
NEW YORK,2020,14,8,,94,,215,,266,,1,,3,,9,,1,,NEW YORK,,20201411,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,14,5,,273,,600,,939,,,-,4,,6,,6,,,WEST SOUTH CENTRAL,20201443,
NEBRASKA,2020,14,2,,9,,64,,72,,,-,1,,1,,1,,NEBRASKA,,20201425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,14,2,,78,,604,,732,,,-,2,,4,,4,,,EAST SOUTH CENTRAL,20201438,
NORTH DAKOTA,2020,14,,-,6,,33,,28,,,-,0,,,-,,-,NORTH DAKOTA,,20201426,POINT (-100.46931 47.446305)
NEVADA,2020,14,,-,17,,102,,134,,,-,0,,,-,,-,NEVADA,,20201453,POINT (-114.916992 39.283294)
ILLINOIS,2020,14,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20201415,POINT (-89.148632 40.124144)
IOWA,2020,14,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20201421,POINT (-93.500061 42.074659)
TEXAS,2020,14,,-,225,,342,,627,,,-,4,,5,,6,,TEXAS,,20201447,POINT (-99.317341 31.447238)
ALASKA,2020,14,,-,6,,,-,50,,,-,0,,,-,2,,ALASKA,,20201458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,14,,-,5,,29,,15,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201430,POINT (-77.016275 38.904785)
WASHINGTON,2020,14,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20201462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,14,3,,40,,305,,438,,,-,1,,2,,4,,,NEW ENGLAND,20201402,
RHODE ISLAND,2020,14,,-,8,,9,,21,,,-,1,,,-,,-,RHODE ISLAND,,20201407,POINT (-71.534637 41.572574)
OREGON,2020,14,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20201461,POINT (-120.605279 43.940449)
DELAWARE,2020,14,,-,6,,16,,18,,,-,1,,,-,,-,DELAWARE,,20201429,POINT (-75.452394 38.994926)
ALABAMA,2020,14,,-,17,,125,,174,,,-,0,,,-,1,,ALABAMA,,20201439,POINT (-86.844516 32.756889)
KANSAS,2020,14,,-,8,,,-,92,,,-,1,,,-,2,,KANSAS,,20201422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,14,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20201434,POINT (-79.130883 35.52603)
GUAM,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201466,POINT (144.653198 13.3532)
NEW JERSEY,2020,14,2,,30,,215,,223,,1,,3,,15,,18,,NEW JERSEY,,20201410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,14,,-,19,,114,,140,,,-,0,,,-,,-,NEW MEXICO,,20201454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,14,20,,157,,1021,,1246,,4,,6,,28,,30,,,EAST NORTH CENTRAL,20201414,
TENNESSEE,2020,14,,-,28,,250,,277,,,-,2,,2,,2,,TENNESSEE,,20201442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,14,,-,14,,40,,98,,,-,0,,,-,,-,CONNECTICUT,,20201403,POINT (-72.738288 41.575155)
MARYLAND,2020,14,3,,21,,159,,186,,,-,1,,,-,,-,MARYLAND,,20201433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,14,,-,34,,76,,206,,,-,2,,3,,4,,SOUTH CAROLINA,,20201435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,14,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20201446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201465,POINT (145.725693 15.1834)
OHIO,2020,14,17,,63,,504,,507,,4,,5,,28,,20,,OHIO,,20201418,POINT (-82.70936 40.415534)
MINNESOTA,2020,14,,-,12,,,-,7,,,-,0,,,-,,-,MINNESOTA,,20201423,POINT (-94.198308 46.349153)
LOUISIANA,2020,14,,-,24,,133,,172,,,-,1,,,-,,-,LOUISIANA,,20201445,POINT (-91.840238 30.921314)
HAWAII,2020,14,,-,5,,20,,46,,,-,0,,,-,,-,HAWAII,,20201460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,14,19,,143,,924,,1158,,,-,4,,11,,9,,,SOUTH ATLANTIC,20201428,
