Establishment Name,Street Address,City,Zip Code,Inspection Date,Inspection Results,Inspection Type,Lifeguard on Deck,Main Drains Visible,Recirculation System Operating,Water Level Adequate,Disinfection System Operating,Bathhouse Operational ,DHHS Permitted Entry,Immediate Hazard Absent,CPR Certified Personnel,Water Chemistry,Organization,Category,Location 1,Establishment #
LONG BRANCH,8700 PINEY BRANCH RD,SILVER SPRING,20901,06/18/2018,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MONT COUNTY RECREATION,Government,"8700 PINEY BRANCH RD
SILVER SPRING, MD 20901
(38.998965, -76.997846)",19755
4701 WILLARD,4701 WILLARD AVE,CHEVY CHASE,20815,08/23/2018,Critical Violations Noted,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,EQUITY RESIDENTAL,Apartments/Condos,"4701 WILLARD AVE
CHEVY CHASE, MD 20815
(38.96276, -77.093644)",19730
BRANDERMILL,20121 BRANDERMILL DR,GERMANTOWN,20876,08/03/2018,Critical Violations and Corrected during Inspectio,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,VANGUARD MANAGEMENT,Community,"20121 BRANDERMILL DR
GERMANTOWN, MD 20876
(39.191318, -77.237576)",19585
COUNTRY PLACE,3900 BLACKBURN LN,BURTONSVILLE,20866,07/31/2018,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"POLINGER, SHANNON & LUCHS CO",Apartments/Condos,"3900 BLACKBURN LN
BURTONSVILLE, MD 20866
(39.104619, -76.9307)",19637
POTOMAC GLEN,13651 HAYWORTH DR,POTOMAC,20854,07/27/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,POTOMAC GLEN,Community,"13651 HAYWORTH DR
POTOMAC, MD 20854
(39.08068, -77.216003)",19840
WOODCLIFFE,18501 BROKEN TIMBER WAY,BOYDS,20841,07/11/2018,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,VISTA AT WOODCLIFF,Community,"18501 BROKEN TIMBER WAY
BOYDS, MD 20841
(39.162748, -77.300758)",22411
ARORA HILLS #2,23230 ARORA HILLS DR,CLARKSBURG,20871,05/09/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ARORA HILLS II,Community,"23230 ARORA HILLS DR
CLARKSBURG, MD 20871
(39.235726, -77.243191)",21120
MANOR OAKS,18913 ABBEY MANOR DR,OLNEY,20833,05/22/2018,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MANOR OAKS,Community,"18913 ABBEY MANOR DR
OLNEY, MD 20833
(39.165503, -77.056475)",19986
FLOWER HILL,8100 MOUNTAIN LAUREL LN,GAITHERSBURG,20879,06/21/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FLOWER HILL CENTRAL CORPORATION,Community,"8100 MOUNTAIN LAUREL LN
GAITHERSBURG, MD 20879
(39.157766, -77.166369)",19666
TWIN TOWERS,1110 FIDLER LN,SILVER SPRING,20910,05/22/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,SOUTHERN MANAGEMENT,Apartments/Condos,"1110 FIDLER LN
SILVER SPRING, MD 20910
(38.996404, -77.029649)",19912
WESTCHESTER WEST #2,3214 HEWITT AVE,SILVER SPRING,20906,05/22/2018,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,WESTCHESTER GARDENS LLC,Apartments/Condos,"3214 HEWITT AVE
SILVER SPRING, MD 20906
(39.079755, -77.064603)",19939
CLARKSBURG TOWN CENTER,12901 SUGARLOAF CHAPEL DR,CLARKSBURG,20871,06/19/2018,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CAS INC,Community,"12901 SUGARLOAF CHAPEL DR
CLARKSBURG, MD 20871
(39.246246, -77.271593)",20022
MONTCLAIR,3525 SHEFFIELD MANOR TERR,SILVER SPRING,20904,08/09/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MONTCLAIR APT LLC,Apartments/Condos,"3525 SHEFFIELD MANOR TERR
SILVER SPRING, MD 20904
(39.080649, -76.935528)",19874
STONERIDGE,18593 SPLIT ROCK LN,GERMANTOWN,20874,05/23/2019,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CLARITY,Community,"18593 SPLIT ROCK LN
GERMANTOWN, MD 20874
(39.159461, -77.267714)",19890
SCARBOROUGH SQUARE,438 COLLEGE PKWY,ROCKVILLE,20850,04/30/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BAINBRIDGE,Apartments/Condos,"438 COLLEGE PKWY
ROCKVILLE, MD 20850
(39.101786, -77.159854)",19869
CABIN BRANCH,22201 FULMER AVE,CLARKSBURG,20971,05/10/2019,Pool approved to operate,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CABIN BRANCH HOA,Apartments/Condos,"22201 FULMER AVE
CLARKSBURG 20971
(39.219477, -77.287346)",30732
CARDEROCK SPRINGS,8200 HAMILTON SPRING CT,BETHESDA,20817,07/19/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CARDEROCK SWIMMING CLUB INC,Community,"8200 HAMILTON SPRING CT
BETHESDA, MD 20817
(38.991036, -77.167809)",19599
LAKEWOOD COUNTRY CLUB,13901 GLEN MILL RD,ROCKVILLE,20850,06/06/2018,Pool closed AND requires re-inspection prior to re,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LAKEWOOD COUNTRY CLUB,Country Club,"13901 GLEN MILL RD
ROCKVILLE, MD 20850
(39.08438, -77.197761)",19748
CITRON,815 PERSHING ST,SILVER SPRING,20910,05/24/2018,Pool failed pre-opening. Reinspection Required.,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FOULGER-PRATT CO,Apartments/Condos,"815 PERSHING ST
SILVER SPRING, MD 20910
(38.997995, -77.023136)",27375
MILL CREEK GARDENS,17654 AMITY DR,GAITHERSBURG,20877,06/21/2018,Pool closed AND requires re-inspection prior to re,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,RIMSI CORP,Apartments/Condos,"17654 AMITY DR
GAITHERSBURG, MD 20877
(39.144158, -77.167939)",19772
ASTON WOODS,3411 GATESHEAD MANOR WAY,SILVER SPRING,20904,07/12/2018,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,AZURE ASTON WOODS LP,Apartments/Condos,"3411 GATESHEAD MANOR WAY
SILVER SPRING, MD 20904
(39.078224, -76.936504)",19565
STONEGATE,220 STONEGATE RD,SILVER SPRING,20905,07/13/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,STONEGATE,Community,"220 STONEGATE RD
SILVER SPRING, MD 20905
(39.101667, -77.012725)",19888
COLESVILLE TOWERS,8811 COLESVILLE RD,SILVER SPRING,20910,06/19/2018,,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ROSS MANAMENT SERVICES,Apartments/Condos,"8811 COLESVILLE RD
SILVER SPRING, MD 20910
(38.999608, -77.025886)",19625
SAYBROOKE APTS,100 OLD MACDONALD RD,GAITHERSBURG,20877,05/21/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HC III SAYBROOKE LIMITED PARTNERSHIP,Apartments/Condos,"100 OLD MACDONALD RD
GAITHERSBURG, MD 20877
(39.153531, -77.174017)",19593
KENTLANDS CLUB,485 TSCHIFFELY SQUARE RD,GAITHERSBURG,20878,08/30/2018,No Critical Violations,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KENTLAND CITIZEN ASSEMBLY,Apartments/Condos,"485 TSCHIFFELY SQUARE RD
GAITHERSBURG, MD 20878
(39.123227, -77.243088)",19736
LONDONDERRY-OUTDOOR,17041 DOWNING ST,GAITHERSBURG,20877,07/18/2018,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KAY MANAGEMENT INC,Apartments/Condos,"17041 DOWNING ST
GAITHERSBURG, MD 20877
(39.136255, -77.208166)",19754
HURLEY PARK,20737 HIGHLAND HALL DR,MONTGOMERY VILLAGE,20886,06/13/2018,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MONTGOMERY VILLAGE FOUNDATION,Community,"20737 HIGHLAND HALL DR
MONTGOMERY VILLAGE, MD 20886
(39.190937, -77.189228)",19725
DAMASCUS RECREATION,25730 WOODFIELD RD,DAMASCUS,20872,07/25/2018,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,DAMASCUS RECREATION,Community,"25730 WOODFIELD RD
DAMASCUS, MD 20872
(39.279936, -77.203097)",19643
EDGEMOOR CLUB,7415 EXETER RD,BETHESDA,20814,08/14/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THE EDGEMOOR CLUB,Other,"7415 EXETER RD
BETHESDA, MD 20814
(38.983692, -77.103181)",19650
OLDE TOWN FOUNTAIN,3 S SUMMIT AVE,Gaithersburg,20877,06/27/2018,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CITY OF GAITHERSBURG,Government,"3 S SUMMIT AVE
Gaithersburg, MD 20877
(39.141976, -77.193425)",33256
CHASE-BETHESDA,7500 WOODMONT AVE,BETHESDA,20814,06/25/2018,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,THE CHASE AT BETHESDA,Community,"7500 WOODMONT AVE
BETHESDA, MD 20814
(38.984252, -77.096386)",19604
LAKEWOOD COUNTRY CLUB,13901 GLEN MILL RD,ROCKVILLE,20850,06/07/2018,,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LAKEWOOD COUNTRY CLUB,Country Club,"13901 GLEN MILL RD
ROCKVILLE, MD 20850
(39.08438, -77.197761)",19748
GREENCASTLE LAKES,3661 TURBRIDGE DR,BURTONSVILLE,20866,05/23/2018,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GREENCASTLE LAKES,Community,"3661 TURBRIDGE DR
BURTONSVILLE, MD 20866
(39.091803, -76.932213)",19694
UPPER COUNTY,8211 EMORY GROVE RD,GAITHERSBURG,20877,08/16/2018,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MONTGOMERY COUNTY RECREATION,Government,"8211 EMORY GROVE RD
GAITHERSBURG, MD 20877
(39.149706, -77.168993)",19916
FLOWER HILL,8100 MOUNTAIN LAUREL LN,GAITHERSBURG,20879,05/22/2018,,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FLOWER HILL CENTRAL CORPORATION,Community,"8100 MOUNTAIN LAUREL LN
GAITHERSBURG, MD 20879
(39.157766, -77.166369)",19666
VALLEY MILL CAMP,15101 SENECA RD,GERMANTOWN,20874,05/28/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,EVELYN MCEWAN,Other,"15101 SENECA RD
GERMANTOWN, MD 20874
(39.081494, -77.31246)",19918
CADENCE,113 ELLINGTON BLVD,GAITHERSBURG,20878,08/14/2018,Critical Violations Noted,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BOZZUTO MANAGEMENT,Apartments/Condos,"113 ELLINGTON BLVD
GAITHERSBURG, MD 20878
(39.115574, -77.204168)",28120
WATER PARK-BOHRER PARK,512 S FREDERICK AVE,GAITHERSBURG,20877,04/18/2019,Pool failed pre-opening. Reinspection Required.,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CITY OF GAITHERSBURG,Government,"512 S FREDERICK AVE
GAITHERSBURG, MD 20877
(39.133504, -77.190206)",19896
HALLOWELL,17721 PRINCE PHILLIP DR,OLNEY,20832,07/09/2018,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HALLOWELL,Community,"17721 PRINCE PHILLIP DR
OLNEY, MD 20832
(39.144844, -77.057572)",19704
STONE RIDGE SCHOOL,9101 ROCKVILLE PK,BETHESDA,20814,04/29/2019,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,STONE RIDGE SCHOOL,Other,"9101 ROCKVILLE PK
BETHESDA, MD 20814
(39.005303, -77.097426)",19999
OLD FARM,1 SWIM CLUB WAY,ROCKVILLE,20852,08/03/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CHRIS SCANGO,Community,"1 SWIM CLUB WAY
ROCKVILLE, MD 20852
(39.053576, -77.141629)",19806
LONDONDERRY-INDOOR,17041 DOWNING ST,GAITHERSBURG,20877,02/01/2019,Pool approved to operate,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KAY APT COMM,Apartments/Condos,"17041 DOWNING ST
GAITHERSBURG, MD 20877
(39.136255, -77.208166)",28108
GABLES UPPER ROCK SPLASH PAD,10 UPPER ROCK CIR,Rockville,20850,05/23/2018,Pool failed pre-opening. Reinspection Required.,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,UPPER ROCK IT LLC,Apartments/Condos,"10 UPPER ROCK CIR
Rockville, MD 20850
(39.104, -77.157)",29239
WINEXBURG MANOR,2301 GLENALLEN AVE,SILVER SPRING,20906,06/26/2018,Pool closed AND requires re-inspection prior to re,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,GRADY MANAGEMENT,Apartments/Condos,"2301 GLENALLEN AVE
SILVER SPRING, MD 20906
(39.063066, -77.049798)",19959
EAST GATE,10200 GAINSBOROUGH RD,POTOMAC,20854,05/25/2018,Pool approved to operate,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,EAST GATE RECREATION ASSOC,Country Club,"10200 GAINSBOROUGH RD
POTOMAC, MD 20854
(39.02304, -77.167965)",19649
WATER PARK-BOHRER PARK,512 S FREDERICK AVE,GAITHERSBURG,20877,05/23/2018,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CITY OF GAITHERSBURG,Government,"512 S FREDERICK AVE
GAITHERSBURG, MD 20877
(39.133504, -77.190206)",19896
OVERLOOK,4406 BOXWOOD RD,BETHESDA,20816,06/25/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,OVERLOOK HOA,Community,"4406 BOXWOOD RD
BETHESDA, MD 20816
(38.946547, -77.109399)",19814
WOODCLIFFE,18501 BROKEN TIMBER WAY,BOYDS,20841,06/20/2018,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,VISTA AT WOODCLIFF,Community,"18501 BROKEN TIMBER WAY
BOYDS, MD 20841
(39.162748, -77.300758)",22411
BUCKINGHAM STATION,13540 STATION ST,GERMANTOWN,20874,05/23/2019,Pool failed pre-opening. Reinspection Required.,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ELIZABETH CANNON,Apartments/Condos,"13540 STATION ST
GERMANTOWN, MD 20874
(39.177307, -77.278125)",22498
ENVIRONS,18000 O'HARA CIR,OLNEY,20832,05/15/2019,,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ENVIRONS HOA,Apartments/Condos,"18000 O'HARA CIR
OLNEY, MD 20832
(39.151629, -77.061532)",19655
KENTLANDS CLUB,485 TSCHIFFELY SQUARE RD,GAITHERSBURG,20878,05/09/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,KENTLAND CITIZEN ASSEMBLY,Apartments/Condos,"485 TSCHIFFELY SQUARE RD
GAITHERSBURG, MD 20878
(39.123227, -77.243088)",19736
DAMASCUS RECREATION,25730 WOODFIELD RD,DAMASCUS,20872,08/20/2018,No Critical Violations,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,DAMASCUS RECREATION,Community,"25730 WOODFIELD RD
DAMASCUS, MD 20872
(39.279936, -77.203097)",19643
SUMNER VILLAGE,4910 SENTINEL DR,BETHESDA,20816,08/15/2018,Critical Violations Noted,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,S.V.C. ASSOCIATION,Apartments/Condos,"4910 SENTINEL DR
BETHESDA, MD 20816
(38.950054, -77.117429)",19899
QUARRY SPRINGS,8101 RIVER RD,Bethesda,20817,06/29/2018,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,QUARRY SPRINGS CONDO,Apartments/Condos,"8101 RIVER RD
Bethesda, MD 20817
(38.99497, -77.165834)",29830
HIDDEN CREEK,600 PELICAN DR,GAITHERSBURG,20877,08/02/2018,Critical Violations and Corrected during Inspectio,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,HIDDEN CREEK HOA,Apartments/Condos,"600 PELICAN DR
GAITHERSBURG, MD 20877
(39.153866, -77.190543)",19545
RIVER FALLS,7915 HORSESHOE LN,POTOMAC,20854,05/10/2018,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,RIVER FALLS COMMUNITY CENTER ASSOC,Community,"7915 HORSESHOE LN
POTOMAC, MD 20854
(38.99056, -77.213863)",19855
STONECREEK CLUB,12840 LOCBURY CIR,GERMANTOWN,20874,05/21/2018,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,DANA GREEN,Apartments/Condos,"12840 LOCBURY CIR
GERMANTOWN, MD 20874
(39.186257, -77.264609)",19887
MILLSTONE AT KINGSVIEW,13611 ALE HOUSE CIR,GERMANTOWN,20874,05/22/2018,Pool approved to operate,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MELANIE JETT,Apartments/Condos,"13611 ALE HOUSE CIR
GERMANTOWN, MD 20874",21224
FIRESIDE,116 DUVALL LN,GAITHERSBURG,20877,08/17/2018,No Critical Violations,A Reinspection,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,PROCAM LLC,Apartments/Condos,"116 DUVALL LN
GAITHERSBURG, MD 20877
(39.12885, -77.202086)",19662
HEWITT GARDENS,3335 HEWITT AVE,SILVER SPRING,20906,07/20/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,FALLER MANAGEMENT CO INC,Community,"3335 HEWITT AVE
SILVER SPRING, MD 20906
(39.079309, -77.067773)",19714
LANDON SCHOOL,6101 WILSON LN,BETHESDA,20817,06/26/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,LANDON SCHOOL CORP,Other,"6101 WILSON LN
BETHESDA, MD 20817
(38.987647, -77.129822)",19749
BUTLER SCHOOL,15951 GERMANTOWN RD,GERMANTOWN,20874,07/16/2018,Pool closed AND requires re-inspection prior to re,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,BUTLER MONTESSORI COUNTRY SCHOOL,Other,"15951 GERMANTOWN RD
GERMANTOWN, MD 20874
(39.118761, -77.296466)",19590
ESCHER,1900 CHAPMAN AVE,Rockville,20852,08/20/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,ESCHER,Apartments/Condos,"1900 CHAPMAN AVE
Rockville, MD 20852
(39.059382, -77.119534)",33315
CAMP BENNETT,20501 GEORGIA AVE,BROOKEVILLE,20833,08/08/2018,Critical Violations and Corrected during Inspectio,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,CENTRAL UNION MISSION,Other,"20501 GEORGIA AVE
BROOKEVILLE, MD 20833
(39.193961, -77.066604)",19595
CHATEAU,9727 MT PISGAH RD,SILVER SPRING,20903,07/11/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,SOUTHERN MANAGEMENT AQUATICS,Apartments/Condos,"9727 MT PISGAH RD
SILVER SPRING, MD 20903
(39.017038, -76.975441)",19609
SUMMIT HILLS,8484 16TH ST,SILVER SPRING,20910,05/18/2018,Pool approved to operate,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,SOUTHERN MGMT. CORPORATION,Community,"8484 16TH ST
SILVER SPRING, MD 20910
(38.99562, -77.036387)",19897
TOWN OF SOMERSET,5545 WARWICK PL,CHEVY CHASE,20815,08/13/2018,Critical Violations Noted,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TOWN OF SOMERSET,Community,"5545 WARWICK PL
CHEVY CHASE, MD 20815
(38.964702, -77.093791)",19880
CHRISTOPHER COURT,18500 FAIRLIGHT DR,GAITHERSBURG,20886,05/16/2019,Pool failed pre-opening. Reinspection Required.,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,TIDEWATER PROPERTY MANAGEMENT,Community,"18500 FAIRLIGHT DR
GAITHERSBURG, MD 20886
(39.160527, -77.20708)",19614
MIDDLEBRIDGE VILLAGE,2041 HICKORY HILL LN,SILVER SPRING,20906,08/29/2018,,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MIDDLEBRIDGE VILLAGE,Community,"2041 HICKORY HILL LN
SILVER SPRING, MD 20906
(39.07329, -77.041193)",19769
"MARTIN LUTHER KING, JR",1201 JACKSON RD,SILVER SPRING,20904,04/23/2018,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,DEPARTMENT OF RECREATION-AQUATICS,Government,"1201 JACKSON RD
SILVER SPRING, MD 20904
(39.055072, -76.982795)",19765
OLD GEORGETOWN CLUB,9600 FERNWOOD RD,BETHESDA,20817,05/17/2019,Critical Violations Noted,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,OLD GEORGETOWN CLUB INC,Country Club,"9600 FERNWOOD RD
BETHESDA, MD 20817
(39.011998, -77.133265)",19807
WHETSTONE,19140 BROOKE GROVE CT,MONTGOMERY VILLAGE,20886,08/20/2018,No Critical Violations,Last Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,MONTGOMERY VILLAGE FOUNDATION,Community,"19140 BROOKE GROVE CT
MONTGOMERY VILLAGE, MD 20886
(39.169748, -77.197444)",19946
WISCONSIN PLACE,4440 WILLARD AVE,CHEVY CHASE,20815,08/01/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,EQUITY RESIDENTIAL,Apartments/Condos,"4440 WILLARD AVE
CHEVY CHASE, MD 20815
(38.961803, -77.08777)",21117
SUMNER VILLAGE,4910 SENTINEL DR,BETHESDA,20816,07/25/2018,,Routine,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,S.V.C. ASSOCIATION,Apartments/Condos,"4910 SENTINEL DR
BETHESDA, MD 20816
(38.950054, -77.117429)",19899
COUNTRY PLACE,3900 BLACKBURN LN,BURTONSVILLE,20866,05/20/2019,,Preopening,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,"POLINGER, SHANNON & LUCHS CO",Apartments/Condos,"3900 BLACKBURN LN
BURTONSVILLE, MD 20866
(39.104619, -76.9307)",19637
