Customer,Address Line 1,Address Line 2,City,State,Zip,Date Enrolled,VAT202 Category,Status,Observation Date,Crash Notification,Conviction Notification,Suspension Notification,Point Insurance Reduction Course Completion Notification,Driver Status Change Notification,License Expiration Notification,Hazardous Material Endorsement Notification,CDL Medical Certification Status Change Notification,Ticket Notification,Drivers Monitored,Latest Driver Add Date,Latest Driver Drop Date,LENS Internet Interface Users
RELYEA'S TOWING LLC,811 OWEGO ROAD,,OWEGO,NY,13743,04/27/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
REM TRANSPORTATION,2404 EAST 23RD STREET,,BROOKLYN,NY,11235,01/29/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,14,10/08/2019,12/03/2019,1
"REMARKABLE LIQUIDS, LLC.",NE IND PARK 2 VANBUREN BLVD BLDG 7,PO BOX 122,GUILDERLAND CTR,NY,12085,07/21/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,29,04/13/2020,03/25/2020,2
REMSEN CENTRAL SCHOOL,MAIN ST PO BOX 406,,REMSEN,NY,13438,01/08/2008,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,3,08/23/2010,,1
REMSEN CENTRAL SCHOOL,9733 MAIN ST,PO BOX 406,REMSEN,NY,13438,02/21/2012,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,12,02/25/2020,01/22/2020,2
REMSEN FIRE DEPARTMENT,11009 LAKE JULIA RD,,REMSEN,NY,13438,06/02/2009,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,37,01/10/2018,07/09/2019,2
RENAISSANCE ALBANY HOTEL,144 STATE ST,,ALBANY,NY,12207,12/21/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,6,02/10/2017,11/09/2016,1
RENAISSANCE AUTO ADVISORY LLC,896 HEMPSTEAD TURNPIKE,,FRANKLIN SQUARE,NY,11010,11/13/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,52,04/25/2020,,1
RENAISSANCE HOME HEALTH CARE,3044 CONEY ISLAND AVE 4TH FL,,BROOKLYN,NY,11235,04/15/2015,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,0,,,0
RENSSELAER CITY,62 WASHINGTON ST.,,RENSSELAER,NY,12144,03/03/2015,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,73,10/30/2019,10/30/2019,1
RENSSELAER CO CHAPTER NYSARC INC,79 102ND ST 3 FL BUSINESS OFFICE,,TROY,NY,12180,05/18/1999,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,612,04/28/2020,04/22/2020,3
RENSSELAER COUNTY,1600 7TH AVE CO OFC BLDG,,TROY,NY,12180,04/16/1999,EXEMPT,NOT ACTIVE,05/07/2020,N,N,Y,N,N,N,N,N,N,179,05/08/1999,,0
RENSSELAER COUNTY,1600 7TH AVENUE,,TROY,NY,12180,09/30/2011,EXEMPT,NOT ACTIVE,05/07/2020,N,Y,Y,N,Y,Y,Y,N,N,0,,,0
RENSSELAER COUNTY,1600 7TH AVE EXECUTIVES OFFICE,,TROY,NY,12180,03/28/2012,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,521,03/06/2020,04/25/2019,2
RENSSELAER COUNTY PROBATION,547 RIVER ST,,TROY,NY,12180,03/10/2020,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
RENSSELAER COUNTY PROBATION,547 RIVER ST,,TROY,NY,12180,11/03/2016,        ,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,Y,54,04/17/2020,03/09/2020,1
RENSSELAER COUNTY PROBATION,547 RIVER ST.,,TROY,NY,12180,11/27/2017,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,Y,57,02/28/2020,01/08/2020,1
RENSSELAER COUNTY PROBATION,547 RIVER ST,2ND FL,TROY,NY,12180,05/15/2015,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,N,Y,75,04/29/2020,04/08/2020,1
RENSSELAER COUNTY PROBATION,547 RIVER STREET,,TROY,NY,12180,08/24/2015,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,09/22/2015,09/22/2015,0
RENSSELAER COUNTY PROBATION,"547 RIVER STREET, 2ND FLOOR",,TROY,NY,12180,08/02/2018,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,Y,56,03/19/2020,03/13/2020,1
RENSSELAER COUNTY PROBATION,547 RIVER STREET,,TROY,NY,12180,08/24/2015,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,Y,50,02/07/2020,02/28/2020,1
RENSSELAER COUNTY PROBATION,547 RIVER ST FLOOR 2,,TROY,NY,12180,05/18/2015,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,Y,7,07/17/2019,07/17/2019,1
RENSSELAER COUNTY PROBATION,863 6TH AVE,,TROY,NY,12182,06/12/2019,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,32,03/06/2020,08/09/2019,1
RENSSELAER COUNTY PROBATION,547 RIVER STREET,2ND FL,TROY,NY,12180,12/01/2016,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,0
RENSSELAER COUNTY PROBATION,500 BROADWAY,,TROY,NY,12180,04/21/2010,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,95,05/09/2013,04/24/2013,0
RENSSELAER COUNTY PROBATION,547 RIVER STREET 2ND FLOOR,,TROY,NY,12180,10/05/2017,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,Y,16,04/05/2019,01/31/2019,1
RENSSELAER COUNTY PROBATION,500 BROADWAY,,TROY,NY,12180,11/24/2008,EXEMPT,NOT ACTIVE,05/07/2020,N,Y,Y,N,Y,N,N,N,N,0,,,0
RENSSELAER COUNTY PROBATION,"547 RIVER STREET, 2ND FLOOR",,TROY,NY,12180,10/03/2017,        ,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,Y,33,02/20/2020,01/14/2020,1
RENSSELAER COUNTY PROBATION,500 BROADWAY,,TROY,NY,12180,02/07/2008,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,N,Y,N,N,N,N,53,03/29/2012,04/17/2012,0
RENSSELAER COUNTY PROBATION,547 RIVER STREET 2ND FLOOR,,TROY,NY,12180,10/06/2014,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,Y,5,03/18/2015,06/02/2015,0
RENSSELAER COUNTY PROBATION,547 RIVER ST 2ND FLOOR,,TROY,NY,12123,09/22/2015,        ,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,Y,95,12/03/2019,04/17/2017,1
RENSSELAER COUNTY STOP-DWI,1600 SEVENTH AVENUE,,TROY,NY,12180,02/24/2020,EXEMPT,ACTIVE,05/07/2020,N,Y,Y,N,Y,Y,N,N,N,0,,,1
RENSSELAER COUNTY STOP-DWI,1600 SEVENTH AVE,,TROY,NY,12180,05/07/2018,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,N,N,N,N,115,01/31/2020,11/13/2018,1
RENSSELAER VOLUNTEER AMBULANCE INC,901 3RD STREET,,RENSSELAER,NY,12144,03/31/2011,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,59,01/07/2014,07/26/2013,2
RENT A UNIT NY,543 BEDFORD AVE #243,,BROOKLYN,NY,11211,04/25/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,0,,,1
RENT THE RUNWAY,163 VARICK ST 4TH FLOOR,,NEW YORK,NY,10013,08/16/2011,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,0,,,0
RENT-A-CENTER,5501 HEADQUARTERS DR.,,PLANO,TX,75024,05/28/2014,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,6,08/06/2014,,0
"RENTAL COMPANY ONE, INC.",179 RIVER STREET,,ONEONTA,NY,13820,11/03/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,8,08/09/2019,09/21/2019,1
RENU CONTRACTING & RESTORATION,1215 SUNRISE HWY,,COPIAGUE,NY,11726,09/20/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,68,02/06/2020,09/04/2019,3
RENZI BROS INC,948 BRADLEY ST,P O BOX 23,WATERTOWN,NY,13601,09/24/2003,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,13,02/13/2004,,0
RENZI FOODSERVICE,901 RAIL DRIVE,,WATERTOWN,NY,13601,04/12/2010,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,82,03/06/2020,04/15/2020,1
REPAVE INC,24 SCHOOLHOUSEPLACE,,OYSTER BAY,NY,11771,12/15/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,11,03/11/2020,02/17/2020,1
REPEAT BUSINESS SYSTEMS,4 FRITZ BLVD,,ALBANY,NY,12205,10/09/2013,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,18,12/07/2015,12/18/2019,1
REPURPOSED ORGANICS LLC,PO BOX 132,,WESTFIELD,NY,14787,04/07/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,2,12/14/2018,02/27/2020,2
RESCUE HOOK & LADDER CO NO 1,155 MINEOLA AVE,,ROSLYN HEIGHTS,NY,11577,04/14/2005,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,52,03/09/2020,,1
RESCUE MISSION ALLIANCE OF SYRACUSE INC,155 GIFFORD ST,,SYRACUSE,NY,13202,08/12/2013,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,118,01/17/2020,04/09/2020,5
RESERVE SUPPLY OF CENTRAL NY,PO BOX 373,,SYRACUSE,NY,13206,02/19/2013,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,11,03/16/2015,12/28/2015,1
RESIDENT/COMPANY,123K KINGS PARK DRIVE,,LIVERPOOL,NY,13090,02/10/2003,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,Y,N,N,N,N,0,,,0
RESIDENTIAL EXPERIENCE IN ADULT LIVING INC,55 NORTH OCEAN AVENUE,2ND FLOOR,FREEPORT,NY,11565,07/10/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,33,04/29/2020,04/22/2020,1
RESIDENTIAL FENCES CORP.,1775 MIDDLE COUNTRY RD,,RIDGE,NY,11961,10/06/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,73,03/20/2020,12/14/2019,2
RESNICK ENERGY LLC,85 KAUFMAN ROAD,PO BOX 10,MONTICELLO,NY,12701,09/26/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
RESNICK SUPERMARKET EQUIPMENT,510 WILD TURNPIKE ROAD,PO BOX 368,MOUNTAINDALE,NY,12763,04/16/2015,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,0,,,0
RESOURCE CENTER FOR INDEPENDENT LIVING,PO BOX 210,,UTICA,NY,13503,10/13/2011,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,2553,05/06/2020,05/05/2020,4
RESOURCE RECOVERY CENTER OF ORANGE COUNTY,68 CRYSTAL RUN ROAD,,MIDDLETOWN,NY,10941,04/08/2020,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,0,,,1
RESPICAIR P.C.,766 MAIN STREET,,NIAGARA FALLS,NY,14301,09/18/2008,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,6,06/30/2009,,1
"RESPIRATORY SERVICES OF WNY, INC",80 FRENCH ROAD,,CHEEKTOWAGA,NY,14227,06/27/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,36,03/31/2020,02/11/2020,1
"RESPONSE ELECTRIC, INC.",36 FROST STREET,,BROOKLYN,NY,11211,08/30/2017,PAYING,ACTIVE,05/07/2020,N,N,Y,N,Y,Y,N,N,N,42,02/25/2020,02/25/2020,1
RESTANI CONSTRUCTION CORP.,4204 BERRIAN BLVD.,STREET ADDRESS 2,ASTORIA,NY,11105,05/05/2020,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
RESTOR TECHNOLOGIES INC,16 NORDEN LN,,HUNTINGTON STA,NY,11746,09/24/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,11,09/25/2019,11/18/2014,3
"RETAIL PROJECT MANAGEMENT OF NY, INC.",925 LINCOLN AVENUE UNIT 11,,HOLBROOK,NY,11741,04/17/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,35,03/05/2020,12/30/2019,1
"RETAILER FLOORING SOLUTIONS, INC.",5611R BUSINESS AVENUE,,CICERO,NY,13039,12/01/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,26,02/04/2020,11/21/2019,2
RETAILPROFESSIONAL&IT SERVICES INC,247 MCCLEAN AVE,,STATEN ISLAND,NY,10305,05/17/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
RETIRED & SENIOR VOLUNTEER PROGRAM (RSVP),696 UPPER GLEN ST,,QUEENSBURY,NY,12804,09/28/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,64,02/11/2020,01/20/2020,1
RETLIF TESTING LABORATORIES,795 MARCONI AVENUE,,RONKONKOMA,NY,11779,06/19/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,2,09/16/2019,03/01/2019,2
"REV HOOPES TRUCKING, LLC",1004 EMPSON ROAD,PO BOX 398,ULYSSES,PA,16948,01/22/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
REV'IT! SPORT USA,275 CONOVER STREET STE 5P,,BROOKLYN,NY,11231,12/19/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,0,,,1
REVCO ELECTRICAL SUPPLY INCORPORATED,360 COUNTY ROAD 39A,,SOUTHAMPTON,NY,11968,04/28/2010,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,11,04/30/2018,03/29/2019,2
REVEILLE TECHNOLOGIES INC,JOHNSTON BUILDING,"212 SOUTH TRYON STREET, SUITE 1600",CHARLOTTE,NC,28281,02/14/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,0,,,1
"REVELL OIL AND CONSTRUCTION CO., INC.",1949 COUNTY ROUTE 1,,OSWEGO,NY,13126,09/22/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
REVIVAL HOME HEALTH CARE,5350 KINGS HIGHWAY,,BROOKLYN,NY,11203,06/23/2009,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,N,Y,N,N,N,0,,,0
REWARDING ENVIRONMENTS FOR ADULT LIVING INC,32 BELMONT BLVD,,ELMONT,NY,11003,07/24/2013,PAYING,ACTIVE,05/07/2020,N,Y,Y,Y,N,Y,N,N,N,53,03/17/2020,05/16/2019,3
REXFORD FIRE DISTRICT,1601 ROUTE 146,,REXFORD,NY,12148,04/12/2011,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,25,09/12/2019,12/11/2018,1
REYCRAFT TRUCKING LLC,65 LOCUST AVE,,STATEN ISLAND,NY,10306,06/01/2016,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,0,07/10/2017,08/15/2017,0
"REYNO CAR SERVICE, INC.",199 AUDUBON AVENUE,,NEW YORK,NY,10033,03/23/2015,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,1,03/15/2016,03/15/2016,0
REYNOLDS DRAPERY SERVICE,7440 MAIN ST,PO BOX 470,NEWPORT,NY,13416,09/15/2010,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,N,N,N,N,N,2,08/16/2011,,1
RH CROWN CO INC,100 N MARKET ST,,JOHNSTOWN,NY,12095,10/15/2015,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,8,01/13/2020,12/20/2019,1
"RHH ENTERPRISES, INC.",84 AERO DRIVE,,CHEEKTOWAGA,NY,14225,02/20/2020,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,0,,,1
"RHINEBECK AT HOME, INC",P.O. BOX 437,,RHINEBECK,NY,12572,01/14/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,87,02/18/2020,12/10/2019,2
RHINEBECK CENTRAL SCHOOL DISTRICT,45 NORTH PARK ROAD,,RHINEBECK,NY,12572,11/28/2011,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,46,09/05/2019,10/19/2018,1
RHINEBECK FORD,3667 RT 9G,,RHINEBECK,NY,12572,12/03/2009,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,42,03/17/2020,,1
RHINEBECK VILLAGE,76 EAST MARKET STREET,,RHINEBECK,NY,12572,08/20/2009,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,N,Y,N,N,N,60,11/01/2019,11/21/2019,1
RHINECLIFF FIRE DISTRICT,17 SHATZELL AVENUE,PO BOX 181,RHINECLIFF,NY,12574,09/27/2012,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,2,04/26/2018,,1
RHM HOLDING INC.,733 WAITE ROAD,,CLIFTON PARK,NY,12065,06/18/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,0,,,1
"RICAR MEDICAL TRANSPORTATION SERVICES, INC.",307 AVENUE B,PO BOX 2326,RONKONKOAM,NY,11779,08/05/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,14,11/15/2019,12/06/2019,1
"RICCELLI ENTERPRISES, INC",6131 EAST TAFT ROAD,,NORTH SYRACUSE,NY,13212,05/31/2014,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,191,05/05/2020,02/05/2020,3
"RICCELLI TRUCKING, INC",6131 E.TAFT RD.,,N SYRACUSE,NY,13212,01/07/2010,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,17,02/22/2010,,0
RICCI AND SONS TOWING,773 LINDEN AVE,,ROCHESTER,NY,14625,04/26/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,21,04/27/2020,01/22/2020,1
RICH  GARDNER CONSTRUCTION COMPANY INC,206 PLUM STREET,,SYRACUSE,NY,13204,10/19/2011,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,N,Y,Y,N,N,48,03/02/2016,03/12/2020,1
RICH ALUMINUM & VINYL SIDING INC.,150 SARATOGA ROAD,,S GLENS FALLS,NY,12803,01/25/2007,PAYING,ACTIVE,05/07/2020,N,Y,Y,N,N,Y,N,N,N,0,,,1
RICHAIR MECHANICAL INC,6106 MAURICE AVE,,MASPETH,NY,11378,02/06/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,13,03/02/2020,01/31/2020,1
RICHARD DIODATI,2050 TIDEN AVENUE,,NEW HARTFORD,NY,13413,07/11/2002,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,Y,N,N,N,N,0,,,0
RICHARD GRADY,65 WEST BROADWAY,,CENTRAL NYACK,NY,10960,09/28/2000,EXEMPT,NOT ACTIVE,05/07/2020,N,N,Y,N,N,N,N,N,N,0,,,0
RICHARD GRAY TRUCKING LLC,PO BOX 328 BAINBRIDGE,1777 ST HWY 7 BAINBRIDGE,BAINBRIDGE,NY,13733,12/12/2013,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,10,04/24/2020,03/02/2020,1
RICHARD H LIST INC,7005 DUNNSVILLE RD,,ALTAMONT,NY,12009,05/18/2004,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,N,N,N,N,N,N,10,08/03/2007,,0
RICHARD J WALTON,2877 DITMAR RD,PO BOX 266,WEEDSPORT,NY,13166,01/23/2017,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,0,,,1
RICHARD JANUTA,111 CONGRESS AVENUE,SUITE 1100,AUSTIN,TX,78701,05/02/2003,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,Y,N,N,N,N,0,,,0
RICHARD MCGRATH,9 CEDAR AVE,,ORANGEBURG,NY,10962,12/11/2000,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,N,N,N,N,N,0,,,0
"RICHARD W. WAKEMAN, INC.",PO BOX 66,,SIDNEY,NY,13838,06/27/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,4,11/01/2019,,1
RICHARD WESTFALL DBA WESTFALL AUTO SALES,772 NY ROUTE 7,PO BOX 605,PORT CRANE,NY,13833,08/15/2012,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,0,,,1
"RICHARDS PLUMBING & HEATING CO., INC.",231 KENT STREET,,BROOKLYN,NY,11222,05/10/2007,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,16,03/29/2019,11/04/2019,1
RICHARDS TRUCKING LLC,201 RTE. 3,,TUPPER LAKE,NY,12986,02/13/2013,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,8,02/11/2020,12/23/2019,1
RICHELIEU AMERICA,47 ANDERSON ROAD,,BUFFALO,NY,14225,10/11/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,Y,Y,N,4,01/29/2020,,1
RICHFIELD SPRINGS CENTRAL SCHOOL,93 MAIN ST,,RICHFIELD SPNGS,NY,13439,02/13/2008,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,15,07/09/2019,06/27/2019,1
RICHFIELD SPRINGS FIRE DEPT,34 EAST JAMES STREET,,RICHFLD SPGS,NY,13439,09/08/2018,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,N,N,35,11/03/2019,05/06/2020,1
RICHMAR CONTROLS & SERVICE,851 MCLEAN AVENUE,,YONKERS,NY,10704,04/11/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,16,11/21/2019,04/09/2020,2
RICHMOND CO,1355 CASTLETON AVE,,STATEN ISLAND,NY,10310,04/16/1999,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,N,N,N,N,N,45,05/08/1999,,0
RICHMOND COMMUNITY SERVICES,272 NORTH BEDFORD ROAD,,MOUNT KISCO,NY,10549,03/02/2011,PAYING,ACTIVE,05/07/2020,N,Y,Y,N,Y,Y,N,N,N,290,03/16/2020,04/28/2020,2
RICHMOND CONSTRUCTION ASSOCIATES,765 FOREST AVE STE 170,,STATEN ISLAND,NY,10310,11/21/2019,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,6,03/16/2020,01/28/2020,1
RICHMOND COUNTY AMBULANCE,1355 CASTLETON AVENUE,,STATEN ISLAND,NY,10310,09/30/2014,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,Y,N,293,05/04/2020,04/10/2020,2
RICHMOND COUNTY DA,130 STUYVESANT PLACE,,STATEN ISLAND,NY,10301,10/04/2012,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,Y,2,10/11/2013,,0
RICHMOND COUNTY DA,130 STUYVESANT PLACE,,STATEN ISLAND,NY,10301,09/28/2012,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,Y,0,,,0
RICHMOND COUNTY DA,130 STUYVESANT PLACE,,STATEN ISLAND,NY,10301,09/28/2012,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,0
RICHMOND COUNTY DA,13 STUYVESANT PLACE,,STATEN ISLAND,NY,10301,03/02/2017,        ,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,Y,34,06/27/2019,06/27/2019,1
RICHMOND COUNTY PUBLIC ADMINISTRATOR,130 STUYVESANT PLACE SUITE 402,,STATEN ISLAND,NY,10301,04/05/2013,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,N,N,N,3,04/15/2013,,1
RICHMOND READY MIX CORP,291 CHELSEA ROAD,,STATEN ISLAND,NY,10314,02/15/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,N,Y,Y,N,Y,N,23,03/19/2020,01/23/2020,1
"RICHMONDVILLE VOLUNTEER EMERGENCY SQUAD, INC",328 MIAN ST,,RICHMONDVILLE,NY,12149,06/22/2008,EXEMPT,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,N,Y,N,N,N,0,,,0
"RICHVILLE VOLUNTEER FIRE CO., INC.",PO BOX 51,,RICHVILLE,NY,13681,03/05/2016,EXEMPT,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,21,02/17/2020,02/17/2020,1
RICKEY CAMERON,173 BROWNS ROAD,,WALDEN,NY,12586,10/22/2002,PAYING,NOT ACTIVE,05/07/2020,N,N,Y,N,Y,N,N,N,N,0,,,0
RID-O-VIT,PO BOX 11574,,SYRACUSE,NY,13218,02/16/2008,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,Y,N,7,11/20/2019,01/28/2020,1
RIDE RIGHT LLC,1662 ROUTE 300 SUITE 121,,NEWBURGH,NY,12550,02/29/2016,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,1
RIDE WITH P.R.I.D.E.,6361 MEADVILLE RD,,MIDDLEPORT,NY,14105,07/08/2009,PAYING,NOT ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,0,,,0
"RIDECHEK,LLC",4 NOTTINGHAM DRIVE,,FLORHAM PARK,NJ,07932,12/14/2018,PAYING,ACTIVE,05/07/2020,Y,Y,Y,Y,Y,Y,Y,N,N,10,01/13/2019,,2
