Application Type,Application Number,Process Date,Issued Date,Final Date,Expire Date,Type and purpose of work,Use Group,Watershed,Tributary,WSSC map grid,Tax map,Location,Street number,Street Pre direction,Street name,Street Post direction,Street suffix,City,State,Zip Code,Count Street Map Coordinate,Disturbed Area 100 Year FD,Impervious Surface 100 Year FD,State Water Use,Comments,Location1
FLOODPLAIN DISTRICT PERMIT,205024,05/18/2000,,,,"DISTURB 100YRFP:GARDENING,PLANTS,FENCE,BRIDGES",,GSC,TRIB#60,229NW8,GV,,8001,,EXODUS,,DR,GAITHERSBURG,MD,20882,10K11,21780,4791.60,0,,"8001 EXODUS DR
GAITHERSBURG, MD 20882
(39.20417, -77.164377)"
FLOODPLAIN DISTRICT PERMIT,249293,10/09/2006,03/16/2007,12/07/2009,12/07/2011,"PROPOSED STORM DRAIN SYSTEM FIELD CONNECTS INTO EXISTING 54"" CULVER, WHICH IS WITHIN 100 YEAR FLOODPLAIN.",,LRC,UNNAMED,209NW04,HN342,,7900,,CONNECTICUT,,AVE,CHEVY CHASE,MD,20815,,420,0,0,"Parcels P908, P913, P703, N303, P502","7900 CONNECTICUT AVE
CHEVY CHASE, MD 20815
(38.989133, -77.077229)"
FLOODPLAIN DISTRICT PERMIT,368579,04/25/2019,,,,"PROVIDE THE DRAINAGE AREA OF THE WATERSHED ABOV E THE FLOODPLAIN DISTURBANCE, 42.1 ACRES.",,PRD,,215NE01,JQ62,,11812,,NEW HAMPSHIRE,,AVE,SILVER SPRING,MD,20904,E11C,38760,,0,,"11812 NEW HAMPSHIRE AVE
SILVER SPRING, MD 20904
(39.049736, -76.993272)"
FLOODPLAIN DISTRICT PERMIT,281213,10/02/2012,08/01/2014,11/17/2015,08/01/2016,"LOWER PERMANENT POOL, PROVIDE TEMP DIVERSION, REPL EXIST RISER W/ CAST IN PLACE CONCRETE RISER. REALIGN FOOTPATH AWAY FROM 100 YR WATER SURFACE ELEV.",,GSC,,225NW09,FT63,,18700,,CROSS COUNTRY,,LN,GAITHERSBURG,MD,20879,,"52,871",,0,WHETSTONE RUN SWM RETROFIT ASSET #11393,"18700 CROSS COUNTRY LN
GAITHERSBURG, MD 20879
(39.161085, -77.180838)"
FLOODPLAIN DISTRICT PERMIT,274184,05/07/2012,06/04/2012,,06/04/2014,PERMANENT BREACH OF POND EMBANKMENT,,PBR,,215NE02/215NE03,,,2201,,TECH,,RD,SILVER SPRING,MD,20904,5287/F2,,,0,Former WSSC Composting Facility,"2201 TECH RD
SILVER SPRING, MD 20904
(39.052446, -76.96903)"
FLOODPLAIN DISTRICT PERMIT,243591,02/23/2006,06/20/2006,,06/20/2008,PROJECT INVOLVES THE REVERSAL OF DIRECTION FOR THE CURRENT 18TH HOLE OF BLUE COURSE. WORK INVOLVES GRADING AND NEW CART PATH.,CONS,CJC,,209NW08,,,8500,,RIVER,,RD,BETHESDA,MD,20817,GN12,13070,3550,0,18TH HOLE RENOVATION,"8500 RIVER RD
BETHESDA, MD 20817
(38.999234, -77.17405)"
FLOODPLAIN DISTRICT PERMIT,350757,12/23/2015,,,,FILL PLACEMENT TO DECREASE OF POSSIBILITY THAT THE EXISTING HOUSE WILL BE INUNDATED BY FLOOD WATERS.,SFD,,,213NW3,HP563,,3511,,KENT,,ST,KENSINGTON,MD,20895,5285 J7,4600,20,0,,"3511 KENT ST
KENSINGTON, MD 20895
(39.0227, -77.071489)"
FLOODPLAIN DISTRICT PERMIT,217085,05/17/2002,05/29/2002,07/28/2003,,FOR ALLEGHANY POWER TO INSTALL ELECTRIC LINE ACROSS FLOODPLAIN TO SERVE THE HOUSE ON LOT NO 13(HAYS HAVEN SUBDIVISION-STEIN RESIDENCE).,,LMR,,231NW19-232NW19,CV&CW,,22841,W,HARRIS,,RD,DICKERSON,MD,20842,7FG4-5,1000,0,0,Lot 13,"W 22841 HARRIS RD
DICKERSON, MD 20842"
FLOODPLAIN DISTRICT PERMIT,274622,05/24/2012,05/08/2013,02/14/2018,05/08/2015,CONST PIPE OUTFALL FOR SWM FACILITY. DISTURBANCE IS TO BE TEMP & NO FILLING OF THE FLOODPLAIN WILL BE REQUIRED. TOTAL DISTURBANCE TO BE 450 SQ FT,SWIMPL,LFB,,207NW06,,,7117,,MACARTHUR,,BLVD,BETHESDA,MD,20816,GM563,450,,0,,"7117 MACARTHUR BLVD
BETHESDA, MD 20816
(38.959671, -77.131752)"
FLOODPLAIN DISTRICT PERMIT,324086,10/07/2014,12/15/2014,,12/15/2016,"SUBDIVISION DEVELOPMENT, Stream restoration.",,LRC,,212NW05,HP122,,5400,,GROSVENOR,,LN,BETHESDA,MD,20814,5285 C7,8336,0,0,,"5400 GROSVENOR LN
BETHESDA, MD 20814
(39.022644, -77.10914)"
FLOODPLAIN DISTRICT PERMIT,298725,08/07/2013,01/13/2014,12/17/2014,01/13/2016,"NO MAPPED FP, ISLAND STABILIZER USING STONE AND BIOENGINEERING",,GSC,,225NW10,42,,10120,,APPLE RIDGE,,RD,MONTGOMERY VILLAGE,MD,20886,,17070,1800,0,,"10120 APPLE RIDGE RD
MONTGOMERY VILLAGE, MD 20886
(39.185043, -77.209174)"
FLOODPLAIN DISTRICT PERMIT,223395,07/31/2003,,,,SFD LOT GRADING,,PBR,,217NW01,,,12808,,GREENBRIAR,,ST,SILVER SPRING,MD,20904,,1200,1000,0,Lots 14 & 15/D,"12808 GREENBRIAR ST
SILVER SPRING, MD 20904"
FLOODPLAIN DISTRICT PERMIT,227409,03/16/2004,03/30/2004,,03/31/2006,REGRADE & STABILIZE AREA DISTURBED BY UNAUTHORIZED DEPOSITING OF OFF SITE FILL MATERIAL TO ORIGINAL CONTOURS,,GSC,,,,,19501,,WHITE GROUND,,RD,BOYDS,MD,20841,,21780,0,0,parcels P110 & N983,"19501 WHITE GROUND RD
BOYDS, MD 20841
(39.175415, -77.322905)"
FLOODPLAIN DISTRICT PERMIT,257726,05/09/2008,05/14/2008,,05/14/2010,"REMOVE TWO EXISTING WOOD BRIDGES AND REPLACE WITH TWO NEW WOOD BRIDGES AT 15 WEST LENOX ST. CHEVY CHASE, MD 20815.",SFD,LFB,,208NW04,HN 341,,15,W,LENOX,,ST,CHEVY CHASE,MD,20815,41 C-1,590,88,0,FLOODPLAIN PERMIT/SINGLE FAMILY DWELLING,"W 15 LENOX ST
CHEVY CHASE, MD 20815"
FLOODPLAIN DISTRICT PERMIT,220177,01/17/2003,01/27/2003,,01/28/2005,REMOVAL OF SEDIMENT FROM FOREBAY OF POND #3.  STANDARD MAINTENANCE ACTIVITY RECOMMENDED BY MCDEP. SLDA  #207193,,PRD,,,,,1000,,OAKLYN,,DR,ROCKVILLE,MD,20854,,,,0,LET DEON KNOW WHEN THIS PERMIT IS APPROVED.,"1000 OAKLYN DR
ROCKVILLE, MD 20854"
FLOODPLAIN DISTRICT PERMIT,324108,10/07/2014,12/29/2014,03/23/2016,12/29/2016,TO REVISE MONTGOMERY COUNTY ULTIMATE CONDITION FLOODPLAIN ADJACENT TO PROJECT SITE.,,NWB,,218nw02,JR22,,13500,,LAYHILL,,RD,SILVER SPRING,MD,20906,"5166 b-8, c-8",31031,22255,0,,"13500 LAYHILL RD
SILVER SPRING, MD 20906
(39.077841, -77.046352)"
FLOODPLAIN DISTRICT PERMIT,230204,07/02/2004,02/14/2005,06/21/2010,06/21/2012,"REPLACEMENT OF RISER STRUCTURE WITH A WEIR, RETROFITTING OF EXISTING SWM POND.",CONS,MBR,MUDDY BRAN,210NW,,,9710,,GREAT SENECA,,HWY,ROCKVILLE,MD,20850,28D4,0,0,0,,"9710 GREAT SENECA HWY
ROCKVILLE, MD 20850
(39.101162, -77.20546)"
FLOODPLAIN DISTRICT PERMIT,268285,02/11/2011,03/07/2011,,03/07/2013,THE APPLICANT WOULD LIKE TO INSTALL LANDSCAPE PLANTS WITHIN THE 100-YEAR FLOODPLAIN LIMITS AS SHOWN ON THE ATTACAHED PLAN,,CJC,BUCK BRNCH,213NW9,FP563,,8918,,HARVEST SQUARE,,CT,POTOMAC,MD,20854,34G4,"4,500",0.0,0,,"8918 HARVEST SQUARE CT
POTOMAC, MD 20854
(39.025663, -77.185761)"
FLOODPLAIN DISTRICT PERMIT,267617,11/18/2010,12/09/2010,,12/09/2012,"PROPOSED ADDITION TO EXISTING SFD,& TO ELEVATE ABOVE FEMA /COUNTY 100-YR FLOODPLAIN AT 25FT FPBRL,AT 8408 BEECH TREE RD,BETHESDA(BURNING TREE VALLEY).",,CJC,BOOZE CRK,210NW07,GN343,,8408,,BEECH TREE,,RD,BETHESDA,MD,20817,35C9,"25,265",875,0,,"8408 BEECH TREE RD
BETHESDA, MD 20817
(38.993852, -77.142173)"
FLOODPLAIN DISTRICT PERMIT,361426,12/28/2017,01/25/2018,10/03/2018,01/25/2020,PROP . STORMWATER RETROFIT CREATING A SEDIMENT CONTROL FOREBAY IN EXISTING STORMWATER WET POND.,,,,,,,10000,,OAKLYN,,DR,POTOMAC,MD,20854,,"65,177 SF",,0,,"10000 OAKLYN DR
POTOMAC, MD 20854
(38.992688, -77.195244)"
FLOODPLAIN DISTRICT PERMIT,363835,06/12/2018,,,,Emergency Repairs to Montevideo Road over Dry Seneca Creek Bridge No. M-0300  CIP No: 509753.,,,,,,,14525,,MONTEVIDEO,,RD,POOLESVILLE,MD,20837,,18203,,0,,"14525 MONTEVIDEO RD
POOLESVILLE, MD 20837
(39.095236, -77.348121)"
FLOODPLAIN DISTRICT PERMIT,221904,05/28/2003,06/25/2003,,06/25/2005,STORMDRAIN OUTFALL FOR THE SWM FACILITY TO SERVE A FUTURE SCHOOL,,CJC,,212NW9,,,9441,,NEWBRIDGE,,DR,POTOMAC,MD,20854,,450,,0,Lot 1/1; SC #207479,"9441 NEWBRIDGE DR
POTOMAC, MD 20854
(39.011908, -77.194226)"
FLOODPLAIN DISTRICT PERMIT,272220,12/13/2011,09/18/2012,,09/18/2014,"RE-BUILD POND EMBANKMENT TO MEET MD-378 STANDARDS. ALSO, AS A CONDITION OF SWM FILE #233074.",,GSC,,236NW09,FX62,,9190,,DAMASCUS,,RD,DAMASCUS,MD,20872,,63000,0,0,STERN PROPERTY - SENECA SPRINGS,"9190 DAMASCUS RD
DAMASCUS, MD 20872
(39.283158, -77.190591)"
FLOODPLAIN DISTRICT PERMIT,267445,11/02/2010,11/19/2010,,11/19/2012,"DREDGING OF PONDS,ALL DISTURBANCE IS WITHIN THE 100 YR FLOOD PLAIN FOR THE PONDS",,,,210NW4,,,7900,,CONNECTICUT,,AVE,CHEVY CHASE,MD,20815,5407 2H,17450,,0,,"7900 CONNECTICUT AVE
CHEVY CHASE, MD 20815
(38.989133, -77.077229)"
FLOODPLAIN DISTRICT PERMIT,200961,10/20/1999,10/22/1999,,,"BUILD FENCE,REMOVE DEBRIS,STABILIZE BANKS IN FP",,WBR,SANDY BR,216NW12,"ER561, EQ563",,12221,,GLEN,,RD,POTOMAC,MD,20854,27G10,6534,4356,0,,"12221 GLEN RD
POTOMAC, MD 20854
(39.064942, -77.253761)"
FLOODPLAIN DISTRICT PERMIT,222250,06/10/2003,12/01/2003,11/19/2009,11/19/2011,"CONSTRUCT SINGLE FAMILY HOMES, LOTS 27-34",,GSC,,235NW10,,,9700,,HAWKINS CREAMERY,,RD,GAITHERSBURG,MD,20882,,1389564,111516,0,Lots 301-311/D This replaces FPDP 220646.,"9700 HAWKINS CREAMERY RD
GAITHERSBURG, MD 20882
(39.269736, -77.200608)"
FLOODPLAIN DISTRICT PERMIT,256575,02/05/2008,02/20/2008,,02/20/2010,"REPLACE A EXISTING TIMBER BRIDGE M10-05 WITH A NEW SINGLE SPAN PRE-FABRICATED FIBERGLASS BRIDGE AT ROCK CRK REGIONAL PK,5100 MEADOWSIDE LA,LK BERNARD.",CONS,URC,LK BERND F,220NW6,GS561,,5100,,MEADOWSIDE,,LN,ROCKVILLE,MD,20855,29H2,200,0,0,,"5100 MEADOWSIDE LN
ROCKVILLE, MD 20855
(39.112665, -77.106502)"
FLOODPLAIN DISTRICT PERMIT,278971,08/20/2012,09/11/2012,05/02/2017,09/11/2014,Water main construction and placement of riprap at proposed storm-water management outfall structure,CONS,URC,UNNAMED,213/214NW5,HT343,,18241,,BOWIE MILL,,RD,OLNEY,MD,20832,5049 F5/6,2850,0,0,,"18241 BOWIE MILL RD
OLNEY, MD 20832
(39.156916, -77.089749)"
FLOODPLAIN DISTRICT PERMIT,229842,06/11/2004,06/11/2004,,06/12/2006,INSTALL ALUMINUM PICKET & CHAIN LINK FENCE AT THE REAR OF THE PROPERTY IN 100-YR FLOODPLAIN.,CONS,ROR,UNNAMED,212NW10,FP342,,10011,,GARY,,RD,POTOMAC,MD,20854,34D5,0.20,0.10,0,Install Fence,"10011 GARY RD
POTOMAC, MD 20854
(39.021199, -77.211174)"
FLOODPLAIN DISTRICT PERMIT,241101,11/08/2005,07/17/2006,02/25/2011,02/25/2013,,,LPB,,217 & 218NE04,KR561 & 562,,13401,,DOGWOOD,,DR,SILVER SPRING,MD,20904,,1685,0,0,"Lots 1-30/A; Parcels A, B, C","13401 DOGWOOD DR
SILVER SPRING, MD 20904
(39.076363, -76.936897)"
FLOODPLAIN DISTRICT PERMIT,244627,03/27/2006,03/27/2006,,03/27/2008,REMOVE FAILED CORRUGATED METAL PIPE CULVERT INSTLLED IN1987 WITH A NEW REINFORCED CONCRETE PIPE.,,LPB,,,KS61,,4000,,BLACKBURN,,LN,BURTONSVILLE,MD,20866,,3000,625,0,Parcel C,"4000 BLACKBURN LN
BURTONSVILLE, MD 20866
(39.104719, -76.929861)"
FLOODPLAIN DISTRICT PERMIT,234073,02/04/2005,02/15/2005,12/11/2012,02/15/2007,STORMWATER MANAGEMENT POND OUT OUTFALL,,WBR,,217NW11,,,13109,,PINEY MEETINGHOUSE,,RD,POTOMAC,MD,20854,,189109,0,0,"Lots 1-11/A, Parcels A & B","13109 PINEY MEETINGHOUSE RD
POTOMAC, MD 20854
(39.070561, -77.225664)"
FLOODPLAIN DISTRICT PERMIT,203346,02/23/2000,03/15/2001,,,CONSTRUCTION OF MAINTENANCE YARD & SMALL BRIDGE ACROSS 100-YEAR FLOODPLAIN.,,URC,UNNAMED,225NW7,"GT343, GT562",,18400,,MUNCASTER MILL,,RD,GAITHERSBURG,MD,20877,20D5,10018,0.00,0,,"18400 MUNCASTER MILL RD
GAITHERSBURG, MD 20877"
FLOODPLAIN DISTRICT PERMIT,211021,03/28/2001,03/28/2001,05/08/2003,,"INSTALL A 10' X 16' DECK WITH 56FT OF FENCE  6FT HIGH,BOTH ENCROACHING IN THE 25 FT.FPBRL.",,GSC,L.WHETSTON,225NW8,GT123,,18337,,HALLMARK,,CT,GAITHERSBURG,MD,20879,19K6,120,120,0,,"18337 HALLMARK CT
GAITHERSBURG, MD 20879
(39.155662, -77.170511)"
FLOODPLAIN DISTRICT PERMIT,354991,10/19/2016,10/25/2016,,10/25/2018,Grading from construction of new house will temporarily impact 25' setback.  No impact or disturbance to 100-yr floodplain.,CONS,CJC,,211NW06,GP51,,8830,,RIDGE,,RD,BETHESDA,MD,20817,5284 K-10,1150,0,0,,"8830 RIDGE RD
BETHESDA, MD 20817
(39.000694, -77.128927)"
FLOODPLAIN DISTRICT PERMIT,352111,04/12/2016,,,,Stormwater Management facility outfalls and removal fo existing asphalt pavement,,,,224NW02,HQ562,,11901,,CLARIDGE,,RD,SILVER SPRING,MD,20902,30/E12,377,0,0,Renovation of existing park facilities,"11901 CLARIDGE RD
SILVER SPRING, MD 20902
(39.05001, -77.067746)"
FLOODPLAIN DISTRICT PERMIT,270218,06/27/2011,06/27/2011,,06/27/2013,STREAM RESTORATION AND TRAIL MAINTENANCE,,PRD,,,,,20930,,LAKE RIDGE,,DR,BOYDS,MD,20841,"9,18","11,800","1,200",0,,"20930 LAKE RIDGE DR
BOYDS, MD 20841
(39.202125, -77.286934)"
FLOODPLAIN DISTRICT PERMIT,213663,09/10/2001,10/12/2001,,,"REMODEL & UPDATE SUBJECT SYNAGOGUE, INCLUDING SIDEWALK REMPLACEMENT",,LRC,,210NW3,HN563,,8300,,MEADOWBROOK,,LN,CHEVY CHASE,MD,20815,36F10,1300,2600,0,,"8300 MEADOWBROOK LN
CHEVY CHASE, MD 20815
(38.993158, -77.060213)"
FLOODPLAIN DISTRICT PERMIT,241098,11/07/2005,11/28/2005,08/19/2009,08/19/2011,CONSTRUCT STORM DRAIN OUTFALL & SEWER OUTFALL.,,LPB,,218NE04,KR562,,3965,,GREENCASTLE,,RD,BURTONSVILLE,MD,20866,32E7,4100,0,0,Lots 28-38; Parcels C & D,"3965 GREENCASTLE RD
BURTONSVILLE, MD 20866
(39.080603, -76.930262)"
FLOODPLAIN DISTRICT PERMIT,257771,05/13/2008,11/21/2008,01/07/2014,11/21/2010,POND OUTFALL,CONS,LPB,,221 NE 04,KS 562,,15600,,OLD COLUMBIA,,PIKE,BURTONSVILLE,MD,20866,32 E1,1944,0,0,,"15600 OLD COLUMBIA PIKE
BURTONSVILLE, MD 20866
(39.110677, -76.933672)"
FLOODPLAIN DISTRICT PERMIT,229882,06/14/2004,10/10/2006,,10/10/2008,"NEW SUBDIVISION OF 31 SFD, PARCELS 333, 444, 688",,GSC,,236NW08/09,FX562,,9100,,DAMASCUS,,RD,DAMASCUS,MD,20872,4G9,0,0,0,,"9100 DAMASCUS RD
DAMASCUS, MD 20872
(39.283044, -77.18826)"
FLOODPLAIN DISTRICT PERMIT,272611,01/19/2012,04/03/2012,,04/03/2014,"DEMOLITION OF EXISTING STRUCTURE WITHIN FLOODPLAIN, INSTALLATION OF STORM DRAIN OUTLET STRUCTURES 10 AND 30.",,,,223NW19,CT341,,19420,,FISHER,,AVE,POOLESVILLE,MD,20837,16D10,8400,0,0,"DEMOLITION OF EXISTING STRUCTURE WITHIN FLOODPLAIN, INSTALLATION OF STORM DRAIN OUTLET STRUCTURES 10 AND 30.","19420 FISHER AVE
POOLESVILLE, MD 20837
(39.137512, -77.405958)"
FLOODPLAIN DISTRICT PERMIT,248195,08/18/2006,04/26/2007,10/26/2009,10/26/2011,CONSTRUT & GRADING FOR A NEW SFD.,CONS,WBR,SANDY BR,,ER61,,11708,,CENTURION,,WAY,POTOMAC,MD,20854,27J8,,,0,,"11708 CENTURION WAY
POTOMAC, MD 20854
(39.072913, -77.242194)"
FLOODPLAIN DISTRICT PERMIT,225416,11/19/2003,11/21/2003,,11/21/2005,BUILD A DECK WHERE 4 OR 5 POSTS AND FOOTINGS WILL BE NO MORE THAN 10' INSIDE THE 25' BUFFER ZONE OF THE 100-YEAR FLOODPLAIN LIMIT.,CONS,CJC,BOOZE CRK,210NW07,GN343,,8604,,BURNING TREE,,RD,BETHESDA,MD,20817,35D09,0.10,0,0,,"8604 BURNING TREE RD
BETHESDA, MD 20817
(38.996264, -77.139244)"
FLOODPLAIN DISTRICT PERMIT,354905,10/14/2016,01/27/2017,,01/27/2019,CONSTRUCTION OF A SINGLE FAMILY HOME WITH ASSOCIATED GRADING,,CJC,,,,,8020,,BRADLEY,,BLVD,BETHESDA,MD,20817,,4200,595,0,,"8020 BRADLEY BLVD
BETHESDA, MD 20817
(39.01011, -77.166037)"
FLOODPLAIN DISTRICT PERMIT,254992,10/09/2007,10/09/2007,,10/09/2009,TO CONSTRUCT TWO SHEDS IN FLOODPLAIN 25-FEET BUILDING RESTRICTION LIMIT--NOT TO EXCEED 12 FEET OF ENCROACHMENT IN THE 25 FT FPBRL.,SHED,CJC,SNAKEDEN B,215NW8,GQ124,,11805,,KIM,,PL,POTOMAC,MD,20854,28K13,871.2,871.2,0,,"11805 KIM PL
POTOMAC, MD 20854
(39.049027, -77.167469)"
FLOODPLAIN DISTRICT PERMIT,209946,01/25/2001,01/26/2001,,01/17/2005,"REPLACE 2 CULVERTED STREAM CROSSINGS WITH SINGLE-SPAN, CAST-IN-PLACE CONCRETE STRUCTURES",,URC,UNNAMED,223-224NW05,"HT121,HT122,HT341-42",,17200,,CASHELL,,RD,ROCKVILLE,MD,20853,"21A8,9",400,400,0,parcel 400; Permit extended,"17200 CASHELL RD
ROCKVILLE, MD 20853
(39.137517, -77.094454)"
FLOODPLAIN DISTRICT PERMIT,265347,04/20/2010,02/13/2012,,02/13/2014,TO CONSTRUCT A PUBLIC PARK. IMPACTS TO THE 100 YR FLOOD PLAIN INCLUDE RETROFIT OF THE EXISTING SWM CONTROL STRUCTURE AND CONST. OF STORM DRAIN OUTFALL,,LSC,,227NW13,EU42,,19840,,CENTURY,,BLVD,GERMANTOWN,MD,20874,5046-H1,"24,800 SF","3,250 SF",0,,"19840 CENTURY BLVD
GERMANTOWN, MD 20874
(39.181509, -77.26622)"
FLOODPLAIN DISTRICT PERMIT,346974,09/30/2015,,,,EXISTING SEWER MAIN LOCATED IN 100 YEAR FLOODPLAIN.  NECESSARY SEWER HOSE CONNECTION WORK TO BE PERFORMED WITH FLOOD PLAIN.,CONS,ROR,,211NW10,FP31,,10414,,OAKLYN,,DR,POTOMAC,MD,20854,34C-8,2090,0,0,,"10414 OAKLYN DR
POTOMAC, MD 20854
(39.003416, -77.213845)"
FLOODPLAIN DISTRICT PERMIT,211284,04/10/2001,07/05/2001,,,SANITARY SEWER CONECTION,,URC,GUNNERS BR,,,,19910,,FREDERICK,,RD,GERMANTOWN,MD,20876,,3706,0,0,,"19910 FREDERICK RD
GERMANTOWN, MD 20876
(39.181814, -77.238522)"
FLOODPLAIN DISTRICT PERMIT,218166,07/25/2002,01/06/2003,,01/06/2005,STREAM RESTORATION,,GSC,GOSHEN BR,229 & 230NW8,,,4400,,WOODFIELD,,RD,KENSINGTON,MD,20895,"11, A-10",6843,0,84,Lots 19 & 22,"4400 WOODFIELD RD
KENSINGTON, MD 20895
(39.022473, -77.090527)"
FLOODPLAIN DISTRICT PERMIT,203987,03/30/2000,03/30/2000,,,CONSTRUCT FENCE WHICH WILL CROSS FLOODPLAIN (25 FT BRL),,LRC,-,214 NW3,HQ 561,,3311,,GEIGER,,AVE,KENSINGTON,MD,20895,36 E2,435.60,435.60,0,,"3311 GEIGER AVE
KENSINGTON, MD 20895
(39.037103, -77.066445)"
FLOODPLAIN DISTRICT PERMIT,213761,09/19/2001,10/17/2001,,,CULVERT  CONSTRUCTION & GRADING WITHIN THE STREAM VALLEY BUFFER FOR ATHLETIC FIELD EXPANSION & CONSTRUCT A SWM OUTFALL,,LRC,,214NW5,,,4920,,STRATHMORE,,AVE,KENSINGTON,MD,20895,,6534,0,0,,"4920 STRATHMORE AVE
KENSINGTON, MD 20895
(39.034695, -77.098317)"
FLOODPLAIN DISTRICT PERMIT,205155,05/25/2000,07/03/2000,,,DREDGING OF EXISTING 1.8 ACRE IRRIGATION POND & CONSTRUCTION OF NEW 1.1 ACRE IRRIGATION POND,,URC,,,,,7000,,DORSEY,,RD,LAYTONSVILLE,MD,,,169884,169884,0,,"7000 DORSEY RD
LAYTONSVILLE, MD
(39.197241, -77.140379)"
FLOODPLAIN DISTRICT PERMIT,342852,08/10/2015,10/01/2015,03/16/2018,10/01/2017,INSTALL TEMPORARY ACCESS ROAD AND STAGIN AREA TO AID IN DREDGING THE EXISTING POND.  NO NEW PERMANENT STRUCTURES.,CONS,PRD,,"5283, C9",fp12,,11005,,CRIPPLEGATE,,RD,POTOMAC,MD,20854,,84521,0,0,,"11005 CRIPPLEGATE RD
POTOMAC, MD 20854
(39.009134, -77.23562)"
FLOODPLAIN DISTRICT PERMIT,273559,03/26/2012,03/26/2012,,03/26/2014,RETAINING WALL AND PEDESTRIAN BRIDGE INSTALLATION / STREAM RESTORATION,,LPB,,218NE04,KR62,,13802,,CASTLE,,BLVD,SILVER SPRING,MD,20904,5167 J7,13771,,0,,"13802 CASTLE BLVD
SILVER SPRING, MD 20904
(39.082785, -76.943268)"
FLOODPLAIN DISTRICT PERMIT,219037,10/07/2002,10/23/2002,07/03/2006,07/03/2008,"CONSTRUCT 8"" DIA SANITARY SEWER",,NWB,,219NW02,,,1625,,BONIFANT,,RD,SILVER SPRING,MD,20906,,4500,0,0,"Lots 1-25; Parcels A, B, C, D, E, F","1625 BONIFANT RD
SILVER SPRING, MD 20906
(39.093541, -77.038828)"
FLOODPLAIN DISTRICT PERMIT,351420,02/23/2016,03/16/2016,,03/16/2018,"The proposed work includes construction of entrance driveway, 18"" crossing culverts and endwalls, storm drain inlet, and sidewalk.",,MBR,,223NW09,FS63,,110,,CENTRAL,,AVE,GAITHERSBURG,MD,20877,E-10B,6430,3110,0,,"110 CENTRAL AVE
GAITHERSBURG, MD 20877
(39.132055, -77.184402)"
FLOODPLAIN DISTRICT PERMIT,246208,05/30/2006,11/23/2007,06/02/2008,06/02/2010,STREAM RESTORTATION,,NWB,,221NW02,JS22,,15711,,LAYHILL,,RD,SILVER SPRING,MD,20906,,60000,800,0,Stream Restoration,"15711 LAYHILL RD
SILVER SPRING, MD 20906
(39.111747, -77.03709)"
FLOODPLAIN DISTRICT PERMIT,281233,10/02/2012,03/10/2016,04/12/2018,03/10/2019,INSTALLATION OF EMERGENCY SPILLWAY RIP RAP CHANNEL AND POND GRADING,,GSC,,225NW09,,,9300,,WILLOW CREEK,,DR,MONTGOMERY VILLAGE,MD,20886,,"4,056",,12,WHETSTONE RUN SWM RETROFIT ASSET #11556,"9300 WILLOW CREEK DR
MONTGOMERY VILLAGE, MD 20886
(39.1564, -77.193539)"
FLOODPLAIN DISTRICT PERMIT,212253,06/11/2001,06/12/2001,,,BUILD A TENNIS COURT ABUTTING THE 100-YEAR FLOODPLAIN LIMITS.,,CJC,UNNAMED,212NW09,FP562,,10011,,BENTCROSS,,DR,POTOMAC,MD,20854,34F6,2000,1600,0,,"10011 BENTCROSS DR
POTOMAC, MD 20854
(39.019107, -77.193149)"
FLOODPLAIN DISTRICT PERMIT,258351,06/26/2008,,,,STORM DRAIN OUTFALL IN FLOODPLAIN,ASSEMB,LFB,BULLS RUN,211NW06,GP51,,6301,,GREENTREE,,RD,BETHESDA,MD,20817,,150 SQUARE FEET,0,0,,"6301 GREENTREE RD
BETHESDA, MD 20817
(39.001651, -77.127803)"
FLOODPLAIN DISTRICT PERMIT,315147,05/19/2014,12/23/2015,11/08/2018,12/23/2017,"Construct hiker-biker trail across Rock Creek using one 30-foot pedestrian bridge and one 70-foot pedestrian bridge, and boardwalk where necessary.",,URC,,216NW05,"HQ123,HQ121",,5601,,FISHERS,,LN,ROCKVILLE,MD,20852,"5165-C9,C10",48017,16359,0,,"5601 FISHERS LN
ROCKVILLE, MD 20852
(39.06281, -77.11241)"
FLOODPLAIN DISTRICT PERMIT,217544,06/20/2002,11/21/2002,02/11/2007,02/11/2009,"TO REMOVE EXISTING STREAM CROSSING,INSTALL 3 SEWER HOUSE CONNECTIONS, CONSTRUCT STEP POOLS FOR STREAM STABILIZATION, A BRIDGE AND DRIVEWAY",CONS,MBR,UNNAMED,217NW13,,,13300,,QUERY MILL,,RD,GAITHERSBURG,MD,20878,27C09,32670,6534,0,parcel 103,"13300 QUERY MILL RD
GAITHERSBURG, MD 20878
(39.074742, -77.281935)"
FLOODPLAIN DISTRICT PERMIT,271806,10/25/2011,10/26/2011,07/11/2017,10/26/2016,"CONSTRUCTION OF A NEW EDUCATION BUILDING, SITE INFRASTRUCTURE AND STORMWATER MANAGEMENT POND",BIOS,,GUNNERS BR,"226NW11,12,227NW11,",EU62,,20200,,OBSERVATION,,DR,GERMANTOWN,MD,20876,ROCKVILLE,10000,0,0,,"20200 OBSERVATION DR
GERMANTOWN, MD 20876
(39.184808, -77.246746)"
