Agency Name,Contact Name,CEO Title,Street Address,Street Address 2,City,Zip,County Name,Voice Number,Fax Number,Agency_Type
Warsaw Police Dept.,Jason Wenberg,Chief,181 West Harrison Street,P.O. Box 68,Warsaw,65355,BENTON,6604385522,6604385262,Municipal
Warson Woods Police Dept.,Robert Stanczak,Chief,10015 Manchester Rd,,Warson Woods,63122,ST. LOUIS,3149653100,3149652419,Municipal
Washburn Police Dept.,Terry Meek,Chief,P.O. Box 110,,Washburn,65772,BARRY,4178265242,4178265995,Municipal
Washington County Sheriff's Office,Zachary Jacobsen,Sheriff,116 W High St,,Potosi,63664,WASHINGTON,5734385478,5734388461,County
Washington Police Dept.,Edward Menefee,Chief,301 Jefferson St,,Washington,63090,FRANKLIN,6363901050,6363902455,Municipal
Washington University Police Dept,Mark Glenn,Chief,#1 Brookings Dr - Campus Box 1038,,St Louis,63130,ST. LOUIS,3149359011,,University
Waverly Police Dept.,James Plaggemeyer,Chief,111 Kelling Street,PO Box 162,Waverly,64096,LAFAYETTE,6604932914,6604932982,Municipal
Wayne County Sheriff's Office,Thomas Finch,Sheriff,PO Box 109,100 Maple Street,Greenville,63944,WAYNE,5732243219,5732243904,County
Waynesville Police Dept.,Daniel Cordova,Chief,201 North Street,,Waynesville,65583,PULASKI,5737742414,5737742195,Municipal
Weatherby Lake Police Department,Kevin Davis,Chief,7200 NW Eastside Dr,,Weatherby Lake,64152,PLATTE,8167418111,8167411480,Municipal
Webb City Police Dept.,Donald Melton,Chief,211 W Broadway St   PO Box 30,,Webb City,64870,JASPER,4176731911,4176735140,Municipal
Webster County Sheriff's Office,Roye Cole,Sheriff,101 S Crittenden Rm 32,,Marshfield,65706,WEBSTER,4178592247,4178593614,County
Webster Groves Police Dept.,Dale Curtis,Chief,4 South Elm Ave,,Webster Groves,63119,ST. LOUIS,3149635402,3149631510,Municipal
Wellington Police Dept.,Andrew Lockhart,Chief,P.O. Box 247,103 East 4th Street,Wellington,64097,LAFAYETTE,8169342666,8169342522,Municipal
Wellsville Police Dept.,Richard Daniels,Chief,200 W Hudson St,,Wellsville,63384,MONTGOMERY,5736842323,5736846161,Municipal
Wentzville Police Dept.,PAUL WEST,Acting Chief,1019 Schroeder Creek Blvd,,Wentzville,63385,ST. CHARLES,6363275105,6363275896,Municipal
West Plains Police Dept.,Stephen Monticelli,Chief,1912 Holiday Lane,,West Plains,65775,HOWELL,4172562244,4172572194,Municipal
West Sullivan Police Department,Jim Turntine,Mr.,56 Hwy WW,,West Sullivan,63080,CRAWFORD,5734685347,5734684501,Municipal
Weston Police Dept.,Terry Blanton,Chief,300 Main Street,,Weston,64098,PLATTE,8166402455,8166402336,Municipal
Wheaton Police Dept.,Clinton Danforth,Chief,PO Box 70,,Wheaton,64874,BARRY,4172362000,4176527162,Municipal
Willard Police Dept.,Thomas McClain,Chief,795 Hughes Road,PO Box 187,Willard,65781,GREENE,4177423077,4177424710,Municipal
Williamsville Police Dept.,Trevor Noisworthy,Chief,PO Box 88,,Williamsville,63967,WAYNE,5739982800,,Municipal
Willow Springs Police Dept.,Bryan Hogan,Chief,700 West Main,PO Box 190,Willow Springs,65793,HOWELL,4174693158,4174695050,Municipal
Winfield Police Dept.,William Burleson,Chief,PO Box 59,51 Harry's Way,Winfield,63389,LINCOLN,6365666936,6366656012,Municipal
Winona Police Dept.,Jon Tielking,Chief,202 Sapper Street,,Winona,65588,SHANNON,5733254247,5733258821,Municipal
Woodson Terrace Police Dept.,Randy Halstead,Chief,4305 Woodson Road,,Woodson Terrace,63134,ST. LOUIS,3144275858,3144270215,Municipal
Worth County Sheriff's Office,Terry Sheddrick,Sheriff,PO Box 36,11 West 4th Street,Grant City,64456,WORTH,6605642222,6605642225,County
Wright City Police Dept.,Matthew Eskew,Chief,203 Veterans Memorial Pkwy,,Wright City,63390,WARREN,6367453541,6367459978,Municipal
Wright County Sheriff's Office,Glenn Adler,Sheriff,125 Court Square,PO Box 250,Hartville,65667,WRIGHT,4177417576,4177416780,County
