Registration Number,Name,Street Address,City,State,Zip,Registration Date,Registration Expiration Date,Registration Status,Location
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD W APT 4,KENSINGTON,Maryland,20895-1815,,12/03/2018,Expired,"3141 UNIVERSITY BLVD W APT 4
KENSINGTON, Maryland 20895-1815
(39.035819, -77.06469)"
00-SA-000139,"Newco Electronics, Inc.",19401 Martinsburg Road,Dickerson,MD,20842,09/08/1987,09/08/1998,Expired,"19401 Martinsburg Road
Dickerson, MD 20842
(39.17303, -77.46539)"
06-SA-000326,"Allied Atlantic Contractors, LLC",314 Valley Brook Drive,Silver Spring,MD,20904,03/20/2010,03/20/2011,Expired,"314 Valley Brook Drive
Silver Spring, MD 20904
(39.057946, -77.002034)"
00-SA-000053,L. Electronics,18924 Lindenhouse Road,Gaithersburg,MD,20879,09/27/2012,09/27/2013,Expired,"18924 Lindenhouse Road
Gaithersburg, MD 20879
(39.166977, -77.190255)"
09-SA-000210,I & P Network Solutions,"3027 Hewitt Avenue, Apt. #467",Silver Spring,MD,20906,11/03/2009,11/03/2010,Expired,"3027 Hewitt Avenue, Apt. #467
Silver Spring, MD 20906
(39.0801, -77.061984)"
01-SA-000260,Bill's Appliance Service,13312 Pepper Court,Germantown,MD,20874,03/02/2009,03/02/2010,Expired,"13312 Pepper Court
Germantown, MD 20874
(39.169037, -77.277498)"
08-SA-000342,"Mark M. Services, LLC",14514 Anchor Lane,Boyds,MD,20841,03/28/2018,03/28/2019,Expired,"14514 Anchor Lane
Boyds, MD 20841
(39.172117, -77.300059)"
00-SA-000030,Adelphi University Lane TV/Radio,2426 University Blvd.,Hyattsville,MD,20783,06/24/1998,06/24/1999,Expired,"2426 University Blvd.
Hyattsville, MD 20783
(38.984581, -76.967325)"
00-SA-000436,Ron's Appliance Repairs,P.O. Box 358,Washington Grov,MD,20880,09/18/2010,09/18/2011,Expired,"P.O. Box 358
Washington Grov, MD 20880"
00-SA-000208,Rivas Enterprises,P.O. Box 59345,Potomac,MD,20854,08/06/1996,08/06/1997,Expired,"P.O. Box 59345
Potomac, MD 20854"
05-SA-000310,JBI Generator Service,7836 Airpark Road,Gaithersburg,Maryland,20879,03/02/2018,03/02/2019,Expired,"7836 Airpark Road
Gaithersburg, Maryland 20879
(39.170034, -77.160396)"
00-SA-000106,"Howell's Service, Inc.",P.O. Box 208,Lanham,MD,20703,11/04/2002,11/04/2003,Expired,"P.O. Box 208
Lanham, MD 20703"
00-SA-000027,"Adrian L. Merton, Inc.",9011 E HAMPTON DRIVE,CAPITOL HEIGHTS,MD,20743,10/08/2016,10/08/2017,Expired,"9011 E HAMPTON DRIVE
CAPITOL HEIGHTS, MD 20743
(38.883477, -76.850027)"
00-SA-000187,"Brother Sewing Machine of Washington, Inc.",4826 St. Elmo Avenue,Bethesda,Maryland,20814,12/04/2017,12/04/2018,Expired,"4826 St. Elmo Avenue
Bethesda, Maryland 20814
(38.989175, -77.09711)"
11-SA-000366,Computer Tech Squad,"442 Girard Street, #104",Gaithersburg,MD,20877,04/27/2011,04/26/2012,Expired,"442 Girard Street, #104
Gaithersburg, MD 20877
(39.148759, -77.186597)"
00-SA-000083,Crierie Sound & Service,10501 S. Dunmoor Drive,Silver Spring,MD,20901,03/08/1996,03/08/1997,Expired,"10501 S. Dunmoor Drive
Silver Spring, MD 20901
(39.025137, -77.00843)"
02-SA-000273,"Alaska Service Co., Inc.",5462 Light House Lane,Burke,VA,22015,07/23/2002,07/23/2003,Expired,"5462 Light House Lane
Burke, VA 22015
(38.804286, -77.274144)"
00-SA-000105,J & K Air Conditioning & Heating,"18775 N. Frederick Avenue, Ste N",Clarksburg,MD,20871,02/15/2018,02/15/2019,Expired,"18775 N. Frederick Avenue, Ste N
Clarksburg, MD 20871"
18-SA-001031,Advanced TV & Video Service,19332 MONTGOMERY VILLAGE AVE,Montgomery Village,MD,20886-3027,01/09/2018,01/09/2019,Expired,"19332 MONTGOMERY VILLAGE AVE
Montgomery Village, MD 20886-3027
(39.173342, -77.203729)"
10-SA-000357,"Electronics Service Center, Inc.","12216 Parklawn Drive, Suite 112",Rockville,MD,20852,05/17/2019,05/17/2020,Renewed,"12216 Parklawn Drive, Suite 112
Rockville, MD 20852
(39.057646, -77.110228)"
00-SA-000408,Antosh's Radio & TV SVC/A-1 Elec SV,"5816 Georgia Avenue, N.W.",Washington,DC,20011,08/09/1997,09/09/1997,Expired,"5816 Georgia Avenue, N.W.
Washington, DC 20011
(38.960719, -77.028061)"
00-SA-000483,"All-Pro Appliance Services, LLC",23421 Slidell Road,Boyds,MD,20841,02/25/2015,02/25/2016,Expired,"23421 Slidell Road
Boyds, MD 20841
(39.240939, -77.321749)"
17-SA-001013,Wireless Mobility LLC,10121 New Hampshire AVe,Silver Spring,Maryland,20903,,11/14/2018,Expired,"10121 New Hampshire AVe
Silver Spring, Maryland 20903
(39.020831, -76.97671)"
04-SA-000297,Movies Over Sight & Sound,P.O. Box 7734,Gaithersburg,MD,20877,08/27/2009,08/27/2010,Expired,"P.O. Box 7734
Gaithersburg, MD 20877"
00-SA-000081,"Acro T.V.  Electronics Corporation, Inc.",3412 Hazelwood Road,Edgewater,MD,21037,08/30/2002,08/30/2003,Expired,"3412 Hazelwood Road
Edgewater, MD 21037
(38.933766, -76.57073)"
00-SA-000068,"Mathewes Service, Inc.",24 Orchard Drive,Gaithersburg,MD,20878,04/20/2000,04/20/2001,Expired,"24 Orchard Drive
Gaithersburg, MD 20878
(39.118045, -77.249501)"
16-SA-000173,Netview Mobile Communication,11232 Triangle Lane,Wheaton,MD,20902,02/02/2017,02/02/2018,Expired,"11232 Triangle Lane
Wheaton, MD 20902
(39.039337, -77.051808)"
00-SA-000252,"Bee Enterprises, Inc.",7600F Lindbergh Drive,Gaithersburg,MD,20879,01/05/1990,01/05/1991,Expired,"7600F Lindbergh Drive
Gaithersburg, MD 20879
(39.166625, -77.153479)"
00-SA-000125,"Luskin's, Inc.",7125 Columbia Gateway,Columbia,MD,21046,08/02/1996,08/02/1997,Expired,"7125 Columbia Gateway
Columbia, MD 21046
(39.176344, -76.808775)"
00-SA-000439,BBC Property Co. and BBC Investment Co.,1200 Rockville Pike,Rockville,MD,20852,03/28/2018,03/28/2019,Expired,"1200 Rockville Pike
Rockville, MD 20852
(39.070452, -77.131502)"
,,4611 Coachway Dr,Rockville,MD,20852,,,,"4611 Coachway Dr
Rockville, MD 20852
(39.051857, -77.093519)"
00-SA-000433,C.J. Refrigeration,"2001 Erie Street, Apt. 101",Hyattsville,MD,20783,02/01/1999,01/11/2000,Expired,"2001 Erie Street, Apt. 101
Hyattsville, MD 20783
(39.007247, -76.972776)"
00-SA-000461,Hawksford Appliance Repairs,19346 Churubusco Lane,Germantown,MD,20874,03/24/2011,03/23/2012,Expired,"19346 Churubusco Lane
Germantown, MD 20874
(39.17346, -77.251635)"
00-SA-000469,B & J Small Appliance Repair Shop,703 Erie Avenue,Takoma Park,MD,20912,12/02/1998,12/02/1999,Expired,"703 Erie Avenue
Takoma Park, MD 20912
(38.988244, -77.003032)"
19-SA-002141,Transform SR LLC dba Sears,3333 BEVERLY ROAD,HOFFMAN ESTATES,IL,60179,05/28/2019,05/28/2020,New,"3333 BEVERLY ROAD
HOFFMAN ESTATES, IL 60179
(42.07778, -88.223535)"
00-SA-000413,AA Heating -  A/C  & Refrigeration,10505 Georgia Avenue,Silver Spring,MD,20902,03/16/2011,03/15/2012,Expired,"10505 Georgia Avenue
Silver Spring, MD 20902
(39.027279, -77.046675)"
00-SA-000147,Reddix Appliance Service,1714 Terrapin Hills Drive,Mitchellville,MD,20721,03/28/2018,03/28/2019,Expired,"1714 Terrapin Hills Drive
Mitchellville, MD 20721
(38.913899, -76.822202)"
00-SA-000215,Climate Heating & Cooling,6714-A Electronic Dr,Springfield,Va,22151,11/24/2017,11/24/2018,Expired,"6714-A Electronic Dr
Springfield, Va 22151
(38.795026, -77.177479)"
16-SA-000177,"A & E Factory Service, LLC",3333 BEVERLY ROAD,HOFFMAN ESTATES,IL,60179,09/19/2016,09/19/2017,Expired,"3333 BEVERLY ROAD
HOFFMAN ESTATES, IL 60179
(42.07778, -88.223535)"
00-SA-000236,Bell Atlantic Mobile Sys. Of Wash.,11711 Parklawn Drive,Rockville,MD,20852,06/16/1995,06/16/1996,Expired,"11711 Parklawn Drive
Rockville, MD 20852
(39.047928, -77.101962)"
00-SA-000405,Montgomery Service Two,"13813 Connecticut Avenue, #505",Silver Spring,MD,20906,01/05/2001,01/05/2002,Expired,"13813 Connecticut Avenue, #505
Silver Spring, MD 20906
(39.080636, -77.080248)"
00-SA-000201,"Apache Appliance, Inc.",13866 Georgia Avenue,Silver Spring,MD,20906,04/11/2018,04/11/2019,Expired,"13866 Georgia Avenue
Silver Spring, MD 20906
(39.08294, -77.077543)"
02-SA-000271,My Home Home Repair Shop,4104 Jefferson Street,Hyattsville,MD,20781,06/07/2004,06/07/2005,Expired,"4104 Jefferson Street
Hyattsville, MD 20781
(38.954865, -76.946935)"
00-SA-000211,Gene Wemple Repairs,24601 Showbarn Circle,Damascus,MD,20872,09/03/2010,09/03/2011,Expired,"24601 Showbarn Circle
Damascus, MD 20872
(39.261062, -77.208225)"
00-SA-000110,Video & Audio Service Co.,12302 Wilkins Avenue,Rockville,MD,20852,01/08/2013,01/08/2014,Expired,"12302 Wilkins Avenue
Rockville, MD 20852
(39.057824, -77.112958)"
00-SA-000008,"The Electronic Clinic, Inc.",17741 Stoneridge dr,North Potomac,MD,20878,09/06/2014,09/06/2015,Expired,"17741 Stoneridge dr
North Potomac, MD 20878
(39.148452, -77.241155)"
06-SA-000322,Pro Audio Sound and Design,11405 Fruitwood Way,Germantown,MD,20876,02/07/2008,02/07/2009,Expired,"11405 Fruitwood Way
Germantown, MD 20876
(39.184961, -77.235556)"
00-SA-000027,"Adrian L. Merton, Inc.",9011 East Hampton Drive,Capitol Heights,MD,20743,11/30/2017,11/30/2018,Expired,"9011 East Hampton Drive
Capitol Heights, MD 20743
(38.883477, -76.850027)"
00-SA-000478,Ron's Appliance Service,9809 Dilston Road,Silver Spring,MD,20903,11/02/1999,10/13/2000,Expired,"9809 Dilston Road
Silver Spring, MD 20903
(39.018681, -76.980528)"
00-SA-000247,Cloverly TV,15524 New Hampshire Avenue,Silver Spring,MD,20905,03/21/2016,03/21/2017,Expired,"15524 New Hampshire Avenue
Silver Spring, MD 20905
(39.11103, -76.995657)"
00-SA-000204,"Hamilton's Appliance Service, Inc.","850 East Gude Drive, Suite A",Rockville,MD,20850,07/07/2017,07/07/2018,Expired,"850 East Gude Drive, Suite A
Rockville, MD 20850
(39.100365, -77.140188)"
00-SA-000198,J. R. Enright Company,4618 Leland Street,Chevy Chase,MD,20815,11/14/1999,11/14/2000,Expired,"4618 Leland Street
Chevy Chase, MD 20815
(38.980202, -77.090995)"
00-SA-000234,"Cromartie, Donnie L.",6217 Tewskbury Pl. N.W.,Washington,DC,20012,04/27/1989,04/27/1990,Expired,"6217 Tewskbury Pl. N.W.
Washington, DC 20012"
00-SA-000417,"Dependo Refrigeration Co., Inc.",7805 Cessna Avenue,Gaithersburg,MD,20879,11/11/2008,11/11/2010,Expired,"7805 Cessna Avenue
Gaithersburg, MD 20879
(39.170628, -77.15932)"
00-SA-000062,Webster Electric,4200 Colchester Drive,Kensington,MD,20895,09/18/2002,09/18/2003,Expired,"4200 Colchester Drive
Kensington, MD 20895
(39.026777, -77.081367)"
00-SA-000218,Great View TV,2909 Gracefield Road,Silver Spring,MD,20904,05/09/2005,05/09/2006,Expired,"2909 Gracefield Road
Silver Spring, MD 20904
(39.060381, -76.955068)"
00-SA-000195,H &  H Electronics,21 South Summit AVE.,Gaithersburg,MD,20884-0502,02/20/2018,02/20/2019,Expired,"21 South Summit AVE.
Gaithersburg, MD 20884-0502
(39.140767, -77.193667)"
00-SA-000450,"Galaxy Electric, Ltd.",6404 Telegraph Road,Alexandria,VA,22310,08/05/2003,08/05/2004,Expired,"6404 Telegraph Road
Alexandria, VA 22310
(38.778885, -77.107372)"
00-SA-000207,J.J.J. Companies,10800D Hanna Street,Beltsville,MD,20705,01/18/1997,01/18/1998,Expired,"10800D Hanna Street
Beltsville, MD 20705
(39.028484, -76.908037)"
06-SA-000327,"Caliber Custom Audio and Video, Inc.",531 Chestertown Street,Gaithersburg,MD,20878,08/24/2006,07/11/2007,Expired,"531 Chestertown Street
Gaithersburg, MD 20878
(39.124056, -77.245916)"
00-SA-000002,"Procter Appliance Service, Inc.",P.O. Box 4104,Silver Spring,MD,20914,11/13/2006,10/09/2007,Expired,"P.O. Box 4104
Silver Spring, MD 20914"
00-SA-000085,"Bilmin Company, Inc.","7411 Lindbergh Drive, Suite A",Gaithersburg,MD,20879,02/27/2017,02/27/2018,Expired,"7411 Lindbergh Drive, Suite A
Gaithersburg, MD 20879
(39.163805, -77.155536)"
10-SA-000357,"Electronics Service Center, Inc.",12216 Parklawn Dr,Rockville,Maryland,20852,05/17/2019,05/17/2020,Renewed,"12216 Parklawn Dr
Rockville, Maryland 20852
(39.057646, -77.110228)"
05-SA-000308,Star Appliance Repair,20048 Lake Park Dr,Germantown,Maryland,20874,06/02/2017,06/02/2018,Expired,"20048 Lake Park Dr
Germantown, Maryland 20874
(39.184021, -77.287787)"
00-SA-000001,"Germantown Services, Inc.",2702 Hillside Court,Frederick,MD,21754,04/20/2016,04/20/2017,Expired,"2702 Hillside Court
Frederick, MD 21754
(39.30952, -77.275259)"
00-SA-000463,International Cartridge USA,2129 Harlequin Terrace,Silver Spring,MD,20904,05/07/1998,05/07/1999,Expired,"2129 Harlequin Terrace
Silver Spring, MD 20904
(39.069259, -76.969697)"
00-SA-000383,Dickey's T.V. Service,1601 Snug Harbor Road,Shadyside,MD,20764,11/07/2006,10/09/2007,Expired,"1601 Snug Harbor Road
Shadyside, MD 20764
(38.8387, -76.500436)"
15-SA-000170,"At Your Service Repairs, Inc.",320 Martindale Lane,Forest Hill,MD,21050,11/15/2017,11/15/2018,Expired,"320 Martindale Lane
Forest Hill, MD 21050
(39.581708, -76.36292)"
17-SA-001005,Air Flow Services,1143 TAFT STREET,ROCKVILLE,MD,20850,09/20/2017,09/20/2018,Expired,"1143 TAFT STREET
ROCKVILLE, MD 20850
(39.093576, -77.135037)"
03-SA-000278,Electrical Appliance Installation & Repairs,3105 McComas Avenue,Kensington,MD,20895,01/07/2007,01/07/2008,Expired,"3105 McComas Avenue
Kensington, MD 20895
(39.032804, -77.063021)"
00-SA-000121,"Electronics Service Center, Inc.","12216 Parklawn Drive, #112",Rockville,MD,20852,07/08/2009,07/08/2010,Expired,"12216 Parklawn Drive, #112
Rockville, MD 20852
(39.057646, -77.110228)"
05-SA-000311,"PC Fix, Inc.",10610-C Baltimore Avenue,Beltsville,MD,20705,10/09/2006,10/09/2007,Expired,"10610-C Baltimore Avenue
Beltsville, MD 20705
(39.029175, -76.915605)"
05-SA-000310,JBI Generator Service,"7836 Airpark Road, Units A & B",Gaithersburg,MD,20879,03/02/2018,03/02/2019,Expired,"7836 Airpark Road, Units A & B
Gaithersburg, MD 20879
(39.170034, -77.160396)"
00-SA-000422,C & W Consumer Electronics,15530C Old Columbia Pike Road,Burtonsville,MD,20866,04/11/1999,04/11/2000,Expired,"15530C Old Columbia Pike Road
Burtonsville, MD 20866
(39.110256, -76.934195)"
00-SA-000141,"Stan's Appliance Service, Inc.",23421 Slidell Road,Boyds,MD,20841,06/06/2008,02/10/2009,Expired,"23421 Slidell Road
Boyds, MD 20841
(39.240939, -77.321749)"
00-SA-000402,"Waters Appliance Service, Inc.",216 East Diamond Avenue,Gaithersburg,md,20877,04/11/2018,04/11/2019,Expired,"216 East Diamond Avenue
Gaithersburg, md 20877
(39.142141, -77.193858)"
00-SA-000481,Superior Vacuums,2212 Hermitage Avenue,Silver Spring,MD,20902,01/11/2000,01/11/2001,Expired,"2212 Hermitage Avenue
Silver Spring, MD 20902
(39.048376, -77.047927)"
00-SA-000008,"The Electronic Clinic, Inc.",17741 Stoneridge Drive,North Potomac,MD,20878,09/06/2014,09/06/2015,Expired,"17741 Stoneridge Drive
North Potomac, MD 20878
(39.148452, -77.241155)"
00-SA-000476,Cappy Enterprises,10600 Kinloch Road,Silver Spring,MD,20903,08/25/2008,07/30/2009,Expired,"10600 Kinloch Road
Silver Spring, MD 20903
(39.029324, -76.969366)"
00-SA-000094,J & F Household Appliance Maint.,"4204 74th Avenue, #B",Hyattsville,MD,20784,05/05/1996,05/05/1997,Expired,"4204 74th Avenue, #B
Hyattsville, MD 20784
(38.942783, -76.886634)"
00-SA-000023,"Charles A. Klein & Sons, Inc.",5220 Klees Mill Rd.,Sykesville,MD,21784,12/18/2017,12/18/2018,Expired,"5220 Klees Mill Rd.
Sykesville, MD 21784
(39.43181, -76.99225)"
10-SA-000362,M & D Needs,1226 Cavens Street,Silver Spring,MD,20905,11/16/2010,11/16/2011,Expired,"1226 Cavens Street
Silver Spring, MD 20905"
00-SA-000265,Williams Electronics,"1705 Lamont Street, N.W.",Washington,DC,20010,10/30/2002,10/30/2003,Expired,"1705 Lamont Street, N.W.
Washington, DC 20010
(38.931445, -77.039108)"
00-SA-000045,"Air Flow Services, Inc.",1143 Taft Street,Rockville,MD,20850,09/20/2017,09/20/2018,Expired,"1143 Taft Street
Rockville, MD 20850
(39.093576, -77.135037)"
00-SA-000007,Sears Roebuck & Co.,16401 Shady Grove Road,Gaithersburg,MD,20877,08/17/2002,08/17/2003,Expired,"16401 Shady Grove Road
Gaithersburg, MD 20877
(39.126024, -77.174132)"
00-SA-000230,"John Saman & Sons, Inc.",14509 Cobblestone Drive,Silver Spring,MD,20905,06/07/2009,06/07/2010,Expired,"14509 Cobblestone Drive
Silver Spring, MD 20905
(39.094023, -77.01754)"
00-SA-000101,"Pratik, Inc.",21306 Purple Aster Court,Germantown,MD,20876,09/02/2008,09/02/2009,Expired,"21306 Purple Aster Court
Germantown, MD 20876
(39.204381, -77.255772)"
18-SA-001037,"VP Enterprises, LLC",5712 Industry Lane,Frederick,MD,21704,,01/25/2018,Expired,"5712 Industry Lane
Frederick, MD 21704
(39.391464, -77.414825)"
12-SA-000150,D.L. Enck,75 Laurie Lane,Lititz,PA,17543,07/26/2012,07/26/2013,Expired,"75 Laurie Lane
Lititz, PA 17543
(40.166245, -76.301482)"
00-SA-000195,H &  H Electronics,"21 South Summit Avenue, #502",Gaithersburg,MD,20884,06/01/2016,06/01/2017,Expired,"21 South Summit Avenue, #502
Gaithersburg, MD 20884
(39.140767, -77.193667)"
00-SA-000138,"C. B. Lucas Company, Inc.",122 Old Stage Coach Road,Dumfries,VA,22026,04/08/1990,04/08/1991,Expired,"122 Old Stage Coach Road
Dumfries, VA 22026
(38.575182, -77.313972)"
00-SA-000073,"T.V., VCR Electronics & Appliance Repair",2036 Seattle Avenue,Silver Spring,MD,20905,08/06/2004,07/12/2005,Expired,"2036 Seattle Avenue
Silver Spring, MD 20905
(39.094491, -76.970323)"
18-SA-001043,Germantown Services Heating & AC,2702 Hillside Ct.,Ijamsville,MD,21754,02/15/2018,02/15/2019,Expired,"2702 Hillside Ct.
Ijamsville, MD 21754
(39.30952, -77.275259)"
00-SA-000259,"Atoms Heating, A/C, Plumbing & Appliances",6319 New Haven Court,Frederick,MD,21703,08/21/2002,08/21/2003,Expired,"6319 New Haven Court
Frederick, MD 21703
(39.38841, -77.446841)"
00-SA-000203,Spencer's TV & Appliance,14805 Southlawn Lane,Rockville,MD,20850,09/01/1998,09/01/1999,Expired,"14805 Southlawn Lane
Rockville, MD 20850
(39.098543, -77.136249)"
08-SA-000343,"Armelcom, LLC",4611 COACHWAY DR,ROCKVILLE - TWINBROOK,MD,20852,04/19/2018,04/19/2019,Expired,"4611 COACHWAY DR
ROCKVILLE - TWINBROOK, MD 20852
(39.051857, -77.093519)"
00-SA-000095,"Certified Heating & Air Cond., Inc.",5024 Huron Street,College Park,MD,20740,04/25/2010,04/25/2011,Expired,"5024 Huron Street
College Park, MD 20740
(39.007066, -76.920816)"
00-SA-000093,Jones-Rogers of Maryland,"2275 Research Blvd., #500",Rockville,MD,20850,08/29/2009,08/29/2010,Expired,"2275 Research Blvd., #500
Rockville, MD 20850
(39.101809, -77.183159)"
00-SA-000241,Quince Orchard TV & Video,12129 Darnestown Road,Gaithersburg,MD,20878,03/27/1997,03/27/1998,Expired,"12129 Darnestown Road
Gaithersburg, MD 20878
(39.117468, -77.25126)"
00-SA-000023,"Charles A. Klein & Sons, Inc.",5220 Klees Mill rd,Sykesville,MD,21784,08/12/2016,08/12/2017,Expired,"5220 Klees Mill rd
Sykesville, MD 21784
(39.43181, -76.99225)"
00-SA-000223,"Kane Heating & Air Conditioning, Inc.",305 Natick Court,Silver Spring,MD,20905,08/07/2017,08/07/2018,Expired,"305 Natick Court
Silver Spring, MD 20905
(39.094139, -77.01268)"
08-SA-000341,Johanna's Vacuum Sales & Service,"11401 Grandview Avenue, Suite #2",Wheaton,MD,20906,04/14/2009,04/14/2010,Expired,"11401 Grandview Avenue, Suite #2
Wheaton, MD 20906
(39.041743, -77.053117)"
18-SA-001054,AR WIRELESS & MULTI SERVICE LLC,9859 main street,DAMUSCUS,MD,20872,05/07/2018,05/07/2019,Expired,"9859 main street
DAMUSCUS, MD 20872
(39.288234, -77.20348)"
17-SA-000485,Temo's Home Services,15 Orion Club Drive,Ashton,MD,20861,08/08/2017,08/08/2018,Expired,"15 Orion Club Drive
Ashton, MD 20861
(39.150548, -77.013314)"
10-SA-000361,Fast-Teks On-Site Computer Services,7407 Tarfside Lane,Gaithersburg,MD,20879,08/10/2013,08/10/2014,Expired,"7407 Tarfside Lane
Gaithersburg, MD 20879
(39.176998, -77.153816)"
00-SA-000119,"Myer-Emco, Inc.",10490 Auto Park Drive,Bethesda,MD,20817,04/22/2004,04/05/2005,Expired,"10490 Auto Park Drive
Bethesda, MD 20817
(39.02806, -77.145511)"
00-SA-000477,Ron's Electronics,2426 University Blvd.,Adelphi,MD,20783,08/25/1999,08/25/2000,Expired,"2426 University Blvd.
Adelphi, MD 20783
(38.984581, -76.967325)"
00-SA-000069,Chevy Chase Computer Service,P.O. Box 71161,Chevy Chase,MD,20813,01/31/1997,01/31/1998,Expired,"P.O. Box 71161
Chevy Chase, MD 20813"
00-SA-000188,"Brother Sewing Machine of Washington, Inc.",1067 Rockville Pike,Rockville,MD,20852,12/04/2017,12/04/2018,Expired,"1067 Rockville Pike
Rockville, MD 20852
(39.070871, -77.132082)"
00-SA-000395,"Village Vacuums & Oriental Carpets, Inc.",19334 Montgomery Village Avenue,Gaithersburg,MD,20886,05/05/2015,05/05/2016,Expired,"19334 Montgomery Village Avenue
Gaithersburg, MD 20886
(39.173384, -77.203726)"
00-SA-000077,H & F Refrigeration Co.,4432 Brookside Drive,Alexandria,VA,22312,02/23/1995,02/23/1996,Expired,"4432 Brookside Drive
Alexandria, VA 22312
(38.826803, -77.151152)"
12-SA-000154,Appliance Treatment,21139 Potomac Trail Cir,Ashburn,Va,20148,05/29/2019,05/29/2020,Renewed,"21139 Potomac Trail Cir
Ashburn, Va 20148
(39.032224, -77.532019)"
00-SA-000127,"A.R. Tyndall, Inc.","17520 Whitestore Road, Box 134",Beallsville,MD,20839,11/07/2001,11/07/2002,Expired,"17520 Whitestore Road, Box 134
Beallsville, MD 20839"
00-SA-000047,"A.V.S. Air Cond.,Heating, Refr. Co.",7237 Lee Highway.,Falls Church,VA,22046,08/13/1996,08/13/1997,Expired,"7237 Lee Highway.
Falls Church, VA 22046
(38.878879, -77.183945)"
00-SA-000387,Mr. Electron TV,2529 Ennalls Avenue,Wheaton,MD,20902,07/14/1996,07/14/1997,Expired,"2529 Ennalls Avenue
Wheaton, MD 20902
(39.039793, -77.053488)"
00-SA-000186,"Brother Sewing Machine of Wash., Inc.",1067N Rockville Pike,Rockville,MD,20852,08/12/2016,08/12/2017,Expired,"1067N Rockville Pike
Rockville, MD 20852
(39.070871, -77.132082)"
00-SA-000190,Appliance King A Air,11111 Captains Walk Court,Gaithersburg,MD,20878,09/24/1999,09/24/2000,Expired,"11111 Captains Walk Court
Gaithersburg, MD 20878
(39.095373, -77.225933)"
00-SA-000021,"J.G. Robinson Refrig., A/C & Htg.","1433 11Th Street, N.W.",Washington,DC,20001,10/23/1996,10/23/1997,Expired,"1433 11Th Street, N.W.
Washington, DC 20001
(38.909339, -77.027035)"
18-SA-001047,Mark's Communications Support,2821 Old Briggs Chaney Rd,Silver Spring,MD,20905,02/21/2018,02/21/2019,Expired,"2821 Old Briggs Chaney Rd
Silver Spring, MD 20905
(39.085847, -76.953764)"
00-SA-000193,McDermitt's Home Appliance Service,16909 Norbrook Drive,Olney,MD,20832,12/18/2001,12/18/2002,Expired,"16909 Norbrook Drive
Olney, MD 20832
(39.13404, -77.061741)"
01-SA-000261,"Air Flow Environmental Control, Ltd.","7845 Airpark Road, Unit H",Gaithersburg,MD,20860,03/02/2009,03/02/2010,Expired,"7845 Airpark Road, Unit H
Gaithersburg, MD 20860
(39.170149, -77.160184)"
00-SA-000459,Complete Residential Services,10612 Radstock Court,Damascus,MD,20872,03/11/2000,03/11/2001,Expired,"10612 Radstock Court
Damascus, MD 20872
(39.269152, -77.219031)"
00-SA-000389,Ruths Entertainment Communications,10152 Clearspring Rd,Damascus,Maryland,20872,05/09/2018,05/09/2019,Expired,"10152 Clearspring Rd
Damascus, Maryland 20872
(39.27096, -77.21142)"
00-SA-000224,Alverton In-Home Service,18735 Birdseye Drive,Germantown,MD,20874,08/06/2016,08/06/2017,Expired,"18735 Birdseye Drive
Germantown, MD 20874
(39.163957, -77.248634)"
00-SA-000046,Anytime Appliance Service,3141 UNIVERSITY BLVD W APT 4,KENSINGTON,Maryland,20895-1815,12/12/2017,12/12/2018,Expired,"3141 UNIVERSITY BLVD W APT 4
KENSINGTON, Maryland 20895-1815
(39.035819, -77.06469)"
00-SA-000025,Bayron's TV,213 Whitmoor Terrace,Silver Spring,MD,20901,12/29/1989,12/29/1990,Expired,"213 Whitmoor Terrace
Silver Spring, MD 20901
(39.02859, -77.004504)"
00-SA-000474,Applianceland,10748 Tucker Street,Beltsville,MD,20705,12/10/2016,12/10/2017,Expired,"10748 Tucker Street
Beltsville, MD 20705
(39.025573, -76.907943)"
05-SA-000305,"Bayside Holding Company, Inc.",239 Kentlands Blvd.,Gaithersburg,MD,20878,07/07/2009,07/07/2010,Expired,"239 Kentlands Blvd.
Gaithersburg, MD 20878
(39.123251, -77.236532)"
00-SA-000130,"Fre-Mont Refrig & Air Cond. Svc., Inc.",315-F Howard Avenue,Rockville,MD,20850,09/05/1997,09/05/1998,Expired,"315-F Howard Avenue
Rockville, MD 20850
(39.090459, -77.147496)"
00-SA-000400,Graeves Auto & Appliance,3411 North High Street,Olney,MD,20832,01/05/2010,01/05/2011,Expired,"3411 North High Street
Olney, MD 20832
(39.151329, -77.06782)"
13-SA-000155,"Total Audio Visual Systems, Inc.",9301 Georgia Avenue,Silver Spring,MD,20910,01/14/2017,01/14/2018,Expired,"9301 Georgia Avenue
Silver Spring, MD 20910
(39.007353, -77.039647)"
17-SA-001029,Carpet & Vacuum Expo,8533 atlas dr,GAITHERSBURG,MD,20877,01/05/2018,01/05/2019,Expired,"8533 atlas dr
GAITHERSBURG, MD 20877
(39.129678, -77.176017)"
00-SA-000216,"General Electronics, Inc.",16730 Oakmont Avenue,Gaithersburg,MD,20877,08/06/1997,08/06/1998,Expired,"16730 Oakmont Avenue
Gaithersburg, MD 20877
(39.130026, -77.174628)"
05-SA-000306,Alex Computer's,4323 Mahan Road,Silver Spring,MD,20906,06/17/2005,06/17/2006,Expired,"4323 Mahan Road
Silver Spring, MD 20906
(39.053063, -77.084162)"
