Reporting Area,MMWR Year,MMWR Week,"Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2015","Shiga toxin-producing E. coli (STEC)§, Cum 2015, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag","Shigellosis, Cum 2015","Shigellosis, Cum 2015, flag",Location 1,Location 2
S. ATLANTIC,2016,4,5,,10,,21,,27,,26,,35,,77,,153,,175,,240,,,
NEW YORK,2016,4,5,,4,,14,,8,,3,,3,,5,,18,,17,,54,,"NEW YORK
(42.826892, -75.544286)",
W.S. CENTRAL,2016,4,10,,15,,39,,20,,21,,91,,121,,336,,252,,146,,,
ARIZONA,2016,4,1,,2,,11,,6,,3,,28,,9,,35,,120,,32,,"ARIZONA
(34.869712, -111.760902)",
E.S. CENTRAL,2016,4,2,,6,,15,,22,,6,,6,,25,,50,,58,,153,,,
NEW YORK CITY,2016,4,,-,2,,8,,8,,4,,11,,9,,48,,37,,140,,NEW YORK CITY,
VERMONT,2016,4,,-,0,,4,,1,,2,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
OKLAHOMA,2016,4,,-,1,,32,,,-,,-,25,,13,,165,,50,,18,,"OKLAHOMA
(35.468494, -97.521264)",
NEW JERSEY,2016,4,,-,0,,3,,1,,8,,,-,6,,15,,1,,31,,"NEW JERSEY
(40.104655, -74.386686)",
INDIANA,2016,4,,-,2,,8,,,-,3,,,-,5,,12,,6,,42,,"INDIANA
(39.76845, -86.156212)",
COLORADO,2016,4,,-,1,,16,,,-,6,,,-,0,,4,,,-,3,,"COLORADO
(38.841772, -106.132562)",
OHIO,2016,4,1,,5,,19,,6,,10,,36,,11,,52,,143,,40,,"OHIO
(40.056807, -82.405897)",
MINNESOTA,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
PACIFIC,2016,4,2,,23,,74,,14,,68,,9,,47,,169,,99,,126,,,
ARKANSAS,2016,4,1,,1,,5,,2,,3,,6,,2,,7,,13,,3,,"ARKANSAS
(34.748745, -92.275105)",
IDAHO,2016,4,2,,3,,9,,7,,2,,2,,0,,5,,8,,1,,"IDAHO
(43.680635, -114.364237)",
CONNECTICUT,2016,4,,-,1,,8,,2,,4,,1,,1,,4,,2,,6,,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2016,4,3,,1,,7,,7,,2,,2,,4,,13,,9,,28,,"MARYLAND
(39.290443, -76.612333)",
UNITED STATES,2016,4,31,,117,,194,,160,,222,,255,,417,,618,,1104,,1294,,,
ILLINOIS,2016,4,,-,3,,8,,2,,8,,,-,15,,30,,26,,50,,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2016,4,,-,0,,1,,,-,2,,,-,0,,3,,,-,,-,"WYOMING
(43.23558, -108.110518)",
VIRGIN ISL.,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
MOUNTAIN,2016,4,4,,11,,39,,15,,24,,30,,17,,36,,132,,50,,,
MASSACHUSETTS,2016,4,,-,1,,6,,,-,3,,,-,3,,12,,1,,8,,"MASSACHUSETTS
(42.268546, -72.085064)",
TEXAS,2016,4,9,,10,,33,,18,,13,,56,,98,,319,,182,,114,,"TEXAS
(31.827233, -99.423022)",
LOUISIANA,2016,4,,-,0,,12,,,-,5,,4,,4,,12,,7,,11,,"LOUISIANA
(31.2931, -92.463284)",
SOUTH DAKOTA,2016,4,,-,1,,5,,1,,2,,,-,3,,20,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW HAMPSHIRE,2016,4,,-,0,,4,,,-,1,,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MISSOURI,2016,4,,-,0,,3,,,-,15,,,-,0,,35,,,-,105,,"MISSOURI
(38.636168, -92.566292)",
MICHIGAN,2016,4,,-,2,,8,,6,,1,,2,,9,,23,,20,,31,,"MICHIGAN
(44.66399, -84.711206)",
PENNSYLVANIA,2016,4,2,,4,,11,,10,,,-,9,,7,,24,,24,,21,,"PENNSYLVANIA
(40.789676, -77.858055)",
W.N. CENTRAL,2016,4,,-,9,,22,,18,,29,,7,,23,,61,,54,,131,,,
DELAWARE,2016,4,,-,0,,1,,,-,,-,,-,0,,2,,1,,3,,"DELAWARE
(39.008676, -75.574561)",
NORTH CAROLINA,2016,4,,-,1,,6,,,-,7,,,-,4,,28,,1,,24,,"NORTH CAROLINA
(35.47995, -79.180571)",
FLORIDA,2016,4,2,,2,,8,,12,,7,,20,,32,,86,,69,,59,,"FLORIDA
(28.915325, -81.922409)",
SOUTH CAROLINA,2016,4,,-,0,,7,,2,,1,,4,,3,,44,,30,,20,,"SOUTH CAROLINA
(34.009286, -81.037094)",
OREGON,2016,4,1,,4,,11,,4,,12,,2,,2,,9,,18,,1,,"OREGON
(44.567912, -120.156945)",
AMER. SAMOA,2016,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
UTAH,2016,4,,-,1,,8,,,-,3,,,-,0,,8,,1,,5,,"UTAH
(39.359772, -111.584173)",
E.N. CENTRAL,2016,4,1,,14,,31,,14,,22,,53,,44,,90,,251,,186,,,
GUAM,2016,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2016,4,,-,0,,55,,,-,,-,2,,2,,25,,6,,1,,"WASHINGTON
(47.517368, -120.467672)",
MAINE,2016,4,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
CALIFORNIA,2016,4,1,,14,,31,,8,,47,,5,,40,,159,,73,,122,,"CALIFORNIA
(37.640735, -121.002435)",
TENNESSEE,2016,4,2,,3,,11,,13,,3,,1,,4,,11,,13,,39,,"TENNESSEE
(35.681402, -85.774444)",
HAWAII,2016,4,,-,0,,5,,,-,5,,,-,1,,6,,2,,1,,"HAWAII
(21.30992, -157.858158)",
NEBRASKA,2016,4,,-,2,,7,,8,,5,,3,,1,,8,,11,,9,,"NEBRASKA
(41.640503, -99.367122)",
DIST. OF COL.,2016,4,,-,0,,1,,,-,,-,,-,0,,4,,,-,3,,DIST. OF COL.,
KANSAS,2016,4,,-,2,,5,,2,,4,,,-,2,,12,,3,,6,,"KANSAS
(38.345528, -98.201847)",
NEW ENGLAND,2016,4,,-,3,,17,,3,,11,,1,,4,,17,,4,,16,,,
WISCONSIN,2016,4,,-,1,,7,,,-,,-,15,,3,,19,,56,,23,,"WISCONSIN
(44.395526, -89.834513)",
GEORGIA,2016,4,,-,2,,7,,3,,5,,4,,25,,46,,48,,95,,"GEORGIA
(32.836038, -83.631709)",
W.S. CENTRAL,2016,5,5,,15,,43,,27,,33,,90,,121,,342,,355,,195,,,
S. ATLANTIC,2016,5,4,,11,,21,,30,,34,,27,,78,,153,,220,,331,,,
MISSISSIPPI,2016,5,,-,0,,3,,,-,1,,,-,1,,7,,4,,8,,"MISSISSIPPI
(32.738663, -89.537312)",
GEORGIA,2016,5,,-,2,,7,,3,,6,,5,,24,,46,,68,,123,,"GEORGIA
(32.836038, -83.631709)",
OKLAHOMA,2016,5,,-,1,,32,,,-,,-,19,,14,,165,,68,,22,,"OKLAHOMA
(35.468494, -97.521264)",
NORTH CAROLINA,2016,5,,-,1,,6,,,-,8,,,-,5,,28,,4,,29,,"NORTH CAROLINA
(35.47995, -79.180571)",
WASHINGTON,2016,5,,-,0,,79,,,-,1,,5,,2,,25,,11,,1,,"WASHINGTON
(47.517368, -120.467672)",
WEST VIRGINIA,2016,5,,-,0,,2,,2,,1,,,-,0,,4,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
PACIFIC,2016,5,,-,24,,88,,18,,75,,10,,48,,169,,134,,211,,,
NEW ENGLAND,2016,5,,-,3,,17,,4,,15,,,-,4,,17,,6,,19,,,
VIRGIN ISL.,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
MID. ATLANTIC,2016,5,4,,12,,23,,34,,20,,11,,27,,75,,92,,307,,,
VIRGINIA,2016,5,,-,1,,6,,1,,4,,2,,5,,18,,18,,10,,"VIRGINIA
(37.542699, -78.45822)",
E.S. CENTRAL,2016,5,2,,6,,15,,29,,15,,4,,25,,50,,74,,203,,,
UNITED STATES,2016,5,22,,116,,195,,203,,281,,244,,417,,634,,1467,,1727,,,
IOWA,2016,5,,-,3,,10,,7,,3,,3,,10,,41,,44,,10,,"IOWA
(42.46942, -93.815856)",
WISCONSIN,2016,5,,-,1,,7,,,-,,-,15,,3,,21,,78,,28,,"WISCONSIN
(44.395526, -89.834513)",
W.N. CENTRAL,2016,5,1,,9,,22,,19,,35,,7,,23,,61,,80,,168,,,
ALABAMA,2016,5,,-,1,,5,,2,,2,,,-,10,,31,,28,,73,,"ALABAMA
(32.839182, -86.631125)",
MARYLAND,2016,5,1,,1,,7,,8,,2,,3,,4,,13,,12,,33,,"MARYLAND
(39.290443, -76.612333)",
DIST. OF COL.,2016,5,,-,0,,1,,,-,,-,,-,0,,4,,,-,3,,DIST. OF COL.,
DELAWARE,2016,5,,-,0,,1,,,-,,-,,-,0,,2,,1,,4,,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2016,5,3,,4,,14,,11,,5,,2,,5,,18,,19,,72,,"NEW YORK
(42.826892, -75.544286)",
UTAH,2016,5,,-,1,,8,,1,,3,,,-,0,,8,,3,,7,,"UTAH
(39.359772, -111.584173)",
RHODE ISLAND,2016,5,,-,0,,3,,,-,,-,,-,0,,6,,3,,2,,"RHODE ISLAND
(41.707447, -71.522488)",
MOUNTAIN,2016,5,2,,11,,39,,21,,29,,38,,17,,37,,179,,60,,,
SOUTH DAKOTA,2016,5,,-,1,,5,,1,,3,,,-,3,,20,,,-,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARKANSAS,2016,5,,-,1,,5,,2,,4,,5,,2,,7,,18,,5,,"ARKANSAS
(34.748745, -92.275105)",
NEW MEXICO,2016,5,,-,0,,3,,,-,4,,,-,1,,5,,2,,3,,"NEW MEXICO
(34.520396, -106.244402)",
TENNESSEE,2016,5,2,,3,,11,,19,,9,,1,,4,,10,,18,,48,,"TENNESSEE
(35.681402, -85.774444)",
WYOMING,2016,5,,-,0,,1,,,-,2,,,-,0,,3,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW HAMPSHIRE,2016,5,,-,0,,4,,,-,2,,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TEXAS,2016,5,5,,10,,34,,25,,22,,66,,98,,324,,262,,152,,"TEXAS
(31.827233, -99.423022)",
SOUTH CAROLINA,2016,5,1,,0,,7,,3,,1,,3,,3,,44,,34,,21,,"SOUTH CAROLINA
(34.009286, -81.037094)",
INDIANA,2016,5,,-,1,,8,,1,,3,,,-,5,,12,,13,,54,,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2016,5,,-,0,,2,,,-,16,,,-,0,,29,,,-,134,,"MISSOURI
(38.636168, -92.566292)",
MAINE,2016,5,,-,0,,3,,1,,1,,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW YORK CITY,2016,5,,-,2,,8,,8,,5,,7,,9,,48,,44,,162,,NEW YORK CITY,
OREGON,2016,5,,-,3,,11,,5,,12,,3,,2,,10,,27,,1,,"OREGON
(44.567912, -120.156945)",
VERMONT,2016,5,,-,0,,4,,1,,2,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
CALIFORNIA,2016,5,,-,14,,31,,11,,53,,1,,40,,159,,93,,206,,"CALIFORNIA
(37.640735, -121.002435)",
GUAM,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
AMER. SAMOA,2016,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
COLORADO,2016,5,,-,1,,16,,,-,9,,,-,0,,4,,,-,5,,"COLORADO
(38.841772, -106.132562)",
NEW JERSEY,2016,5,,-,0,,3,,2,,9,,,-,6,,15,,2,,46,,"NEW JERSEY
(40.104655, -74.386686)",
OHIO,2016,5,4,,5,,19,,10,,11,,41,,11,,52,,178,,50,,"OHIO
(40.056807, -82.405897)",
KENTUCKY,2016,5,,-,1,,6,,8,,3,,3,,6,,29,,24,,74,,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2016,5,,-,0,,7,,1,,3,,,-,0,,6,,,-,2,,"NEVADA
(39.491833, -117.070159)",
PUERTO RICO,2016,5,,-,0,,1,,,-,,-,1,,0,,7,,1,,,-,"PUERTO RICO
(18.215692, -66.414655)",
IDAHO,2016,5,1,,3,,9,,8,,2,,2,,0,,5,,10,,1,,"IDAHO
(43.680635, -114.364237)",
MICHIGAN,2016,5,,-,2,,8,,6,,3,,1,,9,,23,,29,,34,,"MICHIGAN
(44.66399, -84.711206)",
KANSAS,2016,5,,-,2,,5,,2,,4,,1,,2,,12,,19,,7,,"KANSAS
(38.345528, -98.201847)",
PENNSYLVANIA,2016,5,1,,4,,11,,13,,1,,2,,7,,24,,27,,27,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEBRASKA,2016,5,1,,2,,7,,9,,7,,3,,1,,8,,16,,11,,"NEBRASKA
(41.640503, -99.367122)",
ALASKA,2016,5,,-,0,,2,,2,,4,,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
MONTANA,2016,5,1,,1,,6,,5,,3,,,-,0,,2,,1,,4,,"MONTANA
(47.062617, -109.430168)",
C.N.M.I.,2016,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
CONNECTICUT,2016,5,,-,1,,8,,2,,6,,,-,1,,4,,2,,6,,"CONNECTICUT
(41.544654, -72.651713)",
ARIZONA,2016,5,,-,2,,11,,6,,3,,36,,10,,35,,163,,38,,"ARIZONA
(34.869712, -111.760902)",
MASSACHUSETTS,2016,5,,-,1,,6,,,-,4,,,-,3,,12,,1,,11,,"MASSACHUSETTS
(42.268546, -72.085064)",
FLORIDA,2016,5,2,,2,,8,,13,,12,,14,,32,,86,,83,,108,,"FLORIDA
(28.915325, -81.922409)",
E.N. CENTRAL,2016,5,4,,14,,31,,21,,25,,57,,44,,92,,327,,233,,,
NORTH DAKOTA,2016,5,,-,0,,6,,,-,2,,,-,0,,2,,1,,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
ILLINOIS,2016,5,,-,3,,8,,4,,8,,,-,15,,30,,29,,67,,"ILLINOIS
(40.477092, -88.993221)",
HAWAII,2016,5,,-,0,,5,,,-,5,,1,,1,,6,,3,,2,,"HAWAII
(21.30992, -157.858158)",
LOUISIANA,2016,5,,-,0,,12,,,-,7,,,-,4,,13,,7,,16,,"LOUISIANA
(31.2931, -92.463284)",
MINNESOTA,2016,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
NEW YORK,2016,6,,-,4,,14,,11,,5,,,-,5,,18,,19,,90,,"NEW YORK
(42.826892, -75.544286)",
TENNESSEE,2016,6,1,,3,,11,,22,,10,,2,,3,,10,,20,,54,,"TENNESSEE
(35.681402, -85.774444)",
WEST VIRGINIA,2016,6,,-,0,,2,,2,,1,,,-,0,,4,,,-,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2016,6,,-,2,,11,,6,,4,,20,,10,,37,,183,,44,,"ARIZONA
(34.869712, -111.760902)",
CONNECTICUT,2016,6,,-,1,,8,,2,,6,,,-,1,,4,,2,,7,,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2016,6,,-,0,,3,,,-,4,,,-,1,,5,,3,,4,,"NEW MEXICO
(34.520396, -106.244402)",
NORTH DAKOTA,2016,6,,-,0,,6,,,-,2,,,-,0,,2,,1,,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
LOUISIANA,2016,6,,-,0,,12,,,-,7,,2,,4,,13,,17,,16,,"LOUISIANA
(31.2931, -92.463284)",
NEW ENGLAND,2016,6,,-,3,,17,,6,,17,,,-,4,,17,,6,,26,,,
W.S. CENTRAL,2016,6,1,,15,,44,,27,,37,,71,,121,,351,,447,,243,,,
NEBRASKA,2016,6,2,,2,,7,,12,,8,,3,,1,,8,,20,,15,,"NEBRASKA
(41.640503, -99.367122)",
MASSACHUSETTS,2016,6,,-,1,,6,,,-,4,,,-,3,,12,,1,,17,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW YORK CITY,2016,6,,-,2,,8,,8,,8,,7,,9,,48,,51,,210,,NEW YORK CITY,
AMER. SAMOA,2016,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
KANSAS,2016,6,,-,2,,5,,2,,7,,,-,2,,12,,19,,7,,"KANSAS
(38.345528, -98.201847)",
E.S. CENTRAL,2016,6,1,,5,,15,,34,,16,,5,,25,,47,,88,,226,,,
MARYLAND,2016,6,2,,1,,7,,9,,2,,2,,3,,13,,14,,40,,"MARYLAND
(39.290443, -76.612333)",
RHODE ISLAND,2016,6,,-,0,,3,,,-,,-,,-,0,,6,,3,,2,,"RHODE ISLAND
(41.707447, -71.522488)",
IOWA,2016,6,,-,3,,10,,9,,4,,,-,10,,41,,48,,12,,"IOWA
(42.46942, -93.815856)",
C.N.M.I.,2016,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
E.N. CENTRAL,2016,6,2,,14,,31,,25,,30,,27,,44,,102,,393,,267,,,
DIST. OF COL.,2016,6,,-,0,,1,,,-,,-,,-,0,,4,,,-,4,,DIST. OF COL.,
FLORIDA,2016,6,3,,2,,8,,18,,11,,16,,30,,86,,99,,142,,"FLORIDA
(28.915325, -81.922409)",
MINNESOTA,2016,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
ALABAMA,2016,6,,-,1,,5,,2,,2,,1,,10,,31,,36,,86,,"ALABAMA
(32.839182, -86.631125)",
COLORADO,2016,6,,-,1,,16,,,-,11,,,-,0,,4,,,-,5,,"COLORADO
(38.841772, -106.132562)",
MOUNTAIN,2016,6,,-,11,,39,,21,,34,,20,,17,,40,,203,,68,,,
PUERTO RICO,2016,6,,-,0,,1,,,-,,-,,-,0,,7,,1,,,-,"PUERTO RICO
(18.215692, -66.414655)",
INDIANA,2016,6,,-,2,,8,,2,,3,,,-,5,,10,,21,,62,,"INDIANA
(39.76845, -86.156212)",
MICHIGAN,2016,6,,-,2,,8,,7,,6,,2,,9,,23,,34,,42,,"MICHIGAN
(44.66399, -84.711206)",
GEORGIA,2016,6,,-,2,,7,,4,,8,,7,,24,,46,,81,,136,,"GEORGIA
(32.836038, -83.631709)",
MISSISSIPPI,2016,6,,-,0,,3,,1,,1,,,-,1,,7,,4,,9,,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2016,6,,-,0,,3,,2,,1,,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
WISCONSIN,2016,6,,-,1,,7,,,-,2,,5,,3,,24,,101,,30,,"WISCONSIN
(44.395526, -89.834513)",
NORTH CAROLINA,2016,6,,-,1,,6,,,-,9,,,-,4,,28,,5,,37,,"NORTH CAROLINA
(35.47995, -79.180571)",
ALASKA,2016,6,,-,0,,2,,2,,4,,,-,0,,1,,,-,1,,"ALASKA
(64.836661, -147.738891)",
ILLINOIS,2016,6,,-,3,,8,,4,,8,,,-,15,,30,,38,,78,,"ILLINOIS
(40.477092, -88.993221)",
OHIO,2016,6,2,,5,,19,,12,,11,,20,,11,,53,,199,,55,,"OHIO
(40.056807, -82.405897)",
WYOMING,2016,6,,-,0,,1,,,-,2,,,-,0,,3,,2,,,-,"WYOMING
(43.23558, -108.110518)",
VERMONT,2016,6,,-,0,,4,,2,,2,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WASHINGTON,2016,6,,-,0,,94,,,-,1,,7,,2,,25,,17,,6,,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2016,6,,-,4,,12,,15,,2,,3,,7,,24,,31,,30,,"PENNSYLVANIA
(40.789676, -77.858055)",
MONTANA,2016,6,,-,1,,6,,5,,5,,,-,0,,2,,1,,4,,"MONTANA
(47.062617, -109.430168)",
ARKANSAS,2016,6,,-,1,,5,,2,,6,,,-,2,,7,,18,,5,,"ARKANSAS
(34.748745, -92.275105)",
HAWAII,2016,6,,-,0,,5,,,-,5,,,-,1,,6,,3,,4,,"HAWAII
(21.30992, -157.858158)",
SOUTH DAKOTA,2016,6,,-,1,,5,,1,,4,,,-,3,,20,,,-,8,,"SOUTH DAKOTA
(44.35371, -100.373709)",
OREGON,2016,6,,-,3,,11,,6,,15,,5,,2,,10,,34,,3,,"OREGON
(44.567912, -120.156945)",
GUAM,2016,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CALIFORNIA,2016,6,,-,14,,31,,20,,64,,3,,40,,159,,126,,233,,"CALIFORNIA
(37.640735, -121.002435)",
TEXAS,2016,6,,-,10,,35,,24,,23,,52,,98,,333,,327,,195,,"TEXAS
(31.827233, -99.423022)",
PACIFIC,2016,6,,-,24,,105,,28,,89,,15,,46,,169,,180,,247,,,
KENTUCKY,2016,6,,-,1,,6,,9,,3,,2,,5,,21,,28,,77,,"KENTUCKY
(37.64591, -84.774043)",
S. ATLANTIC,2016,6,5,,10,,21,,38,,36,,31,,77,,153,,260,,402,,,
MID. ATLANTIC,2016,6,,-,12,,23,,37,,24,,10,,27,,75,,104,,382,,,
DELAWARE,2016,6,,-,0,,1,,,-,,-,,-,0,,2,,1,,6,,"DELAWARE
(39.008676, -75.574561)",
MISSOURI,2016,6,,-,0,,2,,,-,18,,,-,0,,21,,,-,155,,"MISSOURI
(38.636168, -92.566292)",
SOUTH CAROLINA,2016,6,,-,1,,7,,4,,1,,3,,3,,44,,38,,22,,"SOUTH CAROLINA
(34.009286, -81.037094)",
W.N. CENTRAL,2016,6,2,,9,,22,,24,,43,,3,,22,,61,,88,,198,,,
IDAHO,2016,6,,-,3,,9,,8,,2,,,-,0,,5,,10,,1,,"IDAHO
(43.680635, -114.364237)",
VIRGINIA,2016,6,,-,1,,6,,1,,4,,3,,5,,18,,22,,13,,"VIRGINIA
(37.542699, -78.45822)",
VIRGIN ISL.,2016,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
NEW JERSEY,2016,6,,-,0,,3,,3,,9,,,-,6,,13,,3,,52,,"NEW JERSEY
(40.104655, -74.386686)",
NEW HAMPSHIRE,2016,6,,-,0,,4,,,-,4,,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
UNITED STATES,2016,6,11,,116,,197,,240,,326,,182,,406,,647,,1769,,2059,,,
UTAH,2016,6,,-,1,,8,,1,,3,,,-,0,,8,,4,,7,,"UTAH
(39.359772, -111.584173)",
NEVADA,2016,6,,-,0,,7,,1,,3,,,-,0,,6,,,-,3,,"NEVADA
(39.491833, -117.070159)",
OKLAHOMA,2016,6,1,,1,,32,,1,,1,,17,,14,,165,,85,,27,,"OKLAHOMA
(35.468494, -97.521264)",
DELAWARE,2016,7,,-,0,,1,,,-,,-,,-,0,,2,,1,,7,,"DELAWARE
(39.008676, -75.574561)",
NORTH DAKOTA,2016,7,,-,0,,6,,,-,2,,,-,0,,2,,1,,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW YORK CITY,2016,7,1,,2,,8,,9,,8,,7,,9,,34,,58,,244,,NEW YORK CITY,
IDAHO,2016,7,,-,3,,9,,8,,2,,,-,0,,5,,10,,1,,"IDAHO
(43.680635, -114.364237)",
FLORIDA,2016,7,6,,2,,8,,25,,14,,9,,30,,86,,109,,177,,"FLORIDA
(28.915325, -81.922409)",
S. ATLANTIC,2016,7,6,,10,,21,,42,,45,,22,,77,,153,,287,,473,,,
W.S. CENTRAL,2016,7,,-,15,,45,,28,,42,,79,,121,,363,,555,,281,,,
IOWA,2016,7,,-,3,,10,,9,,5,,,-,10,,41,,50,,13,,"IOWA
(42.46942, -93.815856)",
MARYLAND,2016,7,,-,1,,7,,5,,5,,2,,3,,13,,16,,44,,"MARYLAND
(39.290443, -76.612333)",
MICHIGAN,2016,7,,-,2,,8,,7,,7,,,-,9,,23,,36,,51,,"MICHIGAN
(44.66399, -84.711206)",
NEVADA,2016,7,,-,0,,7,,1,,3,,,-,0,,6,,,-,8,,"NEVADA
(39.491833, -117.070159)",
NEW JERSEY,2016,7,,-,0,,3,,5,,10,,,-,6,,13,,3,,60,,"NEW JERSEY
(40.104655, -74.386686)",
ARIZONA,2016,7,2,,2,,11,,10,,4,,28,,11,,38,,217,,51,,"ARIZONA
(34.869712, -111.760902)",
MONTANA,2016,7,,-,1,,6,,5,,6,,,-,0,,2,,1,,4,,"MONTANA
(47.062617, -109.430168)",
MINNESOTA,2016,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
MISSOURI,2016,7,,-,0,,1,,,-,18,,,-,0,,12,,,-,167,,"MISSOURI
(38.636168, -92.566292)",
OREGON,2016,7,,-,3,,11,,8,,17,,1,,2,,10,,40,,3,,"OREGON
(44.567912, -120.156945)",
WYOMING,2016,7,,-,0,,1,,,-,2,,,-,0,,4,,2,,,-,"WYOMING
(43.23558, -108.110518)",
VIRGIN ISL.,2016,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
MOUNTAIN,2016,7,2,,11,,39,,26,,36,,28,,17,,41,,239,,82,,,
WISCONSIN,2016,7,,-,3,,10,,1,,10,,7,,4,,28,,119,,33,,"WISCONSIN
(44.395526, -89.834513)",
CALIFORNIA,2016,7,,-,15,,32,,22,,78,,6,,40,,159,,154,,274,,"CALIFORNIA
(37.640735, -121.002435)",
RHODE ISLAND,2016,7,,-,0,,3,,,-,3,,,-,0,,6,,3,,2,,"RHODE ISLAND
(41.707447, -71.522488)",
PACIFIC,2016,7,,-,24,,106,,34,,106,,12,,46,,169,,219,,291,,,
KENTUCKY,2016,7,,-,1,,6,,9,,4,,3,,5,,21,,34,,80,,"KENTUCKY
(37.64591, -84.774043)",
NEW ENGLAND,2016,7,,-,3,,17,,12,,22,,,-,5,,17,,15,,31,,,
E.S. CENTRAL,2016,7,2,,6,,15,,40,,18,,5,,25,,47,,104,,250,,,
MID. ATLANTIC,2016,7,3,,12,,23,,44,,33,,16,,26,,62,,125,,444,,,
ILLINOIS,2016,7,,-,4,,8,,4,,8,,,-,15,,30,,41,,93,,"ILLINOIS
(40.477092, -88.993221)",
HAWAII,2016,7,,-,0,,5,,1,,6,,,-,1,,6,,4,,5,,"HAWAII
(21.30992, -157.858158)",
GEORGIA,2016,7,,-,2,,7,,5,,8,,6,,24,,46,,89,,160,,"GEORGIA
(32.836038, -83.631709)",
LOUISIANA,2016,7,,-,0,,12,,,-,7,,4,,4,,13,,23,,16,,"LOUISIANA
(31.2931, -92.463284)",
