Reporting Area,MMWR Year,MMWR Week,"Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week, flag ","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†, flag",Location 1,Location 2
SOUTH DAKOTA,2019,10,,-,1,,,-,2,,,-,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
DELAWARE,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ARIZONA,2019,10,,-,3,,,-,,-,,-,2,,5,,1,,"ARIZONA
(34.869712, -111.760902)",
MISSOURI,2019,10,,-,3,,1,,,-,1,,3,,4,,3,,"MISSOURI
(38.636168, -92.566292)",
MARYLAND,2019,10,,-,5,,1,,4,,1,,4,,4,,2,,"MARYLAND
(39.290443, -76.612333)",
NEVADA,2019,10,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MAINE,2019,10,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
COLORADO,2019,10,,-,6,,,-,3,,,-,3,,2,,8,,"COLORADO
(38.841772, -106.132562)",
MASSACHUSETTS,2019,10,,-,8,,3,,,-,,-,2,,1,,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
GEORGIA,2019,10,,-,3,,3,,2,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WASHINGTON,2019,10,,-,22,,6,,,-,,-,7,,6,,,-,"WASHINGTON
(47.517368, -120.467672)",
OREGON,2019,10,,-,8,,1,,2,,,-,3,,,-,1,,"OREGON
(44.567912, -120.156945)",
RHODE ISLAND,2019,10,,-,2,,1,,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MINNESOTA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2019,10,,-,3,,2,,2,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
CONNECTICUT,2019,10,,-,6,,,-,4,,,-,3,,3,,2,,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2019,10,,-,1,,,-,,-,,-,2,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
VIRGINIA,2019,10,1,,6,,1,,,-,,-,4,,,-,2,,"VIRGINIA
(37.542699, -78.45822)",
NORTH CAROLINA,2019,10,,-,4,,2,,,-,,-,3,,1,,4,,"NORTH CAROLINA
(35.47995, -79.180571)",
NORTH DAKOTA,2019,10,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ALABAMA,2019,10,,-,3,,1,,,-,,-,2,,3,,2,,"ALABAMA
(32.839182, -86.631125)",
KENTUCKY,2019,10,,-,1,,,-,,-,,-,4,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
NEBRASKA,2019,10,,-,0,,,-,1,,,-,4,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
TEXAS,2019,10,,-,8,,2,,5,,,-,11,,,-,14,,"TEXAS
(31.827233, -99.423022)",
WISCONSIN,2019,10,,-,3,,,-,1,,,-,2,,3,,1,,"WISCONSIN
(44.395526, -89.834513)",
LOUISIANA,2019,10,,-,3,,1,,4,,1,,2,,1,,4,,"LOUISIANA
(31.2931, -92.463284)",
OKLAHOMA,2019,10,,-,3,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW JERSEY,2019,10,,-,5,,,-,3,,,-,5,,2,,2,,"NEW JERSEY
(40.104655, -74.386686)",
TENNESSEE,2019,10,,-,2,,1,,1,,,-,2,,1,,2,,"TENNESSEE
(35.681402, -85.774444)",
ILLINOIS,2019,10,,-,6,,1,,2,,,-,4,,8,,5,,"ILLINOIS
(40.477092, -88.993221)",
ARKANSAS,2019,10,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
CALIFORNIA,2019,10,,-,28,,3,,18,,,-,7,,3,,11,,"CALIFORNIA
(37.640735, -121.002435)",
NEW HAMPSHIRE,2019,10,,-,2,,,-,1,,,-,3,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
INDIANA,2019,10,,-,2,,,-,,-,,-,1,,,-,2,,"INDIANA
(39.76845, -86.156212)",
PUERTO RICO,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NORTHERN MARIANA ISLANDS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
UTAH,2019,10,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
OHIO,2019,10,1,,5,,2,,,-,2,,2,,3,,3,,"OHIO
(40.056807, -82.405897)",
SOUTH CAROLINA,2019,10,,-,3,,4,,1,,,-,2,,3,,5,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WYOMING,2019,10,,-,0,,,-,,-,,-,1,,1,,1,,"WYOMING
(43.23558, -108.110518)",
KANSAS,2019,10,,-,3,,1,,1,,,-,2,,2,,3,,"KANSAS
(38.345528, -98.201847)",
U.S. VIRGIN ISLANDS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DISTRICT OF COLUMBIA,2019,10,,-,1,,,-,1,,,-,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
FLORIDA,2019,10,,-,17,,,-,18,,,-,5,,,-,4,,"FLORIDA
(28.915325, -81.922409)",
MISSISSIPPI,2019,10,,-,2,,,-,,-,,-,1,,,-,1,,"MISSISSIPPI
(32.738663, -89.537312)",
ALASKA,2019,10,,-,3,,1,,1,,,-,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WEST VIRGINIA,2019,10,,-,0,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
IDAHO,2019,10,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
MONTANA,2019,10,,-,2,,,-,,-,,-,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
US RESIDENTS,2019,11,1,,110,,56,,96,,5,,41,,87,,105,,,US RESIDENTS
NEW ENGLAND,2019,11,,-,15,,4,,6,,,-,4,,5,,3,,,NEW ENGLAND
MIDDLE ATLANTIC,2019,11,1,,13,,7,,8,,1,,7,,14,,3,,MIDDLE ATLANTIC,
NEW YORK CITY,2019,11,,-,4,,3,,2,,1,,3,,8,,1,,,NEW YORK CITY
EAST NORTH CENTRAL,2019,11,,-,11,,9,,5,,,-,7,,18,,13,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,11,,-,5,,1,,4,,,-,4,,7,,7,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,11,,-,20,,13,,32,,1,,8,,9,,23,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,11,,-,5,,3,,1,,2,,4,,6,,6,,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,11,,-,9,,3,,12,,,-,11,,3,,21,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,11,,-,11,,,-,4,,,-,4,,12,,16,,,MOUNTAIN
PACIFIC,2019,11,,-,48,,16,,24,,1,,14,,13,,13,,,PACIFIC
US TERRITORIES,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,11,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,11,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,11,1,,110,,56,,96,,5,,41,,87,,105,,,TOTAL
COLORADO,2019,11,,-,6,,,-,3,,,-,3,,5,,8,,"COLORADO
(38.841772, -106.132562)",
ARKANSAS,2019,11,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MONTANA,2019,11,,-,2,,,-,,-,,-,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
CALIFORNIA,2019,11,,-,28,,3,,19,,1,,7,,6,,12,,"CALIFORNIA
(37.640735, -121.002435)",
MARYLAND,2019,11,,-,5,,1,,4,,,-,4,,4,,5,,"MARYLAND
(39.290443, -76.612333)",
TENNESSEE,2019,11,,-,2,,2,,1,,2,,2,,3,,2,,"TENNESSEE
(35.681402, -85.774444)",
NEW MEXICO,2019,11,,-,1,,,-,,-,,-,2,,,-,4,,"NEW MEXICO
(34.520396, -106.244402)",
RHODE ISLAND,2019,11,,-,2,,1,,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WASHINGTON,2019,11,,-,22,,7,,,-,,-,7,,7,,,-,"WASHINGTON
(47.517368, -120.467672)",
MISSISSIPPI,2019,11,,-,2,,,-,,-,,-,1,,,-,1,,"MISSISSIPPI
(32.738663, -89.537312)",
INDIANA,2019,11,,-,2,,,-,1,,,-,1,,,-,2,,"INDIANA
(39.76845, -86.156212)",
KANSAS,2019,11,,-,3,,1,,1,,,-,2,,2,,3,,"KANSAS
(38.345528, -98.201847)",
FLORIDA,2019,11,,-,17,,,-,22,,,-,5,,,-,4,,"FLORIDA
(28.915325, -81.922409)",
HAWAII,2019,11,,-,3,,4,,2,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WEST VIRGINIA,2019,11,,-,0,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH CAROLINA,2019,11,,-,3,,5,,2,,,-,2,,3,,5,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WISCONSIN,2019,11,,-,3,,,-,1,,,-,2,,4,,1,,"WISCONSIN
(44.395526, -89.834513)",
OREGON,2019,11,,-,8,,1,,2,,,-,3,,,-,1,,"OREGON
(44.567912, -120.156945)",
DELAWARE,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2019,11,,-,7,,2,,3,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MISSOURI,2019,11,,-,3,,,-,,-,,-,3,,5,,3,,"MISSOURI
(38.636168, -92.566292)",
LOUISIANA,2019,11,,-,3,,1,,4,,,-,2,,2,,4,,"LOUISIANA
(31.2931, -92.463284)",
NORTH CAROLINA,2019,11,,-,4,,2,,,-,,-,3,,1,,5,,"NORTH CAROLINA
(35.47995, -79.180571)",
MAINE,2019,11,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEVADA,2019,11,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ILLINOIS,2019,11,,-,6,,4,,2,,,-,4,,9,,6,,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2019,11,,-,0,,,-,,-,,-,1,,1,,1,,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2019,11,,-,8,,3,,,-,,-,2,,1,,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
ALABAMA,2019,11,,-,3,,1,,,-,,-,2,,3,,2,,"ALABAMA
(32.839182, -86.631125)",
U.S. VIRGIN ISLANDS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ARIZONA,2019,11,,-,3,,,-,,-,,-,2,,5,,2,,"ARIZONA
(34.869712, -111.760902)",
UTAH,2019,11,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
MINNESOTA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
GEORGIA,2019,11,,-,3,,3,,3,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MICHIGAN,2019,11,,-,4,,2,,1,,,-,2,,3,,1,,"MICHIGAN
(44.66399, -84.711206)",
CONNECTICUT,2019,11,,-,6,,,-,4,,,-,3,,3,,2,,"CONNECTICUT
(41.544654, -72.651713)",
DISTRICT OF COLUMBIA,2019,11,,-,1,,,-,1,,,-,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEBRASKA,2019,11,,-,0,,,-,1,,,-,4,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
SOUTH DAKOTA,2019,11,,-,1,,,-,2,,,-,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
PENNSYLVANIA,2019,11,,-,4,,1,,,-,,-,2,,4,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
TEXAS,2019,11,,-,8,,2,,6,,,-,11,,1,,17,,"TEXAS
(31.827233, -99.423022)",
IDAHO,2019,11,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
ALASKA,2019,11,,-,3,,1,,1,,,-,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
GUAM,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTHERN MARIANA ISLANDS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH DAKOTA,2019,11,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
IOWA,2019,11,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
NEW HAMPSHIRE,2019,11,,-,2,,,-,1,,,-,3,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OKLAHOMA,2019,11,,-,3,,,-,2,,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
KENTUCKY,2019,11,,-,1,,,-,,-,,-,4,,,-,1,,"KENTUCKY
(37.64591, -84.774043)",
NEW JERSEY,2019,11,1,,5,,1,,3,,,-,5,,2,,2,,"NEW JERSEY
(40.104655, -74.386686)",
VERMONT,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
OHIO,2019,11,,-,5,,3,,,-,,-,2,,2,,3,,"OHIO
(40.056807, -82.405897)",
VIRGINIA,2019,11,,-,6,,2,,,-,1,,4,,1,,3,,"VIRGINIA
(37.542699, -78.45822)",
PUERTO RICO,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
US RESIDENTS,2019,12,1,,112,,58,,108,,5,,43,,107,,126,,,US RESIDENTS
NEW ENGLAND,2019,12,,-,15,,4,,6,,,-,4,,7,,3,,,NEW ENGLAND
MIDDLE ATLANTIC,2019,12,,-,13,,7,,8,,,-,7,,15,,4,,MIDDLE ATLANTIC,
NEW YORK CITY,2019,12,,-,5,,3,,2,,,-,3,,8,,1,,,NEW YORK CITY
EAST NORTH CENTRAL,2019,12,,-,11,,10,,5,,,-,7,,20,,14,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,12,,-,5,,1,,7,,,-,4,,7,,7,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,12,,-,20,,13,,36,,2,,8,,12,,25,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,12,,-,5,,3,,1,,,-,6,,6,,10,,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,12,,-,9,,3,,12,,,-,15,,10,,26,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,12,,-,11,,,-,5,,3,,5,,17,,17,,,MOUNTAIN
PACIFIC,2019,12,1,,48,,17,,28,,,-,14,,13,,20,,,PACIFIC
US TERRITORIES,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,12,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,12,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,12,1,,112,,58,,108,,5,,43,,107,,126,,,TOTAL
MICHIGAN,2019,12,,-,4,,2,,1,,,-,2,,3,,2,,"MICHIGAN
(44.66399, -84.711206)",
WYOMING,2019,12,,-,0,,,-,,-,,-,1,,1,,1,,"WYOMING
(43.23558, -108.110518)",
NORTHERN MARIANA ISLANDS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PUERTO RICO,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ALASKA,2019,12,,-,3,,1,,1,,,-,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
KANSAS,2019,12,,-,3,,1,,1,,,-,2,,2,,4,,"KANSAS
(38.345528, -98.201847)",
COLORADO,2019,12,,-,6,,,-,3,,1,,3,,8,,9,,"COLORADO
(38.841772, -106.132562)",
NEBRASKA,2019,12,,-,0,,,-,1,,,-,4,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW HAMPSHIRE,2019,12,,-,2,,,-,1,,,-,3,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
LOUISIANA,2019,12,,-,4,,1,,4,,,-,6,,2,,6,,"LOUISIANA
(31.2931, -92.463284)",
HAWAII,2019,12,,-,3,,4,,4,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
CALIFORNIA,2019,12,,-,28,,3,,20,,,-,8,,6,,14,,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2019,12,,-,4,,,-,1,,,-,1,,1,,,-,"UTAH
(39.359772, -111.584173)",
MISSISSIPPI,2019,12,,-,2,,,-,,-,,-,1,,,-,1,,"MISSISSIPPI
(32.738663, -89.537312)",
CONNECTICUT,2019,12,,-,6,,,-,4,,,-,3,,5,,2,,"CONNECTICUT
(41.544654, -72.651713)",
KENTUCKY,2019,12,,-,1,,,-,,-,,-,4,,,-,5,,"KENTUCKY
(37.64591, -84.774043)",
IOWA,2019,12,,N,,NC,,N,,N,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
ARIZONA,2019,12,,-,3,,,-,1,,2,,2,,7,,2,,"ARIZONA
(34.869712, -111.760902)",
FLORIDA,2019,12,,-,17,,,-,24,,,-,5,,,-,5,,"FLORIDA
(28.915325, -81.922409)",
MAINE,2019,12,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEVADA,2019,12,,-,1,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MINNESOTA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
ILLINOIS,2019,12,,-,6,,6,,2,,,-,4,,10,,6,,"ILLINOIS
(40.477092, -88.993221)",
NORTH CAROLINA,2019,12,,-,4,,2,,2,,,-,3,,1,,5,,"NORTH CAROLINA
(35.47995, -79.180571)",
ALABAMA,2019,12,,-,3,,1,,,-,,-,2,,3,,2,,"ALABAMA
(32.839182, -86.631125)",
NEW YORK,2019,12,,-,7,,2,,3,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
TEXAS,2019,12,,-,7,,2,,6,,,-,11,,8,,20,,"TEXAS
(31.827233, -99.423022)",
VIRGINIA,2019,12,,-,6,,2,,,-,1,,4,,3,,3,,"VIRGINIA
(37.542699, -78.45822)",
WASHINGTON,2019,12,1,,22,,8,,1,,,-,7,,7,,5,,"WASHINGTON
(47.517368, -120.467672)",
NORTH DAKOTA,2019,12,,-,1,,,-,,-,,-,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
TENNESSEE,2019,12,,-,2,,2,,1,,,-,2,,3,,2,,"TENNESSEE
(35.681402, -85.774444)",
MISSOURI,2019,12,,-,3,,,-,3,,,-,3,,5,,2,,"MISSOURI
(38.636168, -92.566292)",
MASSACHUSETTS,2019,12,,-,8,,3,,,-,,-,2,,1,,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
MARYLAND,2019,12,,-,5,,1,,4,,1,,4,,5,,5,,"MARYLAND
(39.290443, -76.612333)",
OHIO,2019,12,,-,5,,2,,,-,,-,2,,2,,3,,"OHIO
(40.056807, -82.405897)",
RHODE ISLAND,2019,12,,-,2,,1,,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
SOUTH CAROLINA,2019,12,,-,3,,5,,2,,,-,2,,3,,5,,"SOUTH CAROLINA
(34.009286, -81.037094)",
VERMONT,2019,12,,-,1,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
DELAWARE,2019,12,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ARKANSAS,2019,12,,-,3,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
U.S. VIRGIN ISLANDS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OKLAHOMA,2019,12,,-,3,,,-,2,,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW MEXICO,2019,12,,-,1,,,-,,-,,-,2,,,-,4,,"NEW MEXICO
(34.520396, -106.244402)",
GEORGIA,2019,12,,-,3,,3,,3,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MONTANA,2019,12,,-,2,,,-,,-,,-,3,,,-,1,,"MONTANA
(47.062617, -109.430168)",
NEW JERSEY,2019,12,,-,5,,1,,3,,,-,5,,3,,2,,"NEW JERSEY
(40.104655, -74.386686)",
INDIANA,2019,12,,-,2,,,-,1,,,-,1,,,-,2,,"INDIANA
(39.76845, -86.156212)",
DISTRICT OF COLUMBIA,2019,12,,-,1,,,-,1,,,-,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH DAKOTA,2019,12,,-,1,,,-,2,,,-,1,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
PENNSYLVANIA,2019,12,,-,4,,1,,,-,,-,2,,4,,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
GUAM,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WEST VIRGINIA,2019,12,,-,2,,,-,,-,,-,2,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
OREGON,2019,12,,-,8,,1,,2,,,-,3,,,-,1,,"OREGON
(44.567912, -120.156945)",
WISCONSIN,2019,12,,-,3,,,-,1,,,-,2,,5,,1,,"WISCONSIN
(44.395526, -89.834513)",
IDAHO,2019,12,,N,,NC,,N,,N,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
US RESIDENTS,2019,13,1,,111,,61,,126,,7,,44,,135,,142,,,US RESIDENTS
NEW ENGLAND,2019,13,,-,15,,5,,7,,,-,4,,7,,3,,,NEW ENGLAND
MIDDLE ATLANTIC,2019,13,,-,13,,6,,10,,2,,8,,29,,8,,MIDDLE ATLANTIC,
NEW YORK CITY,2019,13,,-,5,,3,,3,,,-,3,,8,,1,,,NEW YORK CITY
EAST NORTH CENTRAL,2019,13,,-,11,,10,,6,,,-,7,,20,,16,,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,13,,-,5,,1,,7,,,-,4,,8,,7,,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,13,1,,20,,16,,43,,1,,8,,14,,26,,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,13,,-,5,,3,,2,,,-,6,,7,,10,,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,13,,-,9,,3,,15,,3,,15,,18,,31,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,13,,-,11,,,-,5,,1,,5,,18,,19,,,MOUNTAIN
PACIFIC,2019,13,,-,48,,17,,31,,,-,14,,14,,22,,,PACIFIC
US TERRITORIES,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,13,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NON-US RESIDENTS,2019,13,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,13,1,,111,,61,,126,,7,,44,,135,,142,,,TOTAL
CONNECTICUT,2019,13,,-,6,,1,,4,,,-,3,,5,,2,,"CONNECTICUT
(41.544654, -72.651713)",
GEORGIA,2019,13,,-,3,,3,,4,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
INDIANA,2019,13,,-,2,,,-,1,,,-,1,,,-,2,,"INDIANA
(39.76845, -86.156212)",
NEW YORK,2019,13,,-,7,,1,,2,,2,,4,,12,,4,,"NEW YORK
(42.826892, -75.544286)",
SOUTH CAROLINA,2019,13,,-,3,,5,,2,,,-,2,,4,,5,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2019,13,,-,8,,3,,1,,,-,2,,1,,1,,"MASSACHUSETTS
(42.268546, -72.085064)",
GUAM,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TENNESSEE,2019,13,,-,2,,2,,1,,,-,3,,4,,2,,"TENNESSEE
(35.681402, -85.774444)",
OREGON,2019,13,,-,8,,1,,2,,,-,3,,,-,1,,"OREGON
(44.567912, -120.156945)",
ALASKA,2019,13,,-,3,,1,,1,,,-,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2019,13,,-,4,,2,,3,,,-,3,,1,,5,,"NORTH CAROLINA
(35.47995, -79.180571)",
WISCONSIN,2019,13,,-,3,,,-,1,,,-,2,,5,,1,,"WISCONSIN
(44.395526, -89.834513)",
DELAWARE,2019,13,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
FLORIDA,2019,13,,-,17,,,-,28,,,-,5,,,-,5,,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2019,13,,-,2,,,-,3,,,-,3,,5,,2,,"MISSOURI
(38.636168, -92.566292)",
