Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Location
MCP20940060,16009210,Montgomery County Police,Injury Crash,02/24/2016 09:37:00 AM,,,,,"PARKING LOT OF

8215 OLD GEORGETOWN RD.",,PEDESTRIAN,OTHER,FOGGY,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,38ADE0AC-1BA3-4FDD-8749-0B1842924319,PEDESTRIAN,Walking to/from school,NO IMPROPER ACTIONS,OTHER,N/A,DARK CLOTHING,No,SUSPECTED MINOR INJURY,N/A,38.99301333,-77.10723,"(38.99301333, -77.10723)"
MCP2923003Z,180008625,Montgomery County Police,Injury Crash,02/19/2018 02:18:00 PM,County,RANDOLPH RD,Maryland (State),GEORGIA AVE,,N/A,PEDESTRIAN,OTHER,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,N/A,184E3239-24E8-4164-B59D-D2D62124049C,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,AT INTERSECTION MARKED CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,N/A,39.05820167,-77.04986667,"(39.05820167, -77.04986667)"
MCP00360034,15057435,MONTGOMERY,Injury Crash,11/10/2015 08:18:00 PM,Maryland (State),WOODFIELD RD,County,BETHESDA CHURCH RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,165315B7-130C-4534-B51B-1C2A0886D9FB,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,OUTSIDE RIGHT OF WAY,NO PED. SIGNAL,DARK CLOTHING,Unknown,SUSPECTED SERIOUS INJURY,N/A,39.28388833,-77.20184667,"(39.28388833, -77.20184667)"
MCP14530062,180044711,Montgomery County Police,Injury Crash,09/07/2018 12:23:00 PM,County,WISTERIA DR,County,WALTER JOHNSON RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLOUDY,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,826AFEA5-CBCE-4554-B041-53D60B365D0C,PEDESTRIAN,Cross/Enter at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED SERIOUS INJURY,N/A,39.17590333,-77.26840167,"(39.17590333, -77.26840167)"
DD56250028,190018901,Rockville Police Departme,Injury Crash,04/22/2019 08:50:00 PM,Municipality,MARYLAND AVE,Municipality,E MIDDLE LA,,ROCKVILLE,PEDESTRIAN,OTHER,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,D16D03E7-B62B-48C5-91A4-5D19229405D8,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes,POSSIBLE INJURY,NONE,39.08512197,-77.15094064,"(39.08512197, -77.15094064)"
DD56030040,170514300,Rockville Police Departme,Injury Crash,06/17/2017 05:15:00 PM,,,,,"PARKING LOT OF 1471 ROCKVILLE PIKE, ROCKVILLE, MD",,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,STOP SIGN,UNKNOWN,NONE DETECTED,EB7B3336-B87D-4585-AD7E-E954976913F4,PEDESTRIAN,Other,OTHER,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.06536,-77.12735167,"(39.06536, -77.12735167)"
MCP2867003X,170503568,Montgomery County Police,Injury Crash,04/22/2017 02:13:00 PM,,,,,"PARKING LOT IN FRONT OF 10107 COLESVILLE ROAD, SILVER SPRING, MARYLAND 20901",,PEDESTRIAN,SINGLE VEHICLE,CLOUDY,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,AD697FF1-F461-4C79-9F95-5238047D3334,PEDESTRIAN,Other,INATTENTIVE,OTHER,N/A,LIGHT CLOTHING,Yes,POSSIBLE INJURY,NONE,39.02032045,-77.01206267,"(39.02032045, -77.01206267)"
MCP31090019,180045118,Montgomery County Police,Injury Crash,09/10/2018 11:00:00 AM,County,FENTON ST,County,SLIGO AVE,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLOUDY,N/A,DAYLIGHT,NO CONTROLS,UNKNOWN,NONE DETECTED,93323D05-F681-4B14-B08F-BAC1C9A0D8F6,PEDESTRIAN,Standing,N/A,ON ROADWAY NOT AT CROSSWALK,N/A,REFLECTIVE MATERIAL,No,POSSIBLE INJURY,REFLECTIVE CLOTHING,38.99023242,-77.02373791,"(38.99023242, -77.02373791)"
MCP271700KQ,180048158,Montgomery County Police,Property Damage Crash,09/26/2018 07:15:00 PM,County,CAMERON ST,County,FENTON ST,,N/A,PEDESTRIAN,OTHER,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,84D7FB85-3469-45E1-B034-36CBE3B7398D,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,NO APPARENT INJURY,NONE,38.9984605,-77.02898667,"(38.9984605, -77.02898667)"
DD5508003C,17010759,Rockville Police Departme,Property Damage Crash,02/28/2017 06:09:00 PM,Municipality,S STONESTREET AVE,Municipality,READING TERR,,ROCKVILLE,PEDESTRIAN,OTHER,RAINING,WET,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,21642818-EC97-40B2-978D-A3005646DBD8,PEDESTRIAN,Cross/Enter at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,NO APPARENT INJURY,N/A,39.08540333,-77.14475333,"(39.08540333, -77.14475333)"
MCP1438002S,16033074,Montgomery County Police,Injury Crash,06/30/2016 10:49:00 AM,County,EPSILON DR,County,EPSILON PL,,N/A,PEDESTRIAN,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,A64D706D-54E3-4455-B144-AC1BD0306A35,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,N/A,LIGHT CLOTHING,No,NO APPARENT INJURY,N/A,39.13841333,-77.16330667,"(39.13841333, -77.16330667)"
MCP3100000B,180023767,Montgomery County Police,Injury Crash,05/14/2018 09:00:00 PM,,,,,PARKING LOT OF 245 KENTLANDS BLVD,,PEDESTRIAN,N/A,RAINING,,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,NONE DETECTED,7F9B8F89-4977-4999-91F9-4A627D7C7850,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.12499127,-77.23936379,"(39.12499127, -77.23936379)"
MCP1563003R,170512738,Montgomery County Police,Injury Crash,06/09/2017 04:30:00 PM,Maryland (State),CONNECTICUT AVE,Maryland (State),EAST WEST HWY,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,NONE DETECTED,5393D388-92B9-440D-ADAC-B837D22F3980,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,38.98762115,-77.07727253,"(38.98762115, -77.07727253)"
MCP3036000H,17016191,Montgomery County Police,Injury Crash,03/30/2017 03:19:00 PM,County,SHADY GROVE RD,Municipality,CHOKE CHERRY RD,,ROCKVILLE,PEDESTRIAN,SINGLE VEHICLE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,67868A2C-F988-435B-AC7D-CC3375DDBB39,PEDESTRIAN,Cross/Enter at Intersection,INATTENTIVE,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.11519881,-77.18542323,"(39.11519881, -77.18542323)"
MCP2656000P,15038518,MONTGOMERY,Injury Crash,08/03/2015 06:13:00 PM,County,CASTLE BLVD,Unknown,TEAGARDEN CIR,,N/A,PEDESTRIAN,OTHER,N/A,DRY,DAYLIGHT,NO CONTROLS,N/A,NONE DETECTED,2165E869-7993-4B45-8C3D-6F6BD0C2F841,PEDESTRIAN,Cross/Enter not at Intersection,INATTENTIVE,OTHER,NO PED. SIGNAL,OTHER,Yes,NO APPARENT INJURY,NONE,39.10616167,-76.91625667,"(39.10616167, -76.91625667)"
MCP20080026,16020098,Montgomery County Police,Injury Crash,04/23/2016 11:15:00 PM,Maryland (State),CONNECTICUT AVE,County,JONES BRIDGE RD,,N/A,PEDESTRIAN,SAME DIR REAR END,N/A,DRY,DARK LIGHTS ON,N/A,"ALCOHOL PRESENT, UNKNOWN",UNKNOWN,F6735FAD-037C-4EBB-ADAE-AEA27463328A,PEDESTRIAN,Unknown,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,N/A,DARK CLOTHING,Unknown,SUSPECTED SERIOUS INJURY,NONE,38.99861667,-77.077115,"(38.99861667, -77.077115)"
MCP271700L5,180053407,Montgomery County Police,Injury Crash,10/25/2018 07:31:00 AM,County,CASTLE BLVD,Unknown,TEAGARDEN CIR,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAWN,NO CONTROLS,NONE DETECTED,NONE DETECTED,284ECC41-1375-4F9B-8852-B4C5F0245C6B,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.0824985,-76.943588,"(39.0824985, -76.943588)"
MCP9301000R,15067125,Montgomery County Police,Injury Crash,12/31/2015 01:40:00 PM,Maryland (State),QUINCE ORCHARD RD,Municipality,FIRSTFIELD RD,,GAITHERSBURG,PEDESTRIAN,SINGLE VEHICLE,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,N/A,6A4BB574-EFF1-4687-9E69-39822CA0310F,PEDESTRIAN,Getting off/on Vehicle,DART DASH,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes,SUSPECTED SERIOUS INJURY,N/A,39.14588333,-77.22,"(39.14588333, -77.22)"
MCP06130015,190000546,Montgomery County Police,Injury Crash,01/04/2019 07:34:00 AM,County,QUEEN ELIZABETH DR,County,MORNINGWOOD DR,,N/A,PEDESTRIAN,OTHER,CLOUDY,DRY,DAWN,STOP SIGN,NONE DETECTED,NONE DETECTED,F33A9865-C6EE-46FE-85F0-0ED15841FD48,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.15291,-77.07997333,"(39.15291, -77.07997333)"
MCP2764000V,15051049,MONTGOMERY,Injury Crash,10/08/2015 04:11:00 PM,Maryland (State),VEIRS MILL RD,Maryland (State),CONNECTICUT AVE,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,6606008F-EDA3-4AFA-BC98-687673EA242A,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,39.05165333,-77.07509,"(39.05165333, -77.07509)"
MCP2868001F,15040623,MONTGOMERY,Injury Crash,08/14/2015 06:03:00 PM,,,,,Parking lot of shopping center at 10315 Westlake Dr,,OTHER,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,C91669DA-CC4F-4A23-ACFA-37026394E35B,OTHER,Cross/Enter at Intersection,INATTENTIVE,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,POSSIBLE INJURY,NONE,39.02554667,-77.14820167,"(39.02554667, -77.14820167)"
MCP1148001K,17004291,Montgomery County Police,Injury Crash,01/25/2017 09:10:00 AM,Maryland (State),MASSACHUSETTS AVE,County,JAMESTOWN RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,D09B76CF-03B0-4086-8CF0-1BB68496C75F,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,38.95164167,-77.10223667,"(38.95164167, -77.10223667)"
MCP2782001C,16007915,Montgomery County Police,Injury Crash,02/17/2016 07:33:00 AM,County,ASPEN HILL RD,Maryland (State),VEIRS MILL RD,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,FE5565BC-F2F2-4E46-BCEB-2A49AF406097,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.069365,-77.10491833,"(39.069365, -77.10491833)"
MCP25660011,190007371,Montgomery County Police,Injury Crash,02/06/2019 09:30:00 AM,,,,,"PARKING LOT OF 
8615 EAST VILLAGE AVENUE
MONTGOMERY VILLAGE MD 20886",,PEDESTRIAN,SINGLE VEHICLE,N/A,,DAYLIGHT,NO CONTROLS,UNKNOWN,N/A,DC631581-C891-4804-A81A-968BB473CE99,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,N/A,UNKNOWN,No,SUSPECTED MINOR INJURY,N/A,39.18508109,-77.17499303,"(39.18508109, -77.17499303)"
MCP1378005P,15017307,Montgomery County Police,Injury Crash,04/14/2015 01:36:00 PM,County,SHADY GROVE RD,Ramp,RAMP 1 FR IS 270 NB TO SHADY GROVE RD WB,,N/A,OTHER,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,CE4EEED2-5E10-4006-B388-9EB95F0327AF,OTHER,Other,DISABLED VEHICLE RELATED,ON ROADWAY NOT AT CROSSWALK,N/A,N/A,,SUSPECTED SERIOUS INJURY,N/A,39.11166,-77.18718,"(39.11166, -77.18718)"
MCP1151002C,15006874,Montgomery County Police,Injury Crash,02/11/2015 07:45:00 AM,Maryland (State),FREDERICK RD,County,HIGH POINT DR,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,5B78D3B8-D9D9-4896-9B6E-90AED8348B3C,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,N/A,MIXED CLOTHING,,SUSPECTED SERIOUS INJURY,N/A,39.16927333,-77.23471833,"(39.16927333, -77.23471833)"
MCP2992000W,16052099,Montgomery County Police,Property Damage Crash,10/10/2016 01:30:00 PM,,,,,PARKING LOT 3335 HEWITT AVE SILVER SPRING MD 20906,,OTHER,SINGLE VEHICLE,N/A,,DAYLIGHT,NO CONTROLS,NONE DETECTED,N/A,D2F9DA62-ED00-4E9D-9C41-A49DE581EF07,OTHER,Other,NO IMPROPER ACTIONS,OTHER,N/A,N/A,No,NO APPARENT INJURY,N/A,39.07981333,-77.06794167,"(39.07981333, -77.06794167)"
MCP2198003J,170546802,Montgomery County Police,Injury Crash,12/05/2017 06:57:00 PM,County,SHADY GROVE RD,Ramp,RAMP 4 FR RAMP 1 TO SHADY GROVE RD,,N/A,PEDESTRIAN,OTHER,N/A,WET,DARK LIGHTS ON,N/A,N/A,N/A,BC384F2E-128E-44A6-B220-E901C3B8B210,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,N/A,N/A,No,POSSIBLE INJURY,N/A,39.11376667,-77.18679833,"(39.11376667, -77.18679833)"
MCP3051001B,180005944,Montgomery County Police,Injury Crash,02/03/2018 08:50:00 PM,Maryland (State),OLD GEORGETOWN RD,County,LONE OAK DR,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DARK NO LIGHTS,NO CONTROLS,NONE DETECTED,ALCOHOL PRESENT,496907D8-326A-40F6-B1E0-10DFF177CBFE,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes,SUSPECTED SERIOUS INJURY,NONE,39.02009175,-77.1219521,"(39.02009175, -77.1219521)"
MCP14170076,170505369,Montgomery County Police,Injury Crash,05/02/2017 07:36:00 AM,County,STEDWICK RD,County,MONTGOMERY VILLAGE AVE,,N/A,BICYCLIST,SINGLE VEHICLE,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,38AB2F4E-D93D-4B3E-A6D3-D1B8F7123954,BICYCLIST,Cross/Enter at Intersection,OTHER,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.1697111,-77.20451251,"(39.1697111, -77.20451251)"
MCP2162002L,170534580,Montgomery County Police,Injury Crash,10/03/2017 07:02:00 AM,Maryland (State),OLNEY LAYTONSVILLE RD,Unknown,OLNEY POST OFFICE,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,N/A,N/A,8D238554-8134-4C21-89E8-0CFD5ACE2E8F,PEDESTRIAN,Cross/Enter at Intersection,N/A,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.15551833,-77.07064333,"(39.15551833, -77.07064333)"
MCP2386001D,170505158,Montgomery County Police,Injury Crash,04/30/2017 03:30:00 PM,Maryland (State),UNIVERSITY BLVD E,Municipality,MERRIMAC DR,,TAKOMA PARK,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,UNKNOWN,OTHER,2DD37BAF-282B-4EBA-A612-59116939DDE7,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,38.99255474,-76.99164033,"(38.99255474, -76.99164033)"
MCP15800060,16036385,Montgomery County Police,Injury Crash,07/18/2016 04:12:00 PM,Municipality,GIRARD ST,County,GOSHEN RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,ALCOHOL PRESENT,8FB7DCF4-D219-4DED-A0ED-975BB76EA2E1,PEDESTRIAN,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,AT INTERSECTION MARKED CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,Yes,POSSIBLE INJURY,N/A,39.15249833,-77.19217167,"(39.15249833, -77.19217167)"
MCP1565001C,15047042,MONTGOMERY,Injury Crash,09/17/2015 08:15:00 AM,,,,,PARKING LOT OF 2301 GLENALLAN AVE SILVER SPRING MARYLAND 20906,,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,9EF10131-0F26-4535-A6AA-EFFC75167F55,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED SERIOUS INJURY,N/A,39.06391509,-77.0490396,"(39.06391509, -77.0490396)"
MCP29640025,170517510,Montgomery County Police,Injury Crash,07/05/2017 08:11:00 PM,County,FATHER HURLEY BLVD,Unknown,TRIMFIELD LA,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DAWN,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,A63BFFB4-B388-428F-ABA9-AF55BF2D05D8,BICYCLIST,Walking/Cycling on Sidewalk,NOT VISIBLE,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.18630738,-77.2735633,"(39.18630738, -77.2735633)"
MCP28910061,180027143,Montgomery County Police,Injury Crash,06/02/2018 12:35:00 PM,Maryland (State),FOREST GLEN RD,County,CANEY PL,,N/A,BICYCLIST,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,AE9B82C6-1B29-43DA-8616-EDD526EF0BF0,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,OTHER,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.01533117,-77.04850317,"(39.01533117, -77.04850317)"
MCP1002000G,16062671,Montgomery County Police,Injury Crash,12/06/2016 07:27:00 PM,Maryland (State),CLOPPER RD,County,MATENEY RD,,N/A,PEDESTRIAN,OTHER,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,C8F1551B-3163-4271-88B5-0E178C0E4E43,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY AT CROSSWALK,UNKNOWN,UNKNOWN,No,POSSIBLE INJURY,N/A,39.14986,-77.23448333,"(39.14986, -77.23448333)"
DD56100021,16053609,Rockville Police Departme,Injury Crash,10/18/2016 04:32:00 PM,County,TWINBROOK PKWY,Municipality,PIER DR,,ROCKVILLE,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,OTHER,N/A,N/A,C623C299-C215-4D61-9C0C-3C64801DEE44,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,N/A,No,POSSIBLE INJURY,N/A,39.06910467,-77.114034,"(39.06910467, -77.114034)"
MCP30210024,170547549,Montgomery County Police,Injury Crash,12/09/2017 10:10:00 AM,,,,,12000 CHERRY HILL ROAD     TARGET PARKING LOT,,PEDESTRIAN,SINGLE VEHICLE,N/A,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,EB2E13D2-636E-4F2F-A922-DF5D1FC90109,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,N/A,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.051995,-76.956345,"(39.051995, -76.956345)"
MCP2565001M,15011123,Montgomery County Police,Injury Crash,03/10/2015 07:45:00 PM,County,MARINELLI RD,Maryland (State),ROCKVILLE PIKE,,N/A,PEDESTRIAN,OTHER,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,E9AC37AA-BCEB-4819-9FF8-B327E2FC3A72,PEDESTRIAN,Cross/Enter at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,,SUSPECTED MINOR INJURY,N/A,39.04713,-77.11299667,"(39.04713, -77.11299667)"
MCP2937000W,15035669,MONTGOMERY,Injury Crash,07/20/2015 08:39:00 AM,Maryland (State),NEW HAMPSHIRE AVE,County,LOCKWOOD DR,,N/A,PEDESTRIAN,SINGLE VEHICLE,N/A,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,B88791ED-7A43-4A1C-9D77-F478493CF668,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,SIDEWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.03960299,-76.99068546,"(39.03960299, -76.99068546)"
MCP2370001T,15029532,Montgomery County Police,Injury Crash,06/17/2015 02:23:00 PM,Maryland (State),NEW HAMPSHIRE AVE,County,POWDER MILL RD,,N/A,OTHER CONVEYANCE,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,UNKNOWN,CC438BEC-4F6C-49E5-9827-3389D24029E5,OTHER CONVEYANCE,Other,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,UNKNOWN,UNKNOWN,,SUSPECTED SERIOUS INJURY,NONE,39.02205333,-76.97723333,"(39.02205333, -76.97723333)"
MCP0617000L,16025109,Montgomery County Police,Injury Crash,05/26/2016 02:06:00 PM,,,,,PARKING LOT OF 18207 VILLAGE CENTER DR,,PEDESTRIAN,OTHER,CLOUDY,,DAYLIGHT,NO CONTROLS,N/A,ALCOHOL PRESENT,52D5C223-AF1C-492D-86BB-C70A6121E333,PEDESTRIAN,Other,INATTENTIVE,OTHER,NO PED. SIGNAL,LIGHT CLOTHING,Yes,SUSPECTED MINOR INJURY,N/A,39.12148667,-77.00988333,"(39.12148667, -77.00988333)"
MCP2892001M,16027202,Montgomery County Police,Injury Crash,05/31/2016 06:04:00 PM,Maryland (State),GEORGIA AVE,County,AUGUST DR,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,338F7DC1-0D5E-4472-BAD1-64AD6CDDF10F,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,POSSIBLE INJURY,NONE,39.02116754,-77.0445013,"(39.02116754, -77.0445013)"
EJ7829004T,180040228,Gaithersburg Police Depar,Injury Crash,08/13/2018 02:00:00 PM,,,,,PARKING LOT OF 15750 SHADY GROVE ROAD,,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,N/A,N/A,095774F6-C282-4372-9EFF-B483ABE1F734,PEDESTRIAN,Standing,OTHER,OTHER,N/A,LIGHT CLOTHING,Yes,POSSIBLE INJURY,N/A,39.11958973,-77.24573135,"(39.11958973, -77.24573135)"
DD56200006,16058258,Rockville Police Departme,Injury Crash,11/11/2016 07:52:00 PM,Maryland (State),E JEFFERSON ST,Municipality,MONROE ST,,ROCKVILLE,PEDESTRIAN,OTHER,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,E105D145-85D5-4D36-9BE1-75242B8D5C7A,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.08189382,-77.14920402,"(39.08189382, -77.14920402)"
