Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
881504,,08 HUDSON VALLEY,HIGHWAY JOB ORDER CONTRACT,HIGHWAY JOB ORDER CONTRACT,Future Development,,Winter 2024/2025,Spring 2025,Summer 2025,2000000.00,No,Yes,No,This project involves routine maintenance.,"This project will consist of making repairs and performing other maintenance-related activities as needed to preserve the safety and integrity of state highways. The work will take place on state highways in Columbia, Dutchess, Ulster, Rockland, Orange, P",,,,,,,
881505,,08 HUDSON VALLEY,WETLAND MITIGATION RECONSTRUCTION AND LANDSCAPE IMPROVEMENTS,WETLAND MITIGATION RECONSTRUCTION AND LANDSCAPE IMPROVEMENTS,Future Development,,Spring 2022,Spring 2022,Spring 2024,400000.00,Yes,Yes,No,"This project involves making various enhancements (lane configuration, traffic signal timing, intersection improvements, etc) along a transportation corridor to improve  overall safety and traffic flow.","This project will take corrective action to restore environmental features, such as storm water control facilities and landscaping, to their intended functions as constructed in previous projects. Work sites will be in Columbia, Dutchess, Ulster, Rockland",,,,,,,
881506,,08 HUDSON VALLEY,WETLAND MITIGATION RECONSTRUCTION & LANDSCAPE,WETLAND MITIGATION RECONSTRUCTION & LANDSCAPE,Future Development,,Spring 2024,Spring 2024,Spring 2026,400000.00,Yes,Yes,No,"This project involves making various enhancements (lane configuration, traffic signal timing, intersection improvements, etc) along a transportation corridor to improve  overall safety and traffic flow.","This project will take corrective action to restore environmental features, such as storm water control facilities and landscaping, to their intended functions as constructed in previous projects. Work sites will be in Columbia, Dutchess, Ulster, Rockland",,,,,,,
881510,D264202,08 HUDSON VALLEY,"CATCH BASINS: WESTCHESTER COUNTY (SBP, SMRP, HRP)","CATCH BASINS ALONG SPRAIN BROOK PARKWAY, SAW MILL RIVER PARKWAY, AND HUTCHINSON RIVER PARKWAY, WESTCHESTER COUNTY",Under Construction,,02/20/2020,,,,Yes,Yes,No,This project involves maintenance of drainage along bridges and roads.,"This project will repair or replace storm water catch basins along segments of the Saw Mill River Parkway (SMRP), Sprain Brook Parkway (SBP), and Hutchinson River Parkway (HRP) in Westchester County to ensure that the drainage systems along these parkways",04/15/2020,1798000,0,1798000,03/02/2021,GREEN,GREEN
881511,D264014,08 HUDSON VALLEY,HWP ROUTES 137 AND 139 PAVING,PAVEMENT RESURFACING OF ROUTE 137 (HIGHRIDGE RD) IN THE TOWNS OF POUND RIDGE AND BEDFORD AS WELL AS A SEGMENT OF ROUTE 139 (PRIMROSE STREET) IN THE TOWN OF SOMERS IN WESTCHESTER COUNTY.    ,Under Construction,,08/22/2019,,,,No,Yes,No,"This project involves roadway repairs by ""recycling"" the current pavement using a cold process.",This Project will address correction of pavement deficiencies found on Route 137 and Route 139 in Westchester County. The approximate resurfacing limits of Route 137 (Highridge Road) are described as from the Connecticut state line to Route 121 (Old Post ,11/26/2019,4749444,0,4749444,05/31/2020,GREEN,GREEN
881512,,08 HUDSON VALLEY,2018 BRIDGE NY / NYSDOT-ADMINISTERED LOCAL CULVERTS,"2018 BRIDGE NY / NYSDOT- ADMINISTERED LOCAL CULVERTS, ORANGE, PUTNAM, ROCKLAND AND ULSTER COUNTIES.",In Development,Winter 2018/2019,Spring 2020,Summer 2020,Summer 2021,1100000.00,No,Yes,Yes,This project involves the repair and replacement of culverts.,"Under this project, seven culverts located in Orange, Putnam, Rockland and Ulster counties will either be repaired or replaced, as needed, to prevent or address existing problems related to corrosion, joint separation, bottom sag, pipe blockage, fill sett",,,,,,,
881513,D264069,08 HUDSON VALLEY,SIGNAL IMPROVEMENTS: PUTNAM & WESTCHESTER,"SIGNAL IMPROVEMENTS IN TOWN OF CARMEL, PUTNAM COUNTY & TOWNS OF  EASTCHESTER, GREENBURGH, AND SOMERS, WESTCHESTER COUNTY",Under Construction,,11/21/2019,,,,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will consist of replacing or installing new traffic control devices at several intersections throughout several municipalities Putnam and Westchester Counties. The work will include, but won't be limited to, replacing signals, installing flas",02/13/2020,2537024,-20000,2517024,10/30/2020,GREEN,GREEN
881517,,08 HUDSON VALLEY,ADA SIDEWALKS & RAMPS: ULSTER,ADA SIDEWALKS & RAMPS: ULSTER COUNTY,Future Development,,Winter 2023/2024,Spring 2024,Spring 2025,4200000.00,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).",This project will build or repair sidewalks and ramps within the right-of-way of state highways to assure compliance with the Americans with Disabilities Act. This work will take place in various locations throughout Ulster County.,,,,,,,
882348,D263687,08 HUDSON VALLEY,LOWER HUDSON TRANSIT LINK -ROUTE 59 SAFETY IMPROVEMENTS,"LOWER HUDSON TRANSIT LINK - ROUTE 59 SAFETY IMPROVEMENTS VILLAGE OF AIRMONT TO SPRING VALLEY, ROCKLAND COUNTY",Under Construction,Winter 2015/2016,05/03/2018,,,,Yes,Yes,No,This project involves the setup or improvement of bus services.,"This project is a portion of the Lower Hudson Transit Link along, and parallel to, the Interstate Route 287 corridor in Rockland County. The intention of this project is to implement safety improvement measures including recommendations formulated by the ",07/12/2018,7688000,2152485,9840485,02/05/2020,RED,RED
882350,D263528,08 HUDSON VALLEY,LOWER HUDSON TRANSIT LINK:BUS STATIONS & INTSCTN IMPRVMNTS,LOWER HUDSON TRANSIT LINK:BUS STATIONS & INTSCTN IMPRVMNTS,Completed Project,,09/07/2017,,,,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","This project is a portion of the Lower Hudson Transit Link, a program of integrated transit supportive infrastructure elements being developed in Westchester and Rockland Counties. This project will implement an enhanced transit solution along the Interst",10/05/2017,7430876,506349,7937225,05/31/2019,RED,YELLOW
882351,D263682,08 HUDSON VALLEY,LOWER HUDSON TRANSIT LINK:INTGRTD CRDR MGMNT & RAMP METERING,"LOWER HUDSON TRANSIT LINK:INTGRTD CRDR MGMNT & RAMP METERING VILLAGE OF SUFFERN, ROCKLAND COUNTY TO CITY OF WHITE PLAINS, WESTCHESTER COUNTY",Under Construction,,03/22/2018,,,,Yes,Yes,No,This project involves using traffic lights at highway entrance ramps to improve traffic flows along the highway.,"This project is a portion of the Lower Hudson Transit Link along and parallel to the Interstate Route 287 corridor from the Village of Suffern, Rockland County across the new New York Bridge to the City of White Plains in Westchester County. The intention",05/08/2018,55883000,-16678,55866322,10/16/2020,GREEN,GREEN
882354,D264115,08 HUDSON VALLEY,PARK & RIDE IMPROVEMENT/EXPANSION: ROUTE 52 AT TSP EXIT 38,"PROJECT WILL EXPAND AND IMPROVE  THE EXISITING PARK & RIDE LOT ON THE TACONIC PARKWAY AT EXIT 38 ON ROUTE 52 IN THE TOWN OF EAST FISHKILL, DUTCHESS COUNTY.",Under Construction,,11/21/2019,,,,Yes,Yes,No,This project involves building or improvements to park and ride lots.,"The existing lot at the Route 52 and Taconic State Parkway (TSP) interchange is located on the east side of the TSP in the Town of East Fishkill in Dutchess County. The construction of a new park & ride lot will be located on the west side of the TSP, wit",12/19/2019,1612943,0,1612943,01/13/2021,GREEN,GREEN
882372,,08 HUDSON VALLEY,LOWER HUDSON TRANSIT LINK - TRAFFIC SIGNALS AND DETECTORS,LOWER HUDSON TRANSIT LINK - TRAFFIC SIGNALS AND DETECTORS,In Development,,Winter 2019/2020,Spring 2020,Fall 2020,5300000.00,No,Yes,No,This project involves coordinating traffic lights to improve traffic flow.,"This project will include remaining phases (priorities 2 & 3) of the rescoped PIN 8823.51 for the Lower Hudson Transit Link, which is along and parallel with Interstate Route 287 corridor from the Village of Suffern, Rockland County across the New, New Yo",,,,,,,
893299,,08 HUDSON VALLEY,BAIRDS LANE @ NYSW RAILWAY FLASHERS/GATES T/O WARWICK,"BAIRDS LANE @ NYSW RAILWAY FLASHERS/GATES TOWN OF WARWICK, ORANGE COUNTY",Future Development,,Summer 2019,Fall 2019,,,Yes,No,No,This project involves improving railroad crossings to improve safety and traffic flow.,"This project will replace the driving surface and upgrade the active safety crossing devices to the current standard for the at-grade railroad crossing of Bairds Lane in the Town of Warwick in Orange County.  The railroad line is owned by NYSW, who, along",,,,,,,
893300,,08 HUDSON VALLEY,COVERED BRIDGE RD @ NYSW RAILWAY FLASHERS/GATES T/O WARWICK,"COVERED BRIDGE RD @ NYSW RAILWAY FLASHERS/GATES TOWN OF WARWICK, ORANGE COUNTY",Future Development,,Summer 2019,Fall 2019,,,Yes,No,No,This project involves improving railroad crossings to improve safety and traffic flow.,"This project will replace the driving surface and upgrade the active safety crossing devices to the current standard for the at-grade railroad crossing of Covered Bridge Road in the Town of Warwick in Orange County.  The railroad line is owned by NYSW, wh",,,,,,,
893301,,08 HUDSON VALLEY,PELTON ROAD @ NYSW RAILWAY FLASHERS/GATES T/O WARWICK,"PELTON ROAD @ NYSW RAILWAY FLASHERS/GATES TOWN OF WARWICK, ORANGE COUNTY",Future Development,,Summer 2019,Fall 2019,,,Yes,No,No,This project involves improving railroad crossings to improve safety and traffic flow.,"This project will replace the driving surface and upgrade the active safety crossing devices to the current standard for the at-grade railroad crossing of Pelton Road in the Town of Warwick in Orange County.  The railroad line is owned by NYSW, who, along",,,,,,,
893302,,08 HUDSON VALLEY,RYERSON RD @NYSW RAILWAY FLASHERS/GATES T/O WARWICK,"RYERSON RD @NYSW RAILWAY FLASHERS/GATES TOWN OF WARWICK, ORANGE COUNTY",Future Development,,Summer 2019,Fall 2019,,,Yes,No,No,This project involves improving railroad crossings to improve safety and traffic flow.,"This project will replace the driving surface and upgrade the active safety crossing devices to the current standard for the at-grade railroad crossing of Ryerson Road in the Town of Warwick in Orange County.  The railroad line is owned by NYSW, who, alon",,,,,,,
893303,,08 HUDSON VALLEY,MUD MILLS RD @ NS FLASHERS/GATES T/O MIDDLETOWN,"MUD MILLS RD @ NS FLASHERS/GATES TOWN OF MIDDLETOWN, ORANGE COUNTY",Future Development,,Summer 2019,Fall 2019,,,Yes,No,No,This project involves improving railroad crossings to improve safety and traffic flow.,This project will upgrade a portion of the active safety crossing devices to the current standard for the at-grade railroad crossing of Mud Mills Road in the Town of Wallkill in Orange County.  The railroad line is owned by Norfolk Southern and leased to ,,,,,,,
893304,,08 HUDSON VALLEY,CHESTNUT ST @ NS FLASHERS/GATES V/O SUFFERN,"CHESTNUT ST @ NS FLASHERS/GATES TOWN OF RAMAPO, VILLAGE OF  SUFFERN, ROCKLAND COUNTY",Future Development,,Summer 2019,Fall 2019,,,Yes,No,No,This project involves improving railroad crossings to improve safety and traffic flow.,"This project will upgrade the safety crossing devices to the current standard for active warning devices for the at-grade railroad crossing of Chestnut Street in the Village of Suffern in Rockland County. The railroad line is owned by Norfolk Southern, wh",,,,,,,
893305,,08 HUDSON VALLEY,ORANGE AVE @ NS FLASHERS/GATES V/O SUFFERN,"ORANGE AVE @ NS FLASHERS/GATES TOWN OF RAMAPO, VILLAGE OF SUFFERN, ROCKLAND COUNTY",Future Development,,Summer 2019,Fall 2019,,,Yes,No,No,This project involves improving railroad crossings to improve safety and traffic flow.,This project will evaluate the current traffic signal controlled at-grade railroad crossing of Orange Avenue in the Village of Suffern in Rockland County and upgrade the safety crossing devices to the current standard for active warning devices. The railr,,,,,,,
893306,,08 HUDSON VALLEY,WASHINGTON AVE @ CMRR FLASHERS/GATES C/O KINGSTON,"WASHINGTON AVE @ CMRR FLASHERS/GATES CITY OF  KINGSTON, ULSTER COUNTY",Future Development,,Summer 2020,Fall 2020,,,Yes,No,No,This project involves improving railroad crossings to improve safety and traffic flow.,"This project will upgrade the safety crossing devices to the current standard for active warning devices for the at-grade railroad crossing of Washington Avenenue and Catskill Mountain Railroad in the City of Kingston, Ulster County.",,,,,,,
893308,,08 HUDSON VALLEY,HARRIS ROAD @ CSX TRANSPORTATION GRADE CROSSING IMPROVEMENTS,"HARRIS ROAD @ CSX TRANSPORTATION GRADE CROSSING IMPROVEMENTS; DOT # 526093; VILLAGE OF VALATIE, COLUMBIA COUNTY.",Future Development,,Winter 2019/2020,Spring 2020,Fall 2020,,Yes,No,No,This project involves improving railroad crossings to improve safety and traffic flow.,"THIS PROJECT WILL IMPROVE THE HARRIS ROAD @ CSXT INTERSECTION (DOT #526093) BY REPLACING THE FLASHERS, GATES AND IMPROVE THE CIRCUITRY CONNECTING THE NEW WARNING DEVICES. Work will take place in the Village of Valatie in Columbia County.",,,,,,,
893310,,08 HUDSON VALLEY,"MNCW RR CROSSING IMPROVEMENTS: WEST, PUT, DUTCH","METRO NORTH COMMUTER RAILROAD CORSSING IMPROVEMENTS.  IN THE MUNICIPALITIES OF WHITE PLAINS, VALHALLA, HAWTHORNE, MONT CRISCO, PATTERSON, PAWLING AND CHELSEA, IN THE COUNTIES OF WESTCHESTER, PUTNAM AND DUTCHESS",Future Development,,Summer 2019,Fall 2019,,,Yes,No,No,This project involves improving railroad crossings to improve safety and traffic flow.,"This project will improve Metro North Commuter Railroad crossings. Locations include crossings in the municipatlites of White Plains, Valhalla, Hawthorne, Mont Crisco, Patterson, Pawling, and Chelsea in the counties of Westchester, Putnam, and Dutchess.",,,,,,,
8BOW0F,D900036,08 HUDSON VALLEY,BRIDGE REPLACEMENTS: WESTCHESTER,"BRIDGE REPLACEMENTS: WESTCHESTER BINS:  5500739, 5500050, 5500719",Under Construction,,03/22/2017,,,,No,No,No,This project involves replacing a bridge due to structural problems.,"This project will replace three bridges in Westchester County. Included in this project are two structures carrying the Saw Mill River Parkway bridge over the Sawmill River in the Town of Greenburgh, Westchester County and East 3rd Street over Route 907W ",07/10/2017,69818200,0,69818200,05/15/2019,RED,GREEN
8EST04,D264052,08 HUDSON VALLEY,EMPIRE STATE TRAIL: DUTCHESS AND ULSTER COUNTIES,"PROJECT WILL BUILD THE EMPIRE STATE TRAIL CONNECTING THE WVRT WITH KINGSTON POINT RAIL TRAIL, CITY OF KINGSTON, ULSTER COUNTY",Under Construction,,11/21/2019,,,,No,Yes,No,This project involves the building or maintenance of bicycle facilities.,"This project will construct segments of the Empire State Trail (EST) along various roadways in the City of Kingston, and from the Kingston Point to Route 32 in the Town of Ulster, Ulster County. Segments will also be constructed along River Road in the To",02/03/2020,3762527,0,3762527,12/01/2020,GREEN,GREEN
8EST11,D264108,08 HUDSON VALLEY,EMPIRE STATE TRAIL: COLUMBIA COUNTY,"EMPIRE STATE TRAIL ALONG MIDDLE ROAD, ROUTE 23 AND ROUTE 9G/23B, TOWN OF GREENPORT, COLUMBIA COUNTY",Under Construction,,12/19/2019,,,,No,Yes,No,This project involves the building or maintenance of bicycle facilities.,"This project will connect the Empire State Trail from the Dutchess County Line at Woods Road in the Town of Clermont to the Albany-Hudson Electric Trail in the Town of Greenport. The work will take place on various state, county and local roads in the Tow",02/24/2020,3677702,0,3677702,10/25/2020,GREEN,GREEN
8TZ100,,MAIN OFFICE,TAPPAN ZEE BRIDGE/I-287 ENVIRONMENTAL REVIEW,TRANSPORTATION IMPROVEMENTS WITHIN THE 30 MILE TAPPAN ZEE BRIDGE/I-287 CORRIDOR,Future Development,,,,,0.00,Yes,No,No,This project involves general bridge rehabilitation work.,,,,,,,,
901218,D264120,09 SOUTHERN TIER,RT 205 OVER SMALL BROOK,"This reconstruction project will replace the deteriorated structure that carries RT 205 over Small Brook and replace the approach slabs, TN of Hartwick, Otsego Co (BIN 1040320)",Under Construction,Spring 2007,12/19/2019,,,,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the structure that carries Route 205 over Small Brook and replace the approach slabs, Town of Hartwick, Otsego County.",01/27/2020,1416612,0,1416612,06/09/2021,GREEN,GREEN
901338,,09 SOUTHERN TIER,"RT 42 AT COUNTY ROADS 52 & 53, SAFETY IMPROVEMENTS","This project will provide safety improvements by installing left turn lanes to reduce crashes and accident rates at the intersection of RTs 42,CR 52,& CR 53, (from mile point 19.78 to 20.72) in the TN of Fallsburg, Sullivan Co.  HSIP Study #965448 4/1/16",In Development,Fall 2016,Fall 2020,Winter 2020/2021,Spring 2021,1000000.00,Yes,Yes,No,"This project involves the installation of barriers to separate traffic into ""channels"" to improve safety.","This project will provide safety improvements by installing left turn lanes to reduce crashes and accident rates at the intersection of Routes42, County Route 52, and County Route 53, in the Town of Fallsburg, Sullivan County.",,,,,,,
901647,D263755,09 SOUTHERN TIER,"RTE 12 OVER BOWMAN CREEK, BRIDGE REPLACEMENT","This project will replace the deficient structure that carries Route 12 over  Bowman Creek in the Town of Oxford, Chenango County.  BIN 1009310",Completed Project,Fall 2012,08/23/2018,,,,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will replace the deficient structure that carries Route 12 over Bowman Creek in the Town of Oxford, Chenango County.",09/19/2018,2718919,-188464,2530455,11/29/2019,GREEN,GREEN
901655,,09 SOUTHERN TIER,RT 11 AND RT 12 MILLING AND RESURFACING,"This preventitive maintenance project will resurface 5.54 lane miles of highway on RT 11 (from mp 16.90 to 17.50) and RT 12 (from mp 0 to 0.71) to bring the pavement to a state of good repair, Town of Chenango, Broome Co",In Development,Fall 2018,Spring 2020,Summer 2020,Fall 2020,2000000.00,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This preventitive maintenance project will resurface 5.54 lane miles of highway on US Route 11 and NY Route 12 to bring the pavement surface to a state of good repair , in the Town of Chenango, Broome County.",,,,,,,
902141,D263783,09 SOUTHERN TIER,RTE 52 PREVENTIVE MAINTENANCE RESURFACING,"This project will mill and resurface 3.06 lane miles of Route 52 (from mile points 30.80 to 31.73) in the Village and Town of Liberty, Sullivan County.",Completed Project,Summer 2017,09/27/2018,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This project will resurface 3.06 lane miles of Route 52 in the Village and Town of Liberty, Sullivan County.",11/20/2018,814711,-178172,636539,05/29/2019,GREEN,GREEN
902809,,09 SOUTHERN TIER,RT 23 OVER CANASAWACTA CREEK,"This reconstruction project will replace the approach slabs and deficient structure that carries Rt 23 over Canasawacta Creek in the TN of Plymouth, Chenango Co.  (BIN 1017430)",In Development,Winter 2007/2008,Summer 2025,Fall 2025,Winter 2025/2026,1400000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the approach slabs and structure that carries Route 23 over Canasawacta Creek in the Town of Plymouth, Chenango County.",,,,,,,
903620,D263892,09 SOUTHERN TIER,RTE 17B OVER MONGUAP RIVER / RTE 17B OVER CREAMERY BROOK,"This reconstruction project will replace the deteriorated structures that carry Route 17B over the Mongaup River (BIN 1014200), in theTown of Thompson, and Route 17B Over Creamery Brook (CIN 970076) in the Town of Bethel, both in Sullivan County.",Under Construction,Winter 2006/2007,03/28/2019,,,,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the deteriorated structures that carry Route 17B over the Mongaup River, in theTown of Thompson, and Route 17B Over Creamery Brook in the Town of Bethel, both of which are in Sullivan County.",04/26/2019,6444977,72060,6517036,06/19/2021,GREEN,GREEN
903625,D263575,09 SOUTHERN TIER,NYS RTE 17B INTERSECTION IMPROVEMENTS,"This Traffic Control and Safety project will improve the mobility and reliability at the eastern intersection of Route 17B and Route 55 in the Town of Bethel, Sullivan County.",Completed Project,Spring 2014,12/14/2017,,,,Yes,Yes,No,This project involves reconstruction of intersections.,"This Traffic Control and Safety project will improve the mobility and reliability at the eastern intersection of Route 17B and Route 55 in the Town of Bethel, Sullivan County.",02/02/2018,2487962,30268,2518230,05/31/2019,GREEN,GREEN
903627,D263940,09 SOUTHERN TIER,RTE 17B OFF SYSTEM BRIDGE OVERLAYS,"This project will perform bridge deck overlays and substructure repairs to three structures along 0.3 lane miles of Rte 17B (BINs 1014140, 1014150, & 1014160).Town of Delaware, Sullivan County.",Completed Project,Fall 2018,03/28/2019,,,,Yes,Yes,No,This project involves general bridge rehabilitation work.,"This project will perform bridge deck overlays and substructure repairs to three structures along 0.3 lane miles of Route 17B. Town of Delaware,Sullivan County.",04/17/2019,1078296,-35786,1042510,07/05/2019,GREEN,GREEN
903710,,09 SOUTHERN TIER,"RT 357 OVER THE SUSQUEHANNA RIVER, BRIDGE REHABILITATION","This project will replace the bridge deck and provide minor bridge rehabilitation on the structure (BIN 1004360) that carries Route 357 over the Susquehanna River to extend the service life of the bridge. Village of Unadilla, Otsego County.",In Development,Winter 2018/2019,Fall 2020,Fall 2020,Spring 2021,1000000.00,Yes,Yes,No,This project involves replacing bridge decks.,"This project will replace the bridge deck and provide minor bridge rehabilitation on the structure that carries Route 357 over the Susquehanna River. Village of Unadilla, Otsego County.",,,,,,,
90380A,,09 SOUTHERN TIER,"RT 363 & 434, BINGHAMTON GATEWAY PROJECT","This project will transform the State Rt 363 corridor from Susquehanna St to Washington St, furnishing better river access and constructing separated bike/ped facilities, City of Binghamton, Broome Co.",In Development,Summer 2016,Spring 2021,Spring 2021,Fall 2021,19000000.00,Yes,Yes,No,This project involves building or improving paths for shared use (bicycles and pedestrians).,"This project will transform the State Route 363 corridor from Susquehanna Street to Washington Street by creating additional connections to the city, furnishing better river access and constructing separated bike/pedestrian facilities, City of Binghamton,",,,,,,,
903823,D263813,09 SOUTHERN TIER,VESTAL PARKWAY PEDESTRIAN MOBILITY ENHANCEMENTS,"This project will improve pedestrian mobility and safety by installing sidewalks or wide shoulders at 9 sites where neither exist on Route 434,  (at mile points 3.00, 3.87, 5.23, 5.42, 5.71E, 5.71W, 6.0, 7.16, & 7.54) in Town of Vestal, Broome County.",Completed Project,Winter 2015/2016,02/14/2019,,,,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","This project will improve pedestrian mobility and safety by installing sidewalks or wide shoulders at 9 sites where neither exist on Route 434, Town of Vestal, Broome County.",03/14/2019,1127775,66568,1194343,11/01/2019,GREEN,YELLOW
903826,,09 SOUTHERN TIER,RTE 434 GREENWAY: PENNSYLVANIA AVENUE TO MURRAY HILL ROAD,"This project will increase mobility by providing 2.4 miles of an enhanced bicycle & pedestrian connection between Pennsylvania Ave (City of Binghamton) & Murray Hill Rd (Tn of Vestal), Broome Co",In Development,Fall 2016,Summer 2020,Fall 2020,Fall 2021,18100000.00,Yes,Yes,No,This project involves the building or maintenance of bicycle facilities.,"This project will provide 2.4 miles of an enhanced bicycle& pedestrian connection between Pennsylvania Avenue (City of Binghamton) & Murray Hill Road (Town of Vestal), Broome County.",,,,,,,
904139,D264067,09 SOUTHERN TIER,RT 17C PREVENTATIVE MAINTENANCE RESURFACING,"This preventative maintenance project will resurface 5.44 lane miles of Rt 17C (from milepoint 4.19 to 5.55).  Tn of Union & Vil of Endicott, Broome Co",Under Construction,Summer 2017,01/09/2020,,,,Yes,Yes,No,This project involves applying treatments to existing pavement in order to extend its life against traffic wear.,"This preventative maintenance project will resurface 5.44 lane miles of Route 17C. Town of Union and Village of Endicott, Broome County.",03/03/2020,2869723,0,2869723,10/31/2020,GREEN,GREEN
904259,,09 SOUTHERN TIER,RT 26 OVER GLENN BROOK,"This reconstruction project will replace the deficient structure that carries Rt 26 over Glenn Brook in the Tn of Pitcher, Chenango Co  (BIN 1018730)",In Development,Spring 2007,Fall 2027,Winter 2027/2028,Spring 2028,600000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the structure that carries Route 26 over Glenn Brook in the Town of Pitcher, Chenango County.",,,,,,,
904349,,09 SOUTHERN TIER,RT 11 OVER TIOUGHNIOGA RIVER,"This project will either replace or rehabilitate the deficient structure that carries Rt 11 over the Tioughnioga River, add sidewalks and a traffic light signal.  Vil of Whitney Point, Tn of Triangle, Broome Co  (BIN 1008320)",In Development,Fall 2015,Spring 2022,Spring 2022,Spring 2024,11800000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will either replace or rehabilitate the structure that carries Route 11 over the Tioughnioga River, add sidewalks and a traffic light signal. Village of Whitney Point, Town of Triangle, Broome County.",,,,,,,
904350,,09 SOUTHERN TIER,"RT 11, FRONT ST OVER I81","This reconstruction project will replace the deficient structure (BIN 1008190) that carries Rt 11 (Front St) over I-81 (North & South bound) in the Tn of Dickinson, Broome Co",In Development,Winter 2015/2016,Fall 2020,Winter 2020/2021,Fall 2021,18700000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the bridge that carries U.S. Route 11 (Front St.) over Interstate 81 (for both directions) in the Town of Dickinson, Broome County.",,,,,,,
904464,,09 SOUTHERN TIER,RT 30 OVER BINNE KILL,"This reconstruction project will replace the deficient structure that carries Rt 30 over Binne Kill in the Vil of Margaretville, Delaware Co  (BIN 1020840)",In Development,Spring 2007,Winter 2027/2028,Winter 2027/2028,Summer 2028,800000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the structure that carries Route 30 over the Binne Kill in the Village of Margaretville, Delaware County.",,,,,,,
904475,D264215,09 SOUTHERN TIER,"RT 30 BRIDGE OVER PLATTE KILL BROOK, STREAM RESTORATION","This reconstruction project will accomplish stream restoration at the Rt 30 Bridge over Platte Kill Brook, in the Tn of Middletown, in Delaware Co  (BIN 1020820)",Under Construction,Summer 2017,03/19/2020,,,,Yes,Yes,No,This project involves minor bridge repairs.,"This reconstruction project will accomplish stream restoration at the Route 30 Bridge over Platte Kill Brook, in the Town of Middletown, in Delaware County.",04/16/2020,494135,0,494135,10/20/2020,GREEN,GREEN
904712,D263830,09 SOUTHERN TIER,RTES 17/96/960H MILLING AND RESURFACING,"This preventive maintenance project will resurface 3.40 lane miles of Rte 17 between Exits 62 & 63 in the Town of Nichols, & 1.06 lane miles of Rte 96 (mp 10.63 to 11.47) & Rte 960H (mp 0.00 to 0.22). in the Town & Village of Candor inTioga County.",Completed Project,Fall 2017,02/14/2019,,,,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"This preventive maintenance project will resurface a total of 4.46 3.40 lane miles of Route 17 between Exits 62 and 63 in the Town of Nichols, and 1.06 lane miles of Route 96 (Main Street and Spencer Avenue) & Route 960H (Mill Street) in the Town and Vill",03/28/2019,6437341,0,6437341,12/06/2019,GREEN,GREEN
905640,D264114,09 SOUTHERN TIER,RT 8 OVER BEAVER CREEK,"This reconstruction project will replace the deteriorated structure that carries Rt 8 over Beaver Creek.  Tn of Columbus, Chenango Co  (BIN 1004560)",Under Construction,Winter 2007/2008,12/19/2019,,,,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the structure that carries Route 8 over Beaver Creek, Town of Columbus, Chenango County.",01/24/2020,2125400,0,2125400,07/31/2021,GREEN,GREEN
905642,,09 SOUTHERN TIER,RT 8 OVER EAST BRANCH COLD SPRING CREEK,"This reconstruction project will replace the deficient structure  that carries Rt 8 over the East Branch of Cold Spring Creek.  Tn of Deposit, Delaware Co  (BIN 1004440)",In Development,Winter 2009/2010,Fall 2020,Fall 2020,Fall 2021,3500000.00,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This reconstruction project will replace the structure that carries Route 8 over the East Branch of Cold Spring Creek in the Town of Deposit, Delaware County.",,,,,,,
905648,,09 SOUTHERN TIER,RT 8 SAFETY IMPROVEMENTS,"This safety project will improve the vertical curves and intersections at three locations on Rt 8: Tn of Norwich (mp 13.85), Tn of New Berlin (mp 15.03) & Tn of Columbus (mp 9.86), in Chenango Co",In Development,Fall 2014,Fall 2023,Fall 2023,Spring 2024,3000000.00,Yes,Yes,No,This project involves work to align roads and highways.,"This safety project will improve the vertical curves and intersections at three locations on Route 8: Town of Norwich, Town of New Berlin & Town of Columbus, in Chenango County.",,,,,,,
