Reporting Area,MMWR Year,MMWR Week,"Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Current week","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Current week, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Previous 52 weeks Max†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2019†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2019†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2018†","Arboviral diseases, neuroinvasive and non-neuroinvasive, St. Louis encephalitis virus disease, Cum 2018†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Current week","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Current week, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Previous 52 weeks Max†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2019†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2019†, flag","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2018†","Arboviral diseases, neuroinvasive and non-neuroinvasive, Western equine encephalitis virus disease, Cum 2018†, flag",Location 1,Location 2
GEORGIA,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MISSISSIPPI,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
COLORADO,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
PUERTO RICO,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
CALIFORNIA,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NORTH DAKOTA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
FLORIDA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MASSACHUSETTS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ARKANSAS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OREGON,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
OHIO,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
ILLINOIS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
WISCONSIN,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
DISTRICT OF COLUMBIA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MONTANA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
ARIZONA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEW MEXICO,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEW JERSEY,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
WASHINGTON,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
INDIANA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
GUAM,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TEXAS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
SOUTH DAKOTA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MINNESOTA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
CONNECTICUT,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
U.S. VIRGIN ISLANDS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ALABAMA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEW HAMPSHIRE,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VIRGINIA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEVADA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW YORK,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
KENTUCKY,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NORTHERN MARIANA ISLANDS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KANSAS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MICHIGAN,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
IOWA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
ALASKA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MISSOURI,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
HAWAII,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
DELAWARE,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
LOUISIANA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
US RESIDENTS,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS
NEW ENGLAND,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
MIDDLE ATLANTIC,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,MIDDLE ATLANTIC,
NEW YORK CITY,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
MOUNTAIN,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
PACIFIC,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
US TERRITORIES,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
NON-US RESIDENTS,2019,11,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
KENTUCKY,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NORTH DAKOTA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
DISTRICT OF COLUMBIA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGINIA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
IDAHO,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MASSACHUSETTS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
WYOMING,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ALABAMA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
IOWA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
SOUTH CAROLINA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSOURI,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
LOUISIANA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
OREGON,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
HAWAII,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEVADA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
INDIANA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
ARIZONA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
GEORGIA,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MAINE,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
KANSAS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VERMONT,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
TENNESSEE,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MONTANA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
CONNECTICUT,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
OKLAHOMA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MISSISSIPPI,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
CALIFORNIA,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
OHIO,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW JERSEY,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
NORTHERN MARIANA ISLANDS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH CAROLINA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MARYLAND,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
PUERTO RICO,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW HAMPSHIRE,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WEST VIRGINIA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
U.S. VIRGIN ISLANDS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ALASKA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
TEXAS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
GUAM,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH DAKOTA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
WISCONSIN,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
UTAH,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEW YORK,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ARKANSAS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW MEXICO,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
COLORADO,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
RHODE ISLAND,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DELAWARE,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEBRASKA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MINNESOTA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MICHIGAN,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
FLORIDA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
US RESIDENTS,2019,12,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS
NEW ENGLAND,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
MIDDLE ATLANTIC,2019,12,,-,1,,,-,,-,,-,0,,,-,,-,MIDDLE ATLANTIC,
NEW YORK CITY,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,12,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,12,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
MOUNTAIN,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
PACIFIC,2019,12,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
US TERRITORIES,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
TOTAL,2019,12,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
WEST VIRGINIA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MISSOURI,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NORTH CAROLINA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEVADA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
KENTUCKY,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ILLINOIS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
SOUTH CAROLINA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
WISCONSIN,2019,12,,-,1,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
OKLAHOMA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
ARKANSAS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
COLORADO,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ALASKA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
UTAH,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
KANSAS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
PENNSYLVANIA,2019,12,,-,1,,,-,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
CONNECTICUT,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MISSISSIPPI,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MOUNTAIN,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
NORTH DAKOTA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH DAKOTA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ALABAMA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
TENNESSEE,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
ARIZONA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEW JERSEY,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
IDAHO,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEW YORK,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
TEXAS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
INDIANA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
IOWA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
U.S. VIRGIN ISLANDS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
RHODE ISLAND,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MONTANA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MINNESOTA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
CALIFORNIA,2019,12,,-,1,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
NORTHERN MARIANA ISLANDS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
DELAWARE,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
DISTRICT OF COLUMBIA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW MEXICO,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MICHIGAN,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
FLORIDA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
VERMONT,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MAINE,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
WASHINGTON,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
WYOMING,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
OREGON,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
OHIO,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
GEORGIA,2019,12,,-,1,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MARYLAND,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
HAWAII,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEBRASKA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
VIRGINIA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
GUAM,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW HAMPSHIRE,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
LOUISIANA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
PUERTO RICO,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
US RESIDENTS,2019,13,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS
NEW ENGLAND,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND
MIDDLE ATLANTIC,2019,13,,-,1,,,-,,-,,-,0,,,-,,-,MIDDLE ATLANTIC,
NEW YORK CITY,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
EAST NORTH CENTRAL,2019,13,,-,1,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL
WEST NORTH CENTRAL,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL
SOUTH ATLANTIC,2019,13,,-,1,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC
EAST SOUTH CENTRAL,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL
MOUNTAIN,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN
PACIFIC,2019,13,,-,1,,,-,,-,,-,0,,,-,,-,,PACIFIC
US TERRITORIES,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
AMERICAN SAMOA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
NON-US RESIDENTS,2019,13,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,13,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL
UTAH,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
VIRGINIA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
U.S. VIRGIN ISLANDS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DELAWARE,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ILLINOIS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
GUAM,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ALABAMA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
HAWAII,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ARKANSAS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NORTHERN MARIANA ISLANDS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KANSAS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
IOWA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NORTH CAROLINA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MINNESOTA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KENTUCKY,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
VERMONT,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
COLORADO,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
SOUTH CAROLINA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALASKA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
FLORIDA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
OKLAHOMA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MASSACHUSETTS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
DISTRICT OF COLUMBIA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW YORK,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
