Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2020†","Salmonella Paratyphi infection§, Cum 2020†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶, Previous 52 weeks Max†","Salmonella Typhi infection¶, Previous 52 weeks Max†, flag","Salmonella Typhi infection¶, Cum 2020†","Salmonella Typhi infection¶, Cum 2020†, flag","Salmonella Typhi infection¶, Cum 2019†","Salmonella Typhi infection¶, Cum 2019†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
WISCONSIN,2020,11,,-,0,,,-,,-,,-,1,,,-,,-,4,,36,,109,,122,,WISCONSIN,,20201119,POINT (-89.732969 44.639954)
IDAHO,2020,11,,-,1,,,-,,-,,-,1,,,-,,-,,-,12,,5,,37,,IDAHO,,20201151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201168,POINT (-64.840836 18.060868)
MICHIGAN,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20201117,POINT (-85.730977 44.874798)
GEORGIA,2020,11,,-,1,,,-,4,,,-,0,,,-,,-,2,,98,,91,,150,,GEORGIA,,20201132,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,11,,-,0,,,-,,-,,-,1,,,-,2,,,-,0,,,-,,-,,NEW YORK CITY,20201112,
ARKANSAS,2020,11,,-,2,,,-,,-,,-,1,,,-,,-,7,,42,,46,,40,,ARKANSAS,,20201144,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20201141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,11,,29,,SOUTH DAKOTA,,20201127,POINT (-100.230491 44.43614)
WYOMING,2020,11,,-,1,,,-,1,,,-,0,,,-,,-,,-,5,,3,,1,,WYOMING,,20201156,POINT (-107.55145 42.999627)
MISSOURI,2020,11,,-,0,,,-,,-,,-,1,,1,,2,,,-,36,,58,,98,,MISSOURI,,20201124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,11,,-,2,,1,,1,,1,,5,,5,,12,,27,,175,,315,,359,,,MIDDLE ATLANTIC,20201109,
CALIFORNIA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20201159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,2,,,-,WEST VIRGINIA,,20201137,POINT (-80.613729 38.642579)
FLORIDA,2020,11,,-,1,,,-,,-,,-,5,,,-,3,,48,,234,,770,,830,,FLORIDA,,20201131,POINT (-82.420978 28.260731)
MONTANA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,8,,17,,MONTANA,,20201152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,11,,-,1,,1,,,-,,-,2,,1,,3,,6,,79,,176,,368,,,WEST NORTH CENTRAL,20201120,
MASSACHUSETTS,2020,11,,-,2,,2,,1,,,-,2,,3,,2,,7,,50,,111,,144,,MASSACHUSETTS,,20201105,POINT (-71.481104 42.151077)
MOUNTAIN,2020,11,,-,1,,1,,2,,,-,2,,3,,5,,19,,101,,279,,459,,,MOUNTAIN,20201148,
INDIANA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20201169,
US TERRITORIES,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201163,
UTAH,2020,16,,-,0,,,-,,-,,-,1,,,-,1,,1,,15,,54,,78,,UTAH,,20201655,POINT (-111.678222 39.323779)
COLORADO,2020,16,,-,1,,,-,1,,1,,2,,1,,3,,5,,27,,143,,173,,COLORADO,,20201650,POINT (-105.547832 38.998552)
TOTAL,2020,12,2,,6,,16,,25,,1,,12,,31,,63,,128,,1421,,3588,,5012,,,TOTAL,20201270,
US RESIDENTS,2020,12,2,,6,,16,,25,,1,,12,,31,,63,,128,,1421,,3588,,5012,,,US RESIDENTS,20201201,
NEW HAMPSHIRE,2020,12,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,13,,28,,NEW HAMPSHIRE,,20201206,POINT (-71.57139 43.680429)
NEW YORK,2020,12,2,,2,,3,,1,,1,,3,,3,,6,,19,,62,,182,,202,,NEW YORK,,20201211,POINT (-75.59655 42.921241)
PACIFIC,2020,12,,-,1,,1,,2,,,-,2,,4,,5,,1,,46,,107,,153,,,PACIFIC,20201257,
WEST SOUTH CENTRAL,2020,12,,-,3,,1,,2,,,-,6,,5,,3,,18,,364,,507,,635,,,WEST SOUTH CENTRAL,20201243,
NEBRASKA,2020,12,,-,0,,,-,,-,,-,1,,,-,1,,2,,18,,34,,8,,NEBRASKA,,20201225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,12,,-,1,,1,,,-,,-,1,,,-,,-,2,,116,,211,,284,,,EAST SOUTH CENTRAL,20201238,
NORTH DAKOTA,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,10,,26,,NORTH DAKOTA,,20201226,POINT (-100.46931 47.446305)
NEVADA,2020,12,,-,2,,2,,,-,,-,1,,,-,1,,,-,15,,10,,55,,NEVADA,,20201253,POINT (-114.916992 39.283294)
ILLINOIS,2020,12,,-,1,,1,,4,,,-,3,,,-,9,,,-,73,,128,,360,,ILLINOIS,,20201215,POINT (-89.148632 40.124144)
IOWA,2020,12,,-,1,,1,,,-,,-,2,,,-,,-,3,,33,,79,,230,,IOWA,,20201221,POINT (-93.500061 42.074659)
TEXAS,2020,12,,-,3,,1,,2,,,-,6,,3,,3,,5,,335,,314,,429,,TEXAS,,20201247,POINT (-99.317341 31.447238)
ALASKA,2020,12,,-,1,,,-,,-,,-,0,,,-,1,,,-,6,,,-,10,,ALASKA,,20201258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,12,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,1,,5,,DISTRICT OF COLUMBIA,,20201230,POINT (-77.016275 38.904785)
WASHINGTON,2020,12,,-,1,,1,,2,,,-,2,,4,,3,,1,,21,,92,,113,,WASHINGTON,,20201262,POINT (-120.592492 47.411715)
RHODE ISLAND,2020,12,,-,1,,,-,,-,,-,1,,,-,,-,,-,8,,11,,15,,RHODE ISLAND,,20201207,POINT (-71.534637 41.572574)
OREGON,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20201261,POINT (-120.605279 43.940449)
DELAWARE,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201229,POINT (-75.452394 38.994926)
ALABAMA,2020,12,,-,1,,1,,,-,,-,0,,,-,,-,,-,53,,88,,114,,ALABAMA,,20201239,POINT (-86.844516 32.756889)
KANSAS,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,KANSAS,,20201222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,12,,-,0,,,-,,-,,-,2,,,-,2,,,-,109,,48,,208,,NORTH CAROLINA,,20201234,POINT (-79.130883 35.52603)
GUAM,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201266,POINT (144.653198 13.3532)
NEW JERSEY,2020,12,,-,1,,,-,1,,,-,2,,,-,5,,,-,58,,7,,188,,NEW JERSEY,,20201210,POINT (-74.655514 40.110253)
NEW MEXICO,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,18,,38,,50,,NEW MEXICO,,20201254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,12,,-,1,,1,,4,,,-,4,,2,,10,,14,,145,,404,,684,,,EAST NORTH CENTRAL,20201214,
TENNESSEE,2020,12,,-,1,,,-,,-,,-,1,,,-,,-,2,,52,,101,,90,,TENNESSEE,,20201242,POINT (-86.343226 35.842998)
CONNECTICUT,2020,12,,-,1,,3,,2,,,-,1,,,-,3,,,-,26,,61,,65,,CONNECTICUT,,20201203,POINT (-72.738288 41.575155)
MARYLAND,2020,12,,-,1,,,-,1,,,-,2,,1,,5,,7,,47,,103,,121,,MARYLAND,,20201233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,12,,-,0,,,-,,-,,-,1,,2,,,-,5,,86,,108,,129,,SOUTH CAROLINA,,20201235,POINT (-80.864614 33.878572)
OKLAHOMA,2020,12,,-,0,,,-,,-,,-,1,,2,,,-,6,,74,,90,,69,,OKLAHOMA,,20201246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201265,POINT (145.725693 15.1834)
OHIO,2020,12,,-,1,,,-,,-,,-,1,,2,,1,,10,,66,,153,,193,,OHIO,,20201218,POINT (-82.70936 40.415534)
MINNESOTA,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20201223,POINT (-94.198308 46.349153)
LOUISIANA,2020,12,,-,1,,,-,,-,,-,0,,,-,,-,1,,53,,51,,94,,LOUISIANA,,20201245,POINT (-91.840238 30.921314)
HAWAII,2020,12,,-,0,,,-,,-,,-,1,,,-,1,,,-,24,,15,,30,,HAWAII,,20201260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,12,,-,3,,1,,9,,,-,6,,6,,17,,30,,552,,1270,,1665,,,SOUTH ATLANTIC,20201228,
PENNSYLVANIA,2020,12,,-,1,,,-,,-,,-,2,,4,,,-,14,,67,,174,,10,,PENNSYLVANIA,,20201213,POINT (-77.838886 40.896694)
UTAH,2020,12,,-,0,,,-,,-,,-,1,,,-,1,,,-,15,,,-,48,,UTAH,,20201255,POINT (-111.678222 39.323779)
COLORADO,2020,12,,-,1,,,-,1,,,-,2,,,-,2,,4,,27,,109,,123,,COLORADO,,20201250,POINT (-105.547832 38.998552)
VERMONT,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,7,,5,,VERMONT,,20201208,POINT (-72.662695 44.075252)
KENTUCKY,2020,12,,-,1,,,-,,-,,-,1,,,-,,-,,-,27,,22,,80,,KENTUCKY,,20201240,POINT (-85.290484 37.526683)
PUERTO RICO,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201267,POINT (-66.414655 18.215692)
MAINE,2020,12,,-,1,,,-,,-,,-,0,,,-,1,,3,,7,,8,,19,,MAINE,,20201204,POINT (-69.06137 45.117911)
VIRGINIA,2020,12,,-,2,,1,,4,,,-,2,,3,,6,,8,,58,,117,,121,,VIRGINIA,,20201236,POINT (-78.666382 37.510861)
ARIZONA,2020,12,,-,1,,,-,,-,,-,1,,3,,1,,8,,38,,116,,166,,ARIZONA,,20201249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201264,
WISCONSIN,2020,12,,-,0,,,-,,-,,-,1,,,-,,-,4,,36,,123,,131,,WISCONSIN,,20201219,POINT (-89.732969 44.639954)
IDAHO,2020,12,,-,1,,,-,,-,,-,1,,,-,,-,,-,12,,5,,37,,IDAHO,,20201251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201268,POINT (-64.840836 18.060868)
MICHIGAN,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20201217,POINT (-85.730977 44.874798)
GEORGIA,2020,12,,-,1,,,-,4,,,-,0,,,-,,-,2,,98,,113,,165,,GEORGIA,,20201232,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,12,,-,0,,,-,,-,,-,1,,,-,3,,,-,0,,,-,,-,,NEW YORK CITY,20201212,
ARKANSAS,2020,12,,-,2,,,-,,-,,-,1,,,-,,-,6,,42,,52,,43,,ARKANSAS,,20201244,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20201241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,11,,32,,SOUTH DAKOTA,,20201227,POINT (-100.230491 44.43614)
WYOMING,2020,12,,-,1,,,-,1,,,-,0,,,-,,-,,-,5,,3,,1,,WYOMING,,20201256,POINT (-107.55145 42.999627)
MISSOURI,2020,12,,-,0,,,-,,-,,-,1,,1,,2,,6,,36,,72,,110,,MISSOURI,,20201224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,12,2,,2,,3,,2,,1,,5,,7,,14,,33,,175,,363,,400,,,MIDDLE ATLANTIC,20201209,
CALIFORNIA,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20201259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,2,,,-,WEST VIRGINIA,,20201237,POINT (-80.613729 38.642579)
FLORIDA,2020,12,,-,1,,,-,,-,,-,5,,,-,4,,8,,234,,778,,916,,FLORIDA,,20201231,POINT (-82.420978 28.260731)
MONTANA,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,8,,20,,MONTANA,,20201252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,12,,-,1,,1,,,-,,-,2,,1,,3,,11,,79,,206,,406,,,WEST NORTH CENTRAL,20201220,
MASSACHUSETTS,2020,12,,-,2,,2,,2,,,-,2,,3,,2,,4,,50,,131,,153,,MASSACHUSETTS,,20201205,POINT (-71.481104 42.151077)
MOUNTAIN,2020,12,,-,2,,2,,2,,,-,2,,3,,5,,12,,101,,289,,500,,,MOUNTAIN,20201248,
INDIANA,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20201269,
US TERRITORIES,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201263,
NEW HAMPSHIRE,2020,13,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,13,,31,,NEW HAMPSHIRE,,20201306,POINT (-71.57139 43.680429)
NEW YORK,2020,13,,-,2,,3,,1,,,-,3,,3,,7,,10,,62,,193,,223,,NEW YORK,,20201311,POINT (-75.59655 42.921241)
PACIFIC,2020,13,,-,1,,1,,2,,,-,3,,4,,6,,1,,46,,114,,172,,,PACIFIC,20201357,
WEST SOUTH CENTRAL,2020,13,,-,3,,1,,2,,,-,6,,5,,4,,33,,364,,549,,727,,,WEST SOUTH CENTRAL,20201343,
NEBRASKA,2020,13,,-,0,,,-,,-,,-,1,,,-,1,,1,,18,,35,,14,,NEBRASKA,,20201325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,13,,-,1,,1,,1,,,-,1,,,-,,-,8,,116,,238,,325,,,EAST SOUTH CENTRAL,20201338,
NORTH DAKOTA,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,10,,28,,NORTH DAKOTA,,20201326,POINT (-100.46931 47.446305)
NEVADA,2020,13,,-,2,,2,,,-,,-,1,,,-,2,,1,,12,,13,,67,,NEVADA,,20201353,POINT (-114.916992 39.283294)
ILLINOIS,2020,13,,-,1,,1,,4,,,-,3,,,-,10,,,-,73,,132,,395,,ILLINOIS,,20201315,POINT (-89.148632 40.124144)
IOWA,2020,13,,-,1,,1,,,-,,-,2,,,-,,-,1,,33,,83,,237,,IOWA,,20201321,POINT (-93.500061 42.074659)
TEXAS,2020,13,,-,3,,1,,2,,,-,6,,3,,4,,,-,335,,314,,495,,TEXAS,,20201347,POINT (-99.317341 31.447238)
ALASKA,2020,13,,-,1,,,-,,-,,-,0,,,-,1,,,-,6,,,-,12,,ALASKA,,20201358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,13,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,1,,7,,DISTRICT OF COLUMBIA,,20201330,POINT (-77.016275 38.904785)
WASHINGTON,2020,13,,-,1,,1,,2,,,-,2,,4,,4,,1,,21,,99,,126,,WASHINGTON,,20201362,POINT (-120.592492 47.411715)
RHODE ISLAND,2020,13,,-,1,,,-,,-,,-,1,,,-,,-,,-,8,,11,,16,,RHODE ISLAND,,20201307,POINT (-71.534637 41.572574)
OREGON,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20201361,POINT (-120.605279 43.940449)
DELAWARE,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201329,POINT (-75.452394 38.994926)
ALABAMA,2020,13,,-,1,,1,,,-,,-,0,,,-,,-,3,,53,,99,,128,,ALABAMA,,20201339,POINT (-86.844516 32.756889)
KANSAS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20201322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,13,,-,0,,,-,,-,,-,2,,,-,2,,,-,109,,52,,230,,NORTH CAROLINA,,20201334,POINT (-79.130883 35.52603)
GUAM,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201366,POINT (144.653198 13.3532)
NEW JERSEY,2020,13,,-,1,,,-,1,,,-,2,,,-,6,,,-,58,,7,,194,,NEW JERSEY,,20201310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,1,,18,,40,,56,,NEW MEXICO,,20201354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,13,,-,1,,1,,4,,,-,4,,2,,11,,12,,145,,424,,772,,,EAST NORTH CENTRAL,20201314,
TENNESSEE,2020,13,,-,1,,,-,,-,,-,1,,,-,,-,5,,52,,112,,104,,TENNESSEE,,20201342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,13,,-,1,,3,,2,,,-,1,,,-,3,,,-,26,,62,,73,,CONNECTICUT,,20201303,POINT (-72.738288 41.575155)
MARYLAND,2020,13,1,,1,,1,,1,,,-,2,,1,,7,,3,,47,,107,,129,,MARYLAND,,20201333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,13,,-,0,,,-,,-,,-,1,,2,,,-,5,,86,,120,,136,,SOUTH CAROLINA,,20201335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,13,,-,0,,,-,,-,,-,1,,2,,,-,9,,74,,99,,73,,OKLAHOMA,,20201346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201365,POINT (145.725693 15.1834)
OHIO,2020,13,,-,1,,,-,,-,,-,1,,2,,1,,8,,66,,160,,236,,OHIO,,20201318,POINT (-82.70936 40.415534)
MINNESOTA,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20201323,POINT (-94.198308 46.349153)
LOUISIANA,2020,13,,-,1,,,-,,-,,-,0,,,-,,-,20,,53,,80,,114,,LOUISIANA,,20201345,POINT (-91.840238 30.921314)
HAWAII,2020,13,,-,0,,,-,,-,,-,1,,,-,1,,,-,24,,15,,34,,HAWAII,,20201360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,13,1,,3,,2,,10,,,-,6,,7,,19,,14,,553,,1316,,1835,,,SOUTH ATLANTIC,20201328,
PENNSYLVANIA,2020,13,,-,1,,,-,,-,,-,2,,4,,,-,6,,67,,188,,15,,PENNSYLVANIA,,20201313,POINT (-77.838886 40.896694)
UTAH,2020,13,,-,0,,,-,,-,,-,1,,,-,1,,,-,15,,,-,58,,UTAH,,20201355,POINT (-111.678222 39.323779)
COLORADO,2020,13,,-,1,,,-,1,,,-,2,,,-,3,,7,,27,,123,,138,,COLORADO,,20201350,POINT (-105.547832 38.998552)
VERMONT,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,8,,6,,VERMONT,,20201308,POINT (-72.662695 44.075252)
KENTUCKY,2020,13,,-,1,,,-,1,,,-,1,,,-,,-,,-,27,,27,,93,,KENTUCKY,,20201340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201367,POINT (-66.414655 18.215692)
MAINE,2020,13,,-,1,,,-,,-,,-,0,,,-,1,,2,,7,,10,,21,,MAINE,,20201304,POINT (-69.06137 45.117911)
VIRGINIA,2020,13,,-,2,,1,,4,,,-,2,,4,,6,,4,,58,,131,,144,,VIRGINIA,,20201336,POINT (-78.666382 37.510861)
ARIZONA,2020,13,,-,1,,,-,,-,,-,1,,3,,1,,6,,38,,125,,176,,ARIZONA,,20201349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201364,
WISCONSIN,2020,13,,-,0,,,-,,-,,-,1,,,-,,-,4,,36,,132,,141,,WISCONSIN,,20201319,POINT (-89.732969 44.639954)
IDAHO,2020,13,,-,1,,,-,,-,,-,1,,,-,,-,,-,12,,5,,40,,IDAHO,,20201351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201368,POINT (-64.840836 18.060868)
MICHIGAN,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20201317,POINT (-85.730977 44.874798)
GEORGIA,2020,13,,-,1,,,-,4,,,-,0,,,-,,-,2,,98,,125,,196,,GEORGIA,,20201332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,13,,-,0,,,-,,-,,-,1,,,-,4,,,-,0,,,-,,-,,NEW YORK CITY,20201312,
ARKANSAS,2020,13,,-,2,,,-,,-,,-,1,,,-,,-,4,,42,,56,,45,,ARKANSAS,,20201344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20201341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,11,,35,,SOUTH DAKOTA,,20201327,POINT (-100.230491 44.43614)
WYOMING,2020,13,,-,1,,,-,1,,,-,0,,,-,,-,,-,5,,3,,4,,WYOMING,,20201356,POINT (-107.55145 42.999627)
MISSOURI,2020,13,,-,0,,,-,,-,,-,1,,1,,2,,,-,36,,72,,128,,MISSOURI,,20201324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,13,,-,2,,3,,2,,,-,5,,7,,17,,16,,175,,388,,432,,,MIDDLE ATLANTIC,20201309,
CALIFORNIA,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20201359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,2,,,-,WEST VIRGINIA,,20201337,POINT (-80.613729 38.642579)
FLORIDA,2020,13,,-,1,,,-,1,,,-,5,,,-,4,,,-,234,,778,,993,,FLORIDA,,20201331,POINT (-82.420978 28.260731)
MONTANA,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,8,,22,,MONTANA,,20201352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,13,,-,1,,1,,,-,,-,2,,1,,3,,2,,79,,211,,442,,,WEST NORTH CENTRAL,20201320,
MASSACHUSETTS,2020,13,,-,2,,2,,2,,,-,2,,3,,2,,2,,50,,136,,168,,MASSACHUSETTS,,20201305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,13,,-,2,,2,,2,,,-,2,,3,,7,,15,,101,,317,,561,,,MOUNTAIN,20201348,
INDIANA,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20201369,
US TERRITORIES,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201363,
TOTAL,2020,14,,-,6,,18,,30,,2,,12,,34,,85,,121,,1421,,4139,,6191,,,TOTAL,20201470,
US RESIDENTS,2020,14,,-,6,,18,,30,,2,,12,,34,,85,,121,,1421,,4139,,6191,,,US RESIDENTS,20201401,
NEW HAMPSHIRE,2020,14,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,16,,34,,NEW HAMPSHIRE,,20201406,POINT (-71.57139 43.680429)
NEW YORK,2020,14,,-,2,,3,,1,,,-,3,,3,,8,,8,,62,,201,,255,,NEW YORK,,20201411,POINT (-75.59655 42.921241)
PACIFIC,2020,14,,-,1,,1,,2,,,-,3,,4,,6,,2,,46,,123,,184,,,PACIFIC,20201457,
WEST SOUTH CENTRAL,2020,14,,-,3,,1,,3,,,-,6,,5,,6,,27,,364,,594,,825,,,WEST SOUTH CENTRAL,20201443,
NEBRASKA,2020,14,,-,0,,,-,,-,,-,1,,,-,1,,1,,18,,37,,19,,NEBRASKA,,20201425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,14,,-,1,,1,,1,,,-,1,,,-,1,,3,,116,,251,,369,,,EAST SOUTH CENTRAL,20201438,
NORTH DAKOTA,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,10,,29,,NORTH DAKOTA,,20201426,POINT (-100.46931 47.446305)
NEVADA,2020,14,,-,2,,2,,,-,,-,1,,,-,4,,,-,11,,13,,78,,NEVADA,,20201453,POINT (-114.916992 39.283294)
ILLINOIS,2020,14,,-,1,,1,,4,,,-,3,,,-,12,,,-,74,,135,,437,,ILLINOIS,,20201415,POINT (-89.148632 40.124144)
