Facility Name,Address Line 1,Address Line 2,City,State,Zip,Phone,Fax,Latitude,Longitude,Description,History,ESA Listing Description,Cooperative Project Description,Seasonal Activities,County,WRIA,Salmon Recovery Region,Lead Entity,PSC Code,Image,Last Updated,GeoLocation
Hupp Springs Rearing Facility,13827 124th Ave CT NW,,Gig Harbor,WA,98329     ,2538575011,,47.3834,-122.7009,"Hupp Springs was built in the early 1980's and is located 3/4 mile upstream from the Minter Creek Hatchery, in west Pierce County.  The facility  is used for rearing and release of White River Spring Chinook, a stock listed as threatened on the Endangered Species List.  ","Hupp Springs was built in 1980, and is located 3/4 miles upstream from Minter Creek Hatchery, on the Key Peninsula in west Pierce County. The facility is used as a genetic bank for the White River spring Chinook recovery program. White River spring Chinook are a stock considered ""Threatened"" on the Endangered Species list. This recovery program was initiated in 1974, in cooperation with the Muckleshoot and Puyallup tribes. Hupp Springs consists of six concrete raceways, and has a gravity-fed pathogen-free water supply.<br /><br />Returning adults are trapped and spawned annually at the Minter Creek Hatchery. The eggs are incubated at Minter Creek, and the unfed fry are transferred to Hupp Springs for rearing, tagging, and release. A portion of the eyed-eggs or unfed fry may be transferred to Puyallup Hatchery, and later transferred to tribal acclimation ponds in the White River system for release.","The White River Spring Chinook are the last known spring stock in lower Puget Sound  and are on the ESA list. Minter Creek provides adult trapping, incubation and  other support for Hupp Spring hatchery.",Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): None,Adult trapping at Minter Creek:May through October;Adult spawning :September and October;Transfer of unfed fry from Minter to Hupp Springs :December and January;Tagging and Marking acclimation fish:March and April ;Transporting fry to White River acclimation sites:April;Rearing fish:Year round,Pierce,KITSAP,Puget Sound,West Sound Watersheds Lead Entity,3F10513  150048 H02,,05/16/2012 12:00:00 AM,
South Sound Net Pens,,,,WA,,,,47.2003,-122.9042,No Data.,"The South Sound Net Pens program is a collaborative program between WDFW and the Squaxin Island Tribe. The net pen complex is located in Peale Passage, between Squaxin and Hartstine islands in South Puget Sound.<br /><br />The program releases 1.8-million coho smolts to provide harvest opportunities for the Squaxin Island Tribe, and non-tribal sports and commercial fisheries that would otherwise not be available because of limited natural production in South Sound tributaries. Fish are Skykomish stock, provided from Wallace River Hatchery, a portion of which is reared at Skookumchuck Hatchery.",,,,Mason,KENNEDY-GOLDSBOROUGH,Puget Sound,WRIA 14 Mason Conservation District Lead Entity,3M10513  888131 H,,05/16/2012 12:00:00 AM,
Arlington Hatchery,17619 McGovern Road,,Arlington,WA,98223     ,3604353206,3604354748,48.2818,-121.9895,The Arlington Hatchery was constructed by the WPA and started operating in 1939.  Arlington's major program at the hatchery is the rearing and planting of legal rainbow trout.,"Arlington Hatchery is located about nine miles east of Arlington on Highway 530.  It is staffed with two permanent fish culturists, a shared supervisor and shared complex manager.  The hatchery consists of a large hatchery building, 12-40 foot round ponds and 9 - 100 x 10 raceways.<br/><br/>Hatchery water comes from a series of natural springs at the base of the hill behind the hatchery.  This spring water can be supplemented with well water from 112 foot well.<br/><br/>Rainbow trout that have been hatched and reared are planted primarily in Snohomish and Island counties, but Skagit and King counties also get plants of these 8 to 13 inch rainbow trout.  Secondary programs include: hatching and early rearing of cutthroat trout for release by department employees and several sport clubs into beaver dams and other small ponds in Snohomish and Skagit counties.  Hatching, early rearing, fish clipping and delivery of the steelhead trout for the Whitehorse Rearing Ponds.  The Alpine Lake Program which plants trout in the high mountains (usually over 4,400 feet) during the late summer and early fall months.  Using late spawning Mt. Whitney rainbow and the use of chillers to slow hatching and growth, thousands of two-inch (400 fpp) are planted by Department Aircraft and the Trailblazers backpacking club.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None <br/>Salmon in the Classroom (educational projects): None,,Snohomish,STILLAGUAMISH,Puget Sound,Stillaguamish River Salmon Recovery Co-Lead Entity,3F10308  050168 H,,05/16/2012 12:00:00 AM,
Priest Rapids Hatchery,PO Box  937,,Mattawa,WA,99349     ,5099324481,5099325188,46.6486,-119.8967,"The Priest Rapids Hatchery was designed as a mitigation facility for Fall Chinook  after Priest Rapids and Wanapum Dams were constructed, and is funded by the   Grant County Public Utility District.  ","The Priest Rapids Hatchery (PRH) was designed as a mitigation facility for fish impacts caused by construction of the Priest Rapids and Wanapum Dams The facility began operation in 1963 as a spawning channel, but was abandoned for failure to meet Grant County PUD's (GCPUD) mitigation objective. It was converted to full hatchery facility in 1978, with incubation facilities and rearing ponds. PRH is owned and funded by GCPUD, and operated by WDFW. Hatchery reconstruction per the FERC 2008 re-licensing agreement was largely completed in fall 2014.These included a new incubation building, new adult trapping/holding/sorting/processing area, new rearing and acclimation ponds, and water aeration towers.<br /><br />Facility production significantly supports: sport fisheries in the Hanford Reach area; marine fisheries near the mouth of the Columbia River; tribal fisheries from Bonneville Dam upstream; non-treaty drift gillnet fisheries from the mouth of the Columbia River to Bonneville Dam; and Alaska and Canadian commercial ocean fisheries.",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): 1,Trapping and spawning adults:September through December;Incubating and hatching eggs:January through February;Moving fry to intermediate ponds:March through April;Moving fry to rearing ponds:March through April;Release of Fish:June,Grant,ESQUATZEL COULEE,,,3F42001  360126 H,,05/16/2012 12:00:00 AM,
George Adams Hatchery,W 40 Skokomish Valley Road,,Shelton,WA,98584     ,3604272161,3604272215,47.3013,-123.1818,The George Adams Hatchery is located 6 miles north of Shelton at the intersection of State Highway 101 and the Skokomish Valley Road. The hatchery was constructed in 1960 as mitigation for the impacts of the Lake Cushman Dam on the North Fork of  the Skokomish River.,"The George Adams Hatchery is located six miles north of Shelton WA, at the intersection of State Highway 101 and the Skokomish Valley Road. The hatchery sits adjacent to Purdy Creek, a tributary of the Skokomish River, which is the largest tributary to Hood Canal. The hatchery was constructed in 1960 as mitigation for the impacts of the Lake Cushman Dam on the North Fork of the Skokomish River. It was further expanded in 1977. The facility has six standard raceways, two large rearing and release ponds, and a combination adult holding and rearing pond. In addition, there are eight keeper channels and two 10x100-ft collection raceways for fry emigrating from the keeper channels. Incubation capacity is 90-million eyed eggs, with hatching capacity of 14-million fry from vertical incubators, deep troughs, freestyle incubators, magnum deeps, barrel incubators and the keeper channels.<br /><br />The George Adams Hatchery produces fall Chinook and coho salmon , and also supports McKernan and Hoodsport hatcheries by rearing Weaver Creek stock chum salmon (from McKernan Hatchery) for release at those sites. Facility production supports harvest opportunities for commercial, freshwater and marine sport, and tribal commercial and subsistence fisheries. George Adams Hatchery also rears Quilcene coho,  which supports a Tribal net pen program in Port Gamble Bay, providing harvest opportunities for the Port Gamble Tribe.<br /><br />Chum salmon releases from George Adams Hatchery were discontinued in 2005 by agreement between State, Federal, and Tribal co-managers.",George Adams Hatchery has played a support role in the Union/Tahuya River supplementation/reintroduction project in cooperation with the Hood Canal Salmon Enhancement Group since 2000. Summer Chum in Hood Canal are listed  as a Threatened species under ESA. Summer Chum have been extirpated in the Tahuya River system since the late 1980's but the first adults from the reintroduction project are expected to return in August of 2006. <br/><br/>George Adams Hatchery also rears George Adams fall Chinook. All Puget Sound Fall Chinook stocks are also listed as threatened under ESA. <br/><br/>George Adams Hatchery also provides support for the Hamma Hamma recovery program. Hamma Hamma Fall Chinook are a depressed stock in mid-Hood Canal.,Volunteer rearing (cooperative projects): 3<br/>Salmon in the Classroom (educational projects): 10,"Adult spawning:September through November;Egg transfers to cooperative projects:October through December;Moving fry to holding ponds:December through February;Mass Marking :April, May, and July;Rearing Fish:Year round",Mason,SKOKOMISH-DOSEWALLIPS,Puget Sound,Hood Canal Coordinating Council,3F10412  160005 H,,05/20/2016 12:00:00 AM,
Dayton Acclimation Pond,,,,WA,,,,46.3141,-117.9775,No Data.,No Data.,,,,Columbia,WALLA WALLA,Snake River,Snake River Salmon Recovery Board,3F42001  320097 H,,05/16/2012 12:00:00 AM,
Blackbird Island Ponds,,,,WA,,,,47.5904,-120.6654,No Data.,No Data.,,,,Chelan,WENATCHEE,Upper Columbia River,Chelan County Lead Entity,3F42001  45XXXX H,,10/18/2016 12:00:00 AM,
Marblemount Hatchery,8319 Fish Hatchery Ln,,Marblemount,WA,98267     ,3608734241,3608732018,48.5223,-121.4178,"Marblemount Hatchery was constructed in 1946.   The Hatchery rears Skagit Spring,  Summer and Fall chinook, Skagit Coho, Skagit Steelhead, and Ross Lake Rainbow.","Marblemount Hatchery was constructed in 1946.   The Hatchery rears Skagit Spring,  Summer and Fall chinook, Skagit Coho, Skagit Steelhead, and Ross Lake Rainbow.  The hatchery staff handle Skagit chinook, Skagit coho and Skagit Steelhead that return to the facility.  Captive brood Ross Lake Rainbow are  also handled by the staff.","Skagit Spring, Summer and Fall chinook are included in the Puget Sound Chinook ESU  as part of the listed population.",Volunteer rearing (cooperative projects): 3<br/>Salmon in the Classroom (educational projects): 1,Adult spawning :May through January ;Moving fry to holding ponds:December through May ;Release of fish :April through June ;Rearing fish :Year round,Skagit,UPPER SKAGIT,Puget Sound,Skagit Watershed Council,3F10208  031421 H,,05/16/2012 12:00:00 AM,
Kendall Creek Hatchery,6263 Mt Baker Hwy,,Deming,WA,98244     ,3605992841,3605991307,48.8973,-122.142,"Kendall Creek Hatchery is located 21 miles east of Bellingham.  It was originally constructed in 1950.   The Hatchery rears Nooksack Spring  Chinook, Nooksack Coho, Nooksack Steelhead, Goldendale Rainbow,  Tokul Cutthroat, Ford Brown Trout, Ford Tiger Trout, and Lake Whatcom Kokanee.  ","Kendall Creek Hatchery is located 21 miles east of Bellingham.  It was originally constructed in 1950.   The Hatchery rears Nooksack Spring  Chinook, Nooksack Coho, Nooksack Steelhead, Goldendale Rainbow,  Tokul Cutthroat, Ford Brown Trout, Ford Tiger Trout, and Lake Whatcom Kokanee.  The hatchery staff handle Nooksack Spring Chinook, Nooksack Coho,  and Nooksack Steelhead that return to the facility.",Nooksack Spring Chinook are included in the Puget Sound Chinook ESU as part of the listed population.,Volunteer rearing (cooperative projects): 2<br/>Salmon in the Classroom (educational projects): 7,Adult spawning :August through January;Moving fry to holding ponds:November through March ;Release of fish:April through June ;Rearing of fish :Year round,Whatcom,NOOKSACK,Puget Sound,WRIA 1 - Salmon Recovery Board Lead Entity,3F10107  010406 H,,05/16/2012 12:00:00 AM,
Goldendale Hatchery,130 Hatchery Lane,,Goldendale,WA,98620-9802,5097734422,5097736771,45.8418,-120.8949,The Goldendale Hatchery was built in 1938 and partially remodeled in 1995.   Goldendale is one of three WDFW operated Rainbow Trout broodstock stations. ,"The Goldendale Hatchery was built in 1938 and partially remodeled in 1995.   Goldendale is one of three WDFW operated Rainbow Trout broodstock stations.  It produces approximately 6.8 million eggs for distribution to state and    tribal facilities.   Goldendale Hatchery raises Rainbow Trout, Brown Trout,   Eastern Brook Trout, Tiger Trout and Cutthroat Trout.  Fish raised at Goldendale  Hatchery provide thousands of hours of recreational fishing opportunity  each year in lowland lakes, reservoirs and high lakes throughout Southwest  Washington.  The rainbow trout broodstock produce eggs that are shipped to  WDFW hatchery facilities statewide. ",No ESA listed species are reared at this facility.,Volunteer rearing (cooperative projects): None<br/>Salmon in the Classroom (educational projects): 1,Adult spawning :October through January;Eyed egg transfer:October through January;Incubation and handling eggs:October through May;Moving fry to holding ponds:April through May;Planting fish:11 months out of the year;Rearing fish:Year round,Klickitat,KLICKITAT,Middle Columbia River,Klickitat County Lead Entity,3F42001  300106 H,,05/16/2012 12:00:00 AM,
Bear Springs Pond,,,,WA,,,,48.0639,-124.2414,No Data.,No Data.,,,,Clallam,SOLEDUCK-HOH,Washington Coastal,North Pacific Coast Lead Entity,3F21703  200096 H05,,05/16/2012 12:00:00 AM,
Grays River Hatchery,PO Box 129,,Grays River,WA,98621     ,3604652446,3604652697,46.3873,-123.5604,No Data.,"The Grays River Hatchery is located on the West Fork of the Grays River, 4.5 miles northeast of the town of Grays River in Southwest Washington.  The facility was constructed in 1961 and is funded by Bonneville Power Administration, under the auspices of the Select Area Fishery Enhancement (SAFE) Project.   The fish program consists of Type-s and Type-n coho, spring and fall Chinook, and winter steelhead. Grays River Hatchery is also taking part in a wild chum restoration project led by Dr. Steve Schroder.  The hatchery has ten 20' x 80' concrete raceways, one earthen 0.5 acre pond and two 40' x 60' concrete adult ponds.  The facility has two gravity flow intakes, an incubation, and pond supply well.  The hatchery contains 768 FAL incubators and five 17' x 3.5' rearing vessels.    Included in the responsibility of the Grays River Hatchery is the SAFE net pen project.  This program has 39 net pens, which rear spring Chinook, Type-s Coho and fall Chinook for release.",,Volunteer rearing (cooperative projects): 2<br/>Salmon in the Classroom (educational projects): None,,Pacific,GRAYS-ELOKOMAN,Lower Columbia River,Lower Columbia Fish Recovery Board,3F 4638730-12356040,,05/16/2012 12:00:00 AM,
Chewuch Acclimation Pond,,,,WA,,,,48.5651,-120.1766,No Data.,No Data.,,,,Okanogan,METHOW,Upper Columbia River,Okanogan County Lead Entity,3F42001  480728 R02,,09/12/2019 12:00:00 AM,
Skookumchuck Hatchery,10500 Skookumchuck Road SE,,Tenino,WA,98589     ,3602642112,3602644439,46.79,-122.7255,No Data.,"Skookumchuck Hatchery is located at river mile 21.6 on the Skookumchuck River (tributary to the Chehalis River at river mile 67), approximately a half mile downstream from the Skookumchuck Dam. The facility began operations in 1980, as mitigation for lost natural production after dam construction. It underwent a complete three-phase renovation 2005-2013. The culvert was replaced in 2015 to improve fish-passage.<br /><br />The facility has an incubation capacity of 3.6-million eggs and a rearing capacity of two million yearlings. Normal- and late-run coho produced onsite plays an important role in freshwater recreational fisheries, as well as ocean commercial and sport, and Tribal ocean (troll and gillnet). Skookumchuck Hatchery also rears Skykomish stock coho for the South South/Squaxin Island Net Pens program (co-managed by WDFW and the Squaxin Island Tribe). Coho are also provided to various regional enhancement co-ops project sites, including the Chehalis Basin Fisheries Task Force (CBFTF), and regional education co-ops.<br /><br />In addition, Skookumchuck Hatchery spawns, incubates and rears late-winter steelhead returning to the Skookumchuck Dam. A mitigation agreement was signed in 1963 between PacifiCorp and the Washington Department of Game to compensate for the effects of dam construction and operation. The program was transferred from the South Tacoma Hatchery (now Lakewood Hatchery) in 1996. After early-rearing, 90,000 steelhead fry are transferred to the Skookumchuck Dam acclimation ponds in October, for onsite release in April. In addition, eyed-eggs are transferred to the Carlisle Lake (Onalaska High School) and yearlings to Eight Creek project sites (CBFTF) for rearing, acclimation and release.",,,,Thurston,UPPER CHEHALIS,Washington Coastal,Grays Harbor County Lead Entity,3F21802  230761 H,,05/20/2016 12:00:00 AM,
