Date,Department or Agency Name,ARMS Department ID,Total # of Employees,# of Employees with Debt,% Employees with Debt,Total Amount Due
09/08/2018,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,133,1,0.8,585.84
09/08/2018,CITY COUNCIL,COUNCIL,415,5,1.2,22323.89
09/08/2018,CHICAGO PARK DISTRICT,CPDT,3329,129,3.9,98592.80
09/08/2018,CHICAGO PUBLIC LIBRARY,CPL,1005,3,0.3,2076.08
09/08/2018,CHICAGO TRANSIT AUTHORITY,CTA,10874,1960,18.0,1819661.95
09/08/2018,DOIT,DOIT,100,0,0.0,0.00
09/08/2018,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,0,0.0,0.00
09/08/2018,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
09/08/2018,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,610,1,0.2,204.15
09/08/2018,FINANCE,FINANCE,556,4,0.7,1479.74
09/08/2018,FLEET AND FACILITY MGMT,FLEETFM,986,9,0.9,3650.90
09/08/2018,PUBLIC HEALTH,HEALTH,488,3,0.6,3544.74
09/08/2018,COMMISSION ON HUMAN RELATIONS,HR,15,0,0.0,0.00
09/08/2018,HUMAN RESOURCES,HUMANRESOURCES,77,0,0.0,0.00
09/08/2018,OFFICE OF THE MAYOR,MAYOR,84,0,0.0,0.00
09/08/2018,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0.0,0.00
09/08/2018,OFFICE OF BUDGET & MANAGEMENT,OBM,45,0,0.0,0.00
09/08/2018,OFFICE OF EMERGENCY MGMT & COM,OEMC,2081,51,2.5,58146.88
09/08/2018,POLICE,POLICE,13530,29,0.2,11790.62
09/08/2018,PROCUREMENT SERV,PROCUREMENT,91,1,1.1,1000.00
09/08/2018,STREETS AND SANITATION,STREETSAN,2197,25,1.1,13415.90
09/08/2018,TRANSPORTATION,TRANS,1132,3,0.3,6420.25
09/08/2018,CITY TREASURER,TREASURER,24,0,0.0,0.00
09/08/2018,WATER MANAGEMENT,WATER,1861,13,0.7,13317.97
09/15/2018,ADMINISTRATIVE HEARING,AHMS,38,0,0.0,0.00
09/15/2018,COMM ANIMAL CARE AND CONTROL,ANIMAL,82,0,0.0,0.00
09/15/2018,AVIATION,AVIATION,1625,5,0.3,3801.47
09/15/2018,BUS AFFAIRS AND CONSUMER PROT,BACP,170,0,0.0,0.00
09/15/2018,BUILDINGS,BUILDINGS,270,0,0.0,0.00
09/15/2018,CULTURAL AFFAIRS,CA,66,0,0.0,0.00
09/15/2018,CHICAGO BOARD OF EDUCATION,CBOE,44980,2425,5.4,1920884.45
09/15/2018,CITY COLLEGES OF CHICAGO,CCC,4952,189,3.8,113345.76
09/15/2018,FIRE DEPARTMENT,CFD,4658,67,1.4,17590.30
09/15/2018,CHICAGO HOUSING AUTHORITY,CHA,561,26,4.6,16702.32
09/15/2018,CITY CLERK,CLERK,87,0,0.0,0.00
09/15/2018,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,210,1,0.5,108.33
09/15/2018,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,133,1,0.8,585.84
09/15/2018,CITY COUNCIL,COUNCIL,415,3,0.7,21657.25
09/15/2018,CHICAGO PARK DISTRICT,CPDT,3329,129,3.9,98693.56
09/15/2018,CHICAGO PUBLIC LIBRARY,CPL,1005,2,0.2,1670.00
09/15/2018,CHICAGO TRANSIT AUTHORITY,CTA,10874,1945,17.9,1815367.02
09/15/2018,DOIT,DOIT,100,0,0.0,0.00
09/15/2018,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,0,0.0,0.00
09/15/2018,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
09/15/2018,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,610,0,0.0,0.00
09/15/2018,FINANCE,FINANCE,556,3,0.5,309.79
09/15/2018,FLEET AND FACILITY MGMT,FLEETFM,986,9,0.9,3650.90
09/15/2018,PUBLIC HEALTH,HEALTH,488,2,0.4,364.56
09/15/2018,COMMISSION ON HUMAN RELATIONS,HR,15,0,0.0,0.00
09/15/2018,HUMAN RESOURCES,HUMANRESOURCES,77,0,0.0,0.00
09/15/2018,LAW,LAW,395,0,0.0,0.00
09/15/2018,OFFICE OF THE MAYOR,MAYOR,84,0,0.0,0.00
09/15/2018,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0.0,0.00
09/15/2018,OFFICE OF BUDGET & MANAGEMENT,OBM,45,0,0.0,0.00
09/15/2018,OFFICE OF EMERGENCY MGMT & COM,OEMC,2081,52,2.5,57626.50
09/15/2018,POLICE,POLICE,13530,28,0.2,11224.03
09/15/2018,PROCUREMENT SERV,PROCUREMENT,91,1,1.1,1000.00
09/15/2018,STREETS AND SANITATION,STREETSAN,2197,23,1.0,12861.14
09/15/2018,TRANSPORTATION,TRANS,1132,1,0.1,5285.99
09/15/2018,CITY TREASURER,TREASURER,24,0,0.0,0.00
09/15/2018,WATER MANAGEMENT,WATER,1861,13,0.7,12817.80
09/22/2018,ADMINISTRATIVE HEARING,AHMS,38,0,0.0,0.00
09/22/2018,COMM ANIMAL CARE AND CONTROL,ANIMAL,82,0,0.0,0.00
09/22/2018,AVIATION,AVIATION,1625,5,0.3,3801.47
09/22/2018,BUS AFFAIRS AND CONSUMER PROT,BACP,170,0,0.0,0.00
09/22/2018,BUILDINGS,BUILDINGS,270,0,0.0,0.00
09/22/2018,CULTURAL AFFAIRS,CA,66,0,0.0,0.00
09/22/2018,CHICAGO BOARD OF EDUCATION,CBOE,44980,2417,5.4,1928313.38
09/22/2018,CITY COLLEGES OF CHICAGO,CCC,4952,185,3.7,110135.04
09/22/2018,FIRE DEPARTMENT,CFD,4658,67,1.4,17802.86
09/22/2018,CHICAGO HOUSING AUTHORITY,CHA,561,26,4.6,16713.01
09/22/2018,CITY CLERK,CLERK,87,0,0.0,0.00
09/22/2018,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,210,1,0.5,108.33
09/22/2018,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,133,1,0.8,585.84
09/22/2018,CITY COUNCIL,COUNCIL,415,3,0.7,21657.25
09/22/2018,CHICAGO PARK DISTRICT,CPDT,3329,125,3.8,99628.74
09/22/2018,CHICAGO PUBLIC LIBRARY,CPL,1005,2,0.2,1670.00
09/22/2018,CHICAGO TRANSIT AUTHORITY,CTA,10874,1933,17.8,1809751.05
09/22/2018,DOIT,DOIT,100,0,0.0,0.00
09/22/2018,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,0,0.0,0.00
09/22/2018,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
09/22/2018,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,610,0,0.0,0.00
09/22/2018,FINANCE,FINANCE,556,3,0.5,309.79
09/22/2018,FLEET AND FACILITY MGMT,FLEETFM,986,9,0.9,3650.90
09/22/2018,PUBLIC HEALTH,HEALTH,488,2,0.4,364.56
09/22/2018,COMMISSION ON HUMAN RELATIONS,HR,15,0,0.0,0.00
09/22/2018,HUMAN RESOURCES,HUMANRESOURCES,77,0,0.0,0.00
09/22/2018,LAW,LAW,395,0,0.0,0.00
09/22/2018,OFFICE OF THE MAYOR,MAYOR,84,0,0.0,0.00
09/22/2018,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0.0,0.00
09/22/2018,OFFICE OF BUDGET & MANAGEMENT,OBM,45,0,0.0,0.00
09/22/2018,OFFICE OF EMERGENCY MGMT & COM,OEMC,2081,52,2.5,57952.82
09/22/2018,POLICE,POLICE,13530,27,0.2,11534.77
09/22/2018,PROCUREMENT SERV,PROCUREMENT,91,1,1.1,1000.00
09/22/2018,STREETS AND SANITATION,STREETSAN,2197,24,1.1,13266.20
09/22/2018,TRANSPORTATION,TRANS,1132,2,0.2,5617.82
09/22/2018,CITY TREASURER,TREASURER,24,0,0.0,0.00
09/22/2018,WATER MANAGEMENT,WATER,1861,14,0.8,12961.60
09/29/2018,ADMINISTRATIVE HEARING,AHMS,38,0,0.0,0.00
09/29/2018,COMM ANIMAL CARE AND CONTROL,ANIMAL,82,0,0.0,0.00
09/29/2018,AVIATION,AVIATION,1625,5,0.3,3801.47
09/29/2018,BUS AFFAIRS AND CONSUMER PROT,BACP,170,0,0.0,0.00
09/29/2018,BUILDINGS,BUILDINGS,270,0,0.0,0.00
09/29/2018,CULTURAL AFFAIRS,CA,66,0,0.0,0.00
09/29/2018,CHICAGO BOARD OF EDUCATION,CBOE,44980,2411,5.4,1920129.91
09/29/2018,CITY COLLEGES OF CHICAGO,CCC,4952,187,3.8,111206.79
09/29/2018,FIRE DEPARTMENT,CFD,4658,68,1.5,19783.32
09/29/2018,CHICAGO HOUSING AUTHORITY,CHA,561,27,4.8,17307.21
09/29/2018,CITY CLERK,CLERK,87,0,0.0,0.00
09/29/2018,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,210,1,0.5,108.33
09/29/2018,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,133,1,0.8,585.84
09/29/2018,CITY COUNCIL,COUNCIL,415,3,0.7,21657.25
09/29/2018,CHICAGO PARK DISTRICT,CPDT,3329,124,3.7,99899.19
09/29/2018,CHICAGO PUBLIC LIBRARY,CPL,1005,2,0.2,1670.00
09/29/2018,CHICAGO TRANSIT AUTHORITY,CTA,10874,1914,17.6,1788648.76
09/29/2018,DOIT,DOIT,100,0,0.0,0.00
09/29/2018,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,0,0.0,0.00
09/29/2018,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
09/29/2018,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,610,0,0.0,0.00
09/29/2018,FINANCE,FINANCE,556,1,0.2,78.80
09/29/2018,FLEET AND FACILITY MGMT,FLEETFM,986,8,0.8,3401.24
09/29/2018,PUBLIC HEALTH,HEALTH,488,2,0.4,364.56
09/29/2018,COMMISSION ON HUMAN RELATIONS,HR,15,0,0.0,0.00
09/29/2018,HUMAN RESOURCES,HUMANRESOURCES,77,0,0.0,0.00
09/29/2018,LAW,LAW,395,0,0.0,0.00
09/29/2018,OFFICE OF THE MAYOR,MAYOR,84,0,0.0,0.00
09/29/2018,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0.0,0.00
09/29/2018,OFFICE OF BUDGET & MANAGEMENT,OBM,45,0,0.0,0.00
09/29/2018,OFFICE OF EMERGENCY MGMT & COM,OEMC,2081,53,2.5,57121.18
09/29/2018,POLICE,POLICE,13530,31,0.2,35234.03
09/29/2018,PROCUREMENT SERV,PROCUREMENT,91,1,1.1,1000.00
09/29/2018,STREETS AND SANITATION,STREETSAN,2197,19,0.9,11187.18
09/29/2018,TRANSPORTATION,TRANS,1132,4,0.4,10893.28
09/29/2018,CITY TREASURER,TREASURER,24,0,0.0,0.00
09/29/2018,WATER MANAGEMENT,WATER,1861,14,0.8,12806.07
10/06/2018,ADMINISTRATIVE HEARING,AHMS,38,0,0.0,0.00
10/06/2018,COMM ANIMAL CARE AND CONTROL,ANIMAL,82,0,0.0,0.00
10/06/2018,AVIATION,AVIATION,1625,6,0.4,4226.35
10/06/2018,BUS AFFAIRS AND CONSUMER PROT,BACP,170,0,0.0,0.00
10/06/2018,BUILDINGS,BUILDINGS,270,0,0.0,0.00
10/06/2018,CULTURAL AFFAIRS,CA,66,0,0.0,0.00
10/06/2018,CHICAGO BOARD OF EDUCATION,CBOE,46005,2214,4.8,1749051.28
10/06/2018,CITY COLLEGES OF CHICAGO,CCC,4952,187,3.8,110954.28
10/06/2018,FIRE DEPARTMENT,CFD,4658,67,1.4,19335.49
10/06/2018,CHICAGO HOUSING AUTHORITY,CHA,569,27,4.7,17307.21
10/06/2018,CITY CLERK,CLERK,87,0,0.0,0.00
10/06/2018,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,210,1,0.5,108.33
10/06/2018,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,133,1,0.8,585.84
10/06/2018,CITY COUNCIL,COUNCIL,415,3,0.7,21657.25
10/06/2018,CHICAGO PARK DISTRICT,CPDT,5485,78,1.4,51430.62
10/06/2018,CHICAGO PUBLIC LIBRARY,CPL,1005,2,0.2,1670.00
10/06/2018,CHICAGO TRANSIT AUTHORITY,CTA,11057,1807,16.3,1632305.46
10/06/2018,DOIT,DOIT,100,0,0.0,0.00
10/06/2018,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,0,0.0,0.00
10/06/2018,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
10/06/2018,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,610,0,0.0,0.00
10/06/2018,FINANCE,FINANCE,556,2,0.4,422.76
10/06/2018,FLEET AND FACILITY MGMT,FLEETFM,986,8,0.8,3401.24
10/06/2018,PUBLIC HEALTH,HEALTH,488,3,0.6,497.84
10/06/2018,COMMISSION ON HUMAN RELATIONS,HR,15,0,0.0,0.00
10/06/2018,HUMAN RESOURCES,HUMANRESOURCES,77,0,0.0,0.00
10/06/2018,LAW,LAW,395,1,0.3,100.00
10/06/2018,OFFICE OF THE MAYOR,MAYOR,84,0,0.0,0.00
10/06/2018,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0.0,0.00
10/06/2018,OFFICE OF BUDGET & MANAGEMENT,OBM,45,0,0.0,0.00
10/06/2018,OFFICE OF EMERGENCY MGMT & COM,OEMC,2081,55,2.6,73250.24
10/06/2018,POLICE,POLICE,13530,30,0.2,35151.77
10/06/2018,PROCUREMENT SERV,PROCUREMENT,91,1,1.1,1000.00
10/06/2018,STREETS AND SANITATION,STREETSAN,2197,19,0.9,13608.53
10/06/2018,TRANSPORTATION,TRANS,1132,4,0.4,11828.91
10/06/2018,CITY TREASURER,TREASURER,24,0,0.0,0.00
10/06/2018,WATER MANAGEMENT,WATER,1861,13,0.7,11610.76
10/13/2018,ADMINISTRATIVE HEARING,AHMS,34,0,0.0,0.00
10/13/2018,COMM ANIMAL CARE AND CONTROL,ANIMAL,78,0,0.0,0.00
10/13/2018,AVIATION,AVIATION,1413,4,0.3,3038.40
10/13/2018,BUS AFFAIRS AND CONSUMER PROT,BACP,172,0,0.0,0.00
10/13/2018,BUILDINGS,BUILDINGS,268,0,0.0,0.00
10/13/2018,CULTURAL AFFAIRS,CA,77,0,0.0,0.00
10/13/2018,CHICAGO BOARD OF EDUCATION,CBOE,46110,2209,4.8,1748121.20
10/13/2018,CITY COLLEGES OF CHICAGO,CCC,4933,169,3.4,103360.19
10/13/2018,FIRE DEPARTMENT,CFD,4712,64,1.4,19304.80
10/13/2018,CHICAGO HOUSING AUTHORITY,CHA,569,27,4.7,17311.54
10/13/2018,CITY CLERK,CLERK,91,0,0.0,0.00
10/13/2018,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,209,2,1.0,1217.83
10/13/2018,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,120,1,0.8,585.84
10/13/2018,CITY COUNCIL,COUNCIL,427,3,0.7,21657.25
10/13/2018,CHICAGO PARK DISTRICT,CPDT,5485,90,1.6,72319.25
10/13/2018,CHICAGO PUBLIC LIBRARY,CPL,969,2,0.2,1670.00
10/13/2018,CHICAGO TRANSIT AUTHORITY,CTA,11057,1804,16.3,1634959.14
10/13/2018,DOIT,DOIT,104,0,0.0,0.00
10/13/2018,BOARD OF ELECTION COMMISSIONER,ELECTIONS,106,0,0.0,0.00
10/13/2018,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
10/13/2018,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,636,0,0.0,0.00
10/13/2018,FINANCE,FINANCE,557,2,0.4,1081.22
10/13/2018,FLEET AND FACILITY MGMT,FLEETFM,967,8,0.8,3473.41
10/13/2018,PUBLIC HEALTH,HEALTH,477,2,0.4,364.56
10/13/2018,COMMISSION ON HUMAN RELATIONS,HR,16,0,0.0,0.00
10/13/2018,HUMAN RESOURCES,HUMANRESOURCES,77,0,0.0,0.00
10/13/2018,LAW,LAW,389,1,0.3,100.00
10/13/2018,OFFICE OF THE MAYOR,MAYOR,93,0,0.0,0.00
10/13/2018,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0.0,0.00
10/13/2018,OFFICE OF BUDGET & MANAGEMENT,OBM,47,0,0.0,0.00
10/13/2018,OFFICE OF EMERGENCY MGMT & COM,OEMC,2059,49,2.4,63695.89
10/13/2018,POLICE,POLICE,13954,30,0.2,34642.42
10/13/2018,PROCUREMENT SERV,PROCUREMENT,91,1,1.1,1000.00
10/13/2018,STREETS AND SANITATION,STREETSAN,2018,16,0.8,11096.40
10/13/2018,TRANSPORTATION,TRANS,1222,6,0.5,13320.14
10/13/2018,CITY TREASURER,TREASURER,29,0,0.0,0.00
10/13/2018,WATER MANAGEMENT,WATER,1908,15,0.8,12305.57
10/20/2018,ADMINISTRATIVE HEARING,AHMS,34,0,0.0,0.00
10/20/2018,COMM ANIMAL CARE AND CONTROL,ANIMAL,78,0,0.0,0.00
10/20/2018,AVIATION,AVIATION,1413,4,0.3,3038.40
10/20/2018,BUS AFFAIRS AND CONSUMER PROT,BACP,172,0,0.0,0.00
10/20/2018,BUILDINGS,BUILDINGS,268,0,0.0,0.00
10/20/2018,CULTURAL AFFAIRS,CA,77,0,0.0,0.00
10/20/2018,CHICAGO BOARD OF EDUCATION,CBOE,46110,2186,4.7,1740665.63
10/20/2018,CITY COLLEGES OF CHICAGO,CCC,4933,168,3.4,102777.19
10/20/2018,FIRE DEPARTMENT,CFD,4712,66,1.4,23364.94
10/20/2018,CHICAGO HOUSING AUTHORITY,CHA,569,25,4.4,16537.25
10/20/2018,CITY CLERK,CLERK,91,0,0.0,0.00
10/20/2018,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,209,0,0.0,0.00
10/20/2018,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,120,1,0.8,626.72
10/20/2018,CITY COUNCIL,COUNCIL,427,3,0.7,21657.25
10/20/2018,CHICAGO PARK DISTRICT,CPDT,5485,89,1.6,72121.77
10/20/2018,CHICAGO PUBLIC LIBRARY,CPL,969,2,0.2,1670.00
10/20/2018,CHICAGO TRANSIT AUTHORITY,CTA,11057,1793,16.2,1626628.80
10/20/2018,DOIT,DOIT,104,0,0.0,0.00
10/20/2018,BOARD OF ELECTION COMMISSIONER,ELECTIONS,106,0,0.0,0.00
10/20/2018,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
10/20/2018,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,636,0,0.0,0.00
10/20/2018,FINANCE,FINANCE,557,1,0.2,1729.34
10/20/2018,FLEET AND FACILITY MGMT,FLEETFM,967,8,0.8,3948.29
10/20/2018,PUBLIC HEALTH,HEALTH,477,2,0.4,364.56
10/20/2018,COMMISSION ON HUMAN RELATIONS,HR,16,0,0.0,0.00
10/20/2018,HUMAN RESOURCES,HUMANRESOURCES,77,0,0.0,0.00
10/20/2018,LAW,LAW,389,1,0.3,100.00
10/20/2018,OFFICE OF THE MAYOR,MAYOR,93,0,0.0,0.00
10/20/2018,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0.0,0.00
10/20/2018,OFFICE OF BUDGET & MANAGEMENT,OBM,47,0,0.0,0.00
10/20/2018,OFFICE OF EMERGENCY MGMT & COM,OEMC,2059,51,2.5,66069.00
10/20/2018,POLICE,POLICE,13954,19,0.1,26250.43
10/20/2018,PROCUREMENT SERV,PROCUREMENT,91,1,1.1,1000.00
10/20/2018,STREETS AND SANITATION,STREETSAN,2018,16,0.8,11143.27
10/20/2018,TRANSPORTATION,TRANS,1222,1,0.1,954.12
10/20/2018,CITY TREASURER,TREASURER,29,0,0.0,0.00
10/20/2018,WATER MANAGEMENT,WATER,1908,15,0.8,12305.57
10/27/2018,ADMINISTRATIVE HEARING,AHMS,34,0,0.0,0.00
10/27/2018,COMM ANIMAL CARE AND CONTROL,ANIMAL,78,0,0.0,0.00
10/27/2018,AVIATION,AVIATION,1413,4,0.3,3038.40
10/27/2018,BUS AFFAIRS AND CONSUMER PROT,BACP,172,0,0.0,0.00
10/27/2018,BUILDINGS,BUILDINGS,268,1,0.4,768.89
10/27/2018,CULTURAL AFFAIRS,CA,77,0,0.0,0.00
10/27/2018,CHICAGO BOARD OF EDUCATION,CBOE,46110,2162,4.7,1733347.10
10/27/2018,CITY COLLEGES OF CHICAGO,CCC,4933,164,3.3,98796.02
10/27/2018,FIRE DEPARTMENT,CFD,4712,64,1.4,22457.18
10/27/2018,CHICAGO HOUSING AUTHORITY,CHA,569,25,4.4,16695.12
10/27/2018,CITY CLERK,CLERK,91,0,0.0,0.00
10/27/2018,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,209,0,0.0,0.00
10/27/2018,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,120,1,0.8,626.72
10/27/2018,CITY COUNCIL,COUNCIL,427,4,0.9,22710.15
10/27/2018,CHICAGO PARK DISTRICT,CPDT,5485,89,1.6,70702.83
10/27/2018,CHICAGO PUBLIC LIBRARY,CPL,969,2,0.2,1670.00
10/27/2018,CHICAGO TRANSIT AUTHORITY,CTA,11057,1778,16.1,1601999.26
10/27/2018,DOIT,DOIT,104,0,0.0,0.00
10/27/2018,BOARD OF ELECTION COMMISSIONER,ELECTIONS,106,0,0.0,0.00
10/27/2018,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
10/27/2018,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,636,0,0.0,0.00
10/27/2018,FINANCE,FINANCE,557,2,0.4,1837.21
10/27/2018,FLEET AND FACILITY MGMT,FLEETFM,967,8,0.8,3955.98
10/27/2018,PUBLIC HEALTH,HEALTH,477,2,0.4,364.56
10/27/2018,COMMISSION ON HUMAN RELATIONS,HR,16,0,0.0,0.00
10/27/2018,HUMAN RESOURCES,HUMANRESOURCES,77,0,0.0,0.00
10/27/2018,LAW,LAW,389,1,0.3,100.00
10/27/2018,OFFICE OF THE MAYOR,MAYOR,93,0,0.0,0.00
10/27/2018,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0.0,0.00
10/27/2018,OFFICE OF BUDGET & MANAGEMENT,OBM,47,0,0.0,0.00
10/27/2018,OFFICE OF EMERGENCY MGMT & COM,OEMC,2059,48,2.3,64535.95
10/27/2018,POLICE,POLICE,13954,21,0.2,26753.62
10/27/2018,PROCUREMENT SERV,PROCUREMENT,91,1,1.1,1000.00
10/27/2018,STREETS AND SANITATION,STREETSAN,2018,18,0.9,11747.11
10/27/2018,TRANSPORTATION,TRANS,1222,1,0.1,258.64
10/27/2018,CITY TREASURER,TREASURER,29,0,0.0,0.00
10/27/2018,WATER MANAGEMENT,WATER,1908,13,0.7,9834.33
11/03/2018,ADMINISTRATIVE HEARING,AHMS,34,3,8.8,1362.87
11/03/2018,COMM ANIMAL CARE AND CONTROL,ANIMAL,78,0,0.0,0.00
11/03/2018,AVIATION,AVIATION,1413,70,5.0,29174.61
11/03/2018,BUS AFFAIRS AND CONSUMER PROT,BACP,172,4,2.3,900.00
11/03/2018,BUILDINGS,BUILDINGS,268,8,3.0,4338.53
11/03/2018,CULTURAL AFFAIRS,CA,77,0,0.0,0.00
11/03/2018,CHICAGO BOARD OF EDUCATION,CBOE,46110,3365,7.3,2662041.98
11/03/2018,CITY COLLEGES OF CHICAGO,CCC,4933,266,5.4,171462.79
11/03/2018,FIRE DEPARTMENT,CFD,4712,203,4.3,131132.30
11/03/2018,CHICAGO HOUSING AUTHORITY,CHA,569,25,4.4,16695.12
11/03/2018,CITY CLERK,CLERK,91,0,0.0,0.00
11/03/2018,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,209,5,2.4,1711.19
11/03/2018,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,120,5,4.2,9444.17
11/03/2018,CITY COUNCIL,COUNCIL,427,19,4.4,28272.19
11/03/2018,CHICAGO PARK DISTRICT,CPDT,5485,311,5.7,249119.01
11/03/2018,CHICAGO PUBLIC LIBRARY,CPL,969,18,1.9,10988.86
11/03/2018,CHICAGO TRANSIT AUTHORITY,CTA,11057,2345,21.2,2286340.55
11/03/2018,DOIT,DOIT,104,4,3.8,576.40
11/03/2018,BOARD OF ELECTION COMMISSIONER,ELECTIONS,106,2,1.9,5739.29
11/03/2018,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
11/03/2018,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,636,28,4.4,12307.42
11/03/2018,FINANCE,FINANCE,557,26,4.7,16275.39
11/03/2018,FLEET AND FACILITY MGMT,FLEETFM,967,39,4.0,24906.59
11/03/2018,PUBLIC HEALTH,HEALTH,477,23,4.8,10286.84
11/03/2018,COMMISSION ON HUMAN RELATIONS,HR,16,0,0.0,0.00
11/03/2018,HUMAN RESOURCES,HUMANRESOURCES,77,0,0.0,0.00
11/03/2018,LAW,LAW,389,7,1.8,1809.65
11/03/2018,OFFICE OF THE MAYOR,MAYOR,93,1,1.1,308.86
11/03/2018,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,1,3.4,200.00
11/03/2018,OFFICE OF BUDGET & MANAGEMENT,OBM,47,0,0.0,0.00
11/03/2018,OFFICE OF EMERGENCY MGMT & COM,OEMC,2059,165,8.0,181194.07
11/03/2018,POLICE,POLICE,13954,300,2.1,137189.10
11/03/2018,PROCUREMENT SERV,PROCUREMENT,91,5,5.5,1854.18
11/03/2018,STREETS AND SANITATION,STREETSAN,2018,121,6.0,61357.64
11/03/2018,TRANSPORTATION,TRANS,1222,64,5.2,30194.89
11/03/2018,CITY TREASURER,TREASURER,29,0,0.0,0.00
11/03/2018,WATER MANAGEMENT,WATER,1908,95,5.0,46438.80
11/17/2018,ADMINISTRATIVE HEARING,AHMS,35,3,8.6,1362.87
11/17/2018,LAW,LAW,386,6,1.6,1719.61
11/17/2018,BOARD OF ETHICS,ETHICS,8,0,0.0,0.00
11/17/2018,DOIT,DOIT,102,2,2.0,276.40
11/17/2018,STREETS AND SANITATION,STREETSAN,2085,92,4.4,52516.55
11/17/2018,PUBLIC HEALTH,HEALTH,480,12,2.5,6159.02
11/17/2018,CHICAGO BOARD OF EDUCATION,CBOE,46110,3152,6.8,2526521.84
11/17/2018,CITY COLLEGES OF CHICAGO,CCC,4933,257,5.2,168315.95
11/17/2018,BUS AFFAIRS AND CONSUMER PROT,BACP,168,1,0.6,150.00
11/17/2018,CULTURAL AFFAIRS,CA,77,0,0.0,0.00
11/17/2018,CHICAGO HOUSING AUTHORITY,CHA,569,24,4.2,16962.78
11/17/2018,OFFICE OF BUDGET & MANAGEMENT,OBM,47,0,0.0,0.00
11/17/2018,FLEET AND FACILITY MGMT,FLEETFM,975,33,3.4,21201.65
11/17/2018,OFFICE OF EMERGENCY MGMT & COM,OEMC,2026,143,7.1,157614.41
11/17/2018,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,2,1.9,5739.29
11/17/2018,OFFICE OF THE MAYOR,MAYOR,94,1,1.1,308.86
11/17/2018,CITY TREASURER,TREASURER,28,0,0.0,0.00
11/17/2018,AVIATION,AVIATION,1480,50,3.4,16018.38
11/17/2018,TRANSPORTATION,TRANS,1221,48,3.9,25013.24
11/17/2018,CITY COUNCIL,COUNCIL,421,19,4.5,27784.19
11/17/2018,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,638,11,1.7,3707.73
11/17/2018,CITY CLERK,CLERK,90,0,0.0,0.00
11/17/2018,BUILDINGS,BUILDINGS,267,5,1.9,1694.46
11/17/2018,CHICAGO TRANSIT AUTHORITY,CTA,11057,2308,20.9,2246875.64
