File Number,Date,Source,Allegation,Status,Finding
19-0093,06/10/2019,External,Use of Force,Active,
19-0093,06/10/2019,External,Courtesy,Active,
19-0095,06/14/2019,External,Courtesy,Completed,Declined
19-0034,02/25/2019,Internal,Discrim/Race/Sex,Completed,Unfounded
19-0102,06/18/2019,Internal,Conformance to Law,Active,
15-0204,11/16/2015,Internal,Conformance to Law,Completed,Sustained
19-0094,06/14/2019,Internal,Use of Force,Active,
18-0171,09/25/2018,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0064,04/08/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
19-0064,04/08/2019,Internal,Conduct Unbecoming,Completed,Corrective Action Taken
18-0171,09/25/2018,Internal,Punctuality,Completed,No Corrective Action Tak
19-0104,06/26/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
19-0103,06/26/2019,Internal,Conformance to Law,Active,
19-0103,06/26/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
19-0104,06/26/2019,Internal,Conformance to Law,Active,
19-0080,04/30/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
18-0137,08/20/2018,External,Neglect of Duty/Unsatisfactory Performance,Active,Administrative Closure
19-0109,07/16/2019,Internal,Conduct Unbecoming,Active,
19-0116,07/18/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
19-0110,07/16/2019,Internal,Conformance to Law,Active,
19-0108,07/16/2019,External,Use of Force,Active,
19-0106,07/15/2019,Internal,Maintenance of Property,Active,
19-0108,07/16/2019,External,Conduct Unbecoming,Active,
19-0110,07/16/2019,Internal,Conduct Unbecoming,Active,
19-0106,07/15/2019,Internal,Conduct Unbecoming,Active,
19-0116,07/18/2019,External,Maintenance of Property,Active,
17-0284,12/12/2017,Internal,Conduct Unbecoming,Completed,Sustained
18-0137,08/20/2018,External,Conformance to Law,Active,Administrative Closure
19-0108,07/16/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
19-0106,07/15/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
19-0116,07/18/2019,External,Abuse of Authority,Active,
18-0137,08/20/2018,External,Use of Force,Active,Administrative Closure
19-0106,07/15/2019,Internal,Untruthful Statements,Active,
19-0094,06/14/2019,Internal,Conformance to Law,Active,
17-0284,12/12/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
19-0116,07/18/2019,External,Conformance to Law,Active,
19-0108,07/16/2019,External,Conformance to Law,Active,
18-0137,08/20/2018,External,Courtesy,Active,Administrative Closure
19-0106,07/15/2019,Internal,Conformance to Law,Active,
19-0109,07/16/2019,Internal,Conformance to Law,Active,
19-0123,07/22/2019,External,Conformance to Law,Completed,Declined
19-0083,05/13/2019,Internal,Conformance to Law,Completed,Corrective Action Taken
19-0117,07/22/2019,Internal,Use of Force,Active,
19-0117,07/22/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
19-0048,03/26/2019,Internal,Abuse of Process,Completed,Corrective Action Taken
19-0075,04/25/2019,External,Courtesy,Completed,No Corrective Action Tak
19-0052,04/01/2019,External,Conformance to Law,Completed,Corrective Action Taken
19-0123,07/22/2019,External,Discrimination/Harassment,Completed,Declined
19-0074,04/25/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
17-0095,04/27/2017,External,Use of Force,Completed,Exonerated
17-0095,04/27/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
19-0083,05/13/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
19-0119,07/22/2019,External,Conformance to Law,Completed,Declined
19-0120,07/22/2019,External,Conformance to Law,Completed,Declined
19-0050,03/28/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
19-0048,03/26/2019,Internal,Conformance to Law,Completed,Corrective Action Taken
19-0061,04/08/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0120,07/22/2019,External,Discrimination/Harassment,Completed,Declined
19-0122,07/22/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
19-0117,07/22/2019,Internal,Conformance to Law,Active,
19-0120,07/22/2019,External,Use of Force,Completed,Declined
19-0074,04/25/2019,External,Courtesy,Completed,Corrective Action Taken
19-0075,04/25/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0061,04/08/2019,External,Conformance to Law,Completed,No Corrective Action Tak
19-0122,07/22/2019,External,Conformance to Law,Completed,Declined
19-0122,07/22/2019,External,Use of Force,Completed,Declined
19-0085,05/14/2019,External,Conformance to Law,Completed,Corrective Action Taken
19-0084,05/14/2019,External,Conformance to Law,Completed,Administrative Closure
18-0141,08/29/2018,External,Use of Force,Completed,Exonerated
18-0187,10/03/2018,External,Conduct Unbecoming,Completed,Sustained
18-0214,11/13/2018,External,Conformance to Law,Completed,Administrative Closure
18-0156,09/05/2018,Internal,Abuse of Process,Completed,Administrative Closure
19-0084,05/14/2019,External,Conduct Unbecoming,Completed,Administrative Closure
18-0214,11/13/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
19-0126,07/30/2019,External,Courtesy,Active,
18-0156,09/05/2018,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
18-0141,08/29/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
18-0141,08/29/2018,External,Conformance to Law,Completed,Administrative Closure
18-0141,08/29/2018,External,Conformance to Law,Completed,Exonerated
19-0131,07/30/2019,Internal,Conformance to Law,Active,
18-0214,11/13/2018,External,Maintenance of Property,Completed,Administrative Closure
19-0131,07/30/2019,Internal,Maintenance of Property,Active,
18-0214,11/13/2018,External,Use of Force,Completed,Administrative Closure
18-0141,08/29/2018,External,Courtesy,Completed,Exonerated
18-0141,08/29/2018,External,Conduct Unbecoming,Completed,Exonerated
19-0125,07/29/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
18-0141,08/29/2018,External,Courtesy,Completed,Administrative Closure
17-0168,07/26/2017,Internal,Conformance to Law,Completed,Sustained
19-0114,07/18/2019,External,Courtesy,Completed,No Corrective Action Tak
18-0185,10/03/2018,External,Use of Force,Completed,Exonerated
19-0118,07/22/2019,External,Courtesy,Completed,No Corrective Action Tak
18-0185,10/03/2018,External,Conformance to Law,Completed,Exonerated
19-0091,06/06/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0096,06/14/2019,External,Conformance to Law,Completed,Corrective Action Taken
18-0185,10/03/2018,External,Courtesy,Completed,Exonerated
19-0006,01/11/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
18-0231,12/10/2018,External,Courtesy,Completed,Administrative Closure
19-0114,07/18/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
18-0231,12/10/2018,External,Conformance to Law,Completed,Administrative Closure
19-0036,02/27/2019,Internal,Conformance to Law,Completed,Sustained
19-0096,06/14/2019,External,Maintenance of Property,Completed,Corrective Action Taken
18-0231,12/10/2018,External,Maintenance of Property,Completed,Administrative Closure
19-0082,05/09/2019,External,Conformance to Law,Completed,No Corrective Action Tak
18-0185,10/03/2018,External,Maintenance of Property,Completed,Insufficent Evidence
19-0115,07/18/2019,External,Courtesy,Completed,Corrective Action Taken
19-0091,06/06/2019,External,Courtesy,Completed,No Corrective Action Tak
18-0231,12/10/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
19-0118,07/22/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0036,02/27/2019,Internal,Maintenance of Property,Completed,Sustained
18-0185,10/03/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
19-0096,06/14/2019,External,Use of Force,Completed,Declined
18-0185,10/03/2018,External,Carry Credent/Identification,Completed,Insufficent Evidence
18-0231,12/10/2018,External,Use of Force,Completed,Unfounded
18-0185,10/03/2018,External,Conduct Unbecoming,Completed,Exonerated
19-0115,07/18/2019,External,Conduct Unbecoming,Completed,No Corrective Action Tak
19-0134,08/12/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
19-0134,08/12/2019,Internal,Compliance with Orders,Active,
19-0133,08/12/2019,Internal,Discrimination/Harassment,Active,
19-0134,08/12/2019,Internal,Discrimination/Harassment,Active,
19-0133,08/12/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
19-0134,08/12/2019,Internal,Conduct Unbecoming,Active,
19-0133,08/12/2019,Internal,Conformance to Law,Active,
19-0145,08/20/2019,External,Conformance to Law,Completed,Declined
19-0138,08/19/2019,Internal,Conduct Unbecoming,Active,
19-0149,08/20/2019,External,Conduct Unbecoming,Completed,Declined
19-0132,07/31/2019,External,Conformance to Law,Completed,No Corrective Action Tak
19-0124,07/29/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0138,08/19/2019,Internal,Maintenance of Property,Active,
19-0147,08/20/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
19-0150,08/20/2019,External,Abuse of Process,Completed,Declined
19-0138,08/19/2019,Internal,Conformance to Law,Active,
19-0144,08/20/2019,External,Conformance to Law,Active,
19-0132,07/31/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0148,08/20/2019,External,Conformance to Law,Completed,Declined
19-0148,08/20/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
19-0144,08/20/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
18-0142,08/29/2018,Internal,Conformance to Law,Completed,Administrative Closure
18-0142,08/29/2018,Internal,Use of Force,Completed,Exonerated
18-0142,08/29/2018,Internal,Conduct Unbecoming,Completed,Exonerated
18-0142,08/29/2018,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
18-0142,08/29/2018,Internal,Courtesy,Completed,Administrative Closure
18-0142,08/29/2018,Internal,Conformance to Law,Completed,Exonerated
19-0151,09/03/2019,External,Conformance to Law,Active,
19-0101,06/18/2019,External,Conduct Unbecoming,Completed,No Corrective Action Tak
19-0101,06/18/2019,External,Courtesy,Completed,Corrective Action Taken
19-0073,04/25/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0151,09/03/2019,External,Untruthful Statements,Active,
19-0127,07/30/2019,External,Carry Credent/Identification,Completed,Corrective Action Taken
18-0189,10/05/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
19-0151,09/03/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
19-0101,06/18/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0097,06/14/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
18-0130,07/19/2018,External,Conduct Unbecoming,Completed,Sustained
19-0156,09/05/2019,External,Conformance to Law,Completed,Declined
18-0189,10/05/2018,External,Conformance to Law,Completed,Exonerated
19-0137,08/13/2019,External,Courtesy,Completed,No Corrective Action Tak
18-0130,07/19/2018,External,Abuse of Process,Completed,Sustained
18-0130,07/19/2018,External,Conformance to Law,Completed,Sustained
18-0130,07/19/2018,External,Untruthful Statements,Completed,Sustained
18-0244,12/26/2018,External,Conformance to Law,Completed,Insufficent Evidence
19-0159,09/10/2019,Internal,Att to Duty/Use Alch-Drugs,Active,
19-0160,09/10/2019,Internal,Carry Credent/Identification,Active,
19-0160,09/10/2019,Internal,Conformance to Law,Active,
19-0171,09/12/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
19-0160,09/10/2019,Internal,Use of Force,Active,
19-0160,09/10/2019,Internal,Untruthful Statements,Active,
19-0165,09/11/2019,Internal,Conformance to Law,Active,
19-0159,09/10/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
19-0170,09/12/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
19-0160,09/10/2019,Internal,Courtesy,Active,
18-0244,12/26/2018,External,Conduct Unbecoming,Completed,Exonerated
19-0165,09/11/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
19-0166,09/12/2019,External,Conformance to Law,Completed,Declined
19-0160,09/10/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
19-0159,09/10/2019,Internal,Untruthful Statements,Active,
19-0159,09/10/2019,Internal,Conduct Unbecoming,Active,
19-0159,09/10/2019,Internal,Conformance to Law,Active,
19-0129,07/30/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
17-0272,11/20/2017,Internal,Maintenance of Property,Completed,Unfounded
17-0272,11/20/2017,Internal,Conformance to Law,Completed,Unfounded
19-0174,09/20/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0272,11/20/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
17-0272,11/20/2017,Internal,Maintenance of Property,Completed,Administrative Closure
19-0174,09/20/2019,External,Carry ID on Duty&OD While Armed,Completed,Declined
17-0272,11/20/2017,Internal,Conformance to Law,Completed,Administrative Closure
17-0272,11/20/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
19-0178,10/01/2019,External,Conformance to Law,Active,
19-0177,10/01/2019,Internal,Conduct Unbecoming,Active,
19-0135,08/13/2019,Internal,Courtesy,Completed,Corrective Action Taken
19-0177,10/01/2019,Internal,Use of Force,Active,
19-0178,10/01/2019,External,Use of Force,Active,
19-0177,10/01/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
19-0177,10/01/2019,Internal,Conformance to Law,Active,
19-0177,10/01/2019,Internal,Maintenance of Property,Active,
19-0177,10/01/2019,Internal,Untruthful Statements,Active,
19-0179,10/07/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
19-0179,10/07/2019,External,Courtesy,Active,
19-0146,08/20/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
17-0054,02/27/2017,Internal,Conduct Unbecoming,Completed,Sustained
19-0201,10/15/2019,External,Conformance to Law,Active,
19-0201,10/15/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
19-0192,10/14/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
18-0232,12/10/2018,External,Conduct Unbecoming,Completed,Administrative Closure
19-0200,10/15/2019,External,Conformance to Law,Active,
19-0205,10/17/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
19-0196,10/15/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
19-0192,10/14/2019,Internal,Conformance to Law,Active,
19-0195,10/15/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
19-0205,10/17/2019,External,Courtesy,Active,
19-0194,10/15/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
19-0199,10/15/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
18-0232,12/10/2018,External,Use of Force,Completed,Administrative Closure
19-0201,10/15/2019,External,Use of Force,Active,
18-0232,12/10/2018,External,Conformance to Law,Completed,Administrative Closure
17-0198,08/25/2017,Internal,Conformance to Law,Completed,Sustained
18-0232,12/10/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
19-0198,10/15/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
19-0204,10/17/2019,External,Conformance to Law,Completed,Declined
19-0200,10/15/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
19-0199,10/15/2019,Internal,Secondary Employment,Active,
19-0205,10/17/2019,External,Conformance to Law,Active,
19-0192,10/14/2019,Internal,Use of Force,Active,
19-0200,10/15/2019,External,Use of Force,Active,
19-0005,01/11/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
19-0198,10/15/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
19-0196,10/15/2019,External,Courtesy,Completed,Declined
19-0005,01/11/2019,External,Abuse of Authority,Completed,Exonerated
19-0199,10/15/2019,Internal,Conformance to Law,Active,
19-0038,03/07/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
19-0203,10/17/2019,External,Conformance to Law,Completed,Declined
19-0200,10/15/2019,External,Courtesy,Active,
19-0197,10/15/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
19-0038,03/07/2019,Internal,Conduct Unbecoming,Completed,Administrative Closure
19-0200,10/15/2019,External,Conduct Unbecoming,Active,
19-0199,10/15/2019,Internal,Punctuality,Active,
19-0005,01/11/2019,External,Conformance to Law,Completed,Exonerated
19-0199,10/15/2019,Internal,Courtesy,Active,
19-0200,10/15/2019,External,Untruthful Statements,Active,
19-0130,07/30/2019,External,Conformance to Law,Completed,Corrective Action Taken
19-0033,02/22/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
19-0113,07/18/2019,External,Maintenance of Property,Completed,No Corrective Action Tak
19-0130,07/30/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
19-0210,10/23/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
19-0100,06/18/2019,External,Courtesy,Completed,No Corrective Action Tak
19-0173,09/19/2019,External,Conformance to Law,Completed,Corrective Action Taken
19-0113,07/18/2019,External,Conformance to Law,Completed,No Corrective Action Tak
19-0161,09/10/2019,External,Courtesy,Completed,Corrective Action Taken
19-0161,09/10/2019,External,Maintenance of Property,Completed,Corrective Action Taken
19-0130,07/30/2019,External,Courtesy,Completed,Corrective Action Taken
19-0161,09/10/2019,External,Conformance to Law,Completed,Corrective Action Taken
19-0136,08/13/2019,Internal,Courtesy,Completed,Corrective Action Taken
19-0130,07/30/2019,External,Conduct Unbecoming,Completed,Corrective Action Taken
19-0130,07/30/2019,External,Carry Credent/Identification,Completed,Corrective Action Taken
19-0140,08/19/2019,External,Conformance to Law,Completed,No Corrective Action Tak
19-0139,08/19/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0033,02/22/2019,Internal,Conformance to Law,Completed,Administrative Closure
19-0210,10/23/2019,External,Courtesy,Completed,Declined
19-0033,02/22/2019,Internal,Conduct Unbecoming,Completed,Exonerated
19-0033,02/22/2019,Internal,Secondary Employment,Completed,Sustained
19-0172,09/19/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
19-0217,10/31/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
18-0038,02/28/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
18-0038,02/28/2018,External,Conduct Unbecoming,Completed,Administrative Closure
19-0214,10/29/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
18-0038,02/28/2018,External,Maintenance of Property,Completed,Administrative Closure
19-0217,10/31/2019,Internal,Courtesy,Active,
18-0038,02/28/2018,External,Abuse of Authority,Completed,Administrative Closure
19-0213,10/29/2019,External,Courtesy,Active,
18-0038,02/28/2018,External,Abuse of Process,Completed,Administrative Closure
19-0213,10/29/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
18-0038,02/28/2018,External,Conformance to Law,Completed,Exonerated
18-0204,10/30/2018,Internal,Conformance to Law,Completed,
19-0215,10/30/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
18-0233,12/10/2018,Internal,Conduct Unbecoming,Completed,Administrative Closure
19-0222,11/05/2019,External,Conformance to Law,Active,
19-0154,09/04/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0219,11/01/2019,Internal,Abuse of Process,Active,
18-0233,12/10/2018,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
18-0233,12/10/2018,Internal,Courtesy,Completed,Administrative Closure
19-0154,09/04/2019,External,Courtesy,Completed,No Corrective Action Tak
19-0223,11/05/2019,External,Conformance to Law,Completed,Declined
19-0164,09/11/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
19-0222,11/05/2019,External,Conduct Unbecoming,Active,
18-0233,12/10/2018,Internal,Maintenance of Property,Completed,Administrative Closure
19-0219,11/01/2019,Internal,Conformance to Law,Active,
19-0154,09/04/2019,External,Courtesy,Completed,Corrective Action Taken
18-0233,12/10/2018,Internal,Use of Force,Completed,Administrative Closure
19-0219,11/01/2019,Internal,Conduct Unbecoming,Active,
18-0233,12/10/2018,Internal,Use of Force,Completed,Sustained
19-0163,09/10/2019,External,Conformance to Law,Completed,Corrective Action Taken
19-0004,01/11/2019,Internal,Conformance to Law,Completed,Sustained
18-0233,12/10/2018,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
19-0223,11/05/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
18-0233,12/10/2018,Internal,Carry Credent/Identification,Completed,Sustained
18-0233,12/10/2018,Internal,Conformance to Law,Completed,Administrative Closure
19-0142,08/20/2019,External,Conformance to Law,Completed,Corrective Action Taken
19-0010,01/24/2019,Internal,Discrim/Race/Sex,Completed,Insufficent Evidence
16-0197,08/22/2016,Internal,Punctuality,Completed,Sustained
18-0190,10/05/2018,External,Abuse of Authority,Completed,Administrative Closure
19-0227,11/18/2019,External,Conduct Unbecoming,Completed,Declined
18-0230,12/10/2018,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
18-0230,12/10/2018,Internal,Maintenance of Property,Completed,Administrative Closure
19-0162,09/10/2019,External,Conformance to Law,Completed,No Corrective Action Tak
19-0224,11/18/2019,External,Conformance to Law,Completed,Declined
18-0230,12/10/2018,Internal,Abuse of Process,Completed,Administrative Closure
18-0230,12/10/2018,Internal,Conformance to Law,Completed,Administrative Closure
19-0153,09/03/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0226,11/18/2019,External,Conformance to Law,Completed,Declined
18-0230,12/10/2018,Internal,Conduct Unbecoming,Completed,Administrative Closure
19-0225,11/18/2019,External,Conformance to Law,Completed,Declined
19-0224,11/18/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
19-0229,11/19/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
19-0162,09/10/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0228,11/19/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
18-0230,12/10/2018,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
19-0143,08/20/2019,External,Maintenance of Property,Completed,No Corrective Action Tak
19-0229,11/19/2019,External,Courtesy,Active,
18-0190,10/05/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure
19-0228,11/19/2019,External,Conduct Unbecoming,Active,
19-0143,08/20/2019,External,Conformance to Law,Completed,No Corrective Action Tak
18-0230,12/10/2018,Internal,Use of Force,Completed,Administrative Closure
19-0224,11/18/2019,External,Use of Force,Completed,Declined
18-0190,10/05/2018,External,Courtesy,Completed,Administrative Closure
19-0025,02/12/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated
19-0237,11/26/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Declined
18-0200,10/18/2018,Internal,Discrim/Race/Sex,Completed,Administrative Closure
19-0025,02/12/2019,External,Secondary Employment,Completed,Administrative Closure
19-0236,11/26/2019,Internal,Discrimination/Harassment,Completed,Declined
19-0025,02/12/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained
19-0025,02/12/2019,External,Use of Force,Completed,Exonerated
19-0184,10/08/2019,External,Conformance to Law,Completed,No Corrective Action Tak
19-0180,10/07/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
19-0186,10/10/2019,External,Conformance to Law,Completed,Corrective Action Taken
19-0186,10/10/2019,External,Conformance to Law,Completed,No Corrective Action Tak
19-0206,10/21/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
18-0229,12/04/2018,External,Use of Force,Completed,Exonerated
19-0240,12/03/2019,External,Conformance to Law,Active,
18-0247,01/03/2019,External,Discrim/Race/Sex,Completed,Unfounded
18-0229,12/04/2018,External,Conformance to Law,Completed,Administrative Closure
18-0247,01/03/2019,External,Courtesy,Completed,Unfounded
18-0202,10/24/2018,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
19-0240,12/03/2019,External,Discrimination/Harassment,Active,
18-0247,01/03/2019,External,Use of Force,Completed,Exonerated
19-0190,10/14/2019,External,Conformance to Law,Completed,Corrective Action Taken
19-0240,12/03/2019,External,Conduct Unbecoming,Active,
18-0229,12/04/2018,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded
19-0186,10/10/2019,External,Courtesy,Completed,Corrective Action Taken
19-0218,10/31/2019,External,Courtesy,Completed,No Corrective Action Tak
19-0206,10/21/2019,External,Courtesy,Completed,No Corrective Action Tak
18-0202,10/24/2018,Internal,Use of Force,Completed,Exonerated
19-0212,10/24/2019,External,Courtesy,Completed,No Corrective Action Tak
19-0212,10/24/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0240,12/03/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
19-0187,10/14/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
18-0222,11/29/2018,External,Conduct Unbecoming,Completed,Administrative Closure
19-0182,10/08/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
19-0208,10/21/2019,External,Conformance to Law,Completed,Corrective Action Taken
19-0221,11/05/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0187,10/14/2019,External,Maintenance of Property,Completed,No Corrective Action Tak
19-0245,12/10/2019,External,Courtesy,Active,
19-0175,09/20/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0187,10/14/2019,External,Conformance to Law,Completed,No Corrective Action Tak
19-0141,08/19/2019,External,Conformance to Law,Completed,Corrective Action Taken
19-0208,10/21/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
19-0191,10/14/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0191,10/14/2019,External,Conformance to Law,Completed,No Corrective Action Tak
19-0245,12/10/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
19-0098,06/18/2019,Internal,Conformance to Law,Completed,No Corrective Action Tak
19-0250,12/17/2019,External,Conformance to Law,Active,
19-0251,12/17/2019,Internal,Use of Force,Active,
19-0250,12/17/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
19-0251,12/17/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Active,
19-0254,12/18/2019,External,Conduct Unbecoming,Active,
19-0254,12/18/2019,External,Conformance to Law,Active,
18-0213,11/05/2018,Internal,Conformance to Law,Completed,Administrative Closure
19-0098,06/18/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0233,11/19/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken
19-0249,12/13/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
19-0231,11/19/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak
19-0254,12/18/2019,External,Secondary Employment,Active,
19-0250,12/17/2019,External,Abuse of Authority,Active,
19-0250,12/17/2019,External,Conduct Unbecoming,Active,
19-0249,12/13/2019,External,Conformance to Law,Active,
19-0254,12/18/2019,External,Neglect of Duty/Unsatisfactory Performance,Active,
19-0098,06/18/2019,Internal,Compliance with Orders,Completed,No Corrective Action Tak
19-0231,11/19/2019,External,Conformance to Law,Completed,No Corrective Action Tak
19-0254,12/18/2019,External,Abuse of Process,Active,
19-0255,12/23/2019,External,Use of Force,Active,
18-0165,09/20/2018,External,Conduct Unbecoming,Completed,Sustained
