Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Animal, Cum 2018†","Rabies, Animal, Cum 2018†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag","Rabies, Human, Cum 2018†","Rabies, Human, Cum 2018†, flag",Location 1,Location 2
EAST NORTH CENTRAL,2019,10,1,,24,,7,,2,,,-,0,,,-,,-,,EAST NORTH CENTRAL
NEW HAMPSHIRE,2019,10,,-,3,,3,,6,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PENNSYLVANIA,2019,10,,-,13,,,-,42,,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW YORK CITY,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
CONNECTICUT,2019,10,,-,3,,3,,8,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
DISTRICT OF COLUMBIA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ARKANSAS,2019,10,,-,3,,1,,2,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NORTH CAROLINA,2019,11,11,,17,,52,,40,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NON-US RESIDENTS,2019,11,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
NEBRASKA,2019,11,,-,3,,,-,4,,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
COLORADO,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
LOUISIANA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
TEXAS,2019,11,,-,15,,,-,14,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
EAST NORTH CENTRAL,2019,11,,-,24,,7,,2,,,-,0,,,-,,-,,EAST NORTH CENTRAL
MARYLAND,2019,11,,-,11,,43,,40,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
RHODE ISLAND,2019,11,,-,3,,,-,3,,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ALABAMA,2019,11,1,,4,,8,,6,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MICHIGAN,2019,11,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MAINE,2019,11,,-,5,,7,,10,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
SOUTH ATLANTIC,2019,11,13,,24,,132,,214,,,-,1,,,-,1,,,SOUTH ATLANTIC
WEST VIRGINIA,2019,11,2,,10,,8,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
CONNECTICUT,2019,11,,-,3,,3,,8,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
PACIFIC,2019,11,2,,9,,14,,17,,,-,0,,,-,,-,,PACIFIC
PENNSYLVANIA,2019,11,,-,13,,,-,45,,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSISSIPPI,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
VERMONT,2019,11,,-,5,,,-,3,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW ENGLAND,2019,11,,-,13,,13,,30,,,-,0,,,-,,-,,NEW ENGLAND
MONTANA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
FLORIDA,2019,11,,-,10,,29,,134,,,-,0,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
ARIZONA,2019,11,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEW YORK CITY,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
KANSAS,2019,11,1,,3,,8,,3,,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
ILLINOIS,2019,11,,-,13,,3,,,-,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
VIRGINIA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
GUAM,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
HAWAII,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WISCONSIN,2019,11,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW MEXICO,2019,11,,-,2,,1,,2,,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
OREGON,2019,11,,-,3,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
EAST SOUTH CENTRAL,2019,11,1,,8,,9,,8,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
NEW JERSEY,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
WYOMING,2019,11,,-,4,,3,,3,,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
U.S. VIRGIN ISLANDS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTHERN MARIANA ISLANDS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW YORK,2019,11,13,,29,,90,,99,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEW HAMPSHIRE,2019,11,,-,3,,3,,6,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH CAROLINA,2019,11,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MIDDLE ATLANTIC,2019,11,13,,36,,90,,144,,,-,0,,,-,,-,MIDDLE ATLANTIC,
DISTRICT OF COLUMBIA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
US RESIDENTS,2019,11,30,,82,,288,,448,,,-,1,,,-,1,,,US RESIDENTS
IDAHO,2019,11,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
UTAH,2019,11,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
AMERICAN SAMOA,2019,11,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA
WEST SOUTH CENTRAL,2019,11,,-,15,,10,,18,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
SOUTH DAKOTA,2019,11,,-,2,,,-,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH DAKOTA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEVADA,2019,11,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
TOTAL,2019,11,30,,82,,288,,448,,,-,1,,,-,1,,,TOTAL
OHIO,2019,11,,-,6,,3,,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
IOWA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2019,11,1,,9,,11,,16,,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
US TERRITORIES,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
TENNESSEE,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
KENTUCKY,2019,11,,-,8,,1,,2,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ARKANSAS,2019,11,,-,3,,4,,2,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
DELAWARE,2019,11,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
PUERTO RICO,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
INDIANA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
ALASKA,2019,11,1,,2,,3,,1,,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MASSACHUSETTS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
GEORGIA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MISSOURI,2019,11,,-,4,,1,,1,,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
WEST NORTH CENTRAL,2019,11,1,,5,,9,,10,,,-,0,,,-,,-,,WEST NORTH CENTRAL
OKLAHOMA,2019,11,,-,8,,6,,2,,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MINNESOTA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KENTUCKY,2019,12,1,,8,,2,,2,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
OHIO,2019,12,,-,6,,3,,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
CALIFORNIA,2019,12,,-,9,,12,,17,,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2019,12,,-,2,,3,,2,,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
SOUTH DAKOTA,2019,12,,-,2,,,-,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
OKLAHOMA,2019,12,,-,8,,6,,2,,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
RHODE ISLAND,2019,12,,-,3,,,-,3,,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MAINE,2019,12,,-,5,,7,,10,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
SOUTH CAROLINA,2019,12,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
OREGON,2019,12,,-,3,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
TENNESSEE,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
EAST NORTH CENTRAL,2019,12,,-,24,,7,,3,,,-,0,,,-,,-,,EAST NORTH CENTRAL
NORTHERN MARIANA ISLANDS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WEST NORTH CENTRAL,2019,12,,-,5,,9,,11,,,-,0,,,-,,-,,WEST NORTH CENTRAL
DELAWARE,2019,12,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MICHIGAN,2019,12,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
US RESIDENTS,2019,12,32,,108,,334,,524,,,-,1,,,-,1,,,US RESIDENTS
PACIFIC,2019,12,,-,9,,15,,19,,,-,0,,,-,,-,,PACIFIC
NEW YORK,2019,12,15,,29,,105,,104,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEW YORK CITY,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
WASHINGTON,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
GEORGIA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
DISTRICT OF COLUMBIA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGINIA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MIDDLE ATLANTIC,2019,12,15,,36,,105,,154,,,-,0,,,-,,-,MIDDLE ATLANTIC,
VERMONT,2019,12,,-,5,,,-,3,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MARYLAND,2019,12,9,,11,,60,,43,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
AMERICAN SAMOA,2019,12,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA
GUAM,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTH CAROLINA,2019,12,4,,17,,56,,46,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
ARIZONA,2019,12,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
INDIANA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
UTAH,2019,12,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
IOWA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
CONNECTICUT,2019,12,,-,3,,3,,9,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
TEXAS,2019,12,,-,44,,,-,62,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
FLORIDA,2019,12,,-,10,,32,,134,,,-,0,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
MISSISSIPPI,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW ENGLAND,2019,12,1,,13,,14,,34,,,-,0,,,-,,-,,NEW ENGLAND
MOUNTAIN,2019,12,,-,6,,6,,5,,,-,1,,,-,,-,,MOUNTAIN
NEW HAMPSHIRE,2019,12,1,,3,,4,,9,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEVADA,2019,12,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ALABAMA,2019,12,,-,5,,8,,7,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MONTANA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WISCONSIN,2019,12,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
LOUISIANA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
EAST SOUTH CENTRAL,2019,12,1,,8,,10,,9,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
HAWAII,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MISSOURI,2019,12,,-,2,,1,,1,,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
US TERRITORIES,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
MINNESOTA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WEST SOUTH CENTRAL,2019,12,,-,45,,10,,66,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
MASSACHUSETTS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NON-US RESIDENTS,2019,12,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
WYOMING,2019,12,,-,4,,3,,3,,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW JERSEY,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
TOTAL,2019,12,32,,108,,334,,524,,,-,1,,,-,1,,,TOTAL
U.S. VIRGIN ISLANDS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
KANSAS,2019,12,,-,3,,8,,4,,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEBRASKA,2019,12,,-,3,,,-,4,,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
PUERTO RICO,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
COLORADO,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NEW MEXICO,2019,12,,-,2,,3,,2,,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ARKANSAS,2019,12,,-,3,,4,,2,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
IDAHO,2019,12,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
WEST VIRGINIA,2019,12,2,,10,,10,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH DAKOTA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
PENNSYLVANIA,2019,12,,-,13,,,-,50,,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
ILLINOIS,2019,12,,-,13,,3,,1,,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
SOUTH ATLANTIC,2019,12,15,,24,,158,,223,,,-,1,,,-,1,,,SOUTH ATLANTIC
OREGON,2019,13,,-,3,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
WEST SOUTH CENTRAL,2019,13,,-,45,,10,,91,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
CONNECTICUT,2019,13,1,,3,,5,,10,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WEST NORTH CENTRAL,2019,13,,-,5,,9,,14,,,-,0,,,-,,-,,WEST NORTH CENTRAL
KENTUCKY,2019,13,,-,8,,2,,2,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2019,13,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
OHIO,2019,13,,-,6,,3,,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NORTH DAKOTA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
KANSAS,2019,13,,-,3,,8,,7,,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
ILLINOIS,2019,13,,-,13,,3,,1,,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
IDAHO,2019,13,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
MICHIGAN,2019,13,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ARKANSAS,2019,13,,-,3,,4,,2,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEW YORK,2019,13,16,,29,,121,,121,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MONTANA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
TENNESSEE,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
US RESIDENTS,2019,13,34,,108,,376,,589,,,-,1,,,-,1,,,US RESIDENTS
AMERICAN SAMOA,2019,13,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA
CALIFORNIA,2019,13,1,,9,,13,,19,,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
ALABAMA,2019,13,1,,5,,9,,7,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
EAST SOUTH CENTRAL,2019,13,1,,8,,11,,9,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
MASSACHUSETTS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
US TERRITORIES,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
DISTRICT OF COLUMBIA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
DELAWARE,2019,13,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW JERSEY,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
EAST NORTH CENTRAL,2019,13,,-,24,,7,,3,,,-,0,,,-,,-,,EAST NORTH CENTRAL
NON-US RESIDENTS,2019,13,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
PUERTO RICO,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH DAKOTA,2019,13,,-,2,,,-,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
HAWAII,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NORTH CAROLINA,2019,13,7,,17,,63,,50,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MOUNTAIN,2019,13,1,,6,,7,,6,,,-,1,,,-,,-,,MOUNTAIN
NEW ENGLAND,2019,13,6,,13,,23,,38,,,-,0,,,-,,-,,NEW ENGLAND
MIDDLE ATLANTIC,2019,13,16,,36,,121,,173,,,-,0,,,-,,-,MIDDLE ATLANTIC,
IOWA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
PENNSYLVANIA,2019,13,,-,13,,,-,52,,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
PACIFIC,2019,13,1,,9,,16,,21,,,-,0,,,-,,-,,PACIFIC
FLORIDA,2019,13,,-,15,,37,,134,,,-,0,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
NEBRASKA,2019,13,,-,3,,,-,4,,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW MEXICO,2019,13,1,,2,,4,,2,,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
TEXAS,2019,13,,-,44,,,-,87,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
WYOMING,2019,13,,-,4,,3,,4,,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
VIRGINIA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
U.S. VIRGIN ISLANDS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MINNESOTA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
COLORADO,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
SOUTH ATLANTIC,2019,13,9,,24,,172,,234,,,-,1,,,-,1,,,SOUTH ATLANTIC
NORTHERN MARIANA ISLANDS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
INDIANA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
WEST VIRGINIA,2019,13,,-,10,,10,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
ALASKA,2019,13,,-,2,,3,,2,,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW YORK CITY,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
WASHINGTON,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MISSOURI,2019,13,,-,2,,1,,1,,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
WISCONSIN,2019,13,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
TOTAL,2019,13,34,,108,,376,,589,,,-,1,,,-,1,,,TOTAL
MISSISSIPPI,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
SOUTH CAROLINA,2019,13,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
UTAH,2019,13,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.359772, -111.584173)",
OKLAHOMA,2019,13,,-,8,,6,,2,,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW HAMPSHIRE,2019,13,1,,3,,5,,11,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MAINE,2019,13,4,,5,,13,,10,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
MARYLAND,2019,13,2,,11,,62,,50,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
VERMONT,2019,13,,-,5,,,-,4,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
GEORGIA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ARIZONA,2019,13,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
GUAM,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
RHODE ISLAND,2019,13,,-,3,,,-,3,,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IDAHO,2019,14,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
TEXAS,2019,14,,-,44,,,-,104,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
RHODE ISLAND,2019,14,,-,3,,,-,3,,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
OREGON,2019,14,,-,3,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
COLORADO,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MOUNTAIN,2019,14,,-,6,,7,,6,,,-,1,,,-,,-,,MOUNTAIN
LOUISIANA,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NON-US RESIDENTS,2019,14,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
GUAM,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MARYLAND,2019,14,6,,11,,68,,50,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
FLORIDA,2019,14,,-,22,,41,,134,,,-,0,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
WYOMING,2019,14,,-,4,,3,,4,,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IOWA,2019,14,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
ALASKA,2019,14,,-,2,,4,,2,,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WEST VIRGINIA,2019,14,,-,10,,10,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
